check_key,area,region,attributed_boss,nearest_grace_flag,nearest_grace_name,grace_dist_u,within_cap,tier,field_dist_u
"603449,0:0000000000:100225,1034509360:",liurnia,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"603449,0:0000000000:100225:",liurnia,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"603939,0:0000000000:100250:",liurnia,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"603450,0:0000000000:100275:",liurnia_postmanor,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"603450,0:0000000000:100300,11109919:",liurnia_postmanor,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"603450,0:0000000000:100300,35009326:",liurnia_postmanor,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"603450,0:0000000000:100300:",liurnia_postmanor,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"603550,0:0000000000:100325:",liurnia_postmanor,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"110000,0:0000000000:100350,100425,11109874,1037469305:",roundtable,Divine Bridge,Tree Sentinel,110501,Erdtree Sanctuary,140,1,2field,758
"110000,0:0000000000:100350,100425,11109875,1037469306:",roundtable,Divine Bridge,Tree Sentinel,110501,Erdtree Sanctuary,140,1,2field,758
"110000,0:0000000000:100350,100425,11109876,1037469307:",roundtable,Divine Bridge,Tree Sentinel,110501,Erdtree Sanctuary,140,1,2field,758
"110000,0:0000000000:100350,100425,11109877,1037469308:",roundtable,Divine Bridge,Tree Sentinel,110501,Erdtree Sanctuary,140,1,2field,758
"110000,0:0000000000:100350,100425,11109878,1037469309:",roundtable,Divine Bridge,Tree Sentinel,110501,Erdtree Sanctuary,140,1,2field,758
"110000,0:0000000000:100350,100425,11109881,1037469312:",roundtable,Divine Bridge,Tree Sentinel,110501,Erdtree Sanctuary,140,1,2field,758
"110000,0:0000000000:100350,100425,11109883,1037469314:",roundtable,Divine Bridge,Tree Sentinel,110501,Erdtree Sanctuary,140,1,2field,758
"110000,0:0000000000:100350,100425,11109884,1037469315:",roundtable,Divine Bridge,Tree Sentinel,110501,Erdtree Sanctuary,140,1,2field,758
"110000,0:0000000000:100350,1040529255:",altus,Divine Bridge,Tree Sentinel,110501,Erdtree Sanctuary,140,1,2field,758
"110000,0:0000000000:100350,1040549205:",altus,Divine Bridge,Tree Sentinel,110501,Erdtree Sanctuary,140,1,2field,758
"110000,0:0000000000:100350,11009455:",leyndell,,"Morgott, the Omen King",110501,Erdtree Sanctuary,140,1,1legacy,
"110000,0:0000000000:100350:",roundtable,Divine Bridge,Tree Sentinel,110501,Erdtree Sanctuary,140,1,2field,758
"603746,0:0000000000:100400:",liurnia,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"603746,0:0000000000:100425:",liurnia,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"604236,0:0000000000:100500,101800,11109775:",limgrave,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"604236,0:0000000000:100500:",limgrave,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"604439,0:0000000000:100525:",limgrave,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"604536,0:0000000000:100550:",limgrave,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"604136,0:0000000000:100575:",limgrave,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"604433,0:0000000000:100600:",peninsula,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"603841,0:0000000000:100625:",liurnia,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"604132,0:0000000000:100650:",peninsula,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"603545,0:0000000000:100675:",academy,,Rennala 2,111000,Table of Lost Grace,24,1,1legacy,
"603649,0:0000000000:100700:",bellum,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"604353,0:0000000000:100725:",outskirts,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"604052,0:0000000000:100750:",altus,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"603754,0:0000000000:100775:",gelmir,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"604838,0:0000000000:100800:",caelid,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"604937,0:0000000000:100825:",caelid,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"604841,0:0000000000:100875:",dragonbarrow,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"605156,0:0000000000:100900:",mountaintops,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"120200,0:0000000000:100925:",siofra,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"120100,0:0000000000:100950:",ainsel_start,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"120500,0:0000000000:100975:",mohgwyn,,"Mohg, Lord of Blood",111000,Table of Lost Grace,24,1,1legacy,
"111000,0:0000000000:101800:",roundtable,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"111000,0:0000000000:101898:",roundtable,Roundtable Hold,[capstone] Roundtable Hold,111000,Table of Lost Grace,52,1,4capstone,6407763
"604135,0:0000000000:101950,101975:",limgrave_dragonchurch,Siofra River,Decaying Ekzykes,64483600,Cathedral of Dragon Communion,14,1,2field,142
"604836,0:0000000000:101950,1034450800:",caelid,Siofra River,Decaying Ekzykes,64483600,Cathedral of Dragon Communion,14,1,2field,142
"604836,0:0000000000:101950,1035530800:",caelid,Siofra River,Decaying Ekzykes,64483600,Cathedral of Dragon Communion,14,1,2field,142
"604836,0:0000000000:101950,1043360800:",caelid,Siofra River,Decaying Ekzykes,64483600,Cathedral of Dragon Communion,14,1,2field,142
"604836,0:0000000000:101950,1048370800:",caelid,Siofra River,Decaying Ekzykes,64483600,Cathedral of Dragon Communion,14,1,2field,142
"604836,0:0000000000:101950,1050400800:",caelid,Siofra River,Decaying Ekzykes,64483600,Cathedral of Dragon Communion,14,1,2field,142
"604836,0:0000000000:101950,1050560800:",caelid,Siofra River,Decaying Ekzykes,64483600,Cathedral of Dragon Communion,14,1,2field,142
"604836,0:0000000000:101950,1254560800:",caelid,Siofra River,Decaying Ekzykes,64483600,Cathedral of Dragon Communion,14,1,2field,142
"604836,0:0000000000:101950:",caelid,Siofra River,Decaying Ekzykes,64483600,Cathedral of Dragon Communion,14,1,2field,142
"614542,0:0000000000:102250,102270,2045429330:",gravesite,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"614542,0:0000000000:102250:",gravesite,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"615045,0:0000000000:102300,2051459206:",scadualtus,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"615045,0:0000000000:102300:",scadualtus,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"111000,0:0000000000:9104,101500:",roundtable,Roundtable Hold,[capstone] Roundtable Hold,111000,Table of Lost Grace,52,1,4capstone,6407763
"111000,0:0000000000:9107,101500:",roundtable,Roundtable Hold,[capstone] Roundtable Hold,111000,Table of Lost Grace,52,1,4capstone,6407763
"111000,0:0000000000:9112,101500:",roundtable,Roundtable Hold,[capstone] Roundtable Hold,111000,Table of Lost Grace,52,1,4capstone,6407763
"111000,0:0000000000:9116,101500:",roundtable,Roundtable Hold,[capstone] Roundtable Hold,111000,Table of Lost Grace,52,1,4capstone,6407763
"111000,0:0000000000:9118,101500:",roundtable,Roundtable Hold,[capstone] Roundtable Hold,111000,Table of Lost Grace,52,1,4capstone,6407763
"111000,0:0000000000:9119,101500:",roundtable,Roundtable Hold,[capstone] Roundtable Hold,111000,Table of Lost Grace,52,1,4capstone,6407763
"111000,0:0000000000:9120,101500:",roundtable,Roundtable Hold,[capstone] Roundtable Hold,111000,Table of Lost Grace,52,1,4capstone,6407763
"111000,0:0000000000:9130,101500:",roundtable,Roundtable Hold,[capstone] Roundtable Hold,111000,Table of Lost Grace,52,1,4capstone,6407763
"111000,0:0000000000:9143,101500:",roundtable,Roundtable Hold,[capstone] Roundtable Hold,111000,Table of Lost Grace,52,1,4capstone,6407763
"111000,0:0000000000:9146,101500:",roundtable,Roundtable Hold,[capstone] Roundtable Hold,111000,Table of Lost Grace,52,1,4capstone,6407763
"111000,0:0000000000:9164,101500:",roundtable,Roundtable Hold,[capstone] Roundtable Hold,111000,Table of Lost Grace,52,1,4capstone,6407763
"111000,0:0000000000:9182,101500:",roundtable,Roundtable Hold,[capstone] Roundtable Hold,111000,Table of Lost Grace,52,1,4capstone,6407763
"111000,0:0000000000:9184,101500:",roundtable,Roundtable Hold,[capstone] Roundtable Hold,111000,Table of Lost Grace,52,1,4capstone,6407763
"111000,0:0000000000:9190,101500:",roundtable,Roundtable Hold,[capstone] Roundtable Hold,111000,Table of Lost Grace,52,1,4capstone,6407763
"615045,0:0000000000:9440,102300:",scadualtus,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"140000,0:0000000114::",academy_chest,,Rennala 2,140000,Raya Lucaria Grand Library,11,1,1legacy,
"100000,0:0000000171::",stormveil,,Godrick the Grafted,100000,Godrick the Grafted,4,1,1legacy,
"605238,0:0000000172::",caelid_radahn,Wailing Dunes,[capstone] Starscourge Radahn,64523800,Starscourge Radahn,21,1,4capstone,
"110000,0:0000000173::",leyndell_throne,,"Morgott, the Omen King",110000,Elden Throne,7,1,1legacy,
"160000,0:0000000174::",volcano_temple,,"Rykard, Lord of Blasphemy",160000,"Rykard, Lord of Blasphemy",1,1,1legacy,
"120500,0:0000000175::",mohgwyn,,"Mohg, Lord of Blood",120500,Cocoon of the Empyrean,6,1,1legacy,
"150000,0:0000000176::",haligtree_elphael,,"Malenia, Blade of Miquella",150000,"Malenia, Goddess of Rot",22,1,1legacy,
"140000,0:0000000177::",academy_courtyard,,Rennala 2,140000,Raya Lucaria Grand Library,10,1,1legacy,
"341000,0:0000000191::",limgrave_tower_inner,Stormhill,Deathbird,341002,Divine Tower of Limgrave,27,1,2field,650
"341300,0:0000000192::",caelid_tower_inner,Great-Jar,Bell Bearing Hunter,341302,Divine Tower of Caelid: Center,319,0,2field,423
"341400,0:0000000193::",leyndell_tower_inner,,Fell Twin,341401,Divine Tower of East Altus,16,1,1legacy,
"341200,0:0000000194::",altus_tower_inner,Divine Bridge,Fallingstar Beast,341200,Divine Tower of West Altus,27,1,2field,602
"341400,0:0000000195::",leyndell_tower_inner,,Fell Twin,341401,Divine Tower of East Altus,16,1,1legacy,
"341500,0:0000000196::",isolated_tower_inner,Dragonbarrow,Black Blade Kindred,341500,Isolated Divine Tower,28,1,2field,704
"140000,0:0000000197::",academy_courtyard,,Rennala 2,140000,Raya Lucaria Grand Library,10,1,1legacy,
"110500,0:0000009500::",leyndell2,,"Hoarah Loux, Warrior",110501,Erdtree Sanctuary,125,1,1legacy,
"120300,0:0000009502::",deeproot_dream,Deeproot Depths Boss,Draconic Tree Sentinel,120300,Prince of Death's Throne,23,1,2field,43
"350000,0:0000009504::",sewer,Deeproot Depths,[capstone] Lichdragon Fortissax,350001,Underground Roadside,73,1,4capstone,
"604638,0:0000060020:101800,11109774:",limgrave,"Nokron, Eternal City",Dragonkin Soldier,61463800,Third Church of Marika,21,1,2field,497
"604236,0:0000060110:101800,1042369416:",limgrave,Limgrave,Tree Sentinel,61423600,Church of Elleh,9,1,2field,43
"604237,0:0000060130:101800,11109776:",limgrave,Stormhill,Crucible Knight,61423700,Gatefront,89,1,2field,157
"311500,0:0000060140::",limgrave_coastalcave,,Demi-Human Chief,311500,Coastal Cave,67,1,1mini,
"603746,0:0000060150::",liurnia,Ainsel River,Bell Bearing Hunter,62374600,Church of Vows,52,1,2field,16
"100100,0:0000060210::",chapel_start,Gravesite Plain,[capstone] Messmer,100005,Rampart Tower,290,0,4capstone,
"180000,0:0000060220::",graveyard_grave,,Ulcerated Tree Spirit,180001,Stranded Graveyard,14,1,1mini,
"604240,0:0000060240::",stormhill,Stormhill,Bell Bearing Hunter,301100,Deathtouched Catacombs,240,0,2field,297
"604240,0:0000060250::",stormhill,Stormhill,Bell Bearing Hunter,301100,Deathtouched Catacombs,240,0,2field,297
"160000,0:0000060260::",volcano_drawingroom,,"Rykard, Lord of Blasphemy",160002,Volcano Manor,38,1,1legacy,
"603544,0:0000060270::",liurnia,Liurnia of The Lakes,"Bols, Carian Knight",62364301,Fallen Ruins of the Lake,209,0,2field,589
"111000,0:0000060300::",roundtable,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,50,1,4capstone,
"180000,0:0000060310::",graveyard_grave,,Ulcerated Tree Spirit,180001,Stranded Graveyard,14,1,1mini,
"604533,0:0000060400::",peninsula,Weeping Peninsula,Night's Cavalry,61453300,Beside the Crater-Pocked Glade,127,1,2field,182
"603443,0:0000060410::",liurnia,Moonlight Altar,Erdtree Avatar,62344300,Converted Tower,38,1,2field,165
"603547,0:0000060420::",liurnia,Ainsel River Main,Night's Cavalry,62344701,Sorcerer's Isle,106,1,2field,423
"603450,0:0000060430::",liurnia_postmanor,Ruin-Strewn Precipice,Onyx Lord,62355001,Manor Lower Level,152,1,2field,574
"140000,0:0000060440::",academy,,Rennala 2,140001,Debate Parlor,6,1,1legacy,
"603753,0:0000060450::",gelmir,Mt. Gelmir,Demi-Human Queen Maggie,63375300,Primeval Sorcerer Azur,37,1,2field,0
"605241,0:0000060460::",dragonbarrow,Dragonbarrow,Night's Cavalry,64524100,Lenne's Rise,57,1,2field,138
"111000,0:0000060500:101800,11109777:",roundtable,Roundtable Hold,[capstone] Roundtable Hold,111000,Table of Lost Grace,52,1,4capstone,6407763
"100000,0:0000060510::",stormhill,Stormhill,Crucible Knight,100001,"Margit, the Fell Omen",10,1,2field,350
"110000,0:0000060520::",leyndell,,"Morgott, the Omen King",110001,Erdtree Sanctuary,0,1,1legacy,
"604237,0:0000062010::",limgrave,Stormhill,Crucible Knight,61423700,Gatefront,65,1,2field,158
"604432,0:0000062011::",peninsula,Weeping Peninsula,Night's Cavalry,61443300,Castle Morne Rampart,153,1,2field,79
"604537,0:0000062012::",limgrave,"Nokron, Eternal City Start",Tibia Mariner,120701,"Nokron, Eternal City",184,0,2field,500
"603841,0:0000062020::",liurnia,Moonlight Altar,"Adan, Thief of Fire",62384000,Liurnia Lake Shore,117,1,2field,105
"603744,0:0000062021::",liurnia,Liurnia of The Lakes,Night's Cavalry,62374400,Academy Gate Town,9,1,2field,439
"603448,0:0000062022::",liurnia,Ainsel River Main,Night's Cavalry,62344800,Northern Liurnia Lake Shore,48,1,2field,558
"604052,0:0000062030::",altus,Altus Plateau,Black Knife Assassin,63395100,Altus Highway Junction,192,0,2field,186
"604251,0:0000062031::",outskirts,Divine Bridge,Tree Sentinel,63425100,Outer Wall Phantom Tree,24,1,2field,137
"603654,0:0000062032::",gelmir,Mt. Gelmir,Full-Grown Fallingstar Beast,63365402,Road of Iniquity,52,1,2field,175
"604937,0:0000062040::",caelid,Caelid,Night's Cavalry,64493700,Southern Aeonia Swamp Bank,132,1,2field,22
"604940,0:0000062041::",caelid_greatjar,Great-Jar,Bell Bearing Hunter,64484001,Dragonbarrow West,122,1,2field,343
"604953,0:0000062050::",mountaintops,Flame Peak,[capstone] Fire Giant,65495300,Zamor Ruins,59,1,4capstone,
"605254,0:0000062051::",flamepeak,Flame Peak,[capstone] Fire Giant,65525400,Giants' Gravepost,6,1,4capstone,
"604856,0:0000062052::",snowfield,Consecrated Snowfield,Night's Cavalry (Glaive),65495500,Inner Consecrated Snowfield,186,0,2field,340
"120100,0:0000062060::",ainsel_start,Ainsel River,Bell Bearing Hunter,120103,Ainsel River Downstream,73,1,2field,154
"120100,0:0000062061::",lakeofrot,Lake of Rot,Dragonkin Soldier,120106,Lake of Rot Shoreside,41,1,2field,227
"120500,0:0000062062::",mohgwyn,,"Mohg, Lord of Blood",120502,Dynasty Mausoleum Entrance,41,1,1legacy,
"120200,0:0000062063::",siofra,Siofra River,Decaying Ekzykes,120203,Siofra River Bank,92,1,2field,212
"120300,0:0000062064::",deeproot,Deeproot Depths,[capstone] Lichdragon Fortissax,120305,Across the Roots,127,1,4capstone,
"614741,0:0000062080::",gravesite,Mountaintops of the Giants,Demi-Human Queen Marigga,61474100,Scorched Ruins,157,1,2field,317
"614845,0:0000062081::",scadualtus,Mountaintops of the Giants,Ralva the Great Red Bear,69484500,Highroad Cross,217,0,2field,340
"614837,0:0000062082::",cerulean,Mountaintops of the Giants,Ghostflame Dragon and Skeletons,68483700,Cerulean Coast Cross,179,0,2field,205
"614645,0:0000062083::",rauhbase,Mountaintops of the Giants,Divine Beast Dancing Lion and Basilisks,69454600,Temple Town Ruins,176,0,2field,109
"615241,0:0000062084::",abyssal,Mountaintops of the Giants,Jagged Peak Drake Boss,68534100,Church Ruins,46,1,2field,361
"604153,0:0000065000::",altus,Altus Plateau,Wormface,63405200,Forest-Spanning Greatbridge,167,0,2field,0
"604537,0:0000065010::",limgrave,"Nokron, Eternal City Start",Tibia Mariner,120701,"Nokron, Eternal City",230,0,2field,577
"604638,0:0000065020::",limgrave,"Nokron, Eternal City",Dragonkin Soldier,61463800,Third Church of Marika,21,1,2field,497
"604453,0:0000065030::",outskirts,Deeproot Depths Boss,Draconic Tree Sentinel,63435300,Hermit Merchant's Shack,319,0,2field,350
"603343,0:0000065040::",liurnia,Moonlight Altar,Erdtree Avatar,300300,Road's End Catacombs,102,1,2field,0
"605256,0:0000065050::",mountaintops,Mountaintops of the Giants,Erdtree Avatar,65515700,Snow Valley Ruins Overlook,173,0,2field,0
"604153,0:0000065060::",altus,Altus Plateau,Wormface,63405200,Forest-Spanning Greatbridge,167,0,2field,0
"605256,0:0000065070::",mountaintops,Mountaintops of the Giants,Erdtree Avatar,65515700,Snow Valley Ruins Overlook,173,0,2field,0
"604333,0:0000065080::",peninsula,Weeping Peninsula,Erdtree Avatar,300000,Tombsward Catacombs,98,1,2field,0
"604333,0:0000065090::",peninsula,Weeping Peninsula,Erdtree Avatar,300000,Tombsward Catacombs,98,1,2field,0
"604740,0:0000065100::",caelid,"Nokron, Eternal City",Putrid Avatar,301400,Minor Erdtree Catacombs,59,1,2field,0
"605140,0:0000065110::",dragonbarrow,Dragonbarrow,Putrid Avatar,311000,Dragonbarrow Cave,62,1,2field,0
"604453,0:0000065120::",outskirts,Deeproot Depths Boss,Draconic Tree Sentinel,63435300,Hermit Merchant's Shack,261,0,2field,428
"605057,0:0000065130::",snowfield,Consecrated Snowfield,Putrid Avatar,311200,Cave of the Forlorn,208,0,2field,0
"604537,0:0000065140::",limgrave,"Nokron, Eternal City Start",Tibia Mariner,120701,"Nokron, Eternal City",230,0,2field,577
"604937,0:0000065150::",caelid,Caelid,Night's Cavalry,64493700,Southern Aeonia Swamp Bank,115,1,2field,127
"603343,0:0000065160::",liurnia,Moonlight Altar,Erdtree Avatar,300300,Road's End Catacombs,102,1,2field,0
"605057,0:0000065170::",snowfield,Consecrated Snowfield,Putrid Avatar,311200,Cave of the Forlorn,208,0,2field,0
"603754,0:0000065180::",gelmir,Mt. Gelmir,Ulcerated Tree Spirit,310700,Seethewater Cave,74,1,2field,0
"604453,0:0000065190::",outskirts,Deeproot Depths Boss,Draconic Tree Sentinel,63435300,Hermit Merchant's Shack,319,0,2field,350
"605254,0:0000065200::",flamepeak,Flame Peak,[capstone] Fire Giant,65525400,Giants' Gravepost,62,1,4capstone,
"604239,0:0000065210::",stormhill,Stormhill,Bell Bearing Hunter,61423800,Warmaster's Shack,120,1,2field,122
"603642,0:0000065220::",liurnia,Moonlight Altar,Deathbird,62364300,Boilprawn Shack,129,1,2field,203
"603549,0:0000065230::",liurnia,Ainsel River Main,Night's Cavalry,62355003,Main Caria Manor Gate,139,1,2field,485
"604334,0:0000065240::",peninsula,Weeping Peninsula,Bloodhound Knight Darriwil,61433400,Church of Pilgrimage,137,1,2field,238
"603754,0:0000065250::",gelmir,Mt. Gelmir,Ulcerated Tree Spirit,310700,Seethewater Cave,74,1,2field,0
"605140,0:0000065260::",dragonbarrow,Dragonbarrow,Putrid Avatar,311000,Dragonbarrow Cave,62,1,2field,0
"603952,0:0000065270::",altus,Altus Plateau,Black Knife Assassin,320400,Old Altus Tunnel,207,0,2field,295
"604740,0:0000065280::",caelid,"Nokron, Eternal City",Putrid Avatar,301400,Minor Erdtree Catacombs,59,1,2field,0
"603848,0:0000065290::",bellum,Bellum Highway,Erdtree Avatar,62374800,Mausoleum Compound,178,0,2field,0
"603848,0:0000065300::",bellum,Bellum Highway,Erdtree Avatar,62374800,Mausoleum Compound,178,0,2field,0
"603848,0:0000065310::",bellum,Bellum Highway,Erdtree Avatar,62374800,Mausoleum Compound,178,0,2field,0
"614840,0:0000065400::",ellac,Mountaintops of the Giants,Death Rite Bird,68474101,Ellac River Downstream,144,1,2field,339
"100000,0:0000065610::",stormveil,,Godrick the Grafted,100005,Rampart Tower,38,1,1legacy,
"605136,0:0000065640::",caelid,Redmane Castle Post Radahn,[capstone] Redmane Castle Post Radahn,64513600,Redmane Castle Plaza,79,1,4capstone,
"110000,0:0000065660::",leyndell,,"Morgott, the Omen King",110008,"Fortified Manor, First Floor",56,1,1legacy,
"140000,0:0000065680::",academy,,Rennala 2,140003,Schoolhouse Classroom,54,1,1legacy,
"120200,0:0000065720::",siofra_nokron,Siofra River,Decaying Ekzykes,120208,Night's Sacred Ground,100,1,2field,405
"310300,0:0000066000::",limgrave_grovesidecave,,Beastman of Farum Azula,310300,Groveside Cave,49,1,1mini,
"100000,0:0000066010::",stormveil,,Godrick the Grafted,100006,Liftside Chamber,26,1,1legacy,
"100000,0:0000066020::",stormveil,,Godrick the Grafted,100006,Liftside Chamber,32,1,1legacy,
"603944,0:0000066080::",liurnia,Ainsel River,Tibia Mariner,62394400,Jarburg,87,1,2field,150
"603944,0:0000066090::",liurnia,Ainsel River,Tibia Mariner,62394400,Jarburg,29,1,2field,146
"603944,0:0000066100::",liurnia,Ainsel River,Tibia Mariner,62394400,Jarburg,75,1,2field,121
"603550,0:0000066110::",liurnia,Ruin-Strewn Precipice,Onyx Lord,62355002,Royal Moongazing Grounds,93,1,2field,371
"140000,0:0000066120::",academy_courtyard,,Rennala 2,140001,Debate Parlor,24,1,1legacy,
"110000,0:0000066130::",leyndell,,"Morgott, the Omen King",110004,Avenue Balcony,39,1,1legacy,
"301300,0:0000066140::",outskirts_sidetomb,,Grave Warden Duelist,301300,Auriza Side Tomb,100,1,1mini,
"301300,0:0000066150::",outskirts_sidetomb,,Grave Warden Duelist,301300,Auriza Side Tomb,103,1,1mini,
"301300,0:0000066160::",outskirts_sidetomb,,Grave Warden Duelist,301300,Auriza Side Tomb,97,1,1mini,
"301300,0:0000066170::",outskirts_sidetomb,,Grave Warden Duelist,301300,Auriza Side Tomb,79,1,1mini,
"604740,0:0000066190::",caelid,"Nokron, Eternal City",Putrid Avatar,301400,Minor Erdtree Catacombs,119,1,2field,79
"301800,0:0000066400::",mountaintops_catacombs,,Ulcerated Tree Spirit,301700,Giant-Conquering Hero's Grave,84,1,1mini,
"140000,0:0000066410::",academy,,Rennala 2,140001,Debate Parlor,64,1,1legacy,
"603742,0:0000066420::",liurnia,Moonlight Altar,Deathbird,62384100,Laskyar Ruins,106,1,2field,259
"603944,0:0000066430::",liurnia,Ainsel River,Tibia Mariner,62394400,Jarburg,74,1,2field,121
"603944,0:0000066440::",liurnia,Ainsel River,Tibia Mariner,62394400,Jarburg,47,1,2field,123
"301300,0:0000066470::",outskirts_sidetomb,,Grave Warden Duelist,301300,Auriza Side Tomb,153,1,1mini,
"301300,0:0000066480::",outskirts_sidetomb,,Grave Warden Duelist,301300,Auriza Side Tomb,110,1,1mini,
"350000,0:0000066490::",sewer,Subterranean Shunning-Grounds,"[capstone] Mohg, the Omen",350001,Underground Roadside,85,1,4capstone,
"160000,0:0000066700::",volcano_drawingroom,,"Rykard, Lord of Blasphemy",160002,Volcano Manor,27,1,1legacy,
"110000,0:0000066710::",leyndell,,"Morgott, the Omen King",110504,Queen's Bedchamber,115,1,1legacy,
"110000,0:0000066720::",leyndell,,"Morgott, the Omen King",110504,Queen's Bedchamber,182,0,1legacy,
"603651,0:0000066730::",altus,Ruin-Strewn Precipice,Onyx Lord,301200,Unsightly Catacombs,27,1,2field,396
"603652,0:0000066740::",altus,Ruin-Strewn Precipice,Onyx Lord,301200,Unsightly Catacombs,37,1,2field,413
"603951,0:0000066760::",altus,Altus Plateau,Black Knife Assassin,63395100,Altus Highway Junction,113,1,2field,285
"603954,0:0000066770::",altus,Altus Plateau,Wormface,63395400,Shaded Castle Ramparts,54,1,2field,496
"311800,0:0000066780::",altus_grotto,,Miranda the Blighted Bloom,311800,Perfumer's Grotto,125,1,1mini,
"604838,0:0000066790::",caelid,Caelid,Commander O'Neil,64483800,Aeonia Swamp Shore,129,1,2field,198
