kind	group	flag	ap_ids	name	status	region	maps	evidence	sites	graces	note	question
region	route-400106	400106	7770574	Raya Lucaria Academy :: Sellen's Bell Bearing - Table of Lost Grace, may be sweep-granted by Rennala, Queen of the Full Moon (m14_00) [f400106]	review	Raya Lucaria Academy	m14_00;m60_34_50	none buckets=-	m14_00:event:lot101060; m60_34_50:enemy:lot111000		No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400163	400163	7770578	Altus :: Nagakiba with Ash of War: Piercing Fang - m60_39_52 (region unconfirmed), may be sweep-granted by Black Knife Assassin (m60_40_52) [f400163]	review	Altus	m60_35_46;m60_39_52;m60_43_35;m60_44_38	volume:プレイ領域 モンサン前階段03 buckets=14000; none buckets=-; none buckets=-; none buckets=-; none buckets=-	m60_35_46:enemy:lot111600; m60_39_52:event:lot101630; m60_39_52:enemy:lot111600; m60_43_35:enemy:lot111600; m60_44_38:enemy:lot111600		No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400175	400175	7770580	Farum Azula :: Warrior Jar Shard - near Starscourge Radahn, may be sweep-granted by Godskin Duo (m13_00) [f400175]	review	Farum Azula	m13_00;m32_07;m60_35_53;m60_39_44;m60_43_39;m60_51_36;m60_52_38	interior-vol:プレイ領域 1300002 →1300019 下層と揃える buckets=13000; interior-vol:パーツ プレイ領域 3207003 buckets=-1;32070; tile-default buckets=63020; none buckets=-; none buckets=-; volume:プレイ領域 Compositeパーツ 6409010 A buckets=64000; tile-default buckets=64000	m13_00:enemy:lot111700; m32_07:enemy:lot111700; m60_35_53:enemy:lot111700; m60_39_44:enemy:lot111700; m60_43_39:enemy:lot111700; m60_51_36:enemy:lot111700; m60_52_38:enemy:lot111700	Starscourge Radahn via=	No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400260	400260	7773726	Caelid :: Glowstone - around Caelem Ruins [f400260]	review	Caelid					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400281	400281	7770587	Leyndell :: Scepter of the All-Knowing [f400281]	review	Leyndell					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400309	400309	7770597	Caelid :: [Sorcery] Death Lightning - m60_44_52 (region unconfirmed) [f400309]	review	Caelid					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400309	400309	7900023	Caelid :: Blackguard's Iron Mask - m60_44_52 (region unconfirmed) [f400309]	review	Caelid					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400309	400309	7900024	Caelid :: Blackguard's Bell Bearing - m60_44_52 (region unconfirmed) [f400309]	review	Caelid					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400320	400320	7770598	Haligtree :: Prosthesis-Wearer Heirloom [f400320]	review	Haligtree					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400357	400357	7770607	Leyndell :: Black Knifeprint [f400357]	review	Leyndell					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400391	400391	7773733	Roundtable Hold :: Carian Inverted Statue (region unconfirmed) [f400391]	review	Roundtable Hold					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400400	400400	7773735	Caelid :: Ancient Dragon Smithing Stone - around Smoldering Church [f400400]	review	Caelid					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400600	400600	7773742	Enir Ilim :: Golden Lion Shield - m60_49_40 (region unconfirmed) [f400600]	review	Enir Ilim					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400612	400612	7773745	Shadow Keep :: Furnace Visage - around Storehouse, First Floor, may be sweep-granted by Base Serpent Messmer (m21_01) [f400612]	review	Shadow Keep					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400645	400645	7770642	Enir Ilim :: Verdigris Greatshield - around Gate of Divinity, may be sweep-granted by Radahn, Consort of Miquella (m20_01) [f400645]	review	Enir Ilim	m61_45_41;m61_47_46;m61_48_40;m61_48_44;m61_49_46;m61_50_47		m61_45_41:event:lot116401; m61_47_46:event:lot116401; m61_48_40:event:lot116401; m61_48_44:event:lot116401; m61_49_46:event:lot116401; m61_50_47:event:lot116401		No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400645	400645	7900092	Enir Ilim :: Verdigris Helm - around Gate of Divinity, may be sweep-granted by Radahn, Consort of Miquella (m20_01) [f400645]	review	Enir Ilim	m61_45_41;m61_47_46;m61_48_40;m61_48_44;m61_49_46;m61_50_47		m61_45_41:event:lot116401; m61_47_46:event:lot116401; m61_48_40:event:lot116401; m61_48_44:event:lot116401; m61_49_46:event:lot116401; m61_50_47:event:lot116401		No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400645	400645	7900093	Enir Ilim :: Verdigris Armor - around Gate of Divinity, may be sweep-granted by Needle Knight Leda (m20_01) [f400645]	review	Enir Ilim	m61_45_41;m61_47_46;m61_48_40;m61_48_44;m61_49_46;m61_50_47		m61_45_41:event:lot116401; m61_47_46:event:lot116401; m61_48_40:event:lot116401; m61_48_44:event:lot116401; m61_49_46:event:lot116401; m61_50_47:event:lot116401		No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400645	400645	7900094	Enir Ilim :: Verdigris Gauntlets - around Gate of Divinity, may be sweep-granted by Radahn, Consort of Miquella (m20_01) [f400645]	review	Enir Ilim	m61_45_41;m61_47_46;m61_48_40;m61_48_44;m61_49_46;m61_50_47		m61_45_41:event:lot116401; m61_47_46:event:lot116401; m61_48_40:event:lot116401; m61_48_44:event:lot116401; m61_49_46:event:lot116401; m61_50_47:event:lot116401		No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400645	400645	7900095	Enir Ilim :: Verdigris Greaves - around Gate of Divinity, may be sweep-granted by Needle Knight Leda (m20_01) [f400645]	review	Enir Ilim	m61_45_41;m61_47_46;m61_48_40;m61_48_44;m61_49_46;m61_50_47		m61_45_41:event:lot116401; m61_47_46:event:lot116401; m61_48_40:event:lot116401; m61_48_44:event:lot116401; m61_49_46:event:lot116401; m61_50_47:event:lot116401		No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400722	400722	7770649	Gravesite :: Gourmet Scorpion Stew [f400722]	review	Gravesite					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400907	400907	7773772	Raya Lucaria Academy :: Isolated Merchant's Bell Bearing [2] - around South Raya Lucaria Gate [f400907]	fixed	Raya Lucaria Academy	m60_35_45	volume:プレイ領域 モンサン前階段05 buckets=14000	m60_35_45:enemy:lot119030		Merchant death drop shares the Academy-key pocket.	
region	route-520800	520800	7773851	Roundtable Hold :: Bloodfiend Hexer's Ashes (region unconfirmed) [f520800]	review	Roundtable Hold	m34_10;m43_00		m34_10:event:lot20800; m43_00:event:lot20800		No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	ground-m60_38_52	530385	7770712	Mt. Gelmir :: Deathroot - near Seethewater River (region unconfirmed) [f530385]	confirmed	Mt. Gelmir	m60_38_52		m60_38_52:event:lot30385	Seethewater River via=boss_arena	Retain the documented grace-ground/access ruling in gen_data.FLAG_REGION_OVERRIDE and region_overrides.tsv.	
region	ground-m60_38_52	530385	7900148	Mt. Gelmir :: Tibia's Summons - near Seethewater River (region unconfirmed) [f530385]	confirmed	Mt. Gelmir	m60_38_52		m60_38_52:event:lot30385	Seethewater River via=boss_arena	Retain the documented grace-ground/access ruling in gen_data.FLAG_REGION_OVERRIDE and region_overrides.tsv.	
region	ground-m61_47_44	530865	7773870	Gravesite :: Moonrithyll's Knight Sword - around Castle Front, may be sweep-granted by Ghostflame Dragon (m61_45_44) [f530865]	review	Gravesite	m61_47_44		m61_47_44:event:lot30865		No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	route-530950	530950	7773876	Roundtable Hold :: Blessing of Marika (region unconfirmed) [f530950]	review	Roundtable Hold					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	ground-m60_46_39	540118	7770722	Caelid :: Ash of War: Sacred Blade - around Gael Tunnel, may be sweep-granted by Putrid Avatar (m60_47_40) [f540118]	review	Caelid	m60_46_39		m60_46_39:event:lot40118		No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m60_51_54	540512	7773889	Mountaintops of the Giants :: Ash of War: Troll's Roar - m60_51_54 (region unconfirmed), may be sweep-granted by Roundtable Knight Vyke (m60_53_56) [f540512]	review	Mountaintops of the Giants	m60_51_54		m60_51_54:event:lot40512		No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m61_48_44	540902	7773894	Ensis :: Ash of War: Piercing Throw - around Castle-Lord's Chamber, may be sweep-granted by Rellana, Twin Moon Knight (m61_48_44) [f540902]	review	Ensis	m61_48_44		m61_48_44:event:lot40902		No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m61_48_44	540920	7774637	Ensis :: Somber Smithing Stone [8] - around Castle-Lord's Chamber (1), may be sweep-granted by Rellana, Twin Moon Knight (m61_48_44) [f540920]	review	Ensis	m61_48_44		m61_48_44:event:lot40920		No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m61_48_44	540922	7774638	Ensis :: Somber Smithing Stone [8] - around Castle-Lord's Chamber (2), may be sweep-granted by Rellana, Twin Moon Knight (m61_48_44) [f540922]	review	Ensis	m61_48_44		m61_48_44:event:lot40922		No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	route-580100	580100	7773901	"Belurat :: ""Incursion"" Painting [f580100]"	review	Belurat					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-580600	580600	7770809	Belurat :: Message from Leda - near Scaduview Cross, may be sweep-granted by Divine Beast Dancing Lion (m20_00) [f580600]	confirmed	Belurat	m20_00;m21_01;m22_00;m61_45_42;m61_46_42;m61_46_47;m61_47_44;m61_48_37;m61_48_43;m61_48_45;m61_49_44;m61_50_43	interior-map buckets=20000; interior-map buckets=21010; interior-map buckets=22000; none buckets=-; none buckets=-; tile-default buckets=69400; tile-default buckets=69400; tile-default buckets=68100;68200; tile-default buckets=68100;68200; none buckets=-; none buckets=-; tile-default buckets=69000; none buckets=-; volume:プレイ領域 6900000 buckets=69000	m20_00:treasure:lot80600; m21_01:treasure:lot80600; m22_00:treasure:lot80600; m61_45_42:treasure:lot80600; m61_46_42:treasure:lot80600; m61_46_47:treasure:lot80600; m61_47_44:treasure:lot80600; m61_48_37:treasure:lot80600; m61_48_43:treasure:lot80600; m61_48_45:treasure:lot80600; m61_49_44:treasure:lot80600; m61_50_43:treasure:lot80600	Scaduview Cross via=	Explicit #1059 Belurat/Dancing Lion alternate-grant ruling; moving to another NPC placement would erase the ruled route.	
region	route-10007452	10007452	7770858	Roundtable Hold :: Crimson Hood - around Table of Lost Grace [f10007452]	review	Roundtable Hold					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	ground-m11_00	11007195	7770949	Leyndell :: Somber Smithing Stone [6] - around East Capital Rampart (2), may be sweep-granted by Godfrey, First Elden Lord (m11_00) [f11007195]	review	Leyndell	m11_00		m11_00:event:lot11000195		No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m14_00	14007920	7771548	Raya Lucaria Academy :: [Sorcery] Terra Magica - near Raya Lucaria Grand Library, may be sweep-granted by Red Wolf of Radagon (m14_00) [f14007920]	review	Raya Lucaria Academy	m14_00	interior-map buckets=14000	m14_00:treasure:lot14000920	Raya Lucaria Grand Library via=	No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m35_00	35007030	7772350	Leyndell :: Crimson Amber Medallion +2 - near Underground Roadside, may be sweep-granted by Mohg, the Omen (m35_00) [f35007030]	review	Leyndell	m35_00	interior-map buckets=35000	m35_00:treasure:lot35000030	Underground Roadside via=	No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m60_35_45	1035457000	7772547	Raya Lucaria Academy :: Celestial Dew - near South Raya Lucaria Gate, may be sweep-granted by Red Wolf of Radagon (m14_00) [f1035457000]	confirmed	Raya Lucaria Academy	m60_35_45	volume:プレイ領域 モンサン前階段06 buckets=14000	m60_35_45:treasure:lot1035450000	South Raya Lucaria Gate via=	All available placement maps covered by exact point-in-volume rows agreeing with the current region.	
region	ground-m60_35_45	1035457030	7774130	Raya Lucaria Academy :: Strip of White Flesh - near South Raya Lucaria Gate [f1035457030]	confirmed	Raya Lucaria Academy	m60_35_45	volume:プレイ領域 モンサン前階段04 buckets=14000	m60_35_45:treasure:lot1035450030	South Raya Lucaria Gate via=	All available placement maps covered by exact point-in-volume rows agreeing with the current region.	
region	ground-m60_35_45	1035457100	7772548	Raya Lucaria Academy :: Meeting Place Map - near South Raya Lucaria Gate, may be sweep-granted by Rennala, Queen of the Full Moon (m14_00) [f1035457100]	confirmed	Raya Lucaria Academy	m60_35_45	seam:プレイ領域 モンサン前階段06@5.3m buckets=14000	m60_35_45:treasure:lot1035450100	South Raya Lucaria Gate via=	Retain the documented grace-ground/access ruling in gen_data.FLAG_REGION_OVERRIDE and region_overrides.tsv.	
region	ground-m60_35_46	1035467700	7772549	Raya Lucaria Academy :: Ash of War: Raptor of the Mists - around Main Academy Gate, may be sweep-granted by Red Wolf of Radagon (m14_00) [f1035467700]	review	Raya Lucaria Academy	m60_35_46		m60_35_46:event:lot1035460700		No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m60_36_51	1036517000	7774198	Liurnia :: Golden Rune [5] - near Craftsman's Shack (region unconfirmed), may be sweep-granted by Royal Knight Loretta (m60_35_50) [f1036517000]	review	Liurnia	m60_36_51	none buckets=-	m60_36_51:treasure:lot1036510000	Craftsman's Shack via=	No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m60_36_51	1036517700	7774199	Liurnia :: Omenkiller Robe - m60_36_51 (region unconfirmed), may be sweep-granted by Onyx Lord (m60_36_50) [f1036517700]	review	Liurnia	m60_36_51	none buckets=-	m60_36_51:enemy:lot482000500		No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m60_36_51	1036517700	7900234	Liurnia :: Omenkiller Long Gloves - m60_36_51 (region unconfirmed), may be sweep-granted by Royal Knight Loretta (m60_35_50) [f1036517700]	review	Liurnia	m60_36_51	none buckets=-	m60_36_51:enemy:lot482000500		No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m60_36_51	1036517700	7900235	Liurnia :: Omenkiller Boots - m60_36_51 (region unconfirmed), may be sweep-granted by Onyx Lord (m60_36_50) [f1036517700]	review	Liurnia	m60_36_51	none buckets=-	m60_36_51:enemy:lot482000500		No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m60_36_52	1036527000	7772584	Mt. Gelmir :: Smithing Stone [6] - near Craftsman's Shack, may be sweep-granted by Magma Wyrm (m60_35_53) [f1036527000]	confirmed	Mt. Gelmir	m60_36_52	volume:プレイエリア上書き領域 ゲルミア火山 パーツ２ buckets=63020	m60_36_52:treasure:lot1036520000	Craftsman's Shack via=	All available placement maps covered by exact point-in-volume rows agreeing with the current region.	
region	ground-m60_36_52	1036527010	7772585	Mt. Gelmir :: Perfumer's Talisman - near Craftsman's Shack, may be sweep-granted by Demi-Human Queen Maggie (m60_37_53) [f1036527010]	review	Mt. Gelmir	m60_36_52	none buckets=-	m60_36_52:treasure:lot1036520010	Craftsman's Shack via=	No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m60_36_52	1036527020	7772586	Mt. Gelmir :: Budding Cave Moss - near Craftsman's Shack, may be sweep-granted by Magma Wyrm (m60_35_53) [f1036527020]	review	Mt. Gelmir	m60_36_52	none buckets=-	m60_36_52:treasure:lot1036520020	Craftsman's Shack via=	No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m60_36_52	1036527030	7772587	Mt. Gelmir :: Nascent Butterfly - near Craftsman's Shack, may be sweep-granted by Demi-Human Queen Maggie (m60_37_53) [f1036527030]	review	Mt. Gelmir	m60_36_52	none buckets=-	m60_36_52:treasure:lot1036520030	Craftsman's Shack via=	No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m60_36_52	1036527040	7772588	Mt. Gelmir :: Gravel Stone - near Craftsman's Shack, may be sweep-granted by Magma Wyrm (m60_35_53) [f1036527040]	confirmed	Mt. Gelmir	m60_36_52	volume:プレイエリア上書き領域 ゲルミア火山 パーツ３ buckets=63020	m60_36_52:treasure:lot1036520040	Craftsman's Shack via=	All available placement maps covered by exact point-in-volume rows agreeing with the current region.	
region	ground-m60_36_52	1036527050	7772589	Mt. Gelmir :: [Sorcery] Roiling Magma - near Craftsman's Shack, may be sweep-granted by Demi-Human Queen Maggie (m60_37_53) [f1036527050]	review	Mt. Gelmir	m60_36_52	seam:プレイエリア上書き領域 ゲルミア火山 パーツ２@3.5m buckets=63020	m60_36_52:treasure:lot1036520050	Craftsman's Shack via=	No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m60_36_52	1036527060	7772590	Mt. Gelmir :: Pulley Crossbow - near Craftsman's Shack, may be sweep-granted by Magma Wyrm (m60_35_53) [f1036527060]	confirmed	Mt. Gelmir	m60_36_52	volume:プレイエリア上書き領域 ゲルミア火山 パーツ４ buckets=63020	m60_36_52:treasure:lot1036520060	Craftsman's Shack via=	All available placement maps covered by exact point-in-volume rows agreeing with the current region.	
