evidence_id	claim_id	source_id	stance	value	citation	method	independence_notes	valid_from	valid_to	notes
game:emevd:m60_41_38_00:90005750:f400191:gate-3709:access	check:7770583/access	game:emevd-lot-gates:m60_41_38_00:b27c77f763bf9fdce66ac482282732b86f282d1eb87355f4d57923ec43af045d	supports	"{""conditions"":[{""flag"":3708,""type"":""flag""},{""flag"":3709,""type"":""flag""},{""flag"":1041389414,""type"":""flag""}],""type"":""any""}"	greenfield/lot_gates.tsv:74 check_flag=400191 gate_flag=3709; m60_41_38_00.emevd.dcx.js event=90005750 commonarg/WaitFor $InitializeCommonEvent(90005750) arg5 m11_10_00_00	tools/build_v060_current_evidence.py:stormhill_waitfor_access	One of three OR arms in the same EMEVD common-event family; the f400191 association is joined through ItemLotParam/flag_lots and is not independent detection evidence.	1.17		Positive WaitFor prerequisite; separate call sites form one any group.
game:param:ItemLotParam_map:10000005:getItemFlagId:check-7770811	check:7770811/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007005,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1186 table=map lot=10000005 getItemFlagId=10007005	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000015:getItemFlagId:check-7770812	check:7770812/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007015,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1187 table=map lot=10000015 getItemFlagId=10007015	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000025:getItemFlagId:check-7770813	check:7770813/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007025,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1188 table=map lot=10000025 getItemFlagId=10007025	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000030:getItemFlagId:check-7770814	check:7770814/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007030,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1189 table=map lot=10000030 getItemFlagId=10007030	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000035:getItemFlagId:check-7770815	check:7770815/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007035,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1190 table=map lot=10000035 getItemFlagId=10007035	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000040:getItemFlagId:check-7770816	check:7770816/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007040,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1191 table=map lot=10000040 getItemFlagId=10007040	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000050:getItemFlagId:check-7770817	check:7770817/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007050,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1192 table=map lot=10000050 getItemFlagId=10007050	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000060:getItemFlagId:check-7770818	check:7770818/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007060,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1193 table=map lot=10000060 getItemFlagId=10007060	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000080:getItemFlagId:check-7770819	check:7770819/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007080,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1194 table=map lot=10000080 getItemFlagId=10007080	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000090:getItemFlagId:check-7770821	check:7770821/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007090,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1200 table=map lot=10000090 getItemFlagId=10007090	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000100:getItemFlagId:check-7770822	check:7770822/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007100,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1201 table=map lot=10000100 getItemFlagId=10007100	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000110:getItemFlagId:check-7770823	check:7770823/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007110,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1202 table=map lot=10000110 getItemFlagId=10007110	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000120:getItemFlagId:check-7770824	check:7770824/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007120,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1203 table=map lot=10000120 getItemFlagId=10007120	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000130:getItemFlagId:check-7770825	check:7770825/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007130,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1204 table=map lot=10000130 getItemFlagId=10007130	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000140:getItemFlagId:check-7770826	check:7770826/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007140,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1205 table=map lot=10000140 getItemFlagId=10007140	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000150:getItemFlagId:check-7770827	check:7770827/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007150,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1206 table=map lot=10000150 getItemFlagId=10007150	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000160:getItemFlagId:check-7770828	check:7770828/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007160,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1207 table=map lot=10000160 getItemFlagId=10007160	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000170:getItemFlagId:check-7770829	check:7770829/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007170,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1208 table=map lot=10000170 getItemFlagId=10007170	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000180:getItemFlagId:check-7770830	check:7770830/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007180,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1209 table=map lot=10000180 getItemFlagId=10007180	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000190:getItemFlagId:check-7770831	check:7770831/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007190,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1210 table=map lot=10000190 getItemFlagId=10007190	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000200:getItemFlagId:check-7770833	check:7770833/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007200,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1212 table=map lot=10000200 getItemFlagId=10007200	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000210:getItemFlagId:check-7770834	check:7770834/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007210,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1213 table=map lot=10000210 getItemFlagId=10007210	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000220:getItemFlagId:check-7770835	check:7770835/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007220,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1214 table=map lot=10000220 getItemFlagId=10007220	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000230:getItemFlagId:check-7770836	check:7770836/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007230,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1215 table=map lot=10000230 getItemFlagId=10007230	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000240:getItemFlagId:check-7770837	check:7770837/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007240,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1216 table=map lot=10000240 getItemFlagId=10007240	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000250:getItemFlagId:check-7770838	check:7770838/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007250,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1217 table=map lot=10000250 getItemFlagId=10007250	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000260:getItemFlagId:check-7770839	check:7770839/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007260,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1218 table=map lot=10000260 getItemFlagId=10007260	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000270:getItemFlagId:check-7770840	check:7770840/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007270,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1219 table=map lot=10000270 getItemFlagId=10007270	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000280:getItemFlagId:check-7770841	check:7770841/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007280,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1220 table=map lot=10000280 getItemFlagId=10007280	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000290:getItemFlagId:check-7770842	check:7770842/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007290,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1221 table=map lot=10000290 getItemFlagId=10007290	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000300:getItemFlagId:check-7770844	check:7770844/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007300,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1223 table=map lot=10000300 getItemFlagId=10007300	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000310:getItemFlagId:check-7770845	check:7770845/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007310,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1224 table=map lot=10000310 getItemFlagId=10007310	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000320:getItemFlagId:check-7770846	check:7770846/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007320,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1225 table=map lot=10000320 getItemFlagId=10007320	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000330:getItemFlagId:check-7770847	check:7770847/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007330,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1226 table=map lot=10000330 getItemFlagId=10007330	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:10000340:getItemFlagId:check-7770848	check:7770848/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":10007340,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:1227 table=map lot=10000340 getItemFlagId=10007340	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
