check_id	confidence	access_status	external_family_count	external_families	identity_region_lead_ids	basis	limitations
7770010	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770011	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	eldenpedia-page-8336-revision-31356-check-7770011;redmaw-w2-44-check-7770011	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770012	trusted_identity_region	unknown	2	gameplay-guide:powerpyx;gameplay-guide:redmaw	powerpyx-limgrave-check-7770012;redmaw-w2-11-check-7770012	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770013	trusted_identity_region	unknown	3	gameplay-guide:powerpyx;gameplay-guide:redmaw;gameplay-wiki:eldenpedia	powerpyx-limgrave-check-7770013;redmaw-merchant-kale-m1-5-check-7770013;redmaw-w2-6-check-7770013	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770014	trusted_identity_region	unknown	2	gameplay-wiki:eldenpedia;gameplay-wiki:fextralife	eldenpedia-acquisition-page-1992-revision-82708-check-7770014;fextralife-acquisition-page-28073-revision-757224-check-7770014	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770015	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:fextralife	fextralife-page-21544-revision-757600-check-7770015;redmaw-w5-21-check-7770015	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770016	hold	unknown	1	gameplay-guide:redmaw	redmaw-w33-5-check-7770016	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770017	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770018	hold	unknown	1	gameplay-guide:redmaw	redmaw-w6-74-check-7770018	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770019	trusted_identity_region	unknown	2	gameplay-wiki:eldenpedia;gameplay-wiki:fextralife	eldenpedia-acquisition-page-6480-revision-100680-check-7770019;fextralife-acquisition-page-28314-revision-757197-check-7770019;fextralife-linked-place-page-28314-revision-757197-check-7770019	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770020	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770021	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770022	trusted_identity_region	unknown	3	gameplay-guide:redmaw;gameplay-wiki:eldenpedia;gameplay-wiki:fextralife	eldenpedia-acquisition-page-6480-revision-100680-check-7770022;eldenpedia-boss-page-2703-revision-96663-check-7770022;eldenpedia-page-3118-revision-12090-check-7770022;fextralife-acquisition-page-28314-revision-757197-check-7770022;fextralife-linked-place-page-28314-revision-757197-check-7770022;redmaw-w32-55-check-7770022	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770023	trusted_identity_region	unknown	2	gameplay-wiki:eldenpedia;gameplay-wiki:fextralife	eldenpedia-acquisition-page-6480-revision-100680-check-7770023;eldenpedia-page-10227-revision-96278-check-7770023;fextralife-acquisition-page-28314-revision-757197-check-7770023;fextralife-linked-place-page-28314-revision-757197-check-7770023	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770024	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-twin-maiden-husks-m9-4-check-7770024	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770025	hold	unknown	1	gameplay-wiki:fextralife	fextralife-acquisition-page-22142-revision-757218-check-7770025;fextralife-linked-place-page-22142-revision-757218-check-7770025	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770026	trusted_identity_region	unknown	2	gameplay-guide:powerpyx;gameplay-wiki:eldenpedia	eldenpedia-boss-page-1082-revision-100474-check-7770026;powerpyx-limgrave-check-7770026	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770027	trusted_identity_region	unknown	3	gameplay-guide:powerpyx;gameplay-guide:redmaw;gameplay-wiki:eldenpedia	eldenpedia-boss-page-13220-revision-100629-check-7770027;powerpyx-leyndell-check-7770027;redmaw-w35-100-check-7770027	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770028	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	eldenpedia-page-825-revision-3140-check-7770028;redmaw-w34-59-check-7770028	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770029	hold	unknown	1	gameplay-guide:redmaw	redmaw-w11-4-check-7770029	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770030	trusted_identity_region	unknown	3	gameplay-guide:redmaw;gameplay-wiki:eldenpedia;gameplay-wiki:fextralife	eldenpedia-page-14103-revision-52755-check-7770030;fextralife-page-28088-revision-757521-check-7770030;redmaw-w30-31-check-7770030	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770031	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:fextralife	fextralife-page-26241-revision-757499-check-7770031;redmaw-w6-43-check-7770031	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770032	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	eldenpedia-page-11480-revision-43190-check-7770032;redmaw-w19-20-check-7770032	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770033	hold	unknown	1	gameplay-guide:redmaw	redmaw-w34-55-check-7770033	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770034	hold	unknown	1	gameplay-guide:redmaw	redmaw-w19-102-check-7770034	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770035	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	eldenpedia-page-7535-revision-28371-check-7770035;redmaw-w32-3-check-7770035	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770036	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	eldenpedia-page-825-revision-3140-check-7770036;redmaw-w34-59-check-7770036	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770037	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:fextralife	fextralife-page-26264-revision-757502-check-7770037;redmaw-w40-62-check-7770037	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770038	hold	unknown	1	gameplay-guide:redmaw	redmaw-w6-11-check-7770038	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770039	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	eldenpedia-page-2393-revision-9278-check-7770039;redmaw-w30-17-check-7770039	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770040	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:fextralife	fextralife-page-26150-revision-757515-check-7770040;redmaw-w14-64-check-7770040	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770041	trusted_identity_region	unknown	3	gameplay-guide:powerpyx;gameplay-guide:redmaw;gameplay-wiki:fextralife	fextralife-page-21796-revision-757627-check-7770041;powerpyx-stormveil-check-7770041;redmaw-w8-54-check-7770041	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770042	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	eldenpedia-page-4327-revision-16802-check-7770042;redmaw-w21-14-check-7770042	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770043	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	eldenpedia-page-10913-revision-97244-check-7770043;redmaw-w35-84-check-7770043	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770044	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:fextralife	fextralife-page-29020-revision-757626-check-7770044;redmaw-w13-49-check-7770044	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770045	hold	unknown	1	gameplay-guide:redmaw	redmaw-w22-35-check-7770045	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770046	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770047	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770048	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-kale-m1-4-check-7770048	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770049	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-nomadic-north-limgrave-m21-3-check-7770049	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770050	trusted_identity_region	unknown	3	gameplay-guide:powerpyx;gameplay-guide:redmaw;gameplay-wiki:eldenpedia	powerpyx-weeping-check-7770050;redmaw-merchant-nomadic-weeping-peninsula-m22-4-check-7770050	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770051	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770052	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770053	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770054	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:fextralife	fextralife-acquisition-page-25928-revision-757144-check-7770054;redmaw-location-walkthrough-w15-28-check-7770054	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770055	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:fextralife	fextralife-acquisition-page-25928-revision-757144-check-7770055;redmaw-w13-48-check-7770055	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770056	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:fextralife	fextralife-acquisition-page-25928-revision-757144-check-7770056;redmaw-w35-46-check-7770056	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770057	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770058	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770059	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770060	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770061	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-nomadic-south-caelid-m28-1-check-7770061	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770062	hold	unknown	1	gameplay-guide:redmaw	redmaw-w13-27-check-7770062	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770063	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770064	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770065	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-pidia-m15-4-check-7770065	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770066	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-isolated-dragonbarrow-m29-4-check-7770066	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770067	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770068	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770069	hold	unknown	1	gameplay-wiki:eldenpedia	eldenpedia-page-5397-revision-20687-check-7770069	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770070	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770071	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770072	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770073	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-hermit-capital-outskirts-m32-4-check-7770073	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770074	trusted_identity_region	unknown	2	gameplay-wiki:eldenpedia;gameplay-wiki:fextralife	eldenpedia-acquisition-page-4334-revision-98643-check-7770074;fextralife-acquisition-page-25470-revision-757201-check-7770074	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770075	trusted_identity_region	unknown	2	gameplay-wiki:eldenpedia;gameplay-wiki:fextralife	eldenpedia-acquisition-page-4334-revision-98643-check-7770075;eldenpedia-repeated-page-565-revision-101157-check-7770075;fextralife-acquisition-page-25470-revision-757201-check-7770075;fextralife-linked-place-page-25470-revision-757201-check-7770075	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770076	hold	unknown	1	gameplay-wiki:eldenpedia	eldenpedia-page-13945-revision-52141-check-7770076	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770077	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770078	trusted_identity_region	unknown	2	gameplay-wiki:eldenpedia;gameplay-wiki:fextralife	eldenpedia-acquisition-page-2741-revision-99660-check-7770078;fextralife-acquisition-page-26452-revision-757169-check-7770078;fextralife-linked-place-page-26452-revision-757169-check-7770078	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770079	trusted_identity_region	unknown	2	gameplay-wiki:eldenpedia;gameplay-wiki:fextralife	eldenpedia-acquisition-page-2741-revision-99660-check-7770079;fextralife-acquisition-page-26452-revision-757169-check-7770079;fextralife-linked-place-page-26452-revision-757169-check-7770079	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770080	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770081	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-kale-m1-6-check-7770081	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770082	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-nomadic-north-limgrave-m21-4-check-7770082	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770083	hold	unknown	1	gameplay-guide:redmaw	redmaw-w4-4-check-7770083	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770084	hold	unknown	1	gameplay-guide:redmaw	redmaw-w8-62-check-7770084	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770085	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770086	hold	unknown	1	gameplay-guide:redmaw	redmaw-w10-32-check-7770086	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770087	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	eldenpedia-page-1259-revision-4984-check-7770087;redmaw-w30-32-check-7770087	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770088	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-nomadic-north-liurnia-m25-6-check-7770088	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770089	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770090	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-abandoned-merchant-m35-5-check-7770090	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770091	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-kale-m1-7-check-7770091	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770092	hold	unknown	1	gameplay-guide:redmaw	redmaw-w33-36-check-7770092	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770093	hold	unknown	1	gameplay-guide:redmaw	redmaw-w33-84-check-7770093	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770094	hold	unknown	1	gameplay-guide:redmaw	redmaw-w4-15-check-7770094	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770095	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-nomadic-west-limgrave-m19-5-check-7770095	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770096	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-nomadic-south-liurnia-m24-4-check-7770096	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770097	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-nomadic-mt-gelmir-m31-2-check-7770097	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770098	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	eldenpedia-page-5744-revision-21867-check-7770098;redmaw-w32-38-check-7770098	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770099	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	eldenpedia-page-4327-revision-16802-check-7770099;redmaw-w21-8-check-7770099	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770100	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-abandoned-merchant-m35-6-check-7770100	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770101	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-nomadic-east-limgrave-m20-8-check-7770101	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770102	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-hermit-ainsel-river-m34-5-check-7770102	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770103	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770104	hold	unknown	1	gameplay-guide:redmaw	redmaw-w21-6-check-7770104	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770105	hold	unknown	1	gameplay-guide:redmaw	redmaw-w12-60-check-7770105	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770106	hold	unknown	1	gameplay-guide:redmaw	redmaw-w3-10-check-7770106	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770107	hold	unknown	1	gameplay-guide:redmaw	redmaw-w13-24-check-7770107	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770108	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	eldenpedia-page-5161-revision-19798-check-7770108;redmaw-w6-34-check-7770108	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770109	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770110	hold	unknown	1	gameplay-guide:redmaw	redmaw-w3-16-check-7770110	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770111	hold	unknown	1	gameplay-guide:redmaw	redmaw-w15-6-check-7770111	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770112	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-pidia-m15-7-check-7770112	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770113	hold	unknown	1	gameplay-guide:redmaw	redmaw-w14-31-check-7770113	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770114	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770115	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-kale-m1-8-check-7770115	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770116	hold	unknown	1	gameplay-guide:redmaw	redmaw-w22-66-check-7770116	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770117	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	eldenpedia-page-10560-revision-39666-check-7770117;redmaw-w34-7-check-7770117	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770118	hold	unknown	1	gameplay-wiki:eldenpedia	eldenpedia-page-13509-revision-50662-check-7770118	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770119	hold	unknown	1	gameplay-guide:redmaw	redmaw-w2-73-check-7770119	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770120	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	redmaw-merchant-nomadic-east-limgrave-m20-7-check-7770120	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770121	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770122	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	eldenpedia-page-3438-revision-13564-check-7770122;redmaw-w29-24-check-7770122	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
