check_id	category	region	item_name	flag	map_id	review_status	external_family_count	external_families	next_evidence
7772210	unique_dungeon_pickup	Altus	Golden Great Arrow	31197110	m31_19	audited_one_family	1	gameplay-wiki:eldenpedia	second_independent_identity_region_source
7772053	unique_dungeon_pickup	Altus	Leyndell Soldier Ashes	30087020	m30_08	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7772051	unique_dungeon_pickup	Altus	Lightning Scorpion Charm	30077600	m30_07	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7772343	unique_dungeon_pickup	Altus	Official's Attire	34147010	m34_14	remaining_unreviewed	0		first_independent_identity_region_source
7770123	unique_dungeon_pickup	Altus	Perfumer's Cookbook [3]	67860	m30_13	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7772081	unique_dungeon_pickup	Altus	"Prattling Pate ""Apologies"""	30127030	m30_12	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7772056	unique_dungeon_pickup	Altus	"Prattling Pate ""Let's get to it"""	30087050	m30_08	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7772209	unique_dungeon_pickup	Altus	Raptor Talons	31197100	m31_19	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7772211	unique_dungeon_pickup	Altus	Raptor's Black Feathers	31197120	m31_19	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7772212	unique_dungeon_pickup	Altus	Skeletal Mask	31197130	m31_19	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7772337	unique_dungeon_pickup	Altus	Smithing-Stone Miner's Bell Bearing [2]	34127900	m34_12	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7900207	unique_dungeon_pickup	Altus	Tree Sentinel Armor	30107100	m30_10	remaining_unreviewed	0		first_independent_identity_region_source
7900208	unique_dungeon_pickup	Altus	Tree Sentinel Gauntlets	30107100	m30_10	remaining_unreviewed	0		first_independent_identity_region_source
7900209	unique_dungeon_pickup	Altus	Tree Sentinel Greaves	30107100	m30_10	remaining_unreviewed	0		first_independent_identity_region_source
7900206	unique_dungeon_pickup	Altus	Tree Sentinel Helm	30107100	m30_10	remaining_unreviewed	0		first_independent_identity_region_source
7772270	unique_dungeon_pickup	Altus	Troll's Hammer	32047050	m32_04	trusted	3	gameplay-guide:redmaw;gameplay-wiki:eldenpedia;gameplay-wiki:fextralife	none_identity_region_trusted
7772075	unique_dungeon_pickup	Altus	Vulgar Militia Ashes	30107080	m30_10	audited_one_family	1	gameplay-wiki:eldenpedia	second_independent_identity_region_source
7772080	unique_dungeon_pickup	Altus	Winged Misbegotten Ashes	30127010	m30_12	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7771032	unique_dungeon_pickup	Ashen Capital	Erdtree Heal	11057000	m11_05	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7771037	unique_dungeon_pickup	Ashen Capital	Erdtree's Favor +2	11057100	m11_05	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7900058	unique_dungeon_pickup	Ashen Capital	Gold Bracelets	400500	m11_05	remaining_unreviewed	0		first_independent_identity_region_source
7900059	unique_dungeon_pickup	Ashen Capital	Gold Waistwrap	400500	m11_05	remaining_unreviewed	0		first_independent_identity_region_source
7770627	unique_dungeon_pickup	Ashen Capital	Goldmask's Rags	400500	m11_05	remaining_unreviewed	0		first_independent_identity_region_source
7770008	unique_dungeon_pickup	Ashen Capital	Mending Rune of Perfect Order	9500	m11_05	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7771770	unique_dungeon_pickup	Belurat	Ash of War: Shriek of Sorrow	20007410	m20_00	trusted	2	gameplay-guide:game8;gameplay-wiki:fextralife	none_identity_region_trusted
7771789	unique_dungeon_pickup	Belurat	Bone Bow	20007600	m20_00	trusted	2	gameplay-guide:game8;gameplay-wiki:fextralife	none_identity_region_trusted
7770645	unique_dungeon_pickup	Belurat	Crusade Insignia	400694	m20_00	trusted	2	gameplay-guide:game8;gameplay-wiki:fextralife	none_identity_region_trusted
7771809	unique_dungeon_pickup	Belurat	Divine Beast Head	20007810	m20_00	trusted	2	gameplay-guide:game8;gameplay-guide:powerpyx	none_identity_region_trusted
7771792	unique_dungeon_pickup	Belurat	Dried Bouquet	20007630	m20_00	trusted	2	gameplay-guide:game8;gameplay-wiki:fextralife	none_identity_region_trusted
7771762	unique_dungeon_pickup	Belurat	Euporia	20007330	m20_00	audited_one_family	1	gameplay-wiki:fextralife	second_independent_identity_region_source
7771814	unique_dungeon_pickup	Belurat	Horned Warrior's Sword	20007993	m20_00	audited_one_family	1	gameplay-wiki:fextralife	second_independent_identity_region_source
7771813	unique_dungeon_pickup	Belurat	Immunizing Horn Charm +2	20007991	m20_00	remaining_unreviewed	0		first_independent_identity_region_source
7770810	unique_dungeon_pickup	Belurat	Message from Leda	580600	m20_00	remaining_unreviewed	0		first_independent_identity_region_source
7771759	unique_dungeon_pickup	Belurat	Poisoned Hand	20007300	m20_00	trusted	2	gameplay-guide:game8;gameplay-wiki:fextralife	none_identity_region_trusted
7770647	unique_dungeon_pickup	Belurat	Scorpion Stew	400720	m20_00	remaining_unreviewed	0		first_independent_identity_region_source
7771811	unique_dungeon_pickup	Belurat	Tower of Shadow Message	20007830	m20_00	audited_one_family	1	gameplay-wiki:fextralife	second_independent_identity_region_source
7770648	unique_dungeon_pickup	Belurat	Watchful Spirit	400721	m20_00	trusted	2	gameplay-guide:game8;gameplay-wiki:fextralife	none_identity_region_trusted
7772159	unique_dungeon_pickup	Caelid	Bull-Goat's Talisman	31107050	m31_10	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7772093	unique_dungeon_pickup	Caelid	Collapsing Stars	30167040	m30_16	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7772280	unique_dungeon_pickup	Caelid	Cross-Naginata	32077020	m32_07	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7772169	unique_dungeon_pickup	Caelid	Crystal Spear	31117200	m31_11	audited_one_family	1	gameplay-wiki:eldenpedia	second_independent_identity_region_source
7772170	unique_dungeon_pickup	Caelid	Crystalian Ashes	31117220	m31_11	audited_one_family	1	gameplay-wiki:eldenpedia	second_independent_identity_region_source
7772292	unique_dungeon_pickup	Caelid	Faithful's Canvas Talisman	32087120	m32_08	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7772341	unique_dungeon_pickup	Caelid	Godslayer's Greatsword	34137900	m34_13	trusted	3	gameplay-guide:redmaw;gameplay-wiki:eldenpedia;gameplay-wiki:fextralife	none_identity_region_trusted
7772085	unique_dungeon_pickup	Caelid	Imp Head (Wolf)	30147000	m30_14	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7770621	unique_dungeon_pickup	Caelid	Lusat's Glintstone Crown	400431	m31_11	remaining_unreviewed	0		first_independent_identity_region_source
7900051	unique_dungeon_pickup	Caelid	Lusat's Manchettes	400431	m31_11	remaining_unreviewed	0		first_independent_identity_region_source
7900050	unique_dungeon_pickup	Caelid	Lusat's Robe	400431	m31_11	remaining_unreviewed	0		first_independent_identity_region_source
7772089	unique_dungeon_pickup	Caelid	Miranda Sprout Ashes	30157000	m30_15	trusted	3	gameplay-guide:redmaw;gameplay-wiki:eldenpedia;gameplay-wiki:fextralife	none_identity_region_trusted
7900052	unique_dungeon_pickup	Caelid	Old Sorcerer's Legwraps	400431	m31_11	remaining_unreviewed	0		first_independent_identity_region_source
7772233	unique_dungeon_pickup	Caelid	Pillory Shield	31217210	m31_21	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7772091	unique_dungeon_pickup	Caelid	Radahn Soldier Ashes	30167020	m30_16	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7772234	unique_dungeon_pickup	Caelid	Regalia of Eochaid	31217350	m31_21	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7772294	unique_dungeon_pickup	Caelid	Rock Blaster	32087910	m32_08	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7772217	unique_dungeon_pickup	Caelid	Serpent Bow	31207020	m31_20	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7773739	unique_dungeon_pickup	Caelid	Stars of Ruin	400430	m31_11	audited_one_family	1	gameplay-wiki:eldenpedia	second_independent_identity_region_source
7772216	unique_dungeon_pickup	Caelid	Venomous Fang	31207010	m31_20	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7772225	unique_dungeon_pickup	Caelid	Wakizashi	31217100	m31_21	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7774076	unique_dungeon_pickup	Cerulean	Chilling Perfume Bottle	41027100	m41_02	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7772448	unique_dungeon_pickup	Cerulean	Clarifying Horn Charm +2	41027210	m41_02	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7772450	unique_dungeon_pickup	Cerulean	Gaol Lower Level Key	41027320	m41_02	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7772446	unique_dungeon_pickup	Cerulean	Gaol Upper Level Key	41027000	m41_02	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7774079	unique_dungeon_pickup	Cerulean	Lamenting Visage	41027130	m41_02	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7772006	unique_dungeon_pickup	Cerulean	Mass of Putrescence	22007210	m22_00	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7772010	unique_dungeon_pickup	Cerulean	Multilayered Ring of Light	22007900	m22_00	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7774075	unique_dungeon_pickup	Cerulean	"Prattling Pate ""Lamentation"""	41027010	m41_02	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7770166	unique_dungeon_pickup	Cerulean	St. Trina Disciple's Cookbook [3]	68840	m22_00	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
7770652	unique_dungeon_pickup	Cerulean	St. Trina's Blossom	400740	m22_00	remaining_unreviewed	0		first_independent_identity_region_source
7770639	unique_dungeon_pickup	Cerulean	St. Trina's Smile	400632	m22_00	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7772002	unique_dungeon_pickup	Cerulean	Velvet Sword of St. Trina	22007150	m22_00	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7772109	unique_dungeon_pickup	Consecrated Snowfield	Imp Head (Elder)	30197040	m30_19	trusted	3	gameplay-guide:redmaw;gameplay-wiki:eldenpedia;gameplay-wiki:fextralife	none_identity_region_trusted
7773985	unique_dungeon_pickup	Consecrated Snowfield	Spelldrake Talisman +2	30207060	m30_20	audited_one_family	1	gameplay-wiki:eldenpedia	second_independent_identity_region_source
7770786	unique_dungeon_pickup	Deeproot Depths	Ash of War: Golden Land	540660	m12_03	trusted	2	gameplay-guide:redmaw;gameplay-wiki:fextralife	none_identity_region_trusted
7771259	unique_dungeon_pickup	Deeproot Depths	Ash of War: Vacuum Slice	12037140	m12_03	trusted	2	gameplay-guide:redmaw;gameplay-wiki:fextralife	none_identity_region_trusted
7900182	unique_dungeon_pickup	Deeproot Depths	Crucible Tree Armor	12037300	m12_03	audited_one_family	1	gameplay-wiki:fextralife	second_independent_identity_region_source
7771275	unique_dungeon_pickup	Deeproot Depths	Crucible Tree Helm	12037300	m12_03	audited_one_family	1	gameplay-wiki:fextralife	second_independent_identity_region_source
7771253	unique_dungeon_pickup	Deeproot Depths	Elden Stars	12037080	m12_03	trusted	3	gameplay-guide:powerpyx;gameplay-guide:redmaw;gameplay-wiki:fextralife	none_identity_region_trusted
7770603	unique_dungeon_pickup	Deeproot Depths	Fia's Hood	400339	m12_03	remaining_unreviewed	0		first_independent_identity_region_source
7900026	unique_dungeon_pickup	Deeproot Depths	Fia's Robe	400339	m12_03	remaining_unreviewed	0		first_independent_identity_region_source
7770604	unique_dungeon_pickup	Deeproot Depths	Inseparable Sword	400348	m12_03	trusted	2	gameplay-guide:powerpyx;gameplay-guide:redmaw	none_identity_region_trusted
7771297	unique_dungeon_pickup	Deeproot Depths	Mausoleum Soldier Ashes	12037520	m12_03	trusted	2	gameplay-guide:redmaw;gameplay-wiki:fextralife	none_identity_region_trusted
7770009	unique_dungeon_pickup	Deeproot Depths	Mending Rune of the Death-Prince	9502	m12_03	trusted	3	gameplay-guide:game8;gameplay-guide:powerpyx;gameplay-guide:redmaw	none_identity_region_trusted
7771309	unique_dungeon_pickup	Deeproot Depths	Prince of Death's Cyst	12037990	m12_03	trusted	2	gameplay-guide:redmaw;gameplay-wiki:fextralife	none_identity_region_trusted
7771263	unique_dungeon_pickup	Deeproot Depths	Prince of Death's Staff	12037180	m12_03	trusted	2	gameplay-guide:redmaw;gameplay-wiki:fextralife	none_identity_region_trusted
7771308	unique_dungeon_pickup	Deeproot Depths	Staff of the Avatar	12037960	m12_03	trusted	2	gameplay-guide:powerpyx;gameplay-guide:redmaw	none_identity_region_trusted
7900066	unique_dungeon_pickup	Enir Ilim	Braided Arm Wraps	400614	m20_01	remaining_unreviewed	0		first_independent_identity_region_source
7900065	unique_dungeon_pickup	Enir Ilim	Braided Cord Robe	400614	m20_01	remaining_unreviewed	0		first_independent_identity_region_source
7900064	unique_dungeon_pickup	Enir Ilim	Caterpillar Mask	400614	m20_01	remaining_unreviewed	0		first_independent_identity_region_source
7771883	unique_dungeon_pickup	Enir Ilim	Circlet of Light	20017981	m20_01	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7770651	unique_dungeon_pickup	Enir Ilim	Dane's Footwork	400732	m20_01	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7770633	unique_dungeon_pickup	Enir Ilim	Falx	400614	m20_01	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7900061	unique_dungeon_pickup	Enir Ilim	Freyja's Armor	400602	m20_01	remaining_unreviewed	0		first_independent_identity_region_source
7900062	unique_dungeon_pickup	Enir Ilim	Freyja's Gauntlets	400602	m20_01	remaining_unreviewed	0		first_independent_identity_region_source
7770632	unique_dungeon_pickup	Enir Ilim	Freyja's Greatsword	400602	m20_01	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7900063	unique_dungeon_pickup	Enir Ilim	Freyja's Greaves	400602	m20_01	remaining_unreviewed	0		first_independent_identity_region_source
7900060	unique_dungeon_pickup	Enir Ilim	Freyja's Helm	400602	m20_01	remaining_unreviewed	0		first_independent_identity_region_source
7900075	unique_dungeon_pickup	Enir Ilim	Furious Blade of Ansbach	400624	m20_01	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7771849	unique_dungeon_pickup	Enir Ilim	Golden Bolt	20017340	m20_01	remaining_unreviewed	0		first_independent_identity_region_source
7771865	unique_dungeon_pickup	Enir Ilim	Gravebird Helm	20017500	m20_01	trusted	3	gameplay-guide:eip;gameplay-guide:game8;gameplay-guide:redmaw	none_identity_region_trusted
7771857	unique_dungeon_pickup	Enir Ilim	Horned Warrior Ashes	20017420	m20_01	trusted	3	gameplay-guide:eip;gameplay-guide:game8;gameplay-guide:redmaw	none_identity_region_trusted
7771884	unique_dungeon_pickup	Enir Ilim	Horned Warrior's Greatsword	20017991	m20_01	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7771846	unique_dungeon_pickup	Enir Ilim	Inquisitor Ashes	20017310	m20_01	trusted	3	gameplay-guide:eip;gameplay-guide:game8;gameplay-guide:redmaw	none_identity_region_trusted
7770631	unique_dungeon_pickup	Enir Ilim	Leda's Armor	400598	m20_01	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7770669	unique_dungeon_pickup	Enir Ilim	Leda's Sword	510420	m20_01	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7770641	unique_dungeon_pickup	Enir Ilim	Moore's Bell Bearing	400644	m20_01	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7900074	unique_dungeon_pickup	Enir Ilim	Obsidian Lamina	400624	m20_01	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7900067	unique_dungeon_pickup	Enir Ilim	Soiled Loincloth	400614	m20_01	remaining_unreviewed	0		first_independent_identity_region_source
7771838	unique_dungeon_pickup	Enir Ilim	Spira	20017230	m20_01	trusted	3	gameplay-guide:eip;gameplay-guide:game8;gameplay-guide:redmaw	none_identity_region_trusted
7771863	unique_dungeon_pickup	Enir Ilim	Sunwarmth Stone	20017480	m20_01	remaining_unreviewed	0		first_independent_identity_region_source
7770640	unique_dungeon_pickup	Enir Ilim	Thiollier's Hidden Needle	400634	m20_01	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7900093	unique_dungeon_pickup	Enir Ilim	Verdigris Armor	400645	m20_01	remaining_unreviewed	0		first_independent_identity_region_source
7900094	unique_dungeon_pickup	Enir Ilim	Verdigris Gauntlets	400645	m20_01	remaining_unreviewed	0		first_independent_identity_region_source
7770642	unique_dungeon_pickup	Enir Ilim	Verdigris Greatshield	400645	m20_01	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7900095	unique_dungeon_pickup	Enir Ilim	Verdigris Greaves	400645	m20_01	remaining_unreviewed	0		first_independent_identity_region_source
7900092	unique_dungeon_pickup	Enir Ilim	Verdigris Helm	400645	m20_01	remaining_unreviewed	0		first_independent_identity_region_source
7900018	unique_dungeon_pickup	Farum Azula	Alexander's Innards	400174	m13_00	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7770132	unique_dungeon_pickup	Farum Azula	Ancient Dragon Apostle's Cookbook [4]	68020	m13_00	trusted	2	gameplay-guide:game8;gameplay-guide:redmaw	none_identity_region_trusted
7771416	unique_dungeon_pickup	Farum Azula	Ancient Dragon Prayerbook	13007120	m13_00	trusted	2	gameplay-guide:redmaw;gameplay-wiki:fextralife	none_identity_region_trusted
7771479	unique_dungeon_pickup	Farum Azula	Azula Beastman Ashes	13007890	m13_00	trusted	3	gameplay-guide:game8;gameplay-guide:redmaw;gameplay-wiki:fextralife	none_identity_region_trusted
7770594	unique_dungeon_pickup	Farum Azula	Blasphemous Claw	400292	m13_00	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7771468	unique_dungeon_pickup	Farum Azula	Boltdrake Talisman +2	13007760	m13_00	trusted	2	gameplay-guide:game8;gameplay-guide:redmaw	none_identity_region_trusted
7771483	unique_dungeon_pickup	Farum Azula	Dragon Towershield	13007940	m13_00	trusted	2	gameplay-guide:redmaw;gameplay-wiki:fextralife	none_identity_region_trusted
7771447	unique_dungeon_pickup	Farum Azula	Dragoncrest Shield Talisman +2	13007500	m13_00	trusted	2	gameplay-guide:game8;gameplay-guide:redmaw	none_identity_region_trusted
7900188	unique_dungeon_pickup	Farum Azula	Drake Knight Armor	13007920	m13_00	trusted	2	gameplay-guide:game8;gameplay-wiki:fextralife	none_identity_region_trusted
7900189	unique_dungeon_pickup	Farum Azula	Drake Knight Gauntlets	13007920	m13_00	trusted	2	gameplay-guide:game8;gameplay-wiki:fextralife	none_identity_region_trusted
7900190	unique_dungeon_pickup	Farum Azula	Drake Knight Greaves	13007920	m13_00	trusted	2	gameplay-guide:game8;gameplay-wiki:fextralife	none_identity_region_trusted
7771482	unique_dungeon_pickup	Farum Azula	Drake Knight Helm	13007920	m13_00	trusted	2	gameplay-guide:game8;gameplay-wiki:fextralife	none_identity_region_trusted
7771481	unique_dungeon_pickup	Farum Azula	Glovewort Picker's Bell Bearing [3]	13007910	m13_00	trusted	2	gameplay-guide:game8;gameplay-guide:redmaw	none_identity_region_trusted
7770793	unique_dungeon_pickup	Farum Azula	Golden Lightning Fortification	540772	m13_00	trusted	3	gameplay-guide:game8;gameplay-guide:redmaw;gameplay-wiki:fextralife	none_identity_region_trusted
7900191	unique_dungeon_pickup	Farum Azula	Malformed Dragon Armor	13007995	m13_00	trusted	2	gameplay-guide:game8;gameplay-wiki:eldenpedia	none_identity_region_trusted
7900192	unique_dungeon_pickup	Farum Azula	Malformed Dragon Gauntlets	13007995	m13_00	audited_one_family	1	gameplay-wiki:fextralife	second_independent_identity_region_source
7900193	unique_dungeon_pickup	Farum Azula	Malformed Dragon Greaves	13007995	m13_00	audited_one_family	1	gameplay-wiki:fextralife	second_independent_identity_region_source
7771489	unique_dungeon_pickup	Farum Azula	Malformed Dragon Helm	13007995	m13_00	audited_one_family	1	gameplay-wiki:fextralife	second_independent_identity_region_source
7771484	unique_dungeon_pickup	Farum Azula	Old Lord's Talisman	13007950	m13_00	trusted	3	gameplay-guide:game8;gameplay-guide:redmaw;gameplay-wiki:fextralife	none_identity_region_trusted
7771474	unique_dungeon_pickup	Farum Azula	Pearldrake Talisman	13007830	m13_00	audited_one_family	1	gameplay-guide:redmaw	second_independent_identity_region_source
7770579	unique_dungeon_pickup	Farum Azula	Shard of Alexander	400174	m13_00	trusted	2	gameplay-guide:game8;gameplay-guide:redmaw	none_identity_region_trusted
7771419	unique_dungeon_pickup	Farum Azula	Somberstone Miner's Bell Bearing [4]	13007150	m13_00	trusted	2	gameplay-guide:game8;gameplay-guide:redmaw	none_identity_region_trusted
7771470	unique_dungeon_pickup	Farum Azula	Somberstone Miner's Bell Bearing [5]	13007790	m13_00	trusted	2	gameplay-guide:game8;gameplay-guide:redmaw	none_identity_region_trusted
7770580	unique_dungeon_pickup	Farum Azula	Warrior Jar Shard	400175	m13_00	remaining_unreviewed	0		first_independent_identity_region_source
7770157	unique_dungeon_pickup	Gravesite	Ancient Dragon Knight's Cookbook [1]	68740	m40_00	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	none_identity_region_trusted
