param	ordinal	column	type
AssetEnvironmentGeometryParam	31	isLadder	UNKNOWN
AssetEnvironmentGeometryParam	32	isMoveObj	UNKNOWN
AssetEnvironmentGeometryParam	33	isSkydomeFlag	UNKNOWN
AssetEnvironmentGeometryParam	34	isAnimPauseOnRemoPlay	UNKNOWN
AssetEnvironmentGeometryParam	35	isBurn	UNKNOWN
AssetEnvironmentGeometryParam	36	isEnableRepick	UNKNOWN
AssetEnvironmentGeometryParam	37	isBreakOnPickUp	UNKNOWN
AssetEnvironmentGeometryParam	38	isBreakByHugeenemyCollide	UNKNOWN
AssetEnvironmentGeometryParam	39	navimeshFlag	UNKNOWN
AssetEnvironmentGeometryParam	40	burnBulletInterval	UNKNOWN
AssetEnvironmentGeometryParam	41	clothUpdateDist	UNKNOWN
AssetEnvironmentGeometryParam	42	lifeTime_forRuntimeCreate	UNKNOWN
AssetEnvironmentGeometryParam	43	contactSeId	UNKNOWN
AssetEnvironmentGeometryParam	44	repickAnimIdOffset	UNKNOWN
AssetEnvironmentGeometryParam	45	windEffectRate_0	UNKNOWN
AssetEnvironmentGeometryParam	46	windEffectRate_1	UNKNOWN
AssetEnvironmentGeometryParam	47	windEffectType_0	UNKNOWN
AssetEnvironmentGeometryParam	48	windEffectType_1	UNKNOWN
AssetEnvironmentGeometryParam	49	overrideMaterialId	UNKNOWN
AssetEnvironmentGeometryParam	50	autoCreateOffsetHeight	UNKNOWN
AssetEnvironmentGeometryParam	51	burnTime	UNKNOWN
AssetEnvironmentGeometryParam	52	burnBraekRate	UNKNOWN
AssetEnvironmentGeometryParam	53	burnSfxId	UNKNOWN
AssetEnvironmentGeometryParam	54	burnSfxId_1	UNKNOWN
AssetEnvironmentGeometryParam	55	burnSfxId_2	UNKNOWN
AssetEnvironmentGeometryParam	56	burnSfxId_3	UNKNOWN
AssetEnvironmentGeometryParam	57	burnSfxDelayTimeMin	UNKNOWN
AssetEnvironmentGeometryParam	58	burnSfxDelayTimeMin_1	UNKNOWN
AssetEnvironmentGeometryParam	59	burnSfxDelayTimeMin_2	UNKNOWN
AssetEnvironmentGeometryParam	60	burnSfxDelayTimeMin_3	UNKNOWN
AssetEnvironmentGeometryParam	61	burnSfxDelayTimeMax	UNKNOWN
AssetEnvironmentGeometryParam	62	burnSfxDelayTimeMax_1	UNKNOWN
AssetEnvironmentGeometryParam	63	burnSfxDelayTimeMax_2	UNKNOWN
AssetEnvironmentGeometryParam	64	burnSfxDelayTimeMax_3	UNKNOWN
AssetEnvironmentGeometryParam	65	burnBulletBehaviorId	UNKNOWN
AssetEnvironmentGeometryParam	66	burnBulletBehaviorId_1	UNKNOWN
AssetEnvironmentGeometryParam	67	burnBulletBehaviorId_2	UNKNOWN
AssetEnvironmentGeometryParam	68	burnBulletBehaviorId_3	UNKNOWN
AssetEnvironmentGeometryParam	69	burnBulletDelayTime	UNKNOWN
AssetEnvironmentGeometryParam	70	paintDecalTargetTextureSize	UNKNOWN
AssetEnvironmentGeometryParam	71	navimeshFlag_after	UNKNOWN
AssetEnvironmentGeometryParam	72	camNearBehaviorType	UNKNOWN
AssetEnvironmentGeometryParam	73	breakItemLotParamId	UNKNOWN
AssetEnvironmentGeometryParam	74	pickUpActionButtonParamId	UNKNOWN
AssetEnvironmentGeometryParam	75	pickUpItemLotParamId	UNKNOWN
AssetEnvironmentGeometryParam	76	autoDrawGroupBackFaceCheck	UNKNOWN
AssetEnvironmentGeometryParam	77	autoDrawGroupDepthWrite	UNKNOWN
AssetEnvironmentGeometryParam	78	autoDrawGroupShadowTest	UNKNOWN
AssetEnvironmentGeometryParam	79	debug_isHeightCheckEnable	UNKNOWN
AssetEnvironmentGeometryParam	80	hitCarverCancelAreaFlag	UNKNOWN
AssetEnvironmentGeometryParam	81	assetNavimeshNoCombine	UNKNOWN
AssetEnvironmentGeometryParam	82	navimeshFlagApply	UNKNOWN
AssetEnvironmentGeometryParam	83	navimeshFlagApply_after	UNKNOWN
AssetEnvironmentGeometryParam	84	autoDrawGroupPassPixelNum	UNKNOWN
AssetEnvironmentGeometryParam	85	pickUpReplacementEventFlag	UNKNOWN
AssetEnvironmentGeometryParam	86	pickUpReplacementAnimIdOffset	UNKNOWN
AssetEnvironmentGeometryParam	87	pickUpReplacementActionButtonParamId	UNKNOWN
AssetEnvironmentGeometryParam	88	pickUpReplacementItemLotParamId	UNKNOWN
AssetEnvironmentGeometryParam	89	slidingBulletHitType	UNKNOWN
AssetEnvironmentGeometryParam	90	isBushesForDamage	UNKNOWN
AssetEnvironmentGeometryParam	91	penetrationBulletType	UNKNOWN
AssetEnvironmentGeometryParam	92	unkR3	UNKNOWN
AssetEnvironmentGeometryParam	93	unkR4	UNKNOWN
AssetEnvironmentGeometryParam	94	soundBreakSECpId	UNKNOWN
AssetEnvironmentGeometryParam	95	debug_HeightCheckCapacityMin	UNKNOWN
AssetEnvironmentGeometryParam	96	debug_HeightCheckCapacityMax	UNKNOWN
AssetEnvironmentGeometryParam	97	repickActionButtonParamId	UNKNOWN
AssetEnvironmentGeometryParam	98	repickItemLotParamId	UNKNOWN
AssetEnvironmentGeometryParam	99	repickReplacementAnimIdOffset	UNKNOWN
AssetEnvironmentGeometryParam	100	repickReplacementActionButtonParamId	UNKNOWN
AssetEnvironmentGeometryParam	101	repickReplacementItemLotParamId	UNKNOWN
AssetEnvironmentGeometryParam	102	noGenerateCarver	UNKNOWN
AssetEnvironmentGeometryParam	103	noHitHugeAfterBreak	UNKNOWN
AssetEnvironmentGeometryParam	104	isEnabledBreakSync	UNKNOWN
AssetEnvironmentGeometryParam	105	isHiddenOnRepick	UNKNOWN
AssetEnvironmentGeometryParam	106	isCreateMultiPlayOnly	UNKNOWN
AssetEnvironmentGeometryParam	107	isDisableBulletHitSfx	UNKNOWN
AssetEnvironmentGeometryParam	108	isEnableSignPreBreak	UNKNOWN
AssetEnvironmentGeometryParam	109	isEnableSignPostBreak	UNKNOWN
AssetEnvironmentGeometryParam	110	unkR1	UNKNOWN
AssetEnvironmentGeometryParam	111	generateMultiForbiddenRegion	UNKNOWN
AssetEnvironmentGeometryParam	112	residentSeId0	UNKNOWN
AssetEnvironmentGeometryParam	113	residentSeId1	UNKNOWN
AssetEnvironmentGeometryParam	114	residentSeId2	UNKNOWN
AssetEnvironmentGeometryParam	115	residentSeId3	UNKNOWN
AssetEnvironmentGeometryParam	116	residentSeDmypolyId0	UNKNOWN
AssetEnvironmentGeometryParam	117	residentSeDmypolyId1	UNKNOWN
AssetEnvironmentGeometryParam	118	residentSeDmypolyId2	UNKNOWN
AssetEnvironmentGeometryParam	119	residentSeDmypolyId3	UNKNOWN
AssetEnvironmentGeometryParam	120	excludeActivateRatio_Xboxone_Grid	UNKNOWN
AssetEnvironmentGeometryParam	121	excludeActivateRatio_Xboxone_Legacy	UNKNOWN
AssetEnvironmentGeometryParam	122	excludeActivateRatio_PS4_Grid	UNKNOWN
AssetEnvironmentGeometryParam	123	excludeActivateRatio_PS4_Legacy	UNKNOWN
AssetEnvironmentGeometryParam	124	unknown_0x120	UNKNOWN
AssetEnvironmentGeometryParam	125	unknown_0x121	UNKNOWN
AssetEnvironmentGeometryParam	126	unknown_0x122	UNKNOWN
AssetEnvironmentGeometryParam	127	unknown_0x123	UNKNOWN
AssetEnvironmentGeometryParam	128	unknown_0x124	UNKNOWN
AssetEnvironmentGeometryParam	129	unknown_0x125	UNKNOWN
AssetEnvironmentGeometryParam	130	Reserve_0	UNKNOWN
AssetEnvironmentGeometryParam	131		UNKNOWN
AssetMaterialSfxParam	0	ID	UNKNOWN
AssetMaterialSfxParam	1	Name	UNKNOWN
AssetMaterialSfxParam	2	sfxId_00	UNKNOWN
AssetMaterialSfxParam	3	sfxId_01	UNKNOWN
AssetMaterialSfxParam	4	sfxId_02	UNKNOWN
AssetMaterialSfxParam	5	sfxId_03	UNKNOWN
AssetMaterialSfxParam	6	sfxId_04	UNKNOWN
AssetMaterialSfxParam	7	sfxId_05	UNKNOWN
AssetMaterialSfxParam	8	sfxId_06	UNKNOWN
AssetMaterialSfxParam	9	sfxId_07	UNKNOWN
AssetMaterialSfxParam	10	sfxId_08	UNKNOWN
AssetMaterialSfxParam	11	sfxId_09	UNKNOWN
AssetMaterialSfxParam	12	sfxId_10	UNKNOWN
AssetMaterialSfxParam	13	sfxId_11	UNKNOWN
AssetMaterialSfxParam	14	sfxId_12	UNKNOWN
AssetMaterialSfxParam	15	sfxId_13	UNKNOWN
AssetMaterialSfxParam	16	sfxId_14	UNKNOWN
AssetMaterialSfxParam	17	sfxId_15	UNKNOWN
AssetMaterialSfxParam	18	sfxId_16	UNKNOWN
AssetMaterialSfxParam	19	sfxId_17	UNKNOWN
AssetMaterialSfxParam	20	sfxId_18	UNKNOWN
AssetMaterialSfxParam	21	sfxId_19	UNKNOWN
AssetMaterialSfxParam	22	sfxId_20	UNKNOWN
AssetMaterialSfxParam	23	sfxId_21	UNKNOWN
AssetMaterialSfxParam	24	sfxId_22	UNKNOWN
AssetMaterialSfxParam	25	sfxId_23	UNKNOWN
AssetMaterialSfxParam	26	sfxId_24	UNKNOWN
AssetMaterialSfxParam	27	sfxId_25	UNKNOWN
AssetMaterialSfxParam	28	sfxId_26	UNKNOWN
AssetMaterialSfxParam	29	sfxId_27	UNKNOWN
AssetMaterialSfxParam	30	sfxId_28	UNKNOWN
AssetMaterialSfxParam	31	sfxId_29	UNKNOWN
AssetMaterialSfxParam	32	sfxId_30	UNKNOWN
AssetMaterialSfxParam	33	sfxId_31	UNKNOWN
AssetMaterialSfxParam	34		UNKNOWN
AssetModelSfxParam	0	ID	UNKNOWN
AssetModelSfxParam	1	Name	UNKNOWN
AssetModelSfxParam	2	sfxId_0	UNKNOWN
AssetModelSfxParam	3	dmypolyId_0	UNKNOWN
AssetModelSfxParam	4	reserve_0	UNKNOWN
AssetModelSfxParam	5	sfxId_1	UNKNOWN
AssetModelSfxParam	6	dmypolyId_1	UNKNOWN
AssetModelSfxParam	7	reserve_1	UNKNOWN
AssetModelSfxParam	8	sfxId_2	UNKNOWN
AssetModelSfxParam	9	dmypolyId_2	UNKNOWN
AssetModelSfxParam	10	reserve_2	UNKNOWN
AssetModelSfxParam	11	sfxId_3	UNKNOWN
AssetModelSfxParam	12	dmypolyId_3	UNKNOWN
AssetModelSfxParam	13	reserve_3	UNKNOWN
AssetModelSfxParam	14	sfxId_4	UNKNOWN
AssetModelSfxParam	15	dmypolyId_4	UNKNOWN
AssetModelSfxParam	16	reserve_4	UNKNOWN
AssetModelSfxParam	17	sfxId_5	UNKNOWN
AssetModelSfxParam	18	dmypolyId_5	UNKNOWN
AssetModelSfxParam	19	reserve_5	UNKNOWN
AssetModelSfxParam	20	sfxId_6	UNKNOWN
AssetModelSfxParam	21	dmypolyId_6	UNKNOWN
AssetModelSfxParam	22	reserve_6	UNKNOWN
AssetModelSfxParam	23	sfxId_7	UNKNOWN
AssetModelSfxParam	24	dmypolyId_7	UNKNOWN
AssetModelSfxParam	25	isDisableIV	UNKNOWN
AssetModelSfxParam	26	reserve_7	UNKNOWN
AssetModelSfxParam	27		UNKNOWN
AtkParam_Npc	0	ID	UNKNOWN
AtkParam_Npc	1	Name	UNKNOWN
AtkParam_Npc	2	hit0_Radius	UNKNOWN
AtkParam_Npc	3	hit1_Radius	UNKNOWN
AtkParam_Npc	4	hit2_Radius	UNKNOWN
AtkParam_Npc	5	hit3_Radius	UNKNOWN
AtkParam_Npc	6	knockbackDist	UNKNOWN
AtkParam_Npc	7	hitStopTime	UNKNOWN
AtkParam_Npc	8	spEffectId0	UNKNOWN
AtkParam_Npc	9	spEffectId1	UNKNOWN
AtkParam_Npc	10	spEffectId2	UNKNOWN
AtkParam_Npc	11	spEffectId3	UNKNOWN
AtkParam_Npc	12	spEffectId4	UNKNOWN
AtkParam_Npc	13	hit0_DmyPoly1	UNKNOWN
AtkParam_Npc	14	hit1_DmyPoly1	UNKNOWN
AtkParam_Npc	15	hit2_DmyPoly1	UNKNOWN
AtkParam_Npc	16	hit3_DmyPoly1	UNKNOWN
AtkParam_Npc	17	hit0_DmyPoly2	UNKNOWN
AtkParam_Npc	18	hit1_DmyPoly2	UNKNOWN
AtkParam_Npc	19	hit2_DmyPoly2	UNKNOWN
AtkParam_Npc	20	hit3_DmyPoly2	UNKNOWN
AtkParam_Npc	21	blowingCorrection	UNKNOWN
AtkParam_Npc	22	atkPhysCorrection	UNKNOWN
AtkParam_Npc	23	atkMagCorrection	UNKNOWN
AtkParam_Npc	24	atkFireCorrection	UNKNOWN
AtkParam_Npc	25	atkThunCorrection	UNKNOWN
AtkParam_Npc	26	atkStamCorrection	UNKNOWN
AtkParam_Npc	27	guardAtkRateCorrection	UNKNOWN
AtkParam_Npc	28	guardBreakCorrection	UNKNOWN
AtkParam_Npc	29	atkThrowEscapeCorrection	UNKNOWN
AtkParam_Npc	30	subCategory1	UNKNOWN
AtkParam_Npc	31	subCategory2	UNKNOWN
AtkParam_Npc	32	atkPhys	UNKNOWN
AtkParam_Npc	33	atkMag	UNKNOWN
AtkParam_Npc	34	atkFire	UNKNOWN
AtkParam_Npc	35	atkThun	UNKNOWN
AtkParam_Npc	36	atkStam	UNKNOWN
AtkParam_Npc	37	guardAtkRate	UNKNOWN
AtkParam_Npc	38	guardBreakRate	UNKNOWN
AtkParam_Npc	39	pad6	UNKNOWN
AtkParam_Npc	40	isEnableCalcDamageForBushesObj	UNKNOWN
AtkParam_Npc	41	atkThrowEscape	UNKNOWN
AtkParam_Npc	42	atkObj	UNKNOWN
AtkParam_Npc	43	guardStaminaCutRate	UNKNOWN
AtkParam_Npc	44	guardRate	UNKNOWN
AtkParam_Npc	45	throwTypeId	UNKNOWN
AtkParam_Npc	46	hit0_hitType	UNKNOWN
AtkParam_Npc	47	hit1_hitType	UNKNOWN
AtkParam_Npc	48	hit2_hitType	UNKNOWN
AtkParam_Npc	49	hit3_hitType	UNKNOWN
AtkParam_Npc	50	hti0_Priority	UNKNOWN
AtkParam_Npc	51	hti1_Priority	UNKNOWN
AtkParam_Npc	52	hti2_Priority	UNKNOWN
AtkParam_Npc	53	hti3_Priority	UNKNOWN
AtkParam_Npc	54	dmgLevel	UNKNOWN
AtkParam_Npc	55	mapHitType	UNKNOWN
AtkParam_Npc	56	guardCutCancelRate	UNKNOWN
AtkParam_Npc	57	atkAttribute	UNKNOWN
AtkParam_Npc	58	spAttribute	UNKNOWN
AtkParam_Npc	59	atkType	UNKNOWN
AtkParam_Npc	60	atkMaterial	UNKNOWN
AtkParam_Npc	61	guardRangeType	UNKNOWN
AtkParam_Npc	62	defSeMaterial1	UNKNOWN
AtkParam_Npc	63	hitSourceType	UNKNOWN
AtkParam_Npc	64	throwFlag	UNKNOWN
AtkParam_Npc	65	disableGuard	UNKNOWN
AtkParam_Npc	66	disableStaminaAttack	UNKNOWN
AtkParam_Npc	67	disableHitSpEffect	UNKNOWN
AtkParam_Npc	68	IgnoreNotifyMissSwingForAI	UNKNOWN
AtkParam_Npc	69	repeatHitSfx	UNKNOWN
AtkParam_Npc	70	isArrowAtk	UNKNOWN
AtkParam_Npc	71	isGhostAtk	UNKNOWN
AtkParam_Npc	72	isDisableNoDamage	UNKNOWN
AtkParam_Npc	73	atkPow_forSfx	UNKNOWN
AtkParam_Npc	74	atkDir_forSfx	UNKNOWN
AtkParam_Npc	75	opposeTarget	UNKNOWN
AtkParam_Npc	76	friendlyTarget	UNKNOWN
AtkParam_Npc	77	selfTarget	UNKNOWN
AtkParam_Npc	78	isCheckDoorPenetration	UNKNOWN
AtkParam_Npc	79	isVsRideAtk	UNKNOWN
AtkParam_Npc	80	isAddBaseAtk	UNKNOWN
AtkParam_Npc	81	excludeThreatLvNotify	UNKNOWN
AtkParam_Npc	82	pad1	UNKNOWN
AtkParam_Npc	83	atkBehaviorId	UNKNOWN
AtkParam_Npc	84	atkPow_forSe	UNKNOWN
AtkParam_Npc	85	atkSuperArmor	UNKNOWN
AtkParam_Npc	86	decalId1	UNKNOWN
AtkParam_Npc	87	decalId2	UNKNOWN
AtkParam_Npc	88	AppearAiSoundId	UNKNOWN
AtkParam_Npc	89	HitAiSoundId	UNKNOWN
AtkParam_Npc	90	HitRumbleId	UNKNOWN
AtkParam_Npc	91	HitRumbleIdByNormal	UNKNOWN
AtkParam_Npc	92	HitRumbleIdByMiddle	UNKNOWN
AtkParam_Npc	93	HitRumbleIdByRoot	UNKNOWN
AtkParam_Npc	94	traceSfxId0	UNKNOWN
AtkParam_Npc	95	traceDmyIdHead0	UNKNOWN
AtkParam_Npc	96	traceDmyIdTail0	UNKNOWN
AtkParam_Npc	97	traceSfxId1	UNKNOWN
AtkParam_Npc	98	traceDmyIdHead1	UNKNOWN
AtkParam_Npc	99	traceDmyIdTail1	UNKNOWN
AtkParam_Npc	100	traceSfxId2	UNKNOWN
AtkParam_Npc	101	traceDmyIdHead2	UNKNOWN
AtkParam_Npc	102	traceDmyIdTail2	UNKNOWN
AtkParam_Npc	103	traceSfxId3	UNKNOWN
AtkParam_Npc	104	traceDmyIdHead3	UNKNOWN
AtkParam_Npc	105	traceDmyIdTail3	UNKNOWN
AtkParam_Npc	106	traceSfxId4	UNKNOWN
AtkParam_Npc	107	traceDmyIdHead4	UNKNOWN
AtkParam_Npc	108	traceDmyIdTail4	UNKNOWN
AtkParam_Npc	109	traceSfxId5	UNKNOWN
AtkParam_Npc	110	traceDmyIdHead5	UNKNOWN
AtkParam_Npc	111	traceDmyIdTail5	UNKNOWN
AtkParam_Npc	112	traceSfxId6	UNKNOWN
AtkParam_Npc	113	traceDmyIdHead6	UNKNOWN
AtkParam_Npc	114	traceDmyIdTail6	UNKNOWN
AtkParam_Npc	115	traceSfxId7	UNKNOWN
AtkParam_Npc	116	traceDmyIdHead7	UNKNOWN
AtkParam_Npc	117	traceDmyIdTail7	UNKNOWN
AtkParam_Npc	118	hit4_Radius	UNKNOWN
AtkParam_Npc	119	hit5_Radius	UNKNOWN
AtkParam_Npc	120	hit6_Radius	UNKNOWN
AtkParam_Npc	121	hit7_Radius	UNKNOWN
AtkParam_Npc	122	hit8_Radius	UNKNOWN
AtkParam_Npc	123	hit9_Radius	UNKNOWN
AtkParam_Npc	124	hit10_Radius	UNKNOWN
AtkParam_Npc	125	hit11_Radius	UNKNOWN
AtkParam_Npc	126	hit12_Radius	UNKNOWN
AtkParam_Npc	127	hit13_Radius	UNKNOWN
AtkParam_Npc	128	hit14_Radius	UNKNOWN
AtkParam_Npc	129	hit15_Radius	UNKNOWN
AtkParam_Npc	130	hit4_DmyPoly1	UNKNOWN
AtkParam_Npc	131	hit5_DmyPoly1	UNKNOWN
AtkParam_Npc	132	hit6_DmyPoly1	UNKNOWN
AtkParam_Npc	133	hit7_DmyPoly1	UNKNOWN
AtkParam_Npc	134	hit8_DmyPoly1	UNKNOWN
AtkParam_Npc	135	hit9_DmyPoly1	UNKNOWN
AtkParam_Npc	136	hit10_DmyPoly1	UNKNOWN
AtkParam_Npc	137	hit11_DmyPoly1	UNKNOWN
AtkParam_Npc	138	hit12_DmyPoly1	UNKNOWN
AtkParam_Npc	139	hit13_DmyPoly1	UNKNOWN
AtkParam_Npc	140	hit14_DmyPoly1	UNKNOWN
AtkParam_Npc	141	hit15_DmyPoly1	UNKNOWN
AtkParam_Npc	142	hit4_DmyPoly2	UNKNOWN
AtkParam_Npc	143	hit5_DmyPoly2	UNKNOWN
AtkParam_Npc	144	hit6_DmyPoly2	UNKNOWN
AtkParam_Npc	145	hit7_DmyPoly2	UNKNOWN
AtkParam_Npc	146	hit8_DmyPoly2	UNKNOWN
AtkParam_Npc	147	hit9_DmyPoly2	UNKNOWN
AtkParam_Npc	148	hit10_DmyPoly2	UNKNOWN
AtkParam_Npc	149	hit11_DmyPoly2	UNKNOWN
AtkParam_Npc	150	hit12_DmyPoly2	UNKNOWN
AtkParam_Npc	151	hit13_DmyPoly2	UNKNOWN
AtkParam_Npc	152	hit14_DmyPoly2	UNKNOWN
AtkParam_Npc	153	hit15_DmyPoly2	UNKNOWN
AtkParam_Npc	154	hit4_hitType	UNKNOWN
AtkParam_Npc	155	hit5_hitType	UNKNOWN
AtkParam_Npc	156	hit6_hitType	UNKNOWN
AtkParam_Npc	157	hit7_hitType	UNKNOWN
AtkParam_Npc	158	hit8_hitType	UNKNOWN
AtkParam_Npc	159	hit9_hitType	UNKNOWN
AtkParam_Npc	160	hit10_hitType	UNKNOWN
AtkParam_Npc	161	hit11_hitType	UNKNOWN
AtkParam_Npc	162	hit12_hitType	UNKNOWN
AtkParam_Npc	163	hit13_hitType	UNKNOWN
AtkParam_Npc	164	hit14_hitType	UNKNOWN
AtkParam_Npc	165	hit15_hitType	UNKNOWN
AtkParam_Npc	166	hti4_Priority	UNKNOWN
AtkParam_Npc	167	hti5_Priority	UNKNOWN
AtkParam_Npc	168	hti6_Priority	UNKNOWN
AtkParam_Npc	169	hti7_Priority	UNKNOWN
AtkParam_Npc	170	hti8_Priority	UNKNOWN
AtkParam_Npc	171	hti9_Priority	UNKNOWN
AtkParam_Npc	172	hti10_Priority	UNKNOWN
AtkParam_Npc	173	hti11_Priority	UNKNOWN
AtkParam_Npc	174	hti12_Priority	UNKNOWN
AtkParam_Npc	175	hti13_Priority	UNKNOWN
AtkParam_Npc	176	hti14_Priority	UNKNOWN
AtkParam_Npc	177	hti15_Priority	UNKNOWN
AtkParam_Npc	178	defSfxMaterial1	UNKNOWN
AtkParam_Npc	179	defSeMaterial2	UNKNOWN
AtkParam_Npc	180	defSfxMaterial2	UNKNOWN
AtkParam_Npc	181	atkDarkCorrection	UNKNOWN
AtkParam_Npc	182	atkDark	UNKNOWN
AtkParam_Npc	183	pad5	UNKNOWN
AtkParam_Npc	184	isDisableParry	UNKNOWN
AtkParam_Npc	185	isDisableBothHandsAtkBonus	UNKNOWN
AtkParam_Npc	186	isInvalidatedByNoDamageInAir	UNKNOWN
AtkParam_Npc	187	pad2	UNKNOWN
AtkParam_Npc	188	dmgLevel_vsPlayer	UNKNOWN
AtkParam_Npc	189	statusAilmentAtkPowerCorrectRate	UNKNOWN
AtkParam_Npc	190	spEffectAtkPowerCorrectRate_byPoint	UNKNOWN
AtkParam_Npc	191	spEffectAtkPowerCorrectRate_byRate	UNKNOWN
AtkParam_Npc	192	spEffectAtkPowerCorrectRate_byDmg	UNKNOWN
AtkParam_Npc	193	atkBehaviorId_2	UNKNOWN
AtkParam_Npc	194	throwDamageAttribute	UNKNOWN
AtkParam_Npc	195	statusAilmentAtkPowerCorrectRate_byPoint	UNKNOWN
AtkParam_Npc	196	overwriteAttackElementCorrectId	UNKNOWN
AtkParam_Npc	197	decalBaseId1	UNKNOWN
AtkParam_Npc	198	decalBaseId2	UNKNOWN
AtkParam_Npc	199	wepRegainHpScale	UNKNOWN
AtkParam_Npc	200	atkRegainHp	UNKNOWN
AtkParam_Npc	201	regainableTimeScale	UNKNOWN
AtkParam_Npc	202	regainableHpRateScale	UNKNOWN
AtkParam_Npc	203	regainableSlotId	UNKNOWN
AtkParam_Npc	204	spAttributeVariationValue	UNKNOWN
AtkParam_Npc	205	parryForwardOffset	UNKNOWN
