column	n_params	params
AssetId6	1	WeatherAssetReplaceParam
AssetId7	1	WeatherAssetReplaceParam
AssetId_0	2	EnvObjLotParam,RollingObjLotParam
AssetId_1	2	EnvObjLotParam,RollingObjLotParam
AssetId_2	2	EnvObjLotParam,RollingObjLotParam
AssetId_3	2	EnvObjLotParam,RollingObjLotParam
AssetId_4	2	EnvObjLotParam,RollingObjLotParam
AssetId_5	2	EnvObjLotParam,RollingObjLotParam
AssetId_6	2	EnvObjLotParam,RollingObjLotParam
AssetId_7	2	EnvObjLotParam,RollingObjLotParam
AtkChrId	1	ThrowParam
AtkEnableState	1	ThrowParam
BackHomeLife_OnHitEneWal	1	NpcThinkParam
BackHome_LookTargetDist	1	NpcThinkParam
BackHome_LookTargetTime	1	NpcThinkParam
BattleRoyal	3	MultiHPEstusFlaskBonusParam,MultiMPEstusFlaskBonusParam,MultiSoulBonusRateParam
BattleRoyalMatchSearchMax	1	NetworkParam
BattleRoyalMatchSearchMin	1	NetworkParam
BattleStartDist	1	NpcThinkParam
BgmBehaviorTypeOnStart	1	SoundCutsceneParam
BgmPlaceInfo	1	MapDefaultInfoParam
BillboardBackSpecularWeakenParam	1	SpeedtreeParam
BlackGhost_Berserker_Invade	3	MultiHPEstusFlaskBonusParam,MultiMPEstusFlaskBonusParam,MultiSoulBonusRateParam
BlackGhost_Berserker_Sign	3	MultiHPEstusFlaskBonusParam,MultiMPEstusFlaskBonusParam,MultiSoulBonusRateParam
BlackGhost_None_Invade	3	MultiHPEstusFlaskBonusParam,MultiMPEstusFlaskBonusParam,MultiSoulBonusRateParam
BlackGhost_None_Sign	3	MultiHPEstusFlaskBonusParam,MultiMPEstusFlaskBonusParam,MultiSoulBonusRateParam
BlackGhost_Umbasa_Invade	3	MultiHPEstusFlaskBonusParam,MultiMPEstusFlaskBonusParam,MultiSoulBonusRateParam
BlackGhost_Umbasa_Sign	3	MultiHPEstusFlaskBonusParam,MultiMPEstusFlaskBonusParam,MultiSoulBonusRateParam
BloodDamageRate	1	ClearCountCorrectParam
BloodResistRate	1	ClearCountCorrectParam
BlowAttackRate	1	ClearCountCorrectParam
Blow_L	1	HitEffectSfxParam
Blow_Normal	1	HitEffectSfxParam
Blow_S	1	HitEffectSfxParam
Blow_Specific1	1	HitEffectSfxParam
Blow_Specific2	1	HitEffectSfxParam
Body_Blow_L	1	HitEffectSeParam
Body_Blow_LL	1	HitEffectSeParam
Body_Blow_S	1	HitEffectSeParam
Body_Slash_L	1	HitEffectSeParam
Body_Slash_LL	1	HitEffectSeParam
Body_Slash_S	1	HitEffectSeParam
Body_Thrust_L	1	HitEffectSeParam
Body_Thrust_LL	1	HitEffectSeParam
Body_Thrust_S	1	HitEffectSeParam
BreakAiSoundID	1	AssetEnvironmentGeometryParam
CaptionTextID	2	MenuPropertyLayoutParam,MenuPropertySpecParam
ClientDisableViewTimeForProgress	1	CutsceneMapIdParam
CompareType	1	MenuPropertySpecParam
ContactCheckRigidIdx0	1	SoundChrPhysicsSeParam
ContactCheckRigidIdx1	1	SoundChrPhysicsSeParam
ContactCheckRigidIdx10	1	SoundChrPhysicsSeParam
ContactCheckRigidIdx11	1	SoundChrPhysicsSeParam
ContactCheckRigidIdx12	1	SoundChrPhysicsSeParam
ContactCheckRigidIdx13	1	SoundChrPhysicsSeParam
ContactCheckRigidIdx14	1	SoundChrPhysicsSeParam
ContactCheckRigidIdx15	1	SoundChrPhysicsSeParam
ContactCheckRigidIdx2	1	SoundChrPhysicsSeParam
ContactCheckRigidIdx3	1	SoundChrPhysicsSeParam
ContactCheckRigidIdx4	1	SoundChrPhysicsSeParam
ContactCheckRigidIdx5	1	SoundChrPhysicsSeParam
ContactCheckRigidIdx6	1	SoundChrPhysicsSeParam
ContactCheckRigidIdx7	1	SoundChrPhysicsSeParam
ContactCheckRigidIdx8	1	SoundChrPhysicsSeParam
ContactCheckRigidIdx9	1	SoundChrPhysicsSeParam
ContactLandAddSeId	1	SoundChrPhysicsSeParam
ContactLandMinImpuse	1	SoundChrPhysicsSeParam
ContactLandMinSpeed	1	SoundChrPhysicsSeParam
ContactLandPlayNum	1	SoundChrPhysicsSeParam
ContactLandSeId	1	SoundChrPhysicsSeParam
ContactPlayerMinImpuse	1	SoundChrPhysicsSeParam
ContactPlayerMinSpeed	1	SoundChrPhysicsSeParam
ContactPlayerSeId	1	SoundChrPhysicsSeParam
CreateAssetLimitId0	2	WeatherAssetCreateParam,WeatherAssetReplaceParam
CreateAssetLimitId1	2	WeatherAssetCreateParam,WeatherAssetReplaceParam
CreateAssetLimitId2	2	WeatherAssetCreateParam,WeatherAssetReplaceParam
CreateAssetLimitId3	2	WeatherAssetCreateParam,WeatherAssetReplaceParam
CreateConditionType	1	WeatherAssetCreateParam
CreateDelayTime	1	WeatherAssetCreateParam
CreatePoint0	1	WeatherAssetCreateParam
CreatePoint1	1	WeatherAssetCreateParam
CreatePoint2	1	WeatherAssetCreateParam
CreatePoint3	1	WeatherAssetCreateParam
CreateProbability	1	WeatherAssetCreateParam
CreateWeight_0	2	EnvObjLotParam,RollingObjLotParam
CreateWeight_1	2	EnvObjLotParam,RollingObjLotParam
CreateWeight_2	2	EnvObjLotParam,RollingObjLotParam
CreateWeight_3	2	EnvObjLotParam,RollingObjLotParam
CreateWeight_4	2	EnvObjLotParam,RollingObjLotParam
CreateWeight_5	2	EnvObjLotParam,RollingObjLotParam
CreateWeight_6	2	EnvObjLotParam,RollingObjLotParam
CreateWeight_7	2	EnvObjLotParam,RollingObjLotParam
CurseResistRate	1	ClearCountCorrectParam
DarkAttackRate	1	ClearCountCorrectParam
DarkDefenseRate	1	ClearCountCorrectParam
DefChrId	1	ThrowParam
DeleteDist	1	AutoCreateEnvSoundParam
DerivationLevelType	1	EquipParamWeapon
DiffAngMax	1	ThrowParam
DiffAngMax_start	1	ThrowParam
DiffAngMin	1	ThrowParam
DiffAngMin_start	1	ThrowParam
DiseaseResistRate	1	ClearCountCorrectParam
Dist	1	ThrowParam
DistMaxA	1	SoundAutoReverbSelectParam
DistMaxB	1	SoundAutoReverbSelectParam
DistMinA	1	SoundAutoReverbSelectParam
DistMinB	1	SoundAutoReverbSelectParam
DistViewWeatherGparamOverrideWeight	1	WeatherParam
Dist_start	1	ThrowParam
DistantViewModel_BorderDist	1	PartsDrawParam
DistantViewModel_PlayDist	1	PartsDrawParam
Dmy1_Blow_L	1	HitEffectSeParam
Dmy1_Blow_LL	1	HitEffectSeParam
Dmy1_Blow_S	1	HitEffectSeParam
Dmy1_Slash_L	1	HitEffectSeParam
Dmy1_Slash_LL	1	HitEffectSeParam
Dmy1_Slash_S	1	HitEffectSeParam
Dmy1_Thrust_L	1	HitEffectSeParam
Dmy1_Thrust_LL	1	HitEffectSeParam
Dmy1_Thrust_S	1	HitEffectSeParam
Dmy2_Blow_L	1	HitEffectSeParam
Dmy2_Blow_LL	1	HitEffectSeParam
Dmy2_Blow_S	1	HitEffectSeParam
Dmy2_Slash_L	1	HitEffectSeParam
Dmy2_Slash_LL	1	HitEffectSeParam
Dmy2_Slash_S	1	HitEffectSeParam
Dmy2_Thrust_L	1	HitEffectSeParam
Dmy2_Thrust_LL	1	HitEffectSeParam
Dmy2_Thrust_S	1	HitEffectSeParam
Dmy3_Blow_L	1	HitEffectSeParam
Dmy3_Blow_LL	1	HitEffectSeParam
Dmy3_Blow_S	1	HitEffectSeParam
Dmy3_Slash_L	1	HitEffectSeParam
Dmy3_Slash_LL	1	HitEffectSeParam
Dmy3_Slash_S	1	HitEffectSeParam
Dmy3_Thrust_L	1	HitEffectSeParam
Dmy3_Thrust_LL	1	HitEffectSeParam
Dmy3_Thrust_S	1	HitEffectSeParam
DrawDist_LvBegin	7	LoadBalancerNewDrawDistScaleParam_ps4,LoadBalancerNewDrawDistScaleParam_ps5,LoadBalancerNewDrawDistScaleParam_win64,LoadBalancerNewDrawDistScaleParam_xb1,LoadBalancerNewDrawDistScaleParam_xb1x,LoadBalancerNewDrawDistScaleParam_xss,LoadBalancerNewDrawDistScaleParam_xsx
DrawDist_LvEnd	7	LoadBalancerNewDrawDistScaleParam_ps4,LoadBalancerNewDrawDistScaleParam_ps5,LoadBalancerNewDrawDistScaleParam_win64,LoadBalancerNewDrawDistScaleParam_xb1,LoadBalancerNewDrawDistScaleParam_xb1x,LoadBalancerNewDrawDistScaleParam_xss,LoadBalancerNewDrawDistScaleParam_xsx
DrawDist_ScaleBegin	7	LoadBalancerNewDrawDistScaleParam_ps4,LoadBalancerNewDrawDistScaleParam_ps5,LoadBalancerNewDrawDistScaleParam_win64,LoadBalancerNewDrawDistScaleParam_xb1,LoadBalancerNewDrawDistScaleParam_xb1x,LoadBalancerNewDrawDistScaleParam_xss,LoadBalancerNewDrawDistScaleParam_xsx
DrawDist_ScaleEnd	7	LoadBalancerNewDrawDistScaleParam_ps4,LoadBalancerNewDrawDistScaleParam_ps5,LoadBalancerNewDrawDistScaleParam_win64,LoadBalancerNewDrawDistScaleParam_xb1,LoadBalancerNewDrawDistScaleParam_xb1x,LoadBalancerNewDrawDistScaleParam_xss,LoadBalancerNewDrawDistScaleParam_xsx
DstAssetId	1	LegacyDistantViewPartsReplaceParam
DstAssetIdRangeMax	1	LegacyDistantViewPartsReplaceParam
DstAssetIdRangeMin	1	LegacyDistantViewPartsReplaceParam
DstAssetPartsNo	1	LegacyDistantViewPartsReplaceParam
DstCutscenTime	1	CutsceneTimezoneConvertParam
DstTimezone_AfterNoon	1	CutsceneGparamTimeParam
DstTimezone_DeepNightA	1	CutsceneGparamTimeParam
DstTimezone_DeepNightB	1	CutsceneGparamTimeParam
DstTimezone_Evening	1	CutsceneGparamTimeParam
DstTimezone_Morning	1	CutsceneGparamTimeParam
DstTimezone_Night	1	CutsceneGparamTimeParam
DstTimezone_Noon	1	CutsceneGparamTimeParam
DstWeather_ClearSky	1	CutsceneGparamWeatherParam
DstWeather_Cloud	1	CutsceneGparamWeatherParam
DstWeather_Fog	1	CutsceneGparamWeatherParam
DstWeather_HeavyFog	1	CutsceneGparamWeatherParam
DstWeather_HeavyFogRain	1	CutsceneGparamWeatherParam
DstWeather_HeavyRain	1	CutsceneGparamWeatherParam
DstWeather_HeavySnow	1	CutsceneGparamWeatherParam
DstWeather_LightningStorm	1	CutsceneGparamWeatherParam
DstWeather_Rain	1	CutsceneGparamWeatherParam
DstWeather_Reserved3	1	CutsceneGparamWeatherParam
DstWeather_Reserved4	1	CutsceneGparamWeatherParam
DstWeather_Reserved5	1	CutsceneGparamWeatherParam
DstWeather_Reserved6	1	CutsceneGparamWeatherParam
DstWeather_Reserved7	1	CutsceneGparamWeatherParam
DstWeather_Reserved8	1	CutsceneGparamWeatherParam
DstWeather_SandStorm	1	CutsceneGparamWeatherParam
DstWeather_Snow	1	CutsceneGparamWeatherParam
DstWeather_Snowstorm	1	CutsceneGparamWeatherParam
DstWeather_Storm	1	CutsceneGparamWeatherParam
DstWeather_StormForBattle	1	CutsceneGparamWeatherParam
DstWeather_Sunny	1	CutsceneGparamWeatherParam
DstWeather_WeakCloudy	1	CutsceneGparamWeatherParam
EclipseGas_Blow_L	1	HitEffectSeParam
EclipseGas_Blow_LL	1	HitEffectSeParam
EclipseGas_Blow_S	1	HitEffectSeParam
EclipseGas_Slash_L	1	HitEffectSeParam
EclipseGas_Slash_LL	1	HitEffectSeParam
EclipseGas_Slash_S	1	HitEffectSeParam
EclipseGas_Thrust_L	1	HitEffectSeParam
EclipseGas_Thrust_LL	1	HitEffectSeParam
EclipseGas_Thrust_S	1	HitEffectSeParam
Eclipse_Blow_L	1	HitEffectSeParam
Eclipse_Blow_LL	1	HitEffectSeParam
Eclipse_Blow_S	1	HitEffectSeParam
Eclipse_Slash_L	1	HitEffectSeParam
Eclipse_Slash_LL	1	HitEffectSeParam
Eclipse_Slash_S	1	HitEffectSeParam
Eclipse_Thrust_L	1	HitEffectSeParam
Eclipse_Thrust_LL	1	HitEffectSeParam
Eclipse_Thrust_S	1	HitEffectSeParam
ElapsedTime	1	WeatherAssetCreateParam
ElapsedTimeCheckweather	1	WeatherAssetCreateParam
EmittePosType	1	Bullet
EnableCreateTimeMax	1	WeatherAssetCreateParam
EnableCreateTimeMin	1	WeatherAssetCreateParam
EnableFastTravelEventFlagId	1	MapDefaultInfoParam
EnergyStrong_Blow_L	1	HitEffectSeParam
EnergyStrong_Blow_LL	1	HitEffectSeParam
EnergyStrong_Blow_S	1	HitEffectSeParam
EnergyStrong_Slash_L	1	HitEffectSeParam
EnergyStrong_Slash_LL	1	HitEffectSeParam
EnergyStrong_Slash_S	1	HitEffectSeParam
EnergyStrong_Thrust_L	1	HitEffectSeParam
EnergyStrong_Thrust_LL	1	HitEffectSeParam
EnergyStrong_Thrust_S	1	HitEffectSeParam
Energy_Blow_L	1	HitEffectSeParam
Energy_Blow_LL	1	HitEffectSeParam
Energy_Blow_S	1	HitEffectSeParam
Energy_Slash_L	1	HitEffectSeParam
Energy_Slash_LL	1	HitEffectSeParam
Energy_Slash_S	1	HitEffectSeParam
Energy_Thrust_L	1	HitEffectSeParam
Energy_Thrust_LL	1	HitEffectSeParam
Energy_Thrust_S	1	HitEffectSeParam
EnterMapMuteStopTimeOnDrawCutscene	1	SoundCutsceneParam
EnvPlaceInfo	1	MapDefaultInfoParam
ExpandRange	1	SoundAutoEnvSoundGroupParam
FadeTime	1	WeatherAssetCreateParam
FarMaxDist	1	CameraFadeParam
FarMinDist	1	CameraFadeParam
FireAttackRate	1	ClearCountCorrectParam
FireDefenseRate	1	ClearCountCorrectParam
FireFlame_Blow_L	1	HitEffectSeParam
FireFlame_Blow_LL	1	HitEffectSeParam
FireFlame_Blow_S	1	HitEffectSeParam
FireFlame_Slash_L	1	HitEffectSeParam
FireFlame_Slash_LL	1	HitEffectSeParam
FireFlame_Slash_S	1	HitEffectSeParam
FireFlame_Thrust_L	1	HitEffectSeParam
FireFlame_Thrust_LL	1	HitEffectSeParam
FireFlame_Thrust_S	1	HitEffectSeParam
Fire_Blow_L	1	HitEffectSeParam
Fire_Blow_LL	1	HitEffectSeParam
Fire_Blow_S	1	HitEffectSeParam
Fire_Slash_L	1	HitEffectSeParam
Fire_Slash_LL	1	HitEffectSeParam
Fire_Slash_S	1	HitEffectSeParam
Fire_Thrust_L	1	HitEffectSeParam
Fire_Thrust_LL	1	HitEffectSeParam
Fire_Thrust_S	1	HitEffectSeParam
FollowRate	1	SoundAutoEnvSoundGroupParam
FollowSpeed	1	SoundAutoEnvSoundGroupParam
FollowType	1	Bullet
FormatType	1	MenuPropertySpecParam
FragmentInvisibleTime	1	AssetEnvironmentGeometryParam
FragmentInvisibleWaitTime	1	AssetEnvironmentGeometryParam
FreezeDamageRate	1	ClearCountCorrectParam
FreezeResistRate	1	ClearCountCorrectParam
GameClearOffset	2	ItemLotParam_enemy,ItemLotParam_map
GameClearSpEffectID	1	NpcParam
GparamID	1	MenuOffscrRendParam
GparamId	1	WeatherParam
Grapm_ID_forPS4	1	MenuOffscrRendParam
Grapm_ID_forXB1	1	MenuOffscrRendParam
GridEnableCreateHeightMax	1	MapGridCreateHeightLimitInfoParam
GridEnableCreateHeightMin	1	MapGridCreateHeightLimitInfoParam
GroundHitSfxId	1	WeatherParam
GuardianOfAnor	3	MultiHPEstusFlaskBonusParam,MultiMPEstusFlaskBonusParam,MultiSoulBonusRateParam
GuardianOfForest	3	MultiHPEstusFlaskBonusParam,MultiMPEstusFlaskBonusParam,MultiSoulBonusRateParam
HelpTextID	1	MenuPropertyLayoutParam
HitAiSoundId	2	AtkParam_Npc,AtkParam_Pc
HitBulletID	1	Bullet
HitParts_0	1	CutsceneMapIdParam
HitParts_1	1	CutsceneMapIdParam
HitRumbleId	2	AtkParam_Npc,AtkParam_Pc
HitRumbleIdByMiddle	2	AtkParam_Npc,AtkParam_Pc
HitRumbleIdByNormal	2	AtkParam_Npc,AtkParam_Pc
HitRumbleIdByRoot	2	AtkParam_Npc,AtkParam_Pc
HpEstMax	1	CharaInitParam
