# AUTO-GENERATED by tools/build_check_maps.py -- DO NOT EDIT.
# One row per (check flag, PHYSICAL POSITION), map-granular. A check on N maps
# gets N rows: the model is one-to-many by design (Alaric 2026-07-25). Derived
# ONLY from committed tsvs -- no elden_ring_artifacts, runs anywhere.
# source=msb -> detail is event|treasure|enemy; source=merchant -> detail is the
# merchant, avail_* the ESD gate that makes THAT instance live (blank = unknown).
flag	map_id	source	detail	avail_flag	avail_sense
69690	m60_41_36	merchant	Nomadic Merchant		
69700	m11_10	merchant	Twin Maiden Husks		
69700	m60_49_37	merchant	Nomadic Merchant		
69710	m11_10	merchant	Twin Maiden Husks		
69710	m60_35_45	merchant	Isolated Merchant		
69720	m11_00	merchant	npc:?	4705	1
69720	m11_10	merchant	Twin Maiden Husks		
69720	m35_00	merchant	npc:?	4705	1
69720	m60_42_36	merchant	Merchant Kalé	4705	1
69730	m11_10	merchant	Twin Maiden Husks		
69730	m60_48_41	merchant	Isolated Merchant		
69740	m35_00	msb	treasure		
69750	m11_10	merchant	Twin Maiden Husks		
69750	m60_35_45	merchant	Isolated Merchant		
69760	m60_38_48	msb	treasure		
69770	m11_10	merchant	Twin Maiden Husks		
69770	m60_43_53	merchant	Hermit Merchant		
69900	m11_10	merchant	Twin Maiden Husks		
69900	m60_35_50	merchant	Pidia, Carian Servant	1035509205	1
69910	m11_10	merchant	Twin Maiden Husks		
69910	m60_35_45	merchant	Isolated Merchant		
100000	m10_00	merchant	Gatekeeper Gostoc	3269	1
100000	m11_10	merchant	Twin Maiden Husks		
100020	m10_00	merchant	Gatekeeper Gostoc	3269	1
100020	m11_10	merchant	Twin Maiden Husks		
100040	m10_00	merchant	Gatekeeper Gostoc	3269	1
100040	m11_10	merchant	Twin Maiden Husks		
100090	m10_00	merchant	Gatekeeper Gostoc	3269	1
100090	m11_10	merchant	Twin Maiden Husks		
100100	m10_00	merchant	Gatekeeper Gostoc	3269	1
100100	m11_10	merchant	Twin Maiden Husks		
100110	m10_00	merchant	Gatekeeper Gostoc	3269	1
100110	m11_10	merchant	Twin Maiden Husks		
100120	m10_00	merchant	Gatekeeper Gostoc	3269	1
100120	m11_10	merchant	Twin Maiden Husks		
100130	m10_00	merchant	Gatekeeper Gostoc	3269	1
100130	m11_10	merchant	Twin Maiden Husks		
100140	m10_00	merchant	Gatekeeper Gostoc	3269	1
100140	m11_10	merchant	Twin Maiden Husks		
100150	m10_00	merchant	Gatekeeper Gostoc	3269	1
100150	m11_10	merchant	Twin Maiden Husks		
100160	m10_00	merchant	Gatekeeper Gostoc	3269	1
100160	m11_10	merchant	Twin Maiden Husks		
100170	m10_00	merchant	Gatekeeper Gostoc	3269	1
100170	m11_10	merchant	Twin Maiden Husks		
100180	m10_00	merchant	Gatekeeper Gostoc	3269	1
100180	m11_10	merchant	Twin Maiden Husks		
100500	m11_10	merchant	Twin Maiden Husks		
100500	m14_00	merchant	Sorceress Sellen	14009265	0
100500	m60_34_50	merchant	Sorceress Sellen	14009265	0
100500	m60_44_36	merchant	Sorceress Sellen	1044369208	1
100510	m11_10	merchant	Twin Maiden Husks		
100510	m14_00	merchant	Sorceress Sellen	14009265	0
100510	m60_34_50	merchant	Sorceress Sellen	14009265	0
100510	m60_44_36	merchant	Sorceress Sellen	1044369208	1
100520	m11_10	merchant	Twin Maiden Husks		
100520	m14_00	merchant	Sorceress Sellen	14009265	0
100520	m60_34_50	merchant	Sorceress Sellen	14009265	0
100520	m60_44_36	merchant	Sorceress Sellen	1044369208	1
100530	m11_10	merchant	Twin Maiden Husks		
100530	m14_00	merchant	Sorceress Sellen	14009265	0
100530	m60_34_50	merchant	Sorceress Sellen	14009265	0
100530	m60_44_36	merchant	Sorceress Sellen	1044369208	1
100540	m11_10	merchant	Twin Maiden Husks		
100540	m14_00	merchant	Sorceress Sellen	14009265	0
100540	m60_34_50	merchant	Sorceress Sellen	14009265	0
100540	m60_44_36	merchant	Sorceress Sellen	1044369208	1
100550	m11_10	merchant	Twin Maiden Husks		
100550	m14_00	merchant	Sorceress Sellen	14009265	0
100550	m60_34_50	merchant	Sorceress Sellen	14009265	0
100550	m60_44_36	merchant	Sorceress Sellen	1044369208	1
100560	m11_10	merchant	Twin Maiden Husks		
100560	m14_00	merchant	Sorceress Sellen	14009265	0
100560	m60_34_50	merchant	Sorceress Sellen	14009265	0
100560	m60_44_36	merchant	Sorceress Sellen	1044369208	1
100570	m11_10	merchant	Twin Maiden Husks		
100570	m14_00	merchant	Sorceress Sellen	14009265	0
100570	m60_34_50	merchant	Sorceress Sellen	14009265	0
100570	m60_44_36	merchant	Sorceress Sellen	1044369208	1
100580	m11_10	merchant	Twin Maiden Husks		
100580	m14_00	merchant	Sorceress Sellen	14009265	0
100580	m60_34_50	merchant	Sorceress Sellen	14009265	0
100580	m60_44_36	merchant	Sorceress Sellen	1044369208	1
100590	m11_10	merchant	Twin Maiden Husks		
100590	m14_00	merchant	Sorceress Sellen	14009265	0
100590	m60_34_50	merchant	Sorceress Sellen	14009265	0
100590	m60_44_36	merchant	Sorceress Sellen	1044369208	1
100600	m11_10	merchant	Twin Maiden Husks		
100600	m14_00	merchant	Sorceress Sellen	14009265	0
100600	m60_34_50	merchant	Sorceress Sellen	14009265	0
100600	m60_44_36	merchant	Sorceress Sellen	1044369208	1
100610	m11_10	merchant	Twin Maiden Husks		
100610	m14_00	merchant	Sorceress Sellen	14009265	0
100610	m60_34_50	merchant	Sorceress Sellen	14009265	0
100610	m60_44_36	merchant	Sorceress Sellen	1044369208	1
100620	m11_10	merchant	Twin Maiden Husks		
100620	m14_00	merchant	Sorceress Sellen	14009265	0
100620	m60_34_50	merchant	Sorceress Sellen	14009265	0
100620	m60_44_36	merchant	Sorceress Sellen	1044369208	1
100750	m11_10	merchant	Twin Maiden Husks		
100750	m16_00	merchant	Recusant Bernahl	3885	1
100750	m60_42_38	merchant	Knight Bernahl	3885	1
100760	m11_10	merchant	Twin Maiden Husks		
100760	m16_00	merchant	Recusant Bernahl	3885	1
100760	m60_42_38	merchant	Knight Bernahl	3885	1
100770	m11_10	merchant	Twin Maiden Husks		
100770	m16_00	merchant	Recusant Bernahl	3885	1
100770	m60_42_38	merchant	Knight Bernahl	3885	1
100780	m11_10	merchant	Twin Maiden Husks		
100780	m16_00	merchant	Recusant Bernahl	3885	1
100780	m60_42_38	merchant	Knight Bernahl	3885	1
100790	m11_10	merchant	Twin Maiden Husks		
100790	m16_00	merchant	Recusant Bernahl	3885	1
100790	m60_42_38	merchant	Knight Bernahl	3885	1
100800	m11_10	merchant	Twin Maiden Husks		
100800	m16_00	merchant	Recusant Bernahl	3885	1
100800	m60_42_38	merchant	Knight Bernahl	3885	1
100810	m11_10	merchant	Twin Maiden Husks		
100810	m16_00	merchant	Recusant Bernahl	3885	1
100810	m60_42_38	merchant	Knight Bernahl	3885	1
100820	m11_10	merchant	Twin Maiden Husks		
100820	m16_00	merchant	Recusant Bernahl	3885	1
100820	m60_42_38	merchant	Knight Bernahl	3885	1
100830	m11_10	merchant	Twin Maiden Husks		
100830	m16_00	merchant	Recusant Bernahl	3885	1
100830	m60_42_38	merchant	Knight Bernahl	3885	1
100840	m11_10	merchant	Twin Maiden Husks		
100840	m16_00	merchant	Recusant Bernahl	3885	1
100840	m60_42_38	merchant	Knight Bernahl	3885	1
100850	m11_10	merchant	Twin Maiden Husks		
100850	m16_00	merchant	Recusant Bernahl	3885	1
100850	m60_42_38	merchant	Knight Bernahl	3885	1
100860	m11_10	merchant	Twin Maiden Husks		
100860	m16_00	merchant	Recusant Bernahl	3885	1
100860	m60_42_38	merchant	Knight Bernahl	3885	1
110000	m11_10	merchant	Twin Maiden Husks		
110000	m16_00	merchant	Patches	3686	1
110000	m22_00	merchant	Thiollier	2048439206	1
110000	m31_00	merchant	Patches	3686	1
110000	m60_37_42	merchant	Patches	3686	1
110000	m60_37_54	merchant	Patches	3686	1
110000	m60_39_54	merchant	Patches	3686	1
110020	m11_10	merchant	Twin Maiden Husks		
110020	m16_00	merchant	Patches	3686	1
110020	m22_00	merchant	Thiollier	2048439206	1
110020	m31_00	merchant	Patches	3686	1
110020	m60_37_42	merchant	Patches	3686	1
110020	m60_37_54	merchant	Patches	3686	1
110020	m60_39_54	merchant	Patches	3686	1
110030	m11_10	merchant	Twin Maiden Husks		
110030	m16_00	merchant	Patches	3686	1
110030	m22_00	merchant	Thiollier	2048439206	1
110030	m31_00	merchant	Patches	3686	1
110030	m60_37_42	merchant	Patches	3686	1
110030	m60_37_54	merchant	Patches	3686	1
110030	m60_39_54	merchant	Patches	3686	1
110050	m11_10	merchant	Twin Maiden Husks		
110050	m16_00	merchant	Patches	3686	1
110050	m22_00	merchant	Thiollier	2048439206	1
110050	m31_00	merchant	Patches	3686	1
110050	m60_37_42	merchant	Patches	3686	1
110050	m60_37_54	merchant	Patches	3686	1
110050	m60_39_54	merchant	Patches	3686	1
110080	m11_10	merchant	Twin Maiden Husks		
110080	m16_00	merchant	Patches	3686	1
110080	m22_00	merchant	Thiollier	2048439206	1
110080	m31_00	merchant	Patches	3686	1
110080	m60_37_42	merchant	Patches	3686	1
110080	m60_37_54	merchant	Patches	3686	1
110080	m60_39_54	merchant	Patches	3686	1
110110	m11_10	merchant	Twin Maiden Husks		
110110	m16_00	merchant	Patches	3686	1
110110	m22_00	merchant	Thiollier	2048439206	1
110110	m31_00	merchant	Patches	3686	1
110110	m60_37_42	merchant	Patches	3686	1
110110	m60_37_54	merchant	Patches	3686	1
110110	m60_39_54	merchant	Patches	3686	1
110120	m11_10	merchant	Twin Maiden Husks		
110120	m16_00	merchant	Patches	3686	1
110120	m22_00	merchant	Thiollier	2048439206	1
110120	m31_00	merchant	Patches	3686	1
110120	m60_37_42	merchant	Patches	3686	1
110120	m60_37_54	merchant	Patches	3686	1
110120	m60_39_54	merchant	Patches	3686	1
110130	m11_10	merchant	Twin Maiden Husks		
110130	m16_00	merchant	Patches	3686	1
110130	m22_00	merchant	Thiollier	2048439206	1
110130	m31_00	merchant	Patches	3686	1
110130	m60_37_42	merchant	Patches	3686	1
110130	m60_37_54	merchant	Patches	3686	1
110130	m60_39_54	merchant	Patches	3686	1
110140	m11_10	merchant	Twin Maiden Husks		
110140	m16_00	merchant	Patches	3686	1
110140	m22_00	merchant	Thiollier	2048439206	1
110140	m31_00	merchant	Patches	3686	1
110140	m60_37_42	merchant	Patches	3686	1
110140	m60_37_54	merchant	Patches	3686	1
110140	m60_39_54	merchant	Patches	3686	1
110150	m11_10	merchant	Twin Maiden Husks		
110150	m16_00	merchant	Patches	3686	1
110150	m22_00	merchant	Thiollier	2048439206	1
110150	m31_00	merchant	Patches	3686	1
110150	m60_37_42	merchant	Patches	3686	1
110150	m60_37_54	merchant	Patches	3686	1
110150	m60_39_54	merchant	Patches	3686	1
110160	m11_10	merchant	Twin Maiden Husks		
110160	m16_00	merchant	Patches	3686	1
110160	m22_00	merchant	Thiollier	2048439206	1
110160	m31_00	merchant	Patches	3686	1
110160	m60_37_42	merchant	Patches	3686	1
110160	m60_37_54	merchant	Patches	3686	1
110160	m60_39_54	merchant	Patches	3686	1
110170	m11_10	merchant	Twin Maiden Husks		
110170	m16_00	merchant	Patches	3686	1
110170	m22_00	merchant	Thiollier	2048439206	1
110170	m31_00	merchant	Patches	3686	1
110170	m60_37_42	merchant	Patches	3686	1
110170	m60_37_54	merchant	Patches	3686	1
110170	m60_39_54	merchant	Patches	3686	1
110190	m11_10	merchant	Twin Maiden Husks		
110190	m16_00	merchant	Patches	3686	1
110190	m22_00	merchant	Thiollier	2048439206	1
110190	m31_00	merchant	Patches	3686	1
110190	m60_37_42	merchant	Patches	3686	1
110190	m60_37_54	merchant	Patches	3686	1
110190	m60_39_54	merchant	Patches	3686	1
110200	m11_10	merchant	Twin Maiden Husks		
110200	m16_00	merchant	Patches	3686	1
110200	m22_00	merchant	Thiollier	2048439206	1
110200	m31_00	merchant	Patches	3686	1
110200	m60_37_42	merchant	Patches	3686	1
110200	m60_37_54	merchant	Patches	3686	1
110200	m60_39_54	merchant	Patches	3686	1
110210	m11_10	merchant	Twin Maiden Husks		
110210	m16_00	merchant	Patches	3686	1
110210	m22_00	merchant	Thiollier	2048439206	1
110210	m31_00	merchant	Patches	3686	1
110210	m60_37_42	merchant	Patches	3686	1
110210	m60_37_54	merchant	Patches	3686	1
110210	m60_39_54	merchant	Patches	3686	1
110220	m11_10	merchant	Twin Maiden Husks		
110220	m16_00	merchant	Patches	3686	1
110220	m22_00	merchant	Thiollier	2048439206	1
110220	m31_00	merchant	Patches	3686	1
110220	m60_37_42	merchant	Patches	3686	1
110220	m60_37_54	merchant	Patches	3686	1
110220	m60_39_54	merchant	Patches	3686	1
110260	m11_10	merchant	D, Hunter of the Dead	1051439205	1
110260	m60_44_39	merchant	D, Hunter of the Dead	1051439205	1
110260	m60_45_39	merchant	D, Hunter of the Dead	1051439205	1
110270	m11_10	merchant	D, Hunter of the Dead	1051439205	1
110270	m60_44_39	merchant	D, Hunter of the Dead	1051439205	1
110270	m60_45_39	merchant	D, Hunter of the Dead	1051439205	1
110750	m11_10	merchant	Twin Maiden Husks		
110750	m60_50_38	merchant	Sage Gowry	4167	1
110760	m11_10	merchant	Twin Maiden Husks		
110760	m60_50_38	merchant	Sage Gowry	4167	1
110770	m11_10	merchant	Twin Maiden Husks		
110770	m60_50_38	merchant	Sage Gowry	4167	1
110850	m11_10	merchant	Twin Maiden Husks		
110850	m60_50_38	merchant	Sage Gowry	4167	1
120000	m10_00	merchant	Sorcerer Rogier	10009606	0
120000	m11_10	merchant	Sorcerer Rogier	10009606	0
120010	m10_00	merchant	Sorcerer Rogier	10009606	0
120010	m11_10	merchant	Sorcerer Rogier	10009606	0
120020	m10_00	merchant	Sorcerer Rogier	10009606	0
120020	m11_10	merchant	Sorcerer Rogier	10009606	0
120270	m11_10	merchant	Twin Maiden Husks		
120270	m60_34_49	merchant	Smithing Master Iji	3765	0
120280	m11_10	merchant	Twin Maiden Husks		
120280	m60_34_49	merchant	Smithing Master Iji	3765	0
120290	m11_10	merchant	Twin Maiden Husks		
120290	m60_34_49	merchant	Smithing Master Iji	3765	0
120500	m11_10	merchant	Twin Maiden Husks		
120500	m60_39_39	merchant	Sorcerer Thops	1039399206	0
120510	m11_10	merchant	Twin Maiden Husks		
120510	m60_39_39	merchant	Sorcerer Thops	1039399206	0
120520	m11_10	merchant	Twin Maiden Husks		
120520	m60_39_39	merchant	Sorcerer Thops	1039399206	0
120750	m11_10	merchant	Twin Maiden Husks		
120750	m60_34_50	merchant	Preceptor Seluvis	3568	1
120760	m11_10	merchant	Twin Maiden Husks		
120760	m60_34_50	merchant	Preceptor Seluvis	3568	1
120770	m11_10	merchant	Twin Maiden Husks		
120770	m60_34_50	merchant	Preceptor Seluvis	3568	1
120780	m11_10	merchant	Twin Maiden Husks		
120780	m60_34_50	merchant	Preceptor Seluvis	3568	1
120790	m11_10	merchant	Twin Maiden Husks		
120790	m60_34_50	merchant	Preceptor Seluvis	3568	1
120800	m11_10	merchant	Twin Maiden Husks		
120800	m60_34_50	merchant	Preceptor Seluvis	3568	1
120810	m11_10	merchant	Twin Maiden Husks		
120810	m60_34_50	merchant	Preceptor Seluvis	3568	1
120820	m11_10	merchant	Twin Maiden Husks		
120820	m60_34_50	merchant	Preceptor Seluvis	3568	1
120830	m11_10	merchant	Twin Maiden Husks		
120830	m60_34_50	merchant	Preceptor Seluvis	3568	1
120840	m11_10	merchant	Twin Maiden Husks		
120840	m60_34_50	merchant	Preceptor Seluvis	3568	1
130000	m11_10	merchant	Twin Maiden Husks		
130000	m60_34_50	merchant	Preceptor Seluvis		
130010	m11_10	merchant	Twin Maiden Husks		
130010	m60_34_50	merchant	Preceptor Seluvis		
130020	m11_10	merchant	Twin Maiden Husks		
130020	m60_34_50	merchant	Preceptor Seluvis		
130100	m11_10	merchant	Twin Maiden Husks		
130100	m60_34_50	merchant	Preceptor Seluvis		
130290	m11_10	merchant	Twin Maiden Husks		
130290	m60_35_50	merchant	Pidia, Carian Servant	1035509205	1
130300	m11_10	merchant	Twin Maiden Husks		
130300	m60_35_50	merchant	Pidia, Carian Servant	1035509205	1
130340	m11_10	merchant	Twin Maiden Husks		
130340	m60_35_50	merchant	Pidia, Carian Servant	1035509205	1
130350	m11_10	merchant	Twin Maiden Husks		
130350	m60_35_50	merchant	Pidia, Carian Servant	1035509205	1
130360	m11_10	merchant	Twin Maiden Husks		
130360	m60_35_50	merchant	Pidia, Carian Servant	1035509205	1
130370	m11_10	merchant	Twin Maiden Husks		
130370	m60_35_50	merchant	Pidia, Carian Servant	1035509205	1
130380	m11_10	merchant	Twin Maiden Husks		
130380	m60_35_50	merchant	Pidia, Carian Servant	1035509205	1
130390	m11_10	merchant	Twin Maiden Husks		
130390	m60_35_50	merchant	Pidia, Carian Servant	1035509205	1
130500	m11_00	merchant	Scribe Corhyn	4205	1
130500	m11_05	merchant	Scribe Corhyn	4205	1
130500	m11_10	merchant	Brother Corhyn	4205	1
130500	m60_40_52	merchant	Brother Corhyn	4205	1
130500	m60_40_54	merchant	Brother Corhyn	4205	1
130500	m60_51_56	merchant	Brother Corhyn	4205	1
130510	m11_00	merchant	Scribe Corhyn	4205	1
130510	m11_05	merchant	Scribe Corhyn	4205	1
130510	m11_10	merchant	Brother Corhyn	4205	1
130510	m60_40_52	merchant	Brother Corhyn	4205	1
130510	m60_40_54	merchant	Brother Corhyn	4205	1
130510	m60_51_56	merchant	Brother Corhyn	4205	1
