# AUTO-GENERATED by tools/datamine_esd_gates.py -- NPC dialogue item gifts (AwardItemLot)
# from ESDLang-decompiled talk ESD. gate_flag with gate_sense==0 is the 'not yet
# received' acquisition flag; item_lot is the ItemLotParam handed over; talk_id ->
# NPC map -> region (join as in datamine_merchant_shops). One row PER GATE PATH.
# Lots resolve through the ESD call chain (assert t.._x3(lot1=N) -> AwardItemLot(lot1));
# a literal-only read finds 6 of the lots below. NO NEW CHECKS -- every lot with an
# acquisition flag is already in region_map.csv; the value is PROVENANCE (who hands
# it over, behind which flag, on which map) and PLACEMENT for the PENDING rows.
# MEASURED THIS RUN (recomputed on every emit):
#   105 sites (6 literal, 99 param) | 298 rows | 128 distinct lots
#   lots: 49 live AP checks | 9 NOT_RANDOMIZED | 39 region_map-PENDING (this
#   table is their placement source) | 0 placed-not-live | 0 unknown-flag |
#   31 with no acquisition flag (invisible to the flag poll)
talk_id	gate_flag	gate_sense	item_lot
322001203	11109006	1	103300
322001203	11109006	1	103310
322001203	11109006	1	103320
322001203	11109006	1	103330
322001203	11109006	1	103340
322001203	12039156	0	103300
322001203	12039156	0	103310
322001203	12039156	0	103320
322001203	12039156	0	103330
322001203	12039156	0	103340
322001203	12039156	1	103300
322001203	12039156	1	103310
322001203	12039156	1	103320
322001203	12039156	1	103330
322001203	12039156	1	103340
322011203	4129	1	103300
322011203	4129	1	103310
322011203	4129	1	103320
322011203	4129	1	103330
322011203	4129	1	103340
322011203	11109006	0	103300
322011203	11109006	0	103310
322011203	11109006	0	103320
322011203	11109006	0	103330
322011203	11109006	0	103340
322011203	11109006	1	103300
322011203	11109006	1	103310
322011203	11109006	1	103320
322011203	11109006	1	103330
322011203	11109006	1	103340
322011203	12039156	0	103300
322011203	12039156	0	103310
322011203	12039156	0	103320
322011203	12039156	0	103330
322011203	12039156	0	103340
322011203	12039156	1	103300
322011203	12039156	1	103310
322011203	12039156	1	103320
322011203	12039156	1	103330
322011203	12039156	1	103340
323001110	11109957	0	103800
324001100	11109696	1	102800
324001100	11109698	1	102810
324001110	110	0	102820
324001110	110	0	102830
324001110	110	0	102840
324001110	11109550	0	102850
324001110	11109662	1	102820
324001110	11109662	1	102830
324001110	11109662	1	102840
325001000	10009606	0	103500
325001000	10009606	1	103500
325001000	10009616	1	103500
325001000	11109505	1	103500
325001000	11109505	1	103510
325001000	11109530	1	103500
325001110	10009606	0	103500
325001110	10009606	1	103500
325001110	10009616	1	103500
325001110	11109505	1	103500
325001110	11109505	1	103510
325001110	11109530	1	103500
326001600	16009460	0	102900
326001600	16009460	0	102910
326006000	16009460	0	102900
326006000	16009460	0	102910
334001000	10009716	0	104220
334001000	11109905	0	104200
334001110	11109905	0	104200
334006000	10009716	0	104220
334006000	11109905	0	104200
335006000	400250	0	102500
335006000	1041389457	0	102510
337001100	11009210	0	102600
348001500	1050389257	0	103200
348006000	1050389257	0	103200
349006000	1050389207	0	103110
349006000	1050389210	0	103100
402002000	20009263	0	107211
402002000	20009265	0	107200
402002000	20009272	0	107220
402002000	20009292	1	107200
403006100	4267	1	107100
403006100	2052409207	0	107100
406006100	2049399725	0	107000
406006100	2049399728	1	107000
406006100	2049399741	0	107020
412006100	2051459738	1	107800
412006100	2051459738	1	107810
412006100	2051459738	1	107820
412006100	2051459738	1	107830
412006100	2051459738	1	107840
412006100	2051459738	1	107850
412006100	2051459738	1	107860
412006100	2051459738	1	107870
412006100	2051459738	1	107880
412006100	2051459738	1	107890
412006100	2051459738	1	107900
412006100	2051459740	1	107600
412006100	2051459740	1	107610
412006100	2051459740	1	107620
412006100	2051459740	1	107630
412006100	2051459740	1	107640
412006100	2051459740	1	107650
412006100	2051459740	1	107660
412006100	2051459740	1	107670
412006100	2051459740	1	107680
412006100	2051459740	1	107690
412006100	2051459740	1	107700
414002101	2046422700	1	106110
414002101	2046429206	0	106100
414002101	2046429210	1	106120
414002101	2048452700	1	106110
414002101	2048459205	0	106120
414006100	2046422700	1	106110
414006100	2046429206	0	106100
414006100	2046429210	1	106120
414006100	2048452700	1	106110
414006100	2048459205	0	106120
415006100	4385	1	106400
415006100	4385	1	106410
416002101	21019316	0	106200
416002101	21019317	0	106200
417002101	21019365	0	106000
417006100	21019365	0	106000
418001205	4927	1	105900
418001205	4927	1	105910
418006100	4927	1	105900
418006100	4927	1	105910
419002200	2048439206	1	100700
419002200	2048439225	1	100700
419002200	2048439228	1	100700
419002200	2048439235	1	100700
419006100	2048439206	1	106300
419006100	2048439207	1	106300
419006100	2048439225	1	106300
419006100	2048439228	1	106300
420006100	2051459208	0	106630
420006100	2051459208	1	106620
420006100	2051459217	0	106610
420006100	2051459220	0	106600
430006100	2048449300	0	107500
430016100	2049469200	0	107510
430026100	2050479200	0	107520
430036100	2045409200	0	107530
430046100	2048419200	0	107540
430056100	2047469250	0	107550
430066100	2048439250	0	107560
800001100	-1	1	100420
800001100	11009311	0	100420
800003500	-1	1	100420
800003500	11009311	0	100420
800006000	-1	1	100420
800006000	11009311	0	100420
800076000	4980	0	60400
800086000	4980	0	60400
800106000	4980	0	60400
800116000	4980	0	60400
800126000	4980	0	60400
800906000	-1	1	100410
800906000	1043379220	0	100400
