# AUTO-GENERATED by tools/datamine_flagless_enemy_drops.py -- DO NOT EDIT.
# ItemLotParam_enemy rows with NO getItemFlagId* that award a NAMED item, joined
# to the NpcParam rows that reference them. MEASUREMENT ONLY -- see
# SPEC-flagless-enemy-drops.md; suppression policy is a separate ruling.
lot	slot	item_id	category	base_point	num	is_goods	name	npc_param_ids
300014000	2	43000000	2	20	1		Soldier's Crossbow	30000014;30000814;30001214
300014100	2	190000	3	15	1		Exile Hood	30000114;30001314
300014200	2	190000	3	15	1		Exile Hood	30000214
300014300	2	190000	3	15	1		Exile Hood	30000614
300014400	2	190000	3	15	1		Exile Hood	30000714
300014500	2	190000	3	15	1		Exile Hood	30001014;30001114
300014600	2	16010000	2	20	1		Spear	30002014
300014700	2	16080000	2	20	1		Torchpole	30003014;30003514
300014800	2	16080000	2	20	1		Torchpole	30003214
300051000	2	43000000	2	20	1		Soldier's Crossbow	30004051
300051100	2	190000	3	15	1		Exile Hood	30004151
300051200	2	190000	3	15	1		Exile Hood	30004251;30004351
300051500	2	190000	3	15	1		Exile Hood	30005051
300051600	2	16010000	2	20	1		Spear	30006051
300051700	2	16080000	2	20	1		Torchpole	30007051
301000000	2	3080000	2	40	1		Banished Knight's Greatsword	30100000;30100014;30100034;30100214;30100400;30100451;30100500;30100800;30100814
301000100	2	3080000	2	40	1		Banished Knight's Greatsword	30100100;30100114;30100134;30100140;30100172
301000200	2	3080000	2	40	1		Banished Knight's Greatsword	30100200;30100234;30100600;30100651
301000300	2	3080000	2	40	1		Banished Knight's Greatsword	30101000;30101034;30101400;30101451
301000400	2	3080000	2	40	1		Banished Knight's Greatsword	30101100;30101134;30101140;30101172;30101500
301000500	2	3080000	2	40	1		Banished Knight's Greatsword	30101200;30101234;30101600;30101651
301000600	2	18030000	2	40	1		Banished Knight's Halberd	30102000;30102014;30102034;30102400;30102451
301000700	2	18030000	2	40	1		Banished Knight's Halberd	30102100;30102134;30102172;30102500
301000800	2	18030000	2	40	1		Banished Knight's Halberd	30102200;30102234;30102600;30102651
302000000	2	15030000	2	40	1		Crescent Moon Axe	30200000;30200034;30200100
302014000	2	15030000	2	40	1		Crescent Moon Axe	30200014
302051000	2	15030000	2	40	1		Crescent Moon Axe	30200151
306000000	2	15080000	2	40	1		Executioner's Greataxe	30600000;30600020;30600030;30600040;30600050
306000100	2	18090000	2	40	1		Glaive	30601000;30601020;30601030;30601040;30601050
307000000	2	14060000	2	5	1		Celebrant's Cleaver	30700000;30700030;30700032
307000100	2	800000	3	20	1		Festive Hood	30701000;30701030;30701032
307000200	2	1060000	2	5	1		Celebrant's Sickle	30702000;30702030
307000300	2	800000	3	15	1		Festive Hood	30703000;30703030
307000400	2	16060000	2	5	1		Celebrant's Rib-Rake	30704000;30704030
308000000	2	14010000	2	20	1		Forked Hatchet	30800000
308000010	2	14010000	2	20	1		Forked Hatchet	30800007;30800010;30800012;30800100;30800110
308000020	2	14010000	2	20	1		Forked Hatchet	30800020
308000030	2	14010000	2	20	1		Forked Hatchet	30800040;30800042
308000040	2	14010000	2	20	1		Forked Hatchet	30800030;30800032;30800033;30800034;30800035;30800830
308000050	2	14010000	2	20	1		Forked Hatchet	30800050;30800052;30800852
308000100	2	14010000	2	20	1		Forked Hatchet	30801000;30801200
308000110	2	14010000	2	20	1		Forked Hatchet	30801010;30801012
308000120	2	14010000	2	20	1		Forked Hatchet	30801020
308000130	2	14010000	2	20	1		Forked Hatchet	30801040;30801042
308000140	2	14010000	2	20	1		Forked Hatchet	30801032;30801033;30801034;30801035
308000200	2	14010000	2	20	1		Forked Hatchet	30801100
308000220	2	14010000	2	20	1		Forked Hatchet	30801120
308000240	2	14010000	2	20	1		Forked Hatchet	30801133
308000250	2	14010000	2	20	1		Forked Hatchet	30801150
308000300	2	14010000	2	20	1		Forked Hatchet	30802000
308000310	2	14010000	2	20	1		Forked Hatchet	30802010;30802012
308000340	2	14010000	2	20	1		Forked Hatchet	30802030;30802032;30802033;30802034;30802035
308000400	2	3010000	2	20	1		Forked Greatsword	30806000
308000410	2	3010000	2	20	1		Forked Greatsword	30806007;30806012
308000420	2	3010000	2	20	1		Forked Greatsword	30806020
308000430	2	3010000	2	20	1		Forked Greatsword	30806040;30806042
308000440	2	3010000	2	20	1		Forked Greatsword	30806030;30806032;30806033;30806034;30806035
308000450	2	3010000	2	20	1		Forked Greatsword	30806050;30806052
308000740	2	14010000	2	20	1		Forked Hatchet	30801232;30801233
317000000	2	41010000	2	40	1		Albinauric Bow	31700000;31700052;31701000;31701052
318000000	2	15340	1	250	1	goods	Thin Beast Bones	31800000;31800020;31800021;31800052;31809000;31809020
320000000	2	250000	3	1000	1	goods	Nomadic Merchant's Chapeau	32000000;32000020;32000030;32000032;32000034;32000035;32000120;32000134;32000135;32000220;32000234;32001010;32008010;32008900;32009000;32009100;32009200;32009300;32009400;32009500;32009600;32009700;32009800
321000000	2	15000	1	80	1	goods	Sliver of Meat	32100000;32100010;32100012;32100030;32100032;32100210;32101010;32101110;32101210;32101310;32101412;32101520;32101612;32101720;32101820;32101933;32102030;32102132;32102240;32102340;32102542;32102650;32102764;32102860;32102968;32103010;32108900;32109000;32109010;32109100;32109200;32109300;32109400;32109500;32109600;32109700;32109800;32109810;32109900
325200100	2	292000	3	30	1		Nox Swordstress Crown	33001000;33001062;33001065;33001100
325200200	2	293000	3	30	1		Night Maiden Twin Crown	33002000;33002062;33002065
330000000	2	290000	3	30	1		Nox Monk Hood	33000000;33000062;33000820;33000900
332000000	2	20825	1	40	1	goods	Silver Tear Husk	33200000;33200062
332000100	2	20825	1	40	1	goods	Silver Tear Husk	33200100;33200162
332000200	2	20825	1	40	1	goods	Silver Tear Husk	33200200;33200262;33200265
332000300	2	20825	1	40	1	goods	Silver Tear Husk	33202000;33202062
332000400	2	20825	1	40	1	goods	Silver Tear Husk	33202100
332000500	2	20825	1	40	1	goods	Silver Tear Husk	33202200;33202262
332000600	2	20825	1	40	1	goods	Silver Tear Husk	33201062;33201065;33201165
333000000	2	20825	1	40	1	goods	Silver Tear Husk	33300000;33300040;33300042;33300062;33300065;33300262;33300600;33300700;33300800
333000100	2	20825	1	40	1	goods	Silver Tear Husk	33300100;33300162
333062000	2	20825	1	40	1	goods	Silver Tear Husk	33300662
333062010	2	20825	1	40	1	goods	Silver Tear Husk	33300762
333062020	2	20825	1	40	1	goods	Silver Tear Husk	33300862
333065000	2	20825	1	40	1	goods	Silver Tear Husk	33300665
335000600	2	16160000	2	80	1		Rotten Crystal Spear	33501500;33501556
335000700	2	33270000	2	80	1		Rotten Crystal Staff	33502500;33502556
336000000	2	14030000	2	20	1		Jawbone Axe	33600000;33600020;33600064;33600065;33600100;33600200;33600264;33600265;33600300;33600500;33600520;33600564;33600565;33600600;33600700;33600764;33600765;33605000;33605064;33605200;33605264;33605500;33605564;33605700;33605764;33610000;33610062;33610200;33610300;33610500;33610562;33610700
336000100	2	12010000	2	20	1		Greathorn Hammer	33601000;33601064;33601065;33601100;33601200;33601264;33601265;33601300;33601365;33606000;33606064;33606200;33606264;33611000;33611062;33611200;33611300
336000200	2	300100	3	15	1		Fur Raiment	33602000;33602064;33602065;33602100;33602200;33602264;33602265;33602300;33602352;33602365;33607000;33607064;33607200;33607264;33612000;33612062;33612200;33612300
336000700	2	14030000	2	20	1		Jawbone Axe	33600062
337000000	2	301100	3	40	1		Shaman Furs	33700052;33700064;33700065;33700100;33710062
337000700	2	301100	3	40	1		Shaman Furs	33700265
337065000	2	20800	1	200	1	goods	Nascent Butterfly	33700865
340000000	2	23040000	2	40	1		Duelist Greataxe	34000000;34000030;34000034;34000040;34000100
340000200	2	12020000	2	40	1		Battle Hammer	34001000;34001034;34001100
345000000	2	14040000	2	20	1		Iron Cleaver	34500000;34500012;34500013;34500030;34500034;34500054;34500100
345000100	2	40010000	2	20	1		Misbegotten Shortbow	34501000;34501012;34501013;34501020;34501030;34501034;34501052;34501054;34501100;34501354;34502000;34502012;34502030;34502054;34502100;34502354
345100000	2	15050000	2	20	1		Longhaft Axe	34510000;34510012;34510013;34510030;34510034;34510052;34510054;34510100;34510179;34510200;34510354;34519000;34519020
346000000	2	3020000	2	40	1		Iron Greatsword	34600000;34600012;34600034;34600054;34600354
347000000	2	31040000	2	20	1		Albinauric Shield	34700000;34700020;34700300;34700352;34700400
347000050	2	1060100	3	15	1		Dirty Chainmail	34700452
347000100	2	15420	1	25	1	goods	Albinauric Bloodclot	34700100;34700120;34700200;34700268
347000200	2	31040000	2	20	1		Albinauric Shield	34701000;34701020;34701500;34701552;34701600
347000250	2	1060100	3	10	1		Dirty Chainmail	34701652
347000300	2	15420	1	25	1	goods	Albinauric Bloodclot	34701100;34701120;34701200;34701300;34701400;34701468
347000400	2	11030000	2	20	1		Curved Club	34702000;34702100;34702120;34702400;34702468
347000500	2	11030000	2	20	1		Curved Club	34702200;34702300;34702320;34702500;34702552
347000600	2	15420	1	25	1	goods	Albinauric Bloodclot	34703000;34703020;34703068;34703100;34703200;34703252
347000700	2	18060000	2	20	1		Ripple Crescent Halberd	34704000;34704020
347000800	2	18060000	2	20	1		Ripple Crescent Halberd	34704100;34704120;34704200;34704268;34704300;34704352
347100000	2	12080000	2	40	1		Curved Great Club	34715000;34715100;34715120;34715200;34715268;34715300;34715352
350000000	2	15100	1	50	1	goods	Human Bone Shard	35000000;35000010;35000012;35000014;35000020;35000030;35000032;35000034;35000040;35000050;35000100;35000172;35000300;35000330;35000400;35000500;35000700;35000733
350000100	2	15100	1	50	1	goods	Human Bone Shard	35001000;35001010;35001012;35001014;35001030;35001032;35001040;35001050;35001100;35001172;35001700;35001733
350000200	2	19010000	2	20	1		Grave Scythe	35002000;35002010;35002012;35002020;35002032;35002040;35002050;35002100;35002172;35002700;35002733
350000300	2	31050000	2	20	1		Sun Realm Shield	35003000;35003010;35003012;35003014;35003032;35003040;35003050;35003100;35003172;35003700;35003733
350000400	2	7040000	2	15	1		Bandit's Curved Sword	35004000;35004010;35004012;35004020;35004030;35004032;35004040;35004050;35004100;35004172;35004700;35004733
351000000	2	7140000	2	20	1		Scimitar	35100000;35100010;35100012;35100020;35100032;35100033;35100040
351000100	2	7140000	2	20	1		Scimitar	35100100;35100110;35100112;35100120;35100132;35100133
351000200	2	7140000	2	20	1		Scimitar	35100200;35100210
351000300	2	7150000	2	20	1		Grossmesser	35101000;35101010;35101012;35101020;35101032;35101033;35101040
351000400	2	7150000	2	20	1		Grossmesser	35101100;35101110;35101112;35101140
351000500	2	41000000	2	20	1		Longbow	35102000;35102010;35102012;35102020;35102032;35102033;35102040
351000600	2	15100	1	50	1	goods	Human Bone Shard	35103000;35103010;35103012;35103020
351000700	2	15100	1	50	1	goods	Human Bone Shard	35103100;35103110
351000800	2	15100	1	50	1	goods	Human Bone Shard	35104000;35104010;35104012;35104032
351000900	2	15100	1	50	1	goods	Human Bone Shard	35104100;35104110
355000000	2	20723	1	150	1	goods	Bloodrose	35500000;35500020;35500030;35500050;35500068
361000000	2	11100000	2	20	1		Envoy's Horn	36100000;36100034;36100054
361000100	2	12160000	2	40	1		Envoy's Long Horn	36200000;36200034;36200054
361000200	2	23030000	2	20	1		Envoy's Greathorn	36300000;36300054
365000000	2	18110000	2	20	1		Guardian's Swordspear	36500000;36500012;36500020;36500030;36500033;36500034
365000100	2	18110000	2	20	1		Guardian's Swordspear	36501000;36501033;36501034;36501100
365000200	2	18110000	2	20	1		Guardian's Swordspear	36502000;36502040;36502042;36502052
365033100	2	20820	1	40	1	goods	Golden Centipede	36501833
366000000	2	2050000	2	20	1		Weathered Straight Sword	36600000;36600014;36600020;36600030;36600034;36600035;36600041;36600070
366000100	2	2050000	2	20	1		Weathered Straight Sword	36600100;36600110;36600114
366000200	2	2050000	2	20	1		Weathered Straight Sword	36600600;36600612;36600620;36600652
366000300	2	2050000	2	20	1		Weathered Straight Sword	36600700;36600733
366000400	2	2050000	2	20	1		Weathered Straight Sword	36600800;36600838
366000500	2	811000	3	15	1		Commoner's Headband (Altered)	36601000;36601030;36601070
366000600	2	10000	1	50	1	goods	Glass Shard	36601200;36601212;36601220;36601252
366000700	2	10000	1	50	1	goods	Glass Shard	36601300;36601333
366000800	2	10000	1	50	1	goods	Glass Shard	36601400;36601438
366000900	2	10000	1	50	1	goods	Glass Shard	36602000;36602070
366000910	2	10000	1	50	1	goods	Glass Shard	36602100;36602152
366000920	2	10000	1	50	1	goods	Glass Shard	36602200;36602233
366000930	2	10000	1	50	1	goods	Glass Shard	36602300;36602338
366000940	2	10000	1	50	1	goods	Glass Shard	36603000;36603010;36603020;36603100;36603110
366100000	2	20760	1	50	1	goods	Mushroom	36610000;36610012;36610030;36610032;36610033;36610034;36610035;36610040;36610054;36610100;36610140;36610812;36613000;36613100;36613200;36616000;36616040;36619000;36619040
366100100	2	20770	1	50	1	goods	Toxic Mushroom	36611000;36611012;36611030;36611031;36611035;36611100
366100200	2	20761	1	50	1	goods	Melted Mushroom	36612000;36612030;36612032;36612035;36612040;36612132;36612200
366100300	2	20760	1	50	1	goods	Mushroom	36613054;36613154;36613254
366100400	2	20760	1	50	1	goods	Mushroom	36614000;36614024
366100500	2	20760	1	50	1	goods	Mushroom	36615000;36615068
366200000	2	20760	1	120	1	goods	Mushroom	36620000;36620012;36620034;36620040;36620054;36620100;36620140;36626000;36626040
366200100	2	20770	1	120	1	goods	Toxic Mushroom	36621000;36621031;36621035;36621100;36621140
366200200	2	20761	1	120	1	goods	Melted Mushroom	36622000;36622040;36622200
366200300	2	20760	1	120	1	goods	Mushroom	36623000;36623054;36623100;36623154;36623200;36623254
366200400	2	20760	1	120	1	goods	Mushroom	36624000;36624024
366200500	2	20760	1	120	1	goods	Mushroom	36625000;36625068
367000000	2	15420	1	40	1	goods	Albinauric Bloodclot	36700000;36700042;36700100;36700120;36700134
367000100	2	15420	1	40	1	goods	Albinauric Bloodclot	36701000;36701021;36701038;36701042;36701100;36701120;36701121;36701138
367000200	2	15420	1	40	1	goods	Albinauric Bloodclot	36702000;36702038;36702051;36702100;36702138;36702151;36702200;36702238;36702251
367000300	2	2020000	3	5	1		Black Dumpling	36703000;36703034;36703038;36703051
367000400	2	15420	1	40	1	goods	Albinauric Bloodclot	36704000;36704020
367020500	2	15420	1	40	1	goods	Albinauric Bloodclot	36709020
370000000	2	540000	3	30	1		Depraved Perfumer Headscarf	37000000;37000010;37000020;37000030;37000031;37000033
370000100	2	540000	3	30	1		Depraved Perfumer Headscarf	37001000;37001030;37001031
370100100	2	90000	3	40	1		Perfumer Hood	37010000;37010030;37010033;37010034
370100200	2	90000	3	40	1		Perfumer Hood	37011000;37011030;37011034
370130100	2	90000	3	40	1		Perfumer Hood	37010830
370200000	2	33200000	2	20	1		Academy Glintstone Staff	37020000;37020020;37020021;37020024;37020032
370200100	2	33200000	2	20	1		Academy Glintstone Staff	37021000;37021020;37021024;37021032;37021040
370200200	2	2250000	2	20	1		Lazuli Glintstone Sword	37022000;37022021;37022024;37022040
370200300	2	33200000	2	20	1		Academy Glintstone Staff	37023000;37023020;37023024;37023040
370200400	2	33200000	2	20	1		Academy Glintstone Staff	37024000;37024024
370300000	2	220000	3	30	1	goods	Page Hood	37030000;37030012;37030021;37030030;37030031;37030032;37030033;37030034;37030041;37030052
370300100	2	52020000	2	250	5		Perfumer's Bolt	37031000;37031024;37031034
370400000	2	11140000	2	40	1		Stone Club	37040000;37040800
370400100	2	11140000	2	40	1		Stone Club	37040020
370400200	2	11140000	2	40	1		Stone Club	37040040
370400300	2	11140000	2	40	1		Stone Club	37040054
370400700	2	11140000	2	40	1		Stone Club	37040830
375000000	2	16030000	2	20	1		Clayman's Harpoon	37500000;37500060;37500062;37500064;37500065
375000100	2	20810	1	40	1	goods	Silver Firefly	37501000;37501060;37501062
375000200	2	20810	1	40	1	goods	Silver Firefly	37502000;37502060;37502062;37502064;37502065
380000000	2	5010000	2	40	1		Cleanrot Knight's Sword	38000000
380000010	2	5010000	2	40	1		Cleanrot Knight's Sword	38000031;38000040;38000042;38000052;38000100;38000142
380000020	2	5010000	2	40	1		Cleanrot Knight's Sword	38000056
380000100	2	19020000	2	20	1		Halo Scythe	38001000
380000110	2	19020000	2	20	1		Halo Scythe	38001031;38001040;38001042;38001052;38001100;38001142
380000120	2	19020000	2	20	1		Halo Scythe	38001056
381000000	2	18010000	2	40	1		Pest's Glaive	38100000;38100040;38100062;38102000
381000100	2	18010000	2	40	1		Pest's Glaive	38101000;38101040
381000200	2	18010000	2	40	1		Pest's Glaive	38103000;38103040;38103056
381054000	2	18010000	2	40	1		Pest's Glaive	38100056
381054100	2	18010000	2	40	1		Pest's Glaive	38101056
381054200	2	18010000	2	40	1		Pest's Glaive	38102056
385000000	2	40000000	2	20	1		Shortbow	38500000;38500012;38500020;38500024;38500032;38500040;38500050
385000100	2	840000	3	15	1		Marionette Soldier Helm	38501000;38501012;38501020;38501024;38501032;38501040;38501050;38501100;38501140;38501200;38501240
385000200	2	16140000	2	20	1		Spiked Spear	38502000;38502012;38502020;38502024;38502032;38502040;38502050
386000000	2	850000	3	15	1		Marionette Soldier Birdhelm	38600000;38600020;38600030;38600032;38600040;38600050;38600100;38600132;38600140;38600150;38600200;38600500;38600532;38600540;38600550;38600600;38600632;38601000;38601024;38601032;38601040;38601050;38601100;38601132;38601140;38601200;38601500;38601532;38601540;38601550
390000000	2	11090000	2	40	1		Monk's Flamemace	39000000;39000020;39000032;39000050
390000100	2	8070000	2	40	1		Monk's Flameblade	39001000;39001032;39001050
390100000	2	351000	3	30	1		Blackflame Monk Hood	39010000;39010038
390100100	2	351000	3	30	1		Blackflame Monk Hood	39011000;39011042
391000000	2	360000	3	50	1		Fire Prelate Helm	39100000;39100050
391000100	2	360000	3	50	1		Fire Prelate Helm	39100100;39100150;39100200;39100250
391000200	2	20020000	2	40	1		Thorned Whip	39101000;39101050
391000300	2	20020000	2	40	1		Thorned Whip	39101100;39101150
391000700	2	360000	3	50	1		Fire Prelate Helm	39100032
395000000	2	20850	1	200	1	goods	Volcanic Stone	39501138
395000100	2	30020000	2	40	1		Man-Serpent's Shield	39502038
395000200	2	7050000	2	10	1		Magma Blade	39503038
395000300	2	33050000	2	100	1		Gelmir Glintstone Staff	39504038
395000400	2	20850	1	200	1	goods	Volcanic Stone	39500038
397000000	2	7010000	2	20	1		Beastman's Curved Sword	39700072
397000100	2	7010000	2	20	1		Beastman's Curved Sword	39700172
397000200	2	7010000	2	20	1		Beastman's Curved Sword	39700272
397000300	2	7010000	2	20	1		Beastman's Curved Sword	39700372
397000350	2	7010000	2	20	1		Beastman's Curved Sword	39700472
397000400	2	20795	1	80	1	goods	Sanctuary Stone	39702072
397000410	2	20795	1	80	1	goods	Sanctuary Stone	39702272
397000500	2	30060000	2	20	1		Beastman's Jar-Shield	39702172
397000600	2	30060000	2	20	1		Beastman's Jar-Shield	39702372
397000700	2	8080000	2	20	1		Beastman's Cleaver	39701072
397000750	2	8080000	2	20	1		Beastman's Cleaver	39701272
397000800	2	8080000	2	20	1		Beastman's Cleaver	39701172
397000900	2	20795	1	80	1	goods	Sanctuary Stone	39703072
397000910	2	20795	1	80	1	goods	Sanctuary Stone	39703172
400000000	2	20654	1	150	1	goods	Grave Violet	40000000;40000020;40000022;40000030;40000031;40000035;40000040;40000054
400000100	2	20654	1	150	1	goods	Grave Violet	40000100;40000120;40000140;40000154
400000200	2	20654	1	150	1	goods	Grave Violet	40001000;40001020;40001030;40001031;40001054;40001130
402020000	2	6070	4	30	1		Sacrificial Twig	40208020
402022000	2	6070	4	30	1		Sacrificial Twig	40208022
402022010	2	6070	4	30	1		Sacrificial Twig	40208122
402030000	2	6070	4	30	1		Sacrificial Twig	40208030
402030010	2	6070	4	30	1		Sacrificial Twig	40208130
402030020	2	6070	4	30	1		Sacrificial Twig	40208230
402031000	2	6070	4	30	1		Sacrificial Twig	40208031
402031010	2	6070	4	30	1		Sacrificial Twig	40208131
402035000	2	6070	4	30	1		Sacrificial Twig	40208035
402040000	2	6070	4	30	1		Sacrificial Twig	40208040
402056000	2	6070	4	30	1		Sacrificial Twig	40208056
402056010	2	6070	4	30	1		Sacrificial Twig	40208156
402056020	2	6070	4	30	1		Sacrificial Twig	40208256
402056030	2	6070	4	30	1		Sacrificial Twig	40208356
402056040	2	6070	4	30	1		Sacrificial Twig	40208456
404000000	2	15160	1	40	1	goods	Strip of White Flesh	40400000;40400030;40400031;40400033;40400035;40400040;40400051;40402000;40402030
404000100	2	15160	1	40	1	goods	Strip of White Flesh	40401000;40401032;40401038
404000200	2	20802	1	100	1	goods	Smoldering Butterfly	40403000;40403010;40403020;40403033;40403050;40403052
405000000	2	8020000	2	40	1		Dismounter	40500000;40500010;40500012;40500052;40500098;40500100
406000000	2	15000	1	100	1	goods	Sliver of Meat	40600000;40600010;40600052
407000000	2	15340	1	250	1	goods	Thin Beast Bones	40700000;40700010;40700012;40700020;40700030;40700032;40700033;40700036;40700042;40700051;40700052;40700065;40700100;40700110;40700112;40700152;40700165;40700900;40701000;40701010;40701012;40702000;40702010;40702012;40708000;40708024;40709000
407100000	2	15340	1	250	1	goods	Thin Beast Bones	40710000;40710010;40710012;40710020;40710022;40710030;40710032;40710033;40710042;40710051;40710052;40710065
408000000	2	2900	1	100	1	goods	Golden Rune [1]	40800000;40800010;40800012;40800013;40800014;40800020;40800028;40800064;40800100;40800210;40800212
408000100	2	2900	1	100	1	goods	Golden Rune [1]	40800030;40800032;40800034;40800035;40800040;40800042;40800050;40800051;40800052;40800054;40800065;40800134
408000200	2	2900	1	100	1	goods	Golden Rune [1]	40800300;40800312;40800320
408000300	2	2900	1	100	1	goods	Golden Rune [1]	40800352
409000000	2	2902	1	200	1	goods	Golden Rune [3]	40900000;40900010;40900012;40900014;40900020;40900064;40900210
409000100	2	2902	1	200	1	goods	Golden Rune [3]	40900030;40900032;40900034;40900035;40900040;40900042;40900054
409000200	2	2902	1	200	1	goods	Golden Rune [3]	40900300;40900312;40900320
409000300	2	2902	1	200	1	goods	Golden Rune [3]	40900352
410000000	2	7000000	2	20	1		Falchion	41000000;41000010;41000012;41000020;41000030;41000040;41000042;41000050;41000200;41000212;41009000;41009100;41009200;90010040
410000010	2	7000000	2	20	1		Falchion	41000032
410000100	2	7000000	2	20	1		Falchion	41001000;41001010;41001012;41001020;41001030;41001040;41001042;41001050;41001130;41001200;41001212
410000110	2	7000000	2	20	1		Falchion	41001032
410000200	2	11010000	2	20	1		Club	41002000;41002010;41002012;41002020;41002030;41002040;41002042;41002050;41002200;41002212
410000210	2	11010000	2	20	1		Club	41002032
410100000	2	11070000	2	20	1		Spiked Club	41010000;41010010;41010012;41010020;41010030;41010050
410100010	2	11070000	2	20	1		Spiked Club	41010032
411000000	2	1090000	2	20	1		Great Knife	41100000;41100010;41100012;41100020;41100030;41100032;41100036;41100050;90010041
412000000	2	1140000	2	40	1		Bloodstained Dagger	41200000;41200012;41200020;41200030;41200032;41200040;41200042;41200050
414000000	2	50020000	2	50	5		Serpent Arrow	41400000;41400035;41400038;41400062
414000050	2	50020000	2	50	5		Serpent Arrow	41401000;41401034
414000100	2	10900	1	15	1	goods	Grave Glovewort [1]	41402000;41402020;41402035;41402050;41402054;41402100
414000200	2	50020000	2	50	5		Serpent Arrow	41403000;41403032;41403033;41403050
414000300	2	20812	1	20	1	goods	Glintstone Firefly	41404000;41404020;41404022;41404030;41404040;41404052
414033200	2	50020000	2	50	5		Serpent Arrow	41403833
415062000	2	20801	1	80	1	goods	Aeonian Butterfly	41500862
416000000	2	15340	1	80	1	goods	Thin Beast Bones	41600000;41600014;41600024;41600031;41600032;41600034;41600035;41601000;41601010;41601020;41602000;41602050;41640000;41640030;41640052;41660000;41660040;41660042
416000010	2	15340	1	80	1	goods	Thin Beast Bones	41620000;41620072
416030100	2	20753	1	30	1	goods	Sacramental Bud	41640830
416100000	2	15340	1	80	1	goods	Thin Beast Bones	41610000;41610010;41610012;41610013;41610014;41610020;41610024;41610030;41610031;41610032;41610033;41610034;41610038;41610040;41610041;41610050;41610064;41610200;41610210;41610212;41610220;41610252;41610300;41610350;41650000;41650030;41650052;41650068;41670000;41670040
416100010	2	15340	1	80	1	goods	Thin Beast Bones	41630000;41630072
416100130	2	20753	1	30	1	goods	Sacramental Bud	41650830
417000000	2	10100	1	15	1	goods	Smithing Stone [1]	41700000;41700010;41700013;41700020;41700030;41700032;41700040
417000100	2	10000	1	150	1	goods	Glass Shard	41700100;41700110;41700130;41700140;41700141;41700152
417000200	2	10000	1	150	1	goods	Glass Shard	41700200;41700240;41700300;41700312;41700332
417100000	2	20753	1	200	1	goods	Sacramental Bud	41710000
417100200	2	15030	1	250	1	goods	Beast Blood	41710400;41710430;41710468
418000000	2	2900	1	50	1	goods	Golden Rune [1]	41800000;41800100;41800300
418000010	2	10900	1	30	1	goods	Grave Glovewort [1]	41800010;41800012;41800110;41800112;41800312;41801000;41801013
418000020	2	10901	1	15	1	goods	Grave Glovewort [2]	41800020;41800120
418000040	2	10903	1	10	1	goods	Grave Glovewort [4]	41800030;41800032;41800033;41800065
418000050	2	10906	1	15	1	goods	Grave Glovewort [7]	41800050;41800052;41800152
418052500	2	20651	1	80	1	goods	Trina's Lily	41800852
420000010	2	2900	1	20	1	goods	Golden Rune [1]	42000010;42000011;42000012;42000014;42000110;42000112;42000210
420000020	2	2902	1	15	1	goods	Golden Rune [3]	42000020;42000026;42000040;42000042;42000064;42000120;42000126;42000140;42000141;42000142;42000226;42000242
420000040	2	2905	1	10	1	goods	Golden Rune [6]	42000033;42000038;42000133;42000138
420000050	2	2909	1	20	1	goods	Golden Rune [10]	42000050;42000150;42000250
420000150	2	2909	1	20	1	goods	Golden Rune [10]	42001050;42001150;42001250
