# AUTO-GENERATED by tools/build_tile_grace.py -- map tile -> representative Site of Grace
# name (lowest-flag NON-arena grace on the tile, from grace_flags.tsv + grace_names.tsv;
# arena graces excluded via arena_graces.tsv). desc_sources layer 4b renders 'around <name>'.
tile	grace_name
m60_43_31	Castle Morne Lift
m60_43_34	Church of Pilgrimage
m60_43_35	Seaside Ruins
m60_43_37	Murkwater Cave
m60_43_38	Murkwater Coast
m60_43_39	Saintsbridge
m60_43_50	Sealed Tunnel
m60_43_53	Hermit Merchant's Shack
m60_44_33	Castle Morne Rampart
m60_44_34	Bridge of Sacrifice
m60_44_35	Agheel Lake South
m60_44_36	Waypoint Ruins Cellar
m60_44_37	Mistwood Outskirts
m60_44_38	Artist's Shack
m60_44_39	Summonwater Village Outskirts
m60_45_33	Beside the Crater-Pocked Glade
m60_45_36	Fort Haight West
m60_45_52	Capital Rampart
m60_46_38	Third Church of Marika
m60_46_39	Gael Tunnel
m60_46_40	Smoldering Church
m60_47_39	Fort Gael North
m60_47_40	Caelem Ruins
m60_47_51	Forbidden Lands
m60_47_55	Yelough Anix Tunnel
m60_47_58	Apostate Derelict
m60_48_36	Cathedral of Dragon Communion
m60_48_37	Caelid Highway South
m60_48_38	Aeonia Swamp Shore
m60_48_39	Smoldering Wall
m60_48_40	Deep Siofra Well
m60_48_41	Isolated Merchant's Shack
m60_48_57	Ordina, Liturgical Town
m60_49_37	Southern Aeonia Swamp Bank
m60_49_38	Heart of Aeonia
m60_49_39	Sellia Backstreets
m60_49_53	Zamor Ruins
m60_49_54	Consecrated Snowfield
m60_49_55	Inner Consecrated Snowfield
m60_50_36	Impassable Greatbridge
m60_50_38	Church of the Plague
m60_50_40	Dragonbarrow Fork
m60_50_53	Giant-Conquering Hero's Grave
m60_50_55	Consecrated Snowfield Catacombs
m60_51_36	Chamber Outside the Plaza
m60_51_39	Fort Faroth
m60_51_43	Bestial Sanctum
m60_51_53	Church of Repose
m60_51_56	Ancient Snow Valley Ruins
m60_51_57	Snow Valley Ruins Overlook
m60_52_38	Starscourge Radahn
m60_52_41	Lenne's Rise
m60_52_42	Farum Greatbridge
m60_52_53	Foot of the Forge
m60_52_54	Giants' Gravepost
m60_52_56	Whiteridge Road
m60_52_57	Freezing Lake
m60_53_52	Fire Giant
m60_53_56	Spiritcaller Cave
m60_54_53	Forge of the Giants
m60_54_55	First Church of Marika
m61_44_45	Ancient Ruins, Grand Stairway
m61_44_46	Church of the Bud, Main Entrance
m61_45_41	Cliffroad Terminus
m61_45_42	Main Gate Cross
m61_45_45	Rauh Ancient Ruins, West
m61_45_46	Temple Town Ruins
m61_45_47	Ravine North
m61_46_39	Cerulean Coast West
m61_46_40	Gravesite Plain
m61_46_42	Three-Path Cross
m61_46_44	Greatbridge, North
m61_46_47	Rauh Ancient Ruins, East
m61_47_35	The Fissure
m61_47_41	Scorched Ruins
m61_47_43	Ellac River Cave
m61_47_44	Castle Front
m61_47_45	Scadu Altus, West
m61_47_47	Viaduct Minor Tower
m61_48_37	Cerulean Coast Cross
m61_48_39	Cerulean Coast
m61_48_42	Pillar Path Waypoint
m61_48_43	Pillar Path Cross
m61_48_44	Castle-Lord's Chamber
m61_48_45	Highroad Cross
m61_48_47	Ancient Ruins Base
m61_49_39	Grand Altar of Dragon Communion
m61_49_43	Moorth Highway, South
m61_49_44	Moorth Ruins
m61_49_47	Castle Watering Hole
m61_49_48	Scaduview
m61_50_38	Finger Ruins of Rhia
m61_50_42	Abyssal Woods
m61_50_43	Scaduview Cross
m61_50_44	Recluses' River Downstream
m61_50_45	Recluses' River Upstream
m61_50_48	Hinterland
m61_51_42	Woodland Trail
m61_51_44	Bridge Leading to the Village
m61_51_45	Cathedral of Manus Metyr
m61_51_47	Church District Highroad
m61_51_48	Fingerstone Hill
m61_52_40	Foot of the Jagged Peak
m61_52_43	Forsaken Graveyard
m61_53_39	Jagged Peak Mountainside
m61_53_41	Church Ruins
m61_54_39	Jagged Peak Summit
m61_55_39	Rest of the Dread Dragon
