# checks whose region was NOT decided by first-hand evidence for their tile.
# how: GUESSED (nearest-neighbour hop) | ambiguous-row (tile spans 2 kick
#      regions) | CONFLICT (grace and PlayRegionParam row disagree)
# NOT a defect list -- a TRIAGE list. tools/triage_check_region_ambiguity.py
map_tile	region	ap_id	flag	how	grace_says	kick_row_says	label
m60_35_44	Liurnia	7772674	1035447010	GUESSED	-	-	Liurnia :: Golden Rune [1] - near South Raya Lucaria Gate (region unconfirmed) (1) [f1035447010]
m60_35_44	Liurnia	7772675	1035447020	GUESSED	-	-	Liurnia :: Golden Rune [4] - near South Raya Lucaria Gate (region unconfirmed) (1) [f1035447020]
m60_35_44	Liurnia	7772676	1035447030	GUESSED	-	-	Liurnia :: Golden Rune [3] - near South Raya Lucaria Gate (region unconfirmed) (1) [f1035447030]
m60_35_44	Liurnia	7772677	1035447040	GUESSED	-	-	Liurnia :: Golden Rune [2] - near South Raya Lucaria Gate (region unconfirmed) (1) [f1035447040]
m60_35_44	Liurnia	7772678	1035447050	GUESSED	-	-	Liurnia :: Golden Rune [4] - near South Raya Lucaria Gate (region unconfirmed) (2) [f1035447050]
m60_35_44	Liurnia	7772679	1035447060	GUESSED	-	-	Liurnia :: Golden Rune [2] - near South Raya Lucaria Gate (region unconfirmed) (2) [f1035447060]
m60_35_44	Liurnia	7772680	1035447070	GUESSED	-	-	Liurnia :: Golden Rune [1] - near South Raya Lucaria Gate (region unconfirmed) (2) [f1035447070]
m60_35_44	Liurnia	7772681	1035447080	GUESSED	-	-	Liurnia :: Golden Rune [5] - near South Raya Lucaria Gate (region unconfirmed) [f1035447080]
m60_35_44	Liurnia	7772682	1035447090	GUESSED	-	-	Liurnia :: Golden Rune [2] - near South Raya Lucaria Gate (region unconfirmed) (3) [f1035447090]
m60_35_44	Liurnia	7772683	1035447100	GUESSED	-	-	Liurnia :: Golden Rune [3] - near South Raya Lucaria Gate (region unconfirmed) (2) [f1035447100]
m60_35_44	Liurnia	7772684	1035447110	GUESSED	-	-	Liurnia :: Smithing Stone [2] - near South Raya Lucaria Gate (region unconfirmed) [f1035447110]
m60_35_44	Liurnia	7772685	1035447120	GUESSED	-	-	Liurnia :: Blue-White Wooden Shield - near South Raya Lucaria Gate (region unconfirmed) [f1035447120]
m60_35_44	Liurnia	7774398	1035447990	GUESSED	-	-	Liurnia :: Smoldering Butterfly - m60_35_44 (region unconfirmed) [f1035447990]
m60_35_49	Liurnia	7774402	1035497020	GUESSED	-	-	Liurnia :: Somber Smithing Stone [4] - near The Ravine (region unconfirmed) [f1035497020]
m60_35_49	Liurnia	7774403	1035497990	GUESSED	-	-	Liurnia :: Somber Smithing Stone [2] - near Main Caria Manor Gate (region unconfirmed) [f1035497990]
m60_35_54	Mt. Gelmir	7772710	1035547000	GUESSED	-	-	Mt. Gelmir :: Dragonwound Grease - near Road of Iniquity (region unconfirmed) [f1035547000]
m60_35_54	Mt. Gelmir	7772711	1035547010	GUESSED	-	-	Mt. Gelmir :: Golden Rune [3] - near Road of Iniquity (region unconfirmed) [f1035547010]
m60_35_54	Mt. Gelmir	7772712	1035547020	GUESSED	-	-	Mt. Gelmir :: Stonesword Key - near Seethewater Terminus (region unconfirmed) [f1035547020]
m60_35_54	Mt. Gelmir	7772713	1035547050	GUESSED	-	-	Mt. Gelmir :: Fire Scorpion Charm - near Seethewater Terminus (region unconfirmed) [f1035547050]
m60_35_54	Mt. Gelmir	7772714	1035547060	GUESSED	-	-	Mt. Gelmir :: Golden Rune [8] - near Seethewater Terminus (region unconfirmed) [f1035547060]
m60_35_54	Mt. Gelmir	7772715	1035547070	GUESSED	-	-	Mt. Gelmir :: Slumbering Egg - near Seethewater Terminus (region unconfirmed) [f1035547070]
m60_35_54	Mt. Gelmir	7774451	1035547980	GUESSED	-	-	Mt. Gelmir :: Somber Smithing Stone [4] - near Road of Iniquity (region unconfirmed) (1) [f1035547980]
m60_35_54	Mt. Gelmir	7774452	1035547990	GUESSED	-	-	Mt. Gelmir :: Smoldering Butterfly - m60_35_54 (region unconfirmed) [f1035547990]
m60_36_47	Liurnia	7774464	1036477000	GUESSED	-	-	Liurnia :: Somber Smithing Stone [3] - near East Raya Lucaria Gate (region unconfirmed) [f1036477000]
m60_36_47	Liurnia	7774465	1036477100	GUESSED	-	-	Liurnia :: Golden Rune [1] - m60_36_47 (region unconfirmed) [f1036477100]
m60_36_53	Mt. Gelmir	7772731	1036537000	GUESSED	-	-	Mt. Gelmir :: Golden Rune [6] - near Seethewater Terminus (region unconfirmed) [f1036537000]
m60_37_43	Liurnia	7774477	1037437000	GUESSED	-	-	Liurnia :: Golden Rune [3] - near Academy Gate Town (region unconfirmed) [f1037437000]
m60_37_43	Liurnia	7774478	1037437010	GUESSED	-	-	Liurnia :: Smithing Stone [3] - near Academy Gate Town (region unconfirmed) [f1037437010]
m60_37_45	Liurnia	7774479	1037457100	GUESSED	-	-	Liurnia :: Smithing Stone [3] - near Eastern Liurnia Lake Shore (region unconfirmed) (1) [f1037457100]
m60_37_50	Liurnia	7772768	1037507000	GUESSED	-	-	Liurnia :: Neutralizing Boluses - near Ravine-Veiled Village (region unconfirmed) [f1037507000]
m60_37_50	Liurnia	7772769	1037507100	GUESSED	-	-	Liurnia :: Golden Seed - Southwest of Ravine-Veiled Village [f1037507100]
m60_37_55	Mt. Gelmir	7772802	1037557000	GUESSED	-	-	Mt. Gelmir :: Poison Grease - near Ninth Mt. Gelmir Campsite (region unconfirmed) [f1037557000]
m60_38_39	Liurnia	7772803	1038397000	GUESSED	-	-	Liurnia :: Warming Stone - near Lake-Facing Cliffs (region unconfirmed) [f1038397000]
m60_38_44	Liurnia	7772813	1038447030	GUESSED	-	-	Liurnia :: Smithing Stone [3] - near Eastern Liurnia Lake Shore (region unconfirmed) (2) [f1038447030]
m60_38_44	Liurnia	7774482	1038447100	GUESSED	-	-	Liurnia :: Dragon Cult Prayerbook - m60_38_44 (region unconfirmed) (1) [f1038447100]
m60_38_44	Liurnia	7774483	1038447500	GUESSED	-	-	Liurnia :: Dragon Cult Prayerbook - m60_38_44 (region unconfirmed) (2) [f1038447500]
m60_38_49	Liurnia	7774489	1038497000	GUESSED	-	-	Liurnia :: Yellow Ember - near Church of Inhibition (region unconfirmed) [f1038497000]
m60_38_49	Liurnia	7774490	1038497010	GUESSED	-	-	Liurnia :: Smithing Stone [2] - near Church of Inhibition (region unconfirmed) [f1038497010]
m60_38_49	Liurnia	7774491	1038497030	GUESSED	-	-	Liurnia :: Burred Bolt - near Frenzied Flame Village Outskirts (region unconfirmed) [f1038497030]
m60_38_49	Liurnia	7774492	1038497040	GUESSED	-	-	Liurnia :: Golden Rune [3] - near Frenzied Flame Village Outskirts (region unconfirmed) [f1038497040]
m60_38_49	Liurnia	7774493	1038497900	GUESSED	-	-	Liurnia :: [Incantation] Howl of Shabriri - near Frenzied Flame Village Outskirts (region unconfirmed) [f1038497900]
m60_38_52	Altus	7772827	1038527000	GUESSED	-	-	Altus :: Pearldrake Talisman +1 - near Seethewater River (region unconfirmed) [f1038527000]
m60_38_52	Altus	7772828	1038527010	GUESSED	-	-	Altus :: Smithing Stone [5] - near Seethewater River (region unconfirmed) [f1038527010]
m60_38_52	Altus	7772829	1038527020	GUESSED	-	-	Altus :: Golden Rune [3] - near Seethewater River (region unconfirmed) [f1038527020]
m60_38_52	Altus	7772830	1038527030	GUESSED	-	-	Altus :: Golden Rune [7] - near Old Altus Tunnel (region unconfirmed) [f1038527030]
m60_38_52	Altus	7772831	1038527040	GUESSED	-	-	Altus :: Dappled White Cured Meat - near Seethewater River (region unconfirmed) [f1038527040]
m60_38_52	Altus	7772832	1038527050	GUESSED	-	-	Altus :: Stormhawk Feather - near Old Altus Tunnel (region unconfirmed) [f1038527050]
m60_38_52	Altus	7772833	1038527060	GUESSED	-	-	Altus :: Golden Rune [4] - near Seethewater River (region unconfirmed) [f1038527060]
m60_38_52	Altus	7772834	1038527070	GUESSED	-	-	Altus :: Human Bone Shard - near Seethewater River (region unconfirmed) [f1038527070]
m60_39_39	Liurnia	7772848	1039397000	GUESSED	-	-	Liurnia :: Sacred Tear - Church of Irith [f1039397000]
m60_39_43	Liurnia	7772860	1039437010	GUESSED	-	-	Liurnia :: Golden Rune [2] - near Jarburg (region unconfirmed) (1) [f1039437010]
m60_39_43	Liurnia	7772861	1039437020	GUESSED	-	-	Liurnia :: Golden Rune [6] - near Jarburg (region unconfirmed) [f1039437020]
m60_39_43	Liurnia	7772862	1039437030	GUESSED	-	-	Liurnia :: Golden Rune [1] - near Jarburg (region unconfirmed) [f1039437030]
m60_39_43	Liurnia	7772863	1039437040	GUESSED	-	-	Liurnia :: Golden Rune [3] - near Jarburg (region unconfirmed) (1) [f1039437040]
m60_39_43	Liurnia	7772864	1039437050	GUESSED	-	-	Liurnia :: Golden Rune [2] - near Jarburg (region unconfirmed) (2) [f1039437050]
m60_39_43	Liurnia	7772865	1039437060	GUESSED	-	-	Liurnia :: Golden Rune [3] - near Jarburg (region unconfirmed) (2) [f1039437060]
m60_39_43	Liurnia	7772866	1039437100	GUESSED	-	-	Liurnia :: Starlight Shards - near Gate Town Bridge (region unconfirmed) [f1039437100]
m60_39_43	Liurnia	7772867	1039437400	GUESSED	-	-	Liurnia :: Ash of War: Ice Spear - m60_39_43 (region unconfirmed) [f1039437400]
m60_39_48	Liurnia	7772873	1039487000	GUESSED	-	-	Liurnia :: Crystal Dart - near Frenzied Flame Village Outskirts (region unconfirmed) [f1039487000]
m60_39_48	Liurnia	7772874	1039487100	GUESSED	-	-	Liurnia :: [Sorcery] Cannon of Haima - near Frenzied Flame Village Outskirts (region unconfirmed) [f1039487100]
m60_39_50	Altus	7772875	1039507100	GUESSED	-	-	Altus :: Godfrey Icon - Godefroy, Evergaol (region unconfirmed) [f1039507100]
m60_39_50	Liurnia	7774515	1039507000	GUESSED	-	-	Liurnia :: Hefty Beast Bone - near Altus Plateau (region unconfirmed) [f1039507000]
m60_39_50	Liurnia	7774516	1039507010	GUESSED	-	-	Liurnia :: Stonesword Key - near Altus Plateau (region unconfirmed) [f1039507010]
m60_39_50	Liurnia	7774517	1039507020	GUESSED	-	-	Liurnia :: Golden Rune [4] - near Altus Highway Junction (region unconfirmed) [f1039507020]
m60_39_52	Altus	7772882	1039527400	GUESSED	-	-	Altus :: Sacred Tear - Second Church of Marika [f1039527400]
m60_39_52	Altus	7774518	1039527000	GUESSED	-	-	Altus :: Human Bone Shard - near Old Altus Tunnel (region unconfirmed) [f1039527000]
m60_39_52	Altus	7774519	1039527020	GUESSED	-	-	Altus :: Magic Grease - near Old Altus Tunnel (region unconfirmed) [f1039527020]
m60_39_57	Altus	7772897	1039570000	GUESSED	-	-	Altus :: Rot Grease - near Shaded Castle Inner Gate [f1039570000]
m60_40_38	Limgrave	7772898	1040387000	GUESSED	-	-	Limgrave :: Smithing Stone [1] - near Stormhill Shack (region unconfirmed) [f1040387000]
m60_40_40	Liurnia	7774546	1040407000	GUESSED	-	-	Liurnia :: Treespear - near Lake-Facing Cliffs (region unconfirmed) [f1040407000]
m60_40_50	Altus	7772899	1040507000	GUESSED	-	-	Altus :: Gravity Stone Fan - near Altus Highway Junction (region unconfirmed) [f1040507000]
m60_40_51	Altus	7772900	1040517000	GUESSED	-	-	Altus :: Celestial Dew - near Rampartside Path (region unconfirmed) [f1040517000]
m60_40_51	Altus	7772901	1040517010	GUESSED	-	-	Altus :: Old Fang - near Altus Highway Junction (region unconfirmed) [f1040517010]
m60_40_51	Altus	7772902	1040517020	GUESSED	-	-	Altus :: [Incantation] Dragonbolt Blessing - near Altus Highway Junction (region unconfirmed) [f1040517020]
m60_40_51	Altus	7772903	1040517030	GUESSED	-	-	Altus :: Beast Blood - near Altus Highway Junction (region unconfirmed) [f1040517030]
m60_40_51	Altus	7772904	1040517040	GUESSED	-	-	Altus :: Lightning Greatbolt - near Altus Highway Junction (region unconfirmed) [f1040517040]
m60_40_51	Altus	7772905	1040517400	GUESSED	-	-	Altus :: Sacred Tear - Stormcaller Church [f1040517400]
m60_40_55	Altus	7772916	1040557000	GUESSED	-	-	Altus :: Giant Rat Ashes - near Road of Iniquity Side Path (region unconfirmed) [f1040557000]
m60_40_55	Altus	7774556	1040557700	GUESSED	-	-	Altus :: Haima Glintstone Crown - m60_40_55 (region unconfirmed) [f1040557700]
m60_41_36	Limgrave	7774562	1041367000	GUESSED	-	-	Limgrave :: Land Octopus Ovary - near Church of Elleh (region unconfirmed) [f1041367000]
m60_41_37	Limgrave	7774563	1041377000	GUESSED	-	-	Limgrave :: Strip of White Flesh - near Stormhill Shack (region unconfirmed) [f1041377000]
m60_41_37	Limgrave	7774564	1041377020	GUESSED	-	-	Limgrave :: Starlight Shards - near Church of Elleh (region unconfirmed) [f1041377020]
m60_41_39	Limgrave	7774571	1041397000	GUESSED	-	-	Limgrave :: Lump of Flesh - near Stormhill Shack (region unconfirmed) [f1041397000]
m60_41_51	Altus	7772926	1041517000	GUESSED	-	-	Altus :: Golden Rune [3] - near Outer Wall Phantom Tree (region unconfirmed) [f1041517000]
m60_41_51	Altus	7772927	1041517010	GUESSED	-	-	Altus :: Golden Rune [6] - near Outer Wall Phantom Tree (region unconfirmed) [f1041517010]
m60_41_51	Altus	7772928	1041517020	GUESSED	-	-	Altus :: Silver-Pickled Fowl Foot - near Outer Wall Phantom Tree (region unconfirmed) [f1041517020]
m60_41_51	Altus	7772929	1041517030	GUESSED	-	-	Altus :: Gravity Stone Chunk - near Altus Highway Junction (region unconfirmed) [f1041517030]
m60_41_53	Altus	7774572	1041537010	GUESSED	-	-	Altus :: Poisonbone Dart - near Forest-Spanning Greatbridge (region unconfirmed) [f1041537010]
m60_41_53	Altus	7774573	1041537020	GUESSED	-	-	Altus :: [Incantation] Wrath of Gold - near Rampartside Path (region unconfirmed) [f1041537020]
m60_41_53	Altus	7774574	1041537030	GUESSED	-	-	Altus :: Invigorating White Cured Meat - near Forest-Spanning Greatbridge (region unconfirmed) [f1041537030]
m60_41_53	Altus	7774575	1041537040	GUESSED	-	-	Altus :: Beast Blood - near Forest-Spanning Greatbridge (region unconfirmed) [f1041537040]
m60_41_53	Altus	7774576	1041537060	GUESSED	-	-	Altus :: Gravel Stone - near Windmill Village (region unconfirmed) [f1041537060]
m60_41_53	Altus	7774577	1041537070	GUESSED	-	-	Altus :: Soft Cotton - near Forest-Spanning Greatbridge (region unconfirmed) [f1041537070]
m60_41_53	Altus	7774578	1041537080	GUESSED	-	-	Altus :: Icon Shield - near Windmill Village (region unconfirmed) [f1041537080]
m60_41_55	Altus	7774581	1041557000	GUESSED	-	-	Altus :: Twinned Knight Swords - near Road of Iniquity Side Path (region unconfirmed) [f1041557000]
m60_41_55	Altus	7774582	1041557010	GUESSED	-	-	Altus :: Raw Meat Dumpling - near Windmill Village (region unconfirmed) [f1041557010]
m60_41_55	Altus	7774583	1041557020	GUESSED	-	-	Altus :: Navy Hood - near Road of Iniquity Side Path (region unconfirmed) [f1041557020]
m60_42_32	Weeping	7772938	1042327000	GUESSED	-	-	Weeping :: Great Dragonfly Head - near Tombsward (region unconfirmed) [f1042327000]
m60_42_32	Weeping	7772939	1042327020	GUESSED	-	-	Weeping :: Mushroom - near Tombsward (region unconfirmed) [f1042327020]
m60_42_32	Weeping	7772940	1042327100	GUESSED	-	-	Weeping :: Composite Bow - treasure · m60_42_32 (region unconfirmed) [f1042327100]
m60_42_34	Weeping	7772943	1042347000	GUESSED	-	-	Weeping :: Blood Grease - near Church of Pilgrimage (region unconfirmed) [f1042347000]
m60_42_34	Weeping	7772944	1042347010	GUESSED	-	-	Weeping :: Beast Liver - near Tombsward Cave (region unconfirmed) [f1042347010]
m60_42_34	Weeping	7772945	1042347020	GUESSED	-	-	Weeping :: Golden Rune [2] - near Tombsward Cave (region unconfirmed) [f1042347020]
m60_42_34	Weeping	7772946	1042347030	GUESSED	-	-	Weeping :: Gilded Iron Shield - near Church of Pilgrimage (region unconfirmed) [f1042347030]
m60_42_34	Weeping	7772947	1042347100	GUESSED	-	-	Weeping :: Winged Scythe - near Tombsward Cave (region unconfirmed) [f1042347100]
m60_42_35	Limgrave	7772948	1042357000	GUESSED	-	-	Limgrave :: Lump of Flesh - near Seaside Ruins (region unconfirmed) [f1042357000]
m60_42_35	Limgrave	7772949	1042357010	GUESSED	-	-	Limgrave :: Gold-Pickled Fowl Foot - near The First Step (region unconfirmed) [f1042357010]
m60_42_35	Limgrave	7772950	1042357020	GUESSED	-	-	Limgrave :: Sliver of Meat - near Church of Pilgrimage (region unconfirmed) [f1042357020]
m60_42_35	Limgrave	7772951	1042357030	GUESSED	-	-	Limgrave :: Bewitching Branch - near Church of Pilgrimage (region unconfirmed) [f1042357030]
m60_42_39	Limgrave	7772981	1042397500	GUESSED	-	-	Limgrave :: Scaled Helm - m60_42_39 (region unconfirmed) [f1042397500]
m60_42_39	Limgrave	7772982	1042397700	GUESSED	-	-	Limgrave :: Hammer Talisman - m60_42_39 (region unconfirmed) [f1042397700]
m60_42_50	Altus	7772983	1042507020	GUESSED	-	-	Altus :: Golden Seed - from the Ulcerated Tree Spirit south of Outer Wall Phantom Tree [f1042507020]
m60_42_50	Altus	7774588	1042507000	GUESSED	-	-	Altus :: Giant-Crusher - near Outer Wall Phantom Tree (region unconfirmed) [f1042507000]
m60_42_52	Altus	7774589	1042527000	GUESSED	-	-	Altus :: Old Fang - near Rampartside Path (region unconfirmed) [f1042527000]
m60_42_52	Altus	7774590	1042527010	GUESSED	-	-	Altus :: Golden Rune [4] - near Rampartside Path (region unconfirmed) [f1042527010]
m60_42_52	Altus	7774591	1042527020	GUESSED	-	-	Altus :: Rainbow Stone - near Rampartside Path (region unconfirmed) [f1042527020]
m60_42_52	Altus	7774592	1042527030	GUESSED	-	-	Altus :: Golden Rune [10] - near Rampartside Path (region unconfirmed) [f1042527030]
m60_42_52	Altus	7774593	1042527040	GUESSED	-	-	Altus :: Arteria Leaf - near Outer Wall Battleground (region unconfirmed) [f1042527040]
m60_42_52	Altus	7774594	1042527990	GUESSED	-	-	Altus :: Golden Rune [9] - near Rampartside Path (region unconfirmed) [f1042527990]
m60_42_53	Altus	7774595	1042537000	GUESSED	-	-	Altus :: Lightning Greatbolt - near Rampartside Path (region unconfirmed) [f1042537000]
m60_42_53	Altus	7774596	1042537010	GUESSED	-	-	Altus :: Somber Smithing Stone [5] - near Rampartside Path (region unconfirmed) [f1042537010]
m60_42_54	Altus	7772988	1042547400	GUESSED	-	-	Altus :: Golden Seed - East of Windmill Village grace [f1042547400]
m60_42_54	Altus	7774597	1042547000	GUESSED	-	-	Altus :: Four-Toed Fowl Foot - near Windmill Village (region unconfirmed) [f1042547000]
m60_42_54	Altus	7774598	1042547010	GUESSED	-	-	Altus :: Golden Rune [5] - near Windmill Village (region unconfirmed) [f1042547010]
m60_42_54	Altus	7774599	1042547020	GUESSED	-	-	Altus :: Holyproof Dried Liver - near Windmill Heights (region unconfirmed) [f1042547020]
m60_42_54	Altus	7774600	1042547030	GUESSED	-	-	Altus :: Stormhawk Feather - near Windmill Village (region unconfirmed) [f1042547030]
m60_42_54	Altus	7774601	1042547040	GUESSED	-	-	Altus :: Hefty Beast Bone - near Windmill Village (region unconfirmed) [f1042547040]
m60_42_54	Altus	7774602	1042547050	GUESSED	-	-	Altus :: Golden Arrow - near Windmill Village (region unconfirmed) [f1042547050]
m60_42_54	Altus	7774603	1042547060	GUESSED	-	-	Altus :: Greatbow - near Windmill Village (region unconfirmed) [f1042547060]
m60_42_54	Altus	7774604	1042547070	GUESSED	-	-	Altus :: Gold Firefly - near Windmill Heights (region unconfirmed) [f1042547070]
m60_42_54	Altus	7774605	1042547080	GUESSED	-	-	Altus :: Lightning Grease - near Windmill Heights (region unconfirmed) [f1042547080]
m60_42_54	Altus	7774606	1042547090	GUESSED	-	-	Altus :: Exalted Flesh - near Windmill Heights (region unconfirmed) [f1042547090]
m60_42_54	Altus	7774607	1042547100	GUESSED	-	-	Altus :: Rune Arc - near Windmill Village (region unconfirmed) [f1042547100]
m60_43_32	Weeping	7774609	1043327000	GUESSED	-	-	Weeping :: Yellow Ember - near Ailing Village Outskirts (region unconfirmed) [f1043327000]
m60_43_32	Weeping	7774610	1043327010	GUESSED	-	-	Weeping :: Sliver of Meat - near Tombsward (region unconfirmed) [f1043327010]
m60_43_32	Weeping	7774611	1043327990	GUESSED	-	-	Weeping :: Golden Rune [6] - near Tombsward (region unconfirmed) [f1043327990]
m60_43_33	Weeping	7773010	1043337000	GUESSED	-	-	Weeping :: Golden Rune [2] - near Ailing Village Outskirts (region unconfirmed) (1) [f1043337000]
m60_43_33	Weeping	7774612	1043337010	GUESSED	-	-	Weeping :: Golden Rune [2] - near Ailing Village Outskirts (region unconfirmed) (2) [f1043337010]
m60_43_40	Limgrave	7773029	1043407000	GUESSED	-	-	Limgrave :: Soporific Grease - near Saintsbridge (region unconfirmed) [f1043407000]
m60_43_40	Limgrave	7773030	1043407010	GUESSED	-	-	Limgrave :: Lance Talisman - near Saintsbridge (region unconfirmed) [f1043407010]
m60_44_31	Weeping	7773040	1044317010	GUESSED	-	-	Weeping :: Golden Rune [4] - near Castle Morne Lift (region unconfirmed) [f1044317010]
m60_44_31	Weeping	7773041	1044317020	GUESSED	-	-	Weeping :: Arteria Leaf - near Castle Morne Lift (region unconfirmed) [f1044317020]
m60_44_31	Weeping	7773042	1044317030	GUESSED	-	-	Weeping :: Somber Smithing Stone [2] - near Castle Morne Lift (region unconfirmed) [f1044317030]
m60_44_32	Weeping	7773043	1044327010	GUESSED	-	-	Weeping :: Smithing Stone [1] - near Castle Morne Rampart (region unconfirmed) [f1044327010]
m60_44_32	Weeping	7773044	1044327020	GUESSED	-	-	Weeping :: Golden Seed - near Castle Morne Rampart, between the Merchant and the castle on a hill off the road [f1044327020]
m60_44_32	Weeping	7773045	1044327030	GUESSED	-	-	Weeping :: Warming Stone - near Castle Morne Rampart (region unconfirmed) [f1044327030]
m60_44_32	Weeping	7773046	1044327040	GUESSED	-	-	Weeping :: Great Turtle Shell - near Castle Morne Rampart (region unconfirmed) [f1044327040]
m60_44_32	Weeping	7773047	1044327400	GUESSED	-	-	Weeping :: Sacrificial Axe - m60_44_32 (region unconfirmed) [f1044327400]
m60_44_32	Weeping	7773048	1044327410	GUESSED	-	-	Weeping :: Ash of War: Barricade Shield - m60_44_32 (region unconfirmed) [f1044327410]
m60_44_52	Altus	7773078	1044527000	GUESSED	-	-	Altus :: Great Arrow - near Capital Rampart (region unconfirmed) [f1044527000]
m60_44_52	Altus	7773079	1044527010	GUESSED	-	-	Altus :: Golden Rune [6] - near Capital Rampart (region unconfirmed) [f1044527010]
m60_44_53	Altus	7773082	1044537300	GUESSED	-	-	Altus :: Twinbird Kite Shield - m60_44_53 (region unconfirmed) [f1044537300]
m60_45_34	Weeping	7774649	1045347000	GUESSED	-	-	Weeping :: Stonesword Key - near Bridge of Sacrifice (region unconfirmed) [f1045347000]
m60_45_35	Limgrave	7774650	1045357000	GUESSED	-	-	Limgrave :: Golden Rune [1] - near Fort Haight West (region unconfirmed) (1) [f1045357000]
m60_45_35	Limgrave	7774651	1045357020	GUESSED	-	-	Limgrave :: Golden Rune [1] - near Fort Haight West (region unconfirmed) (2) [f1045357020]
m60_45_35	Limgrave	7774652	1045357030	GUESSED	-	-	Limgrave :: Golden Rune [4] - near Fort Haight West (region unconfirmed) [f1045357030]
m60_45_35	Limgrave	7774653	1045357040	GUESSED	-	-	Limgrave :: Golden Rune [3] - near Fort Haight West (region unconfirmed) [f1045357040]
m60_45_35	Limgrave	7774654	1045357050	GUESSED	-	-	Limgrave :: Golden Rune [2] - near Fort Haight West (region unconfirmed) (1) [f1045357050]
m60_45_35	Limgrave	7774655	1045357060	GUESSED	-	-	Limgrave :: Golden Rune [1] - near Fort Haight West (region unconfirmed) (3) [f1045357060]
m60_45_35	Limgrave	7774656	1045357070	GUESSED	-	-	Limgrave :: Golden Rune [2] - near Fort Haight West (region unconfirmed) (2) [f1045357070]
m60_45_35	Limgrave	7774657	1045357080	GUESSED	-	-	Limgrave :: Golden Rune [1] - near Fort Haight West (region unconfirmed) (4) [f1045357080]
m60_45_35	Limgrave	7774658	1045357090	GUESSED	-	-	Limgrave :: Golden Rune [1] - near Fort Haight West (region unconfirmed) (5) [f1045357090]
m60_45_38	Limgrave	7774667	1045387000	GUESSED	-	-	Limgrave :: Magic Grease - near Mistwood Outskirts (region unconfirmed) [f1045387000]
m60_45_38	Limgrave	7774668	1045387020	GUESSED	-	-	Limgrave :: Golden Rune [1] - near Summonwater Village Outskirts (region unconfirmed) (1) [f1045387020]
m60_45_38	Limgrave	7774669	1045387030	GUESSED	-	-	Limgrave :: Golden Rune [1] - near Summonwater Village Outskirts (region unconfirmed) (2) [f1045387030]
m60_45_38	Limgrave	7774670	1045387040	GUESSED	-	-	Limgrave :: Golden Rune [1] - near Summonwater Village Outskirts (region unconfirmed) (3) [f1045387040]
m60_45_38	Limgrave	7774671	1045387050	GUESSED	-	-	Limgrave :: Golden Rune [2] - near Summonwater Village Outskirts (region unconfirmed) (1) [f1045387050]
m60_45_38	Limgrave	7774672	1045387060	GUESSED	-	-	Limgrave :: Golden Rune [4] - near Summonwater Village Outskirts (region unconfirmed) (1) [f1045387060]
m60_45_38	Limgrave	7774673	1045387070	GUESSED	-	-	Limgrave :: Golden Rune [4] - near Summonwater Village Outskirts (region unconfirmed) (2) [f1045387070]
m60_45_38	Limgrave	7774674	1045387080	GUESSED	-	-	Limgrave :: Golden Rune [6] - near Summonwater Village Outskirts (region unconfirmed) [f1045387080]
