# AUTO-GENERATED by tools/datamine_msb_item_regions.py --emit-assets.
# Treasure check flag -> its ItemLotParam lot -> the ASSET ENTITY the EMEVD
# names in EnableAssetTreasure/DisableAssetTreasure. Consumed by
# tools/datamine_lot_gates.py to resolve the treasure gate sites.
# maps=all
# SCOPE IS LOAD-BEARING: `--maps X --emit-assets` overwrites this same path
# with a ONE-MAP subset, and the consumer cannot tell that from a full run --
# every other site just reads as 'unresolved'. Same reason msb_flag_region.tsv
# carries its scope.
flag	item_lot_id	asset_entity	map_id	part_name
1033447010	1033440010	1033441701	m60_33_44	AEG099_610_9001
1033447020	1033440020	1033441703	m60_33_44	AEG099_610_9002
1033447030	1033440030	1033441704	m60_33_44	AEG099_610_9003
1033447040	1033440040	1033441700	m60_33_44	AEG099_620_9004
1033477010	1033470010	1033471600	m60_33_47	AEG099_630_9000
1033477020	1033470020	1033471601	m60_33_47	AEG099_630_9001
1033477200	1033470200	1033471301	m60_08_11	m60_33_47_00-AEG100_101_9000
1034427100	1034420100	1034421620	m60_34_42	AEG099_630_9000
1034487100	1034480100	1034481600	m60_34_48	AEG099_630_9000
1035417100	1035410100	1035411600	m60_35_41	AEG099_630_9000
1035417110	1035410110	1035411601	m60_35_41	AEG099_630_9001
1035507900	1035500900	1035501620	m60_35_50	AEG099_630_9001
1036457110	1036450110	1036451610	m60_36_45	AEG099_630_9001
1036527000	1036520000	1036521200	m60_36_52	AEG099_635_9000
1037427900	1037420900	1037421600	m60_37_42	AEG099_630_9000
1037467000	1037460000	1037461650	m60_37_46	AEG099_630_9000
1037497200	1037490200	1037491600	m60_37_49	AEG099_630_9000
1037547060	1037540060	1037541220	m60_37_54	AEG099_610_9005
1037547070	1037540070	1037541223	m60_37_54	AEG099_610_9004
1037547080	1037540080	1037541221	m60_37_54	AEG099_610_9006
1037547090	1037540090	1037541222	m60_37_54	AEG099_610_9008
1038407000	1038400000	1038400010	m60_38_40	AEG099_620_9000
1038457000	1038450000	1038450000	m60_38_45	AEG099_610_9000
1038497900	1038490900	1038491610	m60_38_49	AEG099_630_9000
1039417100	1039410100	1039411600	m60_39_41	AEG099_630_9000
1039487100	1039480100	1039481600	m60_39_48	AEG099_630_9000
1039537050	1039530050	1039531480	m60_39_53	AEG099_630_9000
1039537060	1039530060	1039531481	m60_39_53	AEG099_620_9000
1039547300	1039540300	1039541270	m60_39_54	AEG099_630_9000
1040407000	1040400000	1040401500	m60_10_10	m60_40_40_00-AEG100_101_1000
1040547000	1040540000	1040541301	m60_10_13	m60_40_54_00-AEG100_101_9001
1041387200	1041382000	1041380120	m60_41_38	AEG099_090_9000
1042347100	1042340100	1042341900	m60_42_34	AEG099_630_9000
1042377060	942370060	1042371506	m60_10_09	m60_42_37_00-AEG100_101_1001
1042377070	942370070	1042371501	m60_10_09	m60_42_37_00-AEG100_101_1000
1042377300	1042371300	1042371600	m60_42_37	AEG099_630_9000
1042387600	1042380600	1042381600	m60_42_38	AEG099_635_9000
1042507000	1042500000	1042501501	m60_10_12	m60_42_50_00-AEG100_101_1000
1043317900	1043310900	1043311900	m60_43_31	AEG099_630_9000
1043317910	1043310910	1043311901	m60_43_31	AEG099_630_9001
1043347100	1043340100	1043341900	m60_43_34	AEG099_630_9000
1043367110	1043361010	1043361601	m60_43_36	AEG099_630_9001
1044337210	1044330210	1044331610	m60_11_08	m60_44_33_00-AEG100_101_1000
1044347100	1044340100	1044341600	m60_44_34	AEG099_630_9000
1044367200	944360200	1044361300	m60_11_09	m60_44_36_00-AEG100_100_9000
1045377010	1045370010	1045371601	m60_45_37	AEG099_633_9000
1045377100	1045371000	1045371600	m60_45_37	AEG099_630_9000
1045397120	1045390120	1045391600	m60_45_39	AEG099_630_9000
1045527020	1045520020	1045521600	m60_45_52	AEG099_635_9000
1046367500	1046360500	1046361600	m60_46_36	AEG099_630_9000
1046577800	1046570800	1046571500	m60_46_57	AEG099_635_9000
1047387900	1047380900	1047381601	m60_47_38	AEG099_630_9000
1047387910	1047380910	1047381600	m60_47_38	AEG099_630_9001
1047387920	1047380920	1047381602	m60_47_38	AEG099_630_9002
1047397080	1047390080	1047391500	m60_47_39	AEG099_630_9000
1047407900	1047400900	1047401600	m60_47_40	AEG099_630_9000
1047407910	1047400910	1047401610	m60_47_40	AEG099_630_9001
1047407920	1047400920	1047401620	m60_11_10	m60_47_40_00-AEG100_101_1001
1048387010	948380010	1048381390	m60_48_38	AEG003_336_9000
1048397900	1048390900	1048391600	m60_48_39	AEG099_630_9000
1048407900	1048400900	1048401600	m60_48_40	AEG099_630_9000
1048557900	1048550900	1248551301	m60_12_13	m60_48_55_00-AEG100_101_9000
1048577810	1048570810	1048571256	m60_48_57	AEG099_990_9001
1049397900	1049390900	1049391500	m60_49_39	AEG099_630_9000
1049397910	1049390910	1049391501	m60_49_39	AEG099_630_9001
1049407040	1049400040	1049401600	m60_49_40	AEG099_635_9000
1049537900	1049530900	1049531900	m60_49_53	AEG099_630_9000
1049547900	1049540900	1249541301	m60_12_13	m60_49_54_00-AEG100_101_9000
1050367900	1050360900	1050361600	m60_50_36	AEG099_630_9000
1050397900	1050390900	1050391500	m60_50_39	AEG099_630_9000
1050397910	1050390910	1050391501	m60_50_39	AEG099_630_9001
1050567800	1050560800	1050561500	m60_50_56	AEG099_635_9000
1051367910	1051360910	1051361621	m60_51_36	AEG099_630_9001
1051397900	1051390900	1051391600	m60_51_39	AEG099_630_9000
1051567900	1051560900	1051561900	m60_51_56	AEG099_630_9000
1052577810	1052570810	1052571490	m60_52_57	AEG099_635_9000
2044477900	2044470900	2044471689	m61_44_47	AEG099_090_9001
2045417710	2045410710	2045411502	m61_45_41	AEG099_090_9002
2045417900	2045410900	2045411689	m61_45_41	AEG099_090_9001
2046447710	2046440710	2046441502	m61_46_44	AEG099_090_9002
2046447900	2046440900	2046441692	m61_46_44	AEG099_090_9001
2046467800	2046460800	2046461687	m61_46_46	AEG099_090_9000
2047407710	2047410710	2047411512	m61_47_41	AEG099_090_9002
2047407900	2047400900	2047401689	m61_47_40	AEG099_090_9000
2047417110	2047410110	2047411502	m61_47_41	AEG099_090_9000
2047457800	2047450800	2047451689	m61_47_45	AEG099_090_9000
2048407020	2048400020	2048401502	m61_48_40	AEG099_090_9000
2048427900	2048420900	2048421689	m61_48_42	AEG099_090_9000
2048457510	2048450510	2048451680	m61_48_45	AEG099_090_9001
2049467900	2049460900	2049461688	m61_49_46	AEG099_090_9000
2050447730	2050440730	2050441522	m61_50_44	AEG099_090_9003
2050467800	2050460800	2050461688	m61_50_46	AEG099_090_9000
2051467500	2051460500	2051461502	m61_51_46	AEG099_090_9000
