# AUTO-GENERATED by tools/datamine_sweep_trigger_npcs.py -- DO NOT EDIT, re-emit.
# Sweep trigger flag -> the npc_param ids `boss-fight` probe lines can carry for
# that trigger's boss. Read by tools/check_sweep_kill_correlation.py (#713).
#
# method=chr_boss   nameId -> chr -> NpcParam rows with isSoulGetByBoss=1. Strongest.
# method=chr_all    chr decoded but no boss-marked row; the whole chr family. Weaker.
# method=nameid     healthbar nameId matched NpcParam.nameId. Human NPCs only.
# method=UNRESOLVED no candidate set. 🛑 NOT a pass -- the correlator must report
#                   these as UNJUDGED, never fold them into the clean count.
#
# 🛑 npc_params is a CANDIDATE SET, not an identity. Several flags share a chr
#    (Adula and Smarag are both 4502 on m60_34) and one chr holds up to 10 rows.
#    A wide set makes the correlator LENIENT: it can miss a defect, not invent one.
#
# method counts: chr_boss=208, chr_all=11, nameid=16, UNRESOLVED=9
trigger_flag	map	tile	class	name	chr_id	method	n_candidates	npc_params
30090800	m30_09	m30_09	catacomb	Red Wolf of the Champion	3181	chr_boss	2	31811024;31811032
30100800	m30_10	m30_10	catacomb	Crucible Knight Ordovis	2500	chr_boss	10	25000010;25000042;25000933;25000941;25001066;25001933;25006020;25006120;25007020;25007120
30100801	m30_10	m30_10	catacomb	Crucible Knight	2500	chr_boss	10	25000010;25000042;25000933;25000941;25001066;25001933;25006020;25006120;25007020;25007120
30110800	m30_11	m30_11	catacomb	Black Knife Assassin	2100	chr_boss	6	21000735;21000820;21000830;21000930;21001010;21002922
30120800	m30_12	m30_12	catacomb	Misbegotten Warrior	3460	chr_boss	4	34600913;34600930;34600941;34601952
30120801	m30_12	m30_12	catacomb	Perfumer Tricia	3700	chr_all	10	37000000;37000010;37000020;37000030;37000031;37000033;37001000;37001030;37001031;137000000
30130800	m30_13	m30_13	catacomb	Grave Warden Duelist	3400	chr_boss	4	34000940;34000952;34001110;34001133
30130810	m30_13	m30_13	catacomb			UNRESOLVED	0	
30140800	m30_14	m30_14	catacomb	Erdtree Burial Watchdog (Sword)	4260	chr_boss	6	42600110;42600512;42600940;42601920;42601940;42602932
30140801	m30_14	m30_14	catacomb	Erdtree Burial Watchdog (Scepter)	4260	chr_boss	6	42600110;42600512;42600940;42601920;42601940;42602932
30150800	m30_15	m30_15	catacomb	Cemetery Shade	3664	chr_boss	3	36640012;36640040;36640920
30160800	m30_16	m30_16	catacomb	Putrid Tree Spirit	4640	chr_boss	4	46400007;46400032;46400942;46400950
30170800	m30_17	m30_17	catacomb	Ancient Hero of Zamor	7100	chr_boss	3	71000012;71000030;71000950
30180800	m30_18	m30_18	catacomb	Ulcerated Tree Spirit	4640	chr_boss	4	46400007;46400032;46400942;46400950
30190800	m30_19	m30_19	catacomb	Putrid Grave Warden Duelist	3400	chr_boss	4	34000940;34000952;34001110;34001133
30200800	m30_20	m30_20	catacomb	Stray Mimic Tear	3320	chr_all	21	33200000;33200062;33200100;33200162;33200200;33200262;33200265;33201000;33201052;33201062;33201065;33201100;33201165;33202000;33202062;33202100;33202200;33202262;33209000;33209010;133201000
31000800	m31_00	m31_00	cave	Patches		nameid	13	523090000;523090010;523090020;523090030;523090032;523090038;523090110;523090132;523090210;523090310;523090410;533090000;533090040
31000850	m31_00	m31_00	cave	Patches		nameid	13	523090000;523090010;523090020;523090030;523090032;523090038;523090110;523090132;523090210;523090310;523090410;533090000;533090040
31010800	m31_01	m31_01	cave	Runebear	4630	chr_boss	1	46300912
31020800	m31_02	m31_02	cave	Miranda Blossom	4480	chr_boss	2	44800912;44800930
31030800	m31_03	m31_03	cave	Beastman of Farum Azula	3970	chr_boss	3	39701910;39701942;39702942
31040800	m31_04	m31_04	cave	Cleanrot Knight	3800	chr_boss	3	38000920;38000940;38001940
31050800	m31_05	m31_05	cave	Bloodhound Knight	4290	chr_boss	2	42900010;42900920
31060800	m31_06	m31_06	cave	Crystalian (Staff)	3350	chr_boss	8	33500920;33500930;33500940;33501920;33501930;33501940;33502920;33502940
31060801	m31_06	m31_06	cave	Crystalian (Spear)	3350	chr_boss	8	33500920;33500930;33500940;33501920;33501930;33501940;33502920;33502940
31070800	m31_07	m31_07	cave	Kindred of Rot	3810	chr_boss	2	38100932;38102932
31070801	m31_07	m31_07	cave	Kindred of Rot	3810	chr_boss	2	38100932;38102932
31090800	m31_09	m31_09	cave	Demi-Human Queen Margot	4130	chr_boss	3	41300032;41301030;41301932
31100800	m31_10	m31_10	cave	Beastman of Farum Azula (Cleaver)	3970	chr_boss	3	39701910;39701942;39702942
31100801	m31_10	m31_10	cave	Beastman of Farum Azula (Throwing Knife)	3970	chr_boss	3	39701910;39701942;39702942
31110800	m31_11	m31_11	cave	Putrid Crystalian (Spear)	3350	chr_boss	8	33500920;33500930;33500940;33501920;33501930;33501940;33502920;33502940
31110801	m31_11	m31_11	cave	Putrid Crystalian (Ringblade)	3350	chr_boss	8	33500920;33500930;33500940;33501920;33501930;33501940;33502920;33502940
31110802	m31_11	m31_11	cave	Putrid Crystalian (Staff)	3350	chr_boss	8	33500920;33500930;33500940;33501920;33501930;33501940;33502920;33502940
31120800	m31_12	m31_12	cave	Misbegotten Crusader	3460	chr_boss	4	34600913;34600930;34600941;34601952
31150800	m31_15	m31_15	cave	Demi-Human Chief	4120	chr_boss	1	41200910
31150801	m31_15	m31_15	cave	Demi-Human Chief	4120	chr_boss	1	41200910
31170800	m31_17	m31_17	cave	Guardian Golem	4660	chr_boss	1	46600910
31180800	m31_18	m31_18	cave	Miranda the Blighted Bloom	4480	chr_boss	2	44800912;44800930
31180801	m31_18	m31_18	cave	Omenkiller	4820	chr_boss	2	48200920;48200930
31190800	m31_19	m31_19	cave	Black Knife Assassin	2100	chr_boss	6	21000735;21000820;21000830;21000930;21001010;21002922
31190850	m31_19	m31_19	cave	Necromancer Garris		nameid	2	523760000;523760930
31200800	m31_20	m31_20	cave	Cleanrot Knight (Spear)	3800	chr_boss	3	38000920;38000940;38001940
31200801	m31_20	m31_20	cave	Cleanrot Knight (Sickle)	3800	chr_boss	3	38000920;38000940;38001940
31210800	m31_21	m31_21	cave	Frenzied Duelist	3400	chr_boss	4	34000940;34000952;34001110;34001133
31220800	m31_22	m31_22	cave	Spiritcaller Snail	4140	chr_boss	3	41402920;41402950;41403930
31220801	m31_22	m31_22	cave	Godskin Apostle	3560	chr_boss	5	35600030;35600042;35600172;35600950;35600972
31220802	m31_22	m31_22	cave	Godskin Noble	3570	chr_boss	3	35700038;35700172;35700950
32000800	m32_00	m32_00	tunnel	Scaly Misbegotten	3451	chr_boss	1	34510912
32010800	m32_01	m32_01	tunnel	Stonedigger Troll	4600	chr_all	29	46000000;46000010;46000012;46000014;46000020;46000032;46000033;46000040;46000050;46000065;46000100;46000150;46001000;46001010;46001020;46001030;46001032;46001099;46001120;46001130;46003000;46003041;46003140;46004000;46004032;46004100;46004152;46008000;46008024
32020800	m32_02	m32_02	tunnel	Crystalian	3350	chr_boss	8	33500920;33500930;33500940;33501920;33501930;33501940;33502920;33502940
32040800	m32_04	m32_04	tunnel	Stonedigger Troll	4600	chr_all	29	46000000;46000010;46000012;46000014;46000020;46000032;46000033;46000040;46000050;46000065;46000100;46000150;46001000;46001010;46001020;46001030;46001032;46001099;46001120;46001130;46003000;46003041;46003140;46004000;46004032;46004100;46004152;46008000;46008024
32050800	m32_05	m32_05	tunnel	Crystalian (Ringblade)	3350	chr_boss	8	33500920;33500930;33500940;33501920;33501930;33501940;33502920;33502940
32050801	m32_05	m32_05	tunnel	Crystalian (Spear)	3350	chr_boss	8	33500920;33500930;33500940;33501920;33501930;33501940;33502920;33502940
32070800	m32_07	m32_07	tunnel	Magma Wyrm	4910	chr_boss	3	49100026;49100032;49100940
32080800	m32_08	m32_08	tunnel	Fallingstar Beast	4680	chr_boss	3	46800032;46801930;46801940
32110800	m32_11	m32_11	tunnel	Astel, Stars of Darkness	4620	chr_boss	3	46200062;46200952;46209152
34100800	m34_10	m34_10	dungeon			UNRESOLVED	0	
34110800	m34_11	m34_11	dungeon			UNRESOLVED	0	
34120800	m34_12	m34_12	dungeon	Onyx Lord	3600	chr_boss	2	36001920;36001933
34130800	m34_13	m34_13	dungeon	Godskin Apostle	3560	chr_boss	5	35600030;35600042;35600172;35600950;35600972
34140850	m34_14	m34_14	dungeon	Fell Twin	2140	chr_boss	2	21403050;21403150
34140851	m34_14	m34_14	dungeon	Fell Twin	2140	chr_boss	2	21403050;21403150
34150800	m34_15	m34_15	dungeon			UNRESOLVED	0	
35000800	m35_00	m35_00	legacy	Mohg, the Omen	4800	chr_boss	2	48000068;48001935
35000850	m35_00	m35_00	legacy	Esgar, Priest of Blood		UNRESOLVED	0	
39200800	m39_20	m39_20	dungeon	Magma Wyrm Makar	4910	chr_boss	3	49100026;49100032;49100940
40000800	m40_00	m40_00	dungeon	Death Knight	5070	chr_boss	3	50700081;50701090;50701095
40010800	m40_01	m40_01	dungeon	Death Knight	5070	chr_boss	3	50700081;50701090;50701095
41000800	m41_00	m41_00	dungeon	Demi-Human Swordmaster Onze	5810	chr_boss	1	58100980
41010800	m41_01	m41_01	dungeon	Curseblade Labirith	5040	chr_boss	1	50400190
41020800	m41_02	m41_02	dungeon	Lamenter		nameid	3	524270000;524270001;524270084
43000800	m43_00	m43_00	dungeon	Chief Bloodfiend	5081	chr_boss	1	50810990
43010800	m43_01	m43_01	dungeon	Ancient Dragon-Man		nameid	4	524070000;524070001;544070000;544070081
1033420800	m60_33	m60_33_42	field	Alecto, Black Knife Ringleader	2100	chr_boss	6	21000735;21000820;21000830;21000930;21001010;21002922
1033430800	m60_33	m60_33_43	field	Erdtree Avatar	4810	chr_boss	5	48100012;48100020;48100040;48100150;48100920
1033450800	m60_33	m60_33_45	field	Bols, Carian Knight	4600	chr_all	29	46000000;46000010;46000012;46000014;46000020;46000032;46000033;46000040;46000050;46000065;46000100;46000150;46001000;46001010;46001020;46001030;46001032;46001099;46001120;46001130;46003000;46003041;46003140;46004000;46004032;46004100;46004152;46008000;46008024
1034420800	m60_34	m60_34_42	field	Glintstone Dragon Adula	4502	chr_boss	3	45020920;45021920;45021922
1034450800	m60_34	m60_34_45	field	Glintstone Dragon Smarag	4502	chr_boss	3	45020920;45021920;45021922
1034480800	m60_34	m60_34_48	field	Royal Revenant	4020	chr_boss	1	40200920
1034500800	m60_34	m60_34_50	field	Glintstone Dragon Adula	4502	chr_boss	3	45020920;45021920;45021922
1035420800	m60_35	m60_35_42	field	Omenkiller	4820	chr_boss	2	48200920;48200930
1035500800	m60_35	m60_35_50	field	Royal Knight Loretta	3253	UNRESOLVED	0	
1035530800	m60_35	m60_35_53	field	Magma Wyrm	4910	chr_boss	3	49100026;49100032;49100940
1036450800	m60_36	m60_36_45	field	Death Rite Bird	4980	chr_boss	8	49800010;49800012;49800020;49800033;49801020;49801040;49801050;49801052
1036480800	m60_36	m60_36_48	field	Night's Cavalry	3150	chr_boss	9	31500010;31500020;31500042;31500050;31500052;31501012;31501030;31501040;31501052
1036500800	m60_36	m60_36_50	field	Onyx Lord	3600	chr_boss	2	36001920;36001933
1036540800	m60_36	m60_36_54	field	Full-Grown Fallingstar Beast	4680	chr_boss	3	46800032;46801930;46801940
1037420800	m60_37	m60_37_42	field	Deathbird	4980	chr_boss	8	49800010;49800012;49800020;49800033;49801020;49801040;49801050;49801052
1037460800	m60_37	m60_37_46	field	Bell Bearing Hunter	3100	chr_boss	5	31000010;31000020;31000033;31000042;31000931
1037510800	m60_37	m60_37_51	field	Ancient Dragon Lansseax	4510	chr_boss	1	45102030
1037530800	m60_37	m60_37_53	field	Demi-Human Queen Maggie	4130	chr_boss	3	41300032;41301030;41301932
1037540810	m60_37	m60_37_54	field	Ulcerated Tree Spirit	4640	chr_boss	4	46400007;46400032;46400942;46400950
1038410800	m60_38	m60_38_41	field	Adan, Thief of Fire	0	chr_all	24	0;1;100;540;541;542;1000;9999;100000000;100000010;100000020;100000030;100000040;100000050;100000060;500000000;500000006;500000010;500000020;500000032;500000040;500000042;500000066;500001000
1038480800	m60_38	m60_38_48	field	Erdtree Avatar	4810	chr_boss	5	48100012;48100020;48100040;48100150;48100920
1038510800	m60_38	m60_38_51	field	Demi-Human Queen Gilika	4130	chr_boss	3	41300032;41301030;41301932
1038520800	m60_38	m60_38_52	field	Tibia Mariner	4950	chr_boss	3	49500010;49500020;49500032
1038540800	m60_38	m60_38_54	field	Fallingstar Beast	4680	chr_boss	3	46800032;46801930;46801940
1039430800	m60_39	m60_39_43	field	Night's Cavalry	3150	chr_boss	9	31500010;31500020;31500042;31500050;31500052;31501012;31501030;31501040;31501052
1039440800	m60_39	m60_39_44	field	Tibia Mariner	4950	chr_boss	3	49500010;49500020;49500032
1039500800	m60_39	m60_39_50	field	Godefroy the Grafted	4750	chr_boss	2	47500014;47500030
1039510800	m60_39	m60_39_51	field	Night's Cavalry	3150	chr_boss	9	31500010;31500020;31500042;31500050;31500052;31501012;31501030;31501040;31501052
1039540800	m60_39	m60_39_54	field	Elemer of the Briar	3100	chr_boss	5	31000010;31000020;31000033;31000042;31000931
1040520800	m60_40	m60_40_52	field	Black Knife Assassin	2100	chr_boss	6	21000735;21000820;21000830;21000930;21001010;21002922
1040530800	m60_40	m60_40_53	field	Sanguine Noble	3550	chr_boss	1	35500930
1041330800	m60_41	m60_41_33	field		4133	UNRESOLVED	0	
1041500800	m60_41	m60_41_50	field	Fallingstar Beast	4680	chr_boss	3	46800032;46801930;46801940
1041510800	m60_41	m60_41_51	field	Tree Sentinel	3251	chr_boss	4	32510010;32510030;32510034;32511030
1041530800	m60_41	m60_41_53	field	Wormface	4580	chr_boss	1	45800030
1042330800	m60_42	m60_42_33	field	Ancient Hero of Zamor	7100	chr_boss	3	71000012;71000030;71000950
1042360800	m60_42	m60_42_36	field	Tree Sentinel	3251	chr_boss	4	32510010;32510030;32510034;32511030
1042370800	m60_42	m60_42_37	field	Crucible Knight	2500	chr_boss	10	25000010;25000042;25000933;25000941;25001066;25001933;25006020;25006120;25007020;25007120
1042380800	m60_42	m60_42_38	field	Deathbird	4980	chr_boss	8	49800010;49800012;49800020;49800033;49801020;49801040;49801050;49801052
1042380850	m60_42	m60_42_38	field	Bell Bearing Hunter	3100	chr_boss	5	31000010;31000020;31000033;31000042;31000931
1042550800	m60_42	m60_42_55	field	Godskin Apostle	3560	chr_boss	5	35600030;35600042;35600172;35600950;35600972
1043300800	m60_43	m60_43_30	field	Leonine Misbegotten	3460	chr_boss	4	34600913;34600930;34600941;34601952
1043330800	m60_43	m60_43_33	field	Erdtree Avatar	4810	chr_boss	5	48100012;48100020;48100040;48100150;48100920
1043360800	m60_43	m60_43_36	field	Flying Dragon Agheel	4500	chr_boss	2	45000010;45000042
1043370800	m60_43	m60_43_37	field	Night's Cavalry	3150	chr_boss	9	31500010;31500020;31500042;31500050;31500052;31501012;31501030;31501040;31501052
1043530800	m60_43	m60_43_53	field	Bell Bearing Hunter	3100	chr_boss	5	31000010;31000020;31000033;31000042;31000931
1044320800	m60_44	m60_44_32	field	Deathbird	4980	chr_boss	8	49800010;49800012;49800020;49800033;49801020;49801040;49801050;49801052
1044320850	m60_44	m60_44_32	field	Night's Cavalry	3150	chr_boss	9	31500010;31500020;31500042;31500050;31500052;31501012;31501030;31501040;31501052
1044350800	m60_44	m60_44_35	field	Bloodhound Knight Darriwil	4290	chr_boss	2	42900010;42900920
1044360800	m60_44	m60_44_36	field	Mad Pumpkin Head	4340	chr_boss	3	43400910;43400940;43401940
1044530800	m60_44	m60_44_53	field	Deathbird	4980	chr_boss	8	49800010;49800012;49800020;49800033;49801020;49801040;49801050;49801052
1045390800	m60_45	m60_45_39	field	Tibia Mariner	4950	chr_boss	3	49500010;49500020;49500032
1045520800	m60_45	m60_45_52	field	Draconic Tree Sentinel	3250	chr_boss	1	32500033
1047400800	m60_47	m60_47_40	field	Putrid Avatar	4811	chr_boss	3	48110040;48110042;48110052
1048370800	m60_48	m60_48_37	field	Decaying Ekzykes	4501	chr_boss	1	45010040
1048400800	m60_48	m60_48_40	field	Mad Pumpkin Head (Hammer)	4340	chr_boss	3	43400910;43400940;43401940
1048410800	m60_48	m60_48_41	field	Bell Bearing Hunter	3100	chr_boss	5	31000010;31000020;31000033;31000042;31000931
1048510800	m60_48	m60_48_51	field	Night's Cavalry	3150	chr_boss	9	31500010;31500020;31500042;31500050;31500052;31501012;31501030;31501040;31501052
1048570800	m60_48	m60_48_57	field	Death Rite Bird	4980	chr_boss	8	49800010;49800012;49800020;49800033;49801020;49801040;49801050;49801052
1049370800	m60_49	m60_49_37	field	Night's Cavalry	3150	chr_boss	9	31500010;31500020;31500042;31500050;31500052;31501012;31501030;31501040;31501052
1049370850	m60_49	m60_49_37	field	Death Rite Bird	4980	chr_boss	8	49800010;49800012;49800020;49800033;49801020;49801040;49801050;49801052
1049380800	m60_49	m60_49_38	field	Commander O'Neil	3050	chr_boss	2	30500051;30500140
1049390800	m60_49	m60_49_39	field	Nox Monk	3300	chr_boss	2	33000940;33001940
1049390850	m60_49	m60_49_39	field	Battlemage Hugues	3704	chr_boss	1	37040940
1049520800	m60_49	m60_49_52	field	Black Blade Kindred	4770	chr_boss	4	47700165;47700250;47701165;47701242
1050560800	m60_50	m60_50_56	field	Great Wyrm Theodorix	4911	chr_boss	1	49110052
1050570800	m60_50	m60_50_57	field	Death Rite Bird	4980	chr_boss	8	49800010;49800012;49800020;49800033;49801020;49801040;49801050;49801052
1050570850	m60_50	m60_50_57	field	Putrid Avatar	4811	chr_boss	3	48110040;48110042;48110052
1051360800	m60_51	m60_51_36	field	Crucible Knight	2500	chr_boss	10	25000010;25000042;25000933;25000941;25001066;25001933;25006020;25006120;25007020;25007120
1051400800	m60_51	m60_51_40	field	Putrid Avatar	4811	chr_boss	3	48110040;48110042;48110052
1051430800	m60_51	m60_51_43	field	Black Blade Kindred	4770	chr_boss	4	47700165;47700250;47701165;47701242
1051570800	m60_51	m60_51_57	field	Commander Niall	3050	chr_boss	2	30500051;30500140
1052410800	m60_52	m60_52_41	field	Flying Dragon Greyll	4500	chr_boss	2	45000010;45000042
1052410850	m60_52	m60_52_41	field	Night's Cavalry	3150	chr_boss	9	31500010;31500020;31500042;31500050;31500052;31501012;31501030;31501040;31501052
1053560800	m60_53	m60_53_56	field	Roundtable Knight Vyke		nameid	2	523040050;533040100
1248550800	m60_48	m60_48_55	field	Night's Cavalry (Glaive)	3150	chr_boss	9	31500010;31500020;31500042;31500050;31500052;31501012;31501030;31501040;31501052
1252380800	m60_52	m60_52_38	field	Starscourge Radahn	4730	chr_boss	1	47300040
1252520800	m60_52	m60_52_52	field	Fire Giant	4760	chr_boss	2	47600050;47601050
1254560800	m60_54	m60_54_56	field	Borealis the Freezing Fog	4503	chr_boss	1	45030050
2044450800	m61_44	m61_44_45	legacy	Romina, Saint of the Bud	5030	chr_boss	1	50300094
2044470800	m61_44	m61_44_47	legacy	Rugalea the Great Red Bear	5820	chr_boss	4	58200090;58200093;58200095;58200990
2045440800	m61_45	m61_45_44	legacy	Ghostflame Dragon	5860	chr_boss	3	58600080;58600083;58600090
2046380800	m61_46	m61_46_38	legacy	Dancer of Ranah	0	chr_all	24	0;1;100;540;541;542;1000;9999;100000000;100000010;100000020;100000030;100000040;100000050;100000060;500000000;500000006;500000010;500000020;500000032;500000040;500000042;500000066;500001000
2046400800	m61_46	m61_46_40	legacy	Demi-Human Queen Marigga	5730	chr_boss	1	57300083
2046410800	m61_46	m61_46_41	legacy	Knight of the Solitary Gaol	0	chr_all	24	0;1;100;540;541;542;1000;9999;100000000;100000010;100000020;100000030;100000040;100000050;100000060;500000000;500000006;500000010;500000020;500000032;500000040;500000042;500000066;500001000
2046450800	m61_46	m61_46_45	legacy	Red Bear	0	chr_all	24	0;1;100;540;541;542;1000;9999;100000000;100000010;100000020;100000030;100000040;100000050;100000060;500000000;500000006;500000010;500000020;500000032;500000040;500000042;500000066;500001000
2046460800	m61_46	m61_46_46	legacy	Divine Beast Dancing Lion	5210	chr_boss	2	52100088;52100094
