# AUTO-GENERATED by tools/datamine_game_areas.py -- DO NOT EDIT, re-emit.
# GameAreaParam: one row per boss ARENA (rune-award set, 216 rows).
# 🛑 A PARTITION, not every boss -- the healthbar sweep finds 249. Rows here
#    absent from that sweep, and sweep bosses absent here, are both worth a
#    look; neither table is authoritative over the other.
# 🛑 local_* is MAP-LOCAL. world_gx/gz are folded (tile*256+local) and are
#    populated ONLY for m60/m61 overworld arenas; blank = interior, do not fold.
area_id	defeat_flag	flag_equals_id	found_flag	challenge_flag	bonus_soul	boss_map	local_x	local_y	local_z	world_gx	world_gz
30040800	30040800	yes	30040801	0	1700	m30_04_00_00	-20.41	46.12	98.52		
30050800	30050800	yes	30020801	0	3500	m30_05_00_00	-189.41	406.2	121.21		
30050850	30050850	yes	30020801	0	4200	m30_05_00_00	-225.78	411.53	16.87		
30060800	30060800	yes	30020801	0	3200	m30_06_00_00	20.86	194.32	-18.72		
30070800	30070800	yes	30020801	0	12000	m30_07_00_00	-127.12	820.61	221.81		
30080800	30080800	yes	30020801	0	20000	m30_08_00_00	336.11	742.22	13.74		
30090800	30090800	yes	30020801	0	21000	m30_09_00_00	-148.1	646.26	97.02		
30100800	30100800	yes	30020801	0	28000	m30_10_00_00	-108.85	761.46	343.72		
30100801	30100800	no	30020801	0	0	m30_10_00_00	-101.57	761.46	340.47		
30110800	30110800	yes	30030801	0	1600	m30_11_00_00	-208.78	177.5	23.67		
30120800	30120800	yes	30020801	0	9400	m30_12_00_00	7.63	618.32	235.84		
30120801	30120800	no	30020801	0	0	m30_12_00_00	9.62	618.32	239.61		
30130800	30130800	yes	30020801	0	15000	m30_13_00_00	4.35	954.42	78.96		
30140800	30140800	yes	30020801	0	7400	m30_14_00_00	-123.4	73.12	-33.96		
30150800	30150800	yes	30020801	0	6800	m30_15_00_00	125.71	24.22	258.03		
30160800	30160800	yes	30020801	0	64000	m30_16_00_00	-127.39	-25.24	-89.49		
30170800	30170800	yes	30020801	0	83000	m30_17_00_00	-7.61	1451.72	-35.84		
30180800	30180800	yes	30020801	0	48000	m30_18_00_00	-134.19	1478.18	156.62		
30190800	30190800	yes	30020801	0	78000	m30_19_00_00	68.3	1374.72	-160.63		
30200800	30200810	no	30020801	0	50000	m30_20_00_00	-89.69	1278.32	-264.39		
31000800	31000800	yes	0	0	0	m31_00_00_00	-140.26	-10.88	42.92		
31010800	31010800	yes	0	0	2600	m31_01_00_00	-143.9	-39.81	-146.57		
31020800	31020800	yes	31020801	0	2100	m31_02_00_00	-117.18	29.54	0.91		
31030800	31030800	yes	31030801	0	1000	m31_03_00_00	-120.79	88.28	80.77		
31040800	31040800	yes	30020801	0	3300	m31_04_00_00	97.86	199.75	-166.72		
31050800	31050800	yes	30020801	0	3600	m31_05_00_00	-166.7	154.45	-18.6		
31060800	31060800	yes	30020801	0	3300	m31_06_00_00	191.16	216.71	104.37		
31070800	31070800	yes	30020801	0	10000	m31_07_00_00	-127.26	719.75	260.21		
31090800	31090800	yes	30020801	0	11000	m31_09_00_00	-63.91	1013.07	-75.07		
31100800	31100800	yes	0	0	65000	m31_10_00_00	30.65	104.56	19.06		
31110800	31110800	yes	0	0	7100	m31_11_00_00	-145.79	126.94	135.72		
31120800	31120800	yes	0	0	93000	m31_12_00_00	-23.02	1193.38	112.95		
31150800	31150800	yes	31150801	0	1200	m31_15_00_00	30.89	-29.31	-99.84		
31170800	31170800	yes	31170801	0	1700	m31_17_00_00	74.42	-9.66	148.68		
31180800	31180800	yes	30020801	0	8400	m31_18_00_00	-94.34	790.8	181.71		
31190800	31190800	yes	30020801	0	9000	m31_19_00_00	130.99	623.49	-12.7		
31190850	31190850	yes	30020801	0	9000	m31_19_00_00	108.33	627.26	-45.19		
31200800	31200800	yes	0	0	7000	m31_20_00_00	166.15	86.27	149.84		
31210800	31210800	yes	0	0	6700	m31_21_00_00	-164.04	12.1	56.99		
31220800	31220800	yes	0	0	70000	m31_22_00_00	-45.51	1579.18	-118.1		
32000800	32000800	yes	32010801	0	2000	m32_00_00_00	83.34	-24.53	-24.24		
32010800	32010800	yes	32010801	0	1800	m32_01_00_00	26.05	-30.45	-1.28		
32020800	32020800	yes	30020801	0	3000	m32_02_00_00	12.5	110.38	19.45		
32040800	32040800	yes	30020801	0	9600	m32_04_00_00	-299.12	677.13	-120.37		
32050800	32050800	yes	30020801	0	9000	m32_05_00_00	56.44	777.25	-35.13		
32050801	32050800	no	30020801	0	0	m32_05_00_00	53.19	777.2	-37.9		
32070800	32070800	yes	30020801	0	7500	m32_07_00_00	-24.17	89.93	162.44		
32080800	32080800	yes	30020801	0	7600	m32_08_00_00	-75.63	124.56	231.96		
32110800	32110800	yes	30020801	0	120000	m32_11_00_00	49.48	1210.79	86.2		
34120800	34120800	yes	30020801	0	16000	m34_12_00_00	-49.46	711.36	-195.92		
34130800	34130800	yes	30020801	0	94000	m34_13_00_00	76.83	36.31	-101.86		
34140850	34140850	yes	30020801	0	29000	m34_14_00_00	572.7	-373.48	-321.0		
35000800	35000800	yes	30020801	0	100000	m35_00_00_00	74.54	-298.53	-80.61		
35000850	35000850	yes	30020801	0	30000	m35_00_00_00	-203.85	-153.85	-306.87		
39200800	39200800	yes	30020801	0	24000	m39_20_00_00	-106.67	353.66	-1310.49		
40000800	40000800	yes	40000801	0	110000	m40_00_00_00	-426.56	113.72	-33.97		
40010800	40010800	yes	40010801	0	130000	m40_01_00_00	186.63	149.72	-139.03		
41000800	41000800	yes	41000801	0	80000	m41_00_00_00	-178.66	78.58	-198.63		
41010800	41010800	yes	41000801	0	100000	m41_01_00_00	-194.07	190.58	89.84		
41020800	41020800	yes	41000801	0	160000	m41_02_00_00	152.6	19.8	-14.96		
43000800	43000800	yes	43000801	0	80000	m43_00_00_00	134.53	116.28	138.68		
43010800	43010800	yes	43010801	0	130000	m43_01_00_00	37.56	94.02	4.2		
1033420800	1033420800	yes	30020801	0	80000	m60_33_00_00	-40.57	346.7	86.24	8407.4	86.2
1033430800	1033430800	yes	30020801	0	5800	m60_33_00_00	43.42	291.36	28.77	8491.4	28.8
1033450800	1033450800	yes	30020801	0	4600	m60_33_00_00	-52.3	245.05	-29.6	8395.7	-29.6
1034420800	1034420800	yes	30020801	0	120000	m60_34_00_00	101.58	397.27	-42.53	8805.6	-42.5
1034450800	1034450800	yes	30020801	0	14000	m60_34_00_00	-8.09	237.38	-10.62	8695.9	-10.6
1034480800	1034480800	yes	30020801	0	3100	m60_34_00_00	46.25	252.21	77.03	8750.2	77.0
1034500800	1034500800	yes	30020801	0	12000	m60_34_00_00	76.01	440.94	63.31	8780.0	63.3
1035420800	1035420800	yes	30020801	0	4900	m60_35_00_00	-38.61	269.17	-17.9	8921.4	-17.9
1035500800	1035500800	yes	30020801	0	10000	m60_35_00_00	-31.85	430.95	100.61	8928.1	100.6
1035530800	1035530800	yes	30020801	0	19000	m60_35_00_00	-3.79	824.0	-70.69	8956.2	-70.7
1036450340	1036450340	yes	30020801	0	7800	m60_36_00_00	-63.61	237.57	36.97	9152.4	37.0
1036480340	1036480340	yes	30020801	0	5600	m60_36_00_00	21.79	321.63	28.79	9237.8	28.8
1036500800	1036500800	yes	30020801	0	3600	m60_36_00_00	121.09	379.63	10.94	9337.1	10.9
1036540800	1036540800	yes	30020801	0	21000	m60_36_00_00	100.63	1052.16	-41.76	9316.6	-41.8
1037420340	1037420340	yes	30020801	0	6600	m60_37_00_00	-51.53	238.31	96.25	9420.5	96.2
1037460800	1037460800	yes	30020801	0	6000	m60_37_00_00	-48.34	398.31	9.79	9423.7	9.8
1037510800	1037510800	yes	30020801	1037510300	60000	m60_37_00_00	98.54	703.67	29.05	9570.5	29.1
1037530800	1037530800	yes	30020801	0	13000	m60_37_00_00	52.79	903.67	-88.34	9524.8	-88.3
1037540810	1037540810	yes	30020801	0	18000	m60_37_00_00	-33.39	856.8	-72.88	9438.6	-72.9
1038410800	1038410800	yes	30020801	0	3800	m60_38_00_00	3.89	257.37	-124.93	9731.9	-124.9
1038480800	1038480800	yes	30020801	0	5800	m60_38_00_00	-30.17	404.2	-102.92	9697.8	-102.9
1038510800	1038510800	yes	0	0	8500	m60_38_00_00	-32.46	770.8	0.54	9695.5	0.5
1038520340	1038520800	no	30020801	0	14000	m60_38_00_00	-127.16	823.41	71.56	9600.8	71.6
1039430340	1039430340	yes	30020801	0	5600	m60_39_00_00	-125.3	253.11	-8.13	9858.7	-8.1
1039440800	1039440800	yes	30020801	0	4700	m60_39_00_00	-81.59	294.79	-41.36	9902.4	-41.4
1039500800	1039500800	yes	30020801	0	26000	m60_39_00_00	-45.62	709.65	-86.07	9938.4	-86.1
1039510800	1043530800	no	30020801	0	10000	m60_39_00_00	-16.75	755.12	-110.63	9967.2	-110.6
1039540800	1039540800	yes	30020801	0	24000	m60_39_00_00	-53.72	768.29	56.51	9930.3	56.5
1040520800	1040520800	yes	30020801	0	10800	m60_40_00_00	51.64	884.14	7.32	10291.6	7.3
1040530800	1040530800	yes	30020801	0	8800	m60_40_00_00	-92.85	802.27	71.05	10147.1	71.0
1041500800	1041500800	yes	0	0	11000	m60_41_00_00	42.84	834.24	109.24	10538.8	109.2
1041510800	1041510800	yes	30020801	0	20000	m60_41_00_00	91.09	851.27	-31.35	10587.1	-31.4
1041520800	1041520800	yes	30020801	1041520300	60000	m60_41_00_00	39.97	921.55	-115.03	10536.0	-115.0
1041530800	1041530800	yes	30020801	0	10000	m60_41_00_00	-77.48	785.14	29.23	10418.5	29.2
1042330800	1042330800	yes	30020801	0	5400	m60_42_00_00	-126.39	19.91	108.76	10625.6	108.8
1042360800	1042360800	yes	30020801	0	3200	m60_42_00_00	-11.66	89.01	47.46	10740.3	47.5
1042370800	1042370800	yes	30020801	0	2100	m60_42_00_00	-83.61	160.59	65.0	10668.4	65.0
1042380800	1042380800	yes	30020801	0	2800	m60_42_00_00	120.54	183.82	50.97	10872.5	51.0
1042380850	1042380850	yes	30020801	0	2700	m60_42_00_00	12.3	188.02	89.59	10764.3	89.6
1042550800	1042550800	yes	30020801	0	14000	m60_42_00_00	-35.55	968.22	-38.97	10716.5	-39.0
1043300800	1043300800	yes	30020801	0	3800	m60_43_00_00	-32.21	0.7	-21.91	10975.8	-21.9
1043330800	1043330800	yes	30020801	0	3600	m60_43_00_00	-55.4	83.11	21.96	10952.6	22.0
1043360800	1043360800	yes	30020801	1043360340	5000	m60_43_00_00	-95.5	64.96	80.23	10912.5	80.2
1043370340	1043370800	no	30020801	0	2400	m60_43_00_00	72.46	90.96	-94.7	11080.5	-94.7
1043530800	1043530800	yes	30020801	0	20000	m60_43_00_00	-9.89	993.22	3.19	10998.1	3.2
1044320340	1044320800	no	30020801	0	3900	m60_44_00_00	-103.38	41.2	7.57	11160.6	7.6
1044320342	1044320850	no	30020801	0	3400	m60_44_00_00	36.61	42.82	102.45	11300.6	102.5
1044350800	1044350800	yes	30020801	0	1900	m60_44_00_00	-17.4	105.68	119.83	11246.6	119.8
1044360800	1044360800	yes	30020801	0	1100	m60_44_00_00	17.39	80.81	29.78	11281.4	29.8
1044530800	1043530800	no	30020801	0	29000	m60_44_00_00	-23.58	1025.94	75.99	11240.4	76.0
1045390800	1045390800	yes	30020801	0	2400	m60_45_00_00	-35.05	92.23	1.29	11485.0	1.3
1045520800	1045520800	yes	30020801	0	50000	m60_45_00_00	27.69	1023.82	43.92	11547.7	43.9
1047400800	1047400800	yes	30020801	0	9600	m60_47_00_00	-102.34	126.24	102.54	11929.7	102.5
1048370800	1048370800	yes	30020801	0	38000	m60_48_00_00	-48.09	114.95	-42.67	12239.9	-42.7
1048400800	1048400800	yes	30020801	0	6300	m60_48_00_00	-118.79	138.42	-91.28	12169.2	-91.3
1048410800	1048410800	yes	30020801	0	50000	m60_48_00_00	-86.98	225.66	-70.16	12201.0	-70.2
1048510800	1048510800	yes	30020801	0	36000	m60_48_00_00	-93.2	971.48	47.68	12194.8	47.7
1048570800	1048570800	yes	30020801	0	220000	m60_48_00_00	-106.89	1255.08	116.48	12181.1	116.5
1049370800	1049370800	yes	30020801	0	8500	m60_49_00_00	-116.52	102.11	-7.9	12427.5	-7.9
1049370850	1049370850	yes	30020801	0	15000	m60_49_00_00	112.21	102.17	15.51	12656.2	15.5
1049380800	1049380800	yes	30020801	0	12000	m60_49_00_00	-25.22	65.88	50.57	12518.8	50.6
1049390800	1049390800	yes	30020801	0	6400	m60_49_00_00	94.02	83.54	86.54	12638.0	86.5
1049390850	1049390850	yes	30020801	0	7800	m60_49_00_00	-89.47	164.03	-1.09	12454.5	-1.1
1049520800	1049520800	yes	30020801	0	60000	m60_49_00_00	-20.31	1048.49	54.71	12523.7	54.7
1050560800	1050560800	yes	30020801	0	180000	m60_50_00_00	15.43	1255.08	9.55	12815.4	9.6
1050570800	1050570800	yes	30020801	0	77000	m60_50_00_00	64.6	1630.35	-79.5	12864.6	-79.5
1050570850	1050570850	yes	30020801	0	160000	m60_50_00_00	-85.38	1390.24	-56.42	12714.6	-56.4
1051360800	1051360800	yes	30020801	0	16000	m60_51_00_00	78.39	91.78	37.64	13134.4	37.6
1051400800	1051400800	yes	30020801	0	91000	m60_51_00_00	37.4	209.43	70.23	13093.4	70.2
1051430800	1051430800	yes	30020801	0	88000	m60_51_00_00	60.89	305.2	-63.97	13116.9	-64.0
1051570800	1051570800	yes	30020801	0	90000	m60_51_00_00	78.08	1632.02	210.23	13134.1	210.2
1052380800	1252380800	no	30020801	0	70000	m60_52_00_00	-46.99	35.13	-39.66	13265.0	-39.7
1052410800	1052410800	yes	30020801	0	80000	m60_52_00_00	-110.47	248.33	107.53	13201.5	107.5
1052410850	1052410850	yes	30020801	0	42000	m60_52_00_00	8.28	221.38	115.71	13320.3	115.7
1052520800	1052520800	yes	30020801	0	180000	m60_52_00_00	104.6	1859.69	58.67	13416.6	58.7
1052560800	1052560800	yes	30020801	0	70000	m60_52_00_00	-58.98	1676.36	70.18	13253.0	70.2
1053560800	1053560800	yes	30020801	0	75000	m60_53_00_00	-52.5	1668.45	-116.28	13515.5	-116.3
1054560800	1254560800	no	30020801	0	100000	m60_54_00_00	-124.93	1620.18	54.68	13699.1	54.7
1248550800	1248550800	yes	30020801	0	84000	m60_48_00_00	108.17	1281.57	-33.08	12396.2	-33.1
2044450800	2044450800	yes	0	0	380000	m61_44_00_00	-61.24	625.31	110.57	11202.8	110.6
2044470800	2044470800	yes	0	0	210000	m61_44_00_00	-52.12	321.72	112.28	11211.9	112.3
2045440800	2045440800	yes	0	0	100000	m61_45_00_00	59.1	256.42	-73.89	11579.1	-73.9
2046380800	2046380800	yes	0	0	80000	m61_46_00_00	-24.9	9.25	-96.83	11751.1	-96.8
2046400800	2046400800	yes	0	0	100000	m61_46_00_00	-71.78	2.25	-12.53	11704.2	-12.5
2046410800	2046410800	yes	0	0	70000	m61_46_00_00	-177.91	317.66	54.75	11598.1	54.8
2046450800	2046450800	yes	0	0	80000	m61_46_00_00	109.2	395.92	-80.75	11885.2	-80.8
2046460800	2046460800	yes	0	0	180000	m61_46_00_00	-62.72	536.0	-40.75	11713.3	-40.7
2047390800	2047390800	yes	0	0	230000	m61_47_00_00	93.02	84.98	55.78	12125.0	55.8
2047450800	2047450800	yes	0	0	80000	m61_47_00_00	-27.67	346.02	117.34	12004.3	117.3
2048380850	2048380850	yes	0	0	120000	m61_48_00_00	-90.03	32.28	-91.6	12198.0	-91.6
2048440800	2048440800	yes	0	0	240000	m61_48_00_00	-55.49	427.01	50.56	12232.5	50.6
2049410800	2049410800	yes	0	0	90000	m61_49_00_00	80.59	65.82	-106.26	12624.6	-106.3
2049430800	2049430800	yes	0	0	120000	m61_49_00_00	-8.79	379.01	116.91	12535.2	116.9
2049430850	2049430850	yes	0	0	80000	m61_49_00_00	68.88	396.48	-95.66	12612.9	-95.7
2049450800	2049450800	yes	0	0	180000	m61_49_00_00	62.85	396.02	123.83	12606.9	123.8
2049480800	2049480800	yes	0	0	230000	m61_49_00_00	80.91	580.04	6.88	12624.9	6.9
2050470800	2050470800	yes	0	0	120000	m61_50_00_00	14.86	559.44	106.53	12814.9	106.5
2050480800	2050480800	yes	0	0	260000	m61_50_00_00	-50.68	190.02	86.67	12749.3	86.7
2050480860	2050480860	yes	0	0	120000	m61_50_00_00	47.62	541.52	-63.28	12847.6	-63.3
2051440800	2051440800	yes	0	0	90000	m61_51_00_00	5.08	162.59	94.24	13061.1	94.2
2051450720	2051450800	no	0	0	210000	m61_51_00_00	-95.17	472.02	-5.55	12960.8	-5.5
2052400800	2052400800	yes	0	0	120000	m61_52_00_00	-69.75	287.39	-77.82	13242.2	-77.8
2052430800	2052430800	yes	0	0	260000	m61_52_00_00	-68.1	-512.16	67.91	13243.9	67.9
2052480800	2052480800	yes	0	0	170000	m61_52_00_00	39.21	478.32	117.0	13351.2	117.0
2054390800	2054390800	yes	0	0	490000	m61_54_00_00	112.04	953.86	26.01	13936.0	26.0
2054390850	2054390850	yes	0	0	200000	m61_54_00_00	-72.88	511.96	19.44	13751.1	19.4
