# AUTO-GENERATED by tools/datamine_esd_flags.py -- DO NOT EDIT, re-emit.
# Every event flag an NPC talk ESD SETS = the NPC-STATE flag vocabulary.
# JOIN KEY, NOT A VERDICT. The chain is: ESD sets -> EMEVD tests -> treasure
# enabled/disabled. Join gate_flag in lot_gates.tsv against this to tell an
# NPC-STATE gate from a world/progression gate.
# MEASURED THIS RUN (recomputed on every emit; the tool hard-fails if the
# disjointness breaks or the positive control goes empty):
#   esd flags 2408 | msb_flag_region 0/2803 | corpse 0/1824 | flag_lots 3/4558
#   POSITIVE CONTROL: 13/53 lot_gates gate_flags are ESD-set
# how: literal | arg (call-graph resolved) | argsum (const+param step ladder)
#      | conditional (SetEventFlagIf)
flag	sense	talk_id	map_id	how
400357	off	325001110	m11_10_00_00	literal
400612	off	414002101	m21_01_00_00	literal
400612	off	414006100	m61_00_00_00	literal
400721	off	402002000	m20_00_00_00	literal
400721	on	402002000	m20_00_00_00	literal
710880	on	620001100	m11_00_00_00	literal
710880	on	620001105	m11_05_00_00	literal
710880	on	621006000	m60_00_00_00	literal
710880	on	622006000	m60_00_00_00	literal
710880	on	623001110	m11_10_00_00	literal
720070	on	000001000	m00_00_00_00	literal
720080	on	000001000	m00_00_00_00	literal
720300	on	000001000	m00_00_00_00	literal
720310	on	000001000	m00_00_00_00	literal
10000548	on	906001000	m10_00_00_00	arg
10000901	on	906001000	m10_00_00_00	arg
10000902	on	906001000	m10_00_00_00	arg
10000903	on	906001000	m10_00_00_00	arg
10002703	on	204101000	m10_00_00_00	arg
10002705	on	204101000	m10_00_00_00	literal
10002720	on	302001000	m10_00_00_00	arg
10002720	on	302031000	m10_00_00_00	arg
10002720	on	302051000	m10_00_00_00	arg
10002720	on	302061000	m10_00_00_00	arg
10002720	on	304001000	m10_00_00_00	arg
10002722	on	302001000	m10_00_00_00	arg
10002722	on	302001000	m10_00_00_00	literal
10002722	on	302031000	m10_00_00_00	arg
10002722	on	302031000	m10_00_00_00	literal
10002722	on	302051000	m10_00_00_00	arg
10002722	on	302051000	m10_00_00_00	literal
10002722	on	302061000	m10_00_00_00	arg
10002722	on	302061000	m10_00_00_00	literal
10002723	on	302001000	m10_00_00_00	arg
10002723	on	302011000	m10_00_00_00	arg
10002723	on	302021000	m10_00_00_00	arg
10002723	on	302031000	m10_00_00_00	arg
10002723	on	302041000	m10_00_00_00	arg
10002723	on	302051000	m10_00_00_00	arg
10002723	on	302061000	m10_00_00_00	arg
10002724	off	302001000	m10_00_00_00	literal
10002724	off	302011000	m10_00_00_00	literal
10002724	off	302021000	m10_00_00_00	literal
10002724	off	302031000	m10_00_00_00	literal
10002724	off	302041000	m10_00_00_00	literal
10002724	off	302051000	m10_00_00_00	literal
10002724	off	302061000	m10_00_00_00	literal
10002724	on	302001000	m10_00_00_00	literal
10002724	on	302011000	m10_00_00_00	literal
10002724	on	302021000	m10_00_00_00	literal
10002724	on	302031000	m10_00_00_00	literal
10002724	on	302041000	m10_00_00_00	literal
10002724	on	302051000	m10_00_00_00	literal
10002724	on	302061000	m10_00_00_00	literal
10002731	off	302001000	m10_00_00_00	literal
10002731	off	302011000	m10_00_00_00	literal
10002731	off	302021000	m10_00_00_00	literal
10002731	off	302031000	m10_00_00_00	literal
10002731	off	302041000	m10_00_00_00	literal
10002731	off	302051000	m10_00_00_00	literal
10002731	off	302061000	m10_00_00_00	literal
10002731	on	302001000	m10_00_00_00	literal
10002731	on	302011000	m10_00_00_00	literal
10002731	on	302021000	m10_00_00_00	literal
10002731	on	302031000	m10_00_00_00	literal
10002731	on	302041000	m10_00_00_00	literal
10002731	on	302051000	m10_00_00_00	literal
10002731	on	302061000	m10_00_00_00	literal
10002767	on	302001000	m10_00_00_00	arg
10002767	on	302011000	m10_00_00_00	arg
10002767	on	302021000	m10_00_00_00	arg
10002767	on	302031000	m10_00_00_00	arg
10002767	on	302041000	m10_00_00_00	arg
10002767	on	302051000	m10_00_00_00	arg
10002767	on	302061000	m10_00_00_00	arg
10002768	on	302001000	m10_00_00_00	arg
10002768	on	302031000	m10_00_00_00	arg
10002768	on	302051000	m10_00_00_00	arg
10002768	on	302061000	m10_00_00_00	arg
10002769	off	302001000	m10_00_00_00	literal
10002769	off	302031000	m10_00_00_00	literal
10002769	off	302051000	m10_00_00_00	literal
10002769	off	302061000	m10_00_00_00	literal
10002770	on	325001000	m10_00_00_00	literal
10002770	on	325001110	m11_10_00_00	literal
10002780	on	334001000	m10_00_00_00	literal
10002780	on	334006000	m60_00_00_00	literal
10002781	on	334001000	m10_00_00_00	literal
10002781	on	334006000	m60_00_00_00	literal
10002785	on	334001000	m10_00_00_00	arg
10002785	on	334001110	m11_10_00_00	arg
10009302	on	304001000	m10_00_00_00	literal
10009303	on	304001000	m10_00_00_00	arg
10009304	on	304001000	m10_00_00_00	arg
10009305	on	304001000	m10_00_00_00	literal
10009306	on	304001000	m10_00_00_00	literal
10009308	off	304001000	m10_00_00_00	literal
10009308	on	304001000	m10_00_00_00	literal
10009336	on	304001000	m10_00_00_00	literal
10009348	on	304001000	m10_00_00_00	literal
10009351	on	302001000	m10_00_00_00	arg
10009351	on	302011000	m10_00_00_00	arg
10009351	on	302021000	m10_00_00_00	arg
10009351	on	302031000	m10_00_00_00	arg
10009351	on	302041000	m10_00_00_00	arg
10009351	on	302051000	m10_00_00_00	arg
10009351	on	302061000	m10_00_00_00	arg
10009352	on	302001000	m10_00_00_00	arg
10009352	on	302011000	m10_00_00_00	arg
10009352	on	302021000	m10_00_00_00	arg
10009352	on	302031000	m10_00_00_00	arg
10009352	on	302041000	m10_00_00_00	arg
10009352	on	302051000	m10_00_00_00	arg
10009352	on	302061000	m10_00_00_00	arg
10009353	on	302001000	m10_00_00_00	arg
10009353	on	302011000	m10_00_00_00	arg
10009353	on	302021000	m10_00_00_00	arg
10009353	on	302031000	m10_00_00_00	arg
10009353	on	302041000	m10_00_00_00	arg
10009353	on	302051000	m10_00_00_00	arg
10009353	on	302061000	m10_00_00_00	arg
10009355	on	302001000	m10_00_00_00	literal
10009355	on	302031000	m10_00_00_00	literal
10009355	on	302051000	m10_00_00_00	literal
10009355	on	302061000	m10_00_00_00	literal
10009356	on	302001000	m10_00_00_00	literal
10009356	on	302011000	m10_00_00_00	literal
10009356	on	302021000	m10_00_00_00	literal
10009356	on	302031000	m10_00_00_00	literal
10009356	on	302041000	m10_00_00_00	literal
10009356	on	302051000	m10_00_00_00	literal
10009356	on	302061000	m10_00_00_00	literal
10009360	on	302001000	m10_00_00_00	literal
10009360	on	302011000	m10_00_00_00	literal
10009360	on	302021000	m10_00_00_00	literal
10009360	on	302031000	m10_00_00_00	literal
10009360	on	302041000	m10_00_00_00	literal
10009360	on	302051000	m10_00_00_00	literal
10009360	on	302061000	m10_00_00_00	literal
10009362	on	302001000	m10_00_00_00	arg
10009362	on	302011000	m10_00_00_00	arg
10009362	on	302021000	m10_00_00_00	arg
10009362	on	302031000	m10_00_00_00	arg
10009362	on	302041000	m10_00_00_00	arg
10009362	on	302051000	m10_00_00_00	arg
10009362	on	302061000	m10_00_00_00	arg
10009368	on	302001000	m10_00_00_00	literal
10009368	on	302011000	m10_00_00_00	literal
10009368	on	302021000	m10_00_00_00	literal
10009368	on	302031000	m10_00_00_00	literal
10009368	on	302041000	m10_00_00_00	literal
10009368	on	302051000	m10_00_00_00	literal
10009368	on	302061000	m10_00_00_00	literal
10009369	on	302001000	m10_00_00_00	literal
10009369	on	302031000	m10_00_00_00	literal
10009369	on	302051000	m10_00_00_00	literal
10009369	on	302061000	m10_00_00_00	literal
10009371	on	302001000	m10_00_00_00	arg
10009371	on	302001000	m10_00_00_00	literal
10009371	on	302031000	m10_00_00_00	arg
10009371	on	302031000	m10_00_00_00	literal
10009371	on	302051000	m10_00_00_00	arg
10009371	on	302051000	m10_00_00_00	literal
10009371	on	302061000	m10_00_00_00	arg
10009371	on	302061000	m10_00_00_00	literal
10009373	on	302001000	m10_00_00_00	literal
10009373	on	302031000	m10_00_00_00	literal
10009373	on	302051000	m10_00_00_00	literal
10009373	on	302061000	m10_00_00_00	literal
10009376	on	302201000	m10_00_00_00	arg
10009378	on	302001000	m10_00_00_00	literal
10009378	on	302031000	m10_00_00_00	literal
10009378	on	302051000	m10_00_00_00	literal
10009378	on	302061000	m10_00_00_00	literal
10009389	on	302001000	m10_00_00_00	literal
10009389	on	302011000	m10_00_00_00	literal
10009389	on	302021000	m10_00_00_00	literal
10009389	on	302031000	m10_00_00_00	literal
10009389	on	302041000	m10_00_00_00	literal
10009389	on	302051000	m10_00_00_00	literal
10009389	on	302061000	m10_00_00_00	literal
10009397	on	302001000	m10_00_00_00	literal
10009397	on	302011000	m10_00_00_00	literal
10009397	on	302021000	m10_00_00_00	literal
10009397	on	302031000	m10_00_00_00	literal
10009397	on	302041000	m10_00_00_00	literal
10009397	on	302051000	m10_00_00_00	literal
10009397	on	302061000	m10_00_00_00	literal
10009398	on	302001000	m10_00_00_00	arg
10009398	on	302011000	m10_00_00_00	arg
10009398	on	302021000	m10_00_00_00	arg
10009398	on	302031000	m10_00_00_00	arg
10009398	on	302041000	m10_00_00_00	arg
10009398	on	302051000	m10_00_00_00	arg
10009398	on	302061000	m10_00_00_00	arg
10009399	on	302001000	m10_00_00_00	arg
10009399	on	302011000	m10_00_00_00	arg
10009399	on	302021000	m10_00_00_00	arg
10009399	on	302031000	m10_00_00_00	arg
10009399	on	302041000	m10_00_00_00	arg
10009399	on	302051000	m10_00_00_00	arg
10009399	on	302061000	m10_00_00_00	arg
10009501	on	302001000	m10_00_00_00	arg
10009501	on	302031000	m10_00_00_00	arg
10009501	on	302051000	m10_00_00_00	arg
10009501	on	302061000	m10_00_00_00	arg
10009516	on	302001000	m10_00_00_00	arg
10009516	on	302051000	m10_00_00_00	arg
10009516	on	302061000	m10_00_00_00	arg
10009517	on	302001000	m10_00_00_00	arg
10009517	on	302051000	m10_00_00_00	arg
10009517	on	302061000	m10_00_00_00	arg
10009549	on	302001000	m10_00_00_00	literal
10009549	on	302011000	m10_00_00_00	literal
10009549	on	302021000	m10_00_00_00	literal
10009549	on	302031000	m10_00_00_00	literal
10009549	on	302041000	m10_00_00_00	literal
10009549	on	302051000	m10_00_00_00	literal
10009549	on	302061000	m10_00_00_00	literal
10009605	on	325001000	m10_00_00_00	literal
10009605	on	325001110	m11_10_00_00	literal
10009606	on	325001000	m10_00_00_00	literal
10009606	on	325001110	m11_10_00_00	literal
10009608	on	325001000	m10_00_00_00	arg
10009608	on	325001110	m11_10_00_00	arg
10009609	on	325001000	m10_00_00_00	literal
10009609	on	325001110	m11_10_00_00	literal
10009616	on	325001000	m10_00_00_00	literal
10009616	on	325001110	m11_10_00_00	literal
10009617	on	325001000	m10_00_00_00	literal
10009617	on	325001110	m11_10_00_00	literal
10009618	off	325001000	m10_00_00_00	literal
10009618	off	325001110	m11_10_00_00	literal
10009618	on	325001000	m10_00_00_00	conditional
10009618	on	325001110	m11_10_00_00	conditional
10009619	on	325001000	m10_00_00_00	literal
10009619	on	325001110	m11_10_00_00	literal
10009655	on	000003000	m00_00_00_00	literal
10009656	off	000001000	m00_00_00_00	literal
10009656	on	000001000	m00_00_00_00	literal
10009703	on	334001000	m10_00_00_00	arg
10009703	on	334006000	m60_00_00_00	arg
10009705	on	334001000	m10_00_00_00	literal
10009705	on	334001110	m11_10_00_00	literal
10009705	on	334006000	m60_00_00_00	literal
10009706	on	334001000	m10_00_00_00	literal
10009706	on	334001110	m11_10_00_00	literal
10009706	on	334006000	m60_00_00_00	literal
10009709	on	334001000	m10_00_00_00	literal
10009709	on	334001110	m11_10_00_00	literal
10009709	on	334006000	m60_00_00_00	literal
10009714	on	334001000	m10_00_00_00	literal
10009714	on	334001110	m11_10_00_00	literal
10009714	on	334006000	m60_00_00_00	literal
10009715	on	334001000	m10_00_00_00	literal
10009715	on	334001110	m11_10_00_00	literal
10009715	on	334006000	m60_00_00_00	literal
10009716	on	334001000	m10_00_00_00	literal
10009716	on	334001110	m11_10_00_00	literal
10009716	on	334006000	m60_00_00_00	literal
10009717	on	334001000	m10_00_00_00	literal
10009717	on	334001110	m11_10_00_00	literal
10009717	on	334006000	m60_00_00_00	literal
10009755	on	321001000	m10_00_00_00	arg
10009755	on	321006000	m60_00_00_00	arg
10009756	on	321001000	m10_00_00_00	arg
10009756	on	321006000	m60_00_00_00	arg
11002720	on	204111100	m11_00_00_00	arg
11002732	on	351001100	m11_00_00_00	literal
11002732	on	351001105	m11_05_00_00	literal
11002732	on	351001110	m11_10_00_00	literal
11002732	on	351006000	m60_00_00_00	literal
11002734	on	351001100	m11_00_00_00	arg
11002734	on	351001105	m11_05_00_00	arg
11002734	on	351001110	m11_10_00_00	arg
11002734	on	351006000	m60_00_00_00	arg
11002745	on	000003000	m00_00_00_00	literal
11009205	on	337001100	m11_00_00_00	literal
11009206	on	337001100	m11_00_00_00	literal
11009207	on	337001100	m11_00_00_00	literal
11009208	on	337001100	m11_00_00_00	literal
11009209	on	337001100	m11_00_00_00	literal
11009210	on	337001100	m11_00_00_00	literal
11009235	on	337001100	m11_00_00_00	literal
11009251	on	000003000	m00_00_00_00	arg
11009252	on	000003000	m00_00_00_00	literal
11009255	off	000001000	m00_00_00_00	literal
11009255	on	000001000	m00_00_00_00	literal
11009256	on	000003000	m00_00_00_00	arg
11009257	on	000003000	m00_00_00_00	arg
11009260	on	000003000	m00_00_00_00	arg
11009265	off	000001000	m00_00_00_00	literal
11009265	on	000001000	m00_00_00_00	literal
11009266	on	000003000	m00_00_00_00	arg
11009270	off	000001000	m00_00_00_00	literal
11009270	on	000001000	m00_00_00_00	literal
11009271	on	000003000	m00_00_00_00	arg
11009275	off	000001000	m00_00_00_00	literal
11009275	on	000001000	m00_00_00_00	literal
11009276	on	000003000	m00_00_00_00	arg
11009305	on	800001100	m11_00_00_00	literal
11009305	on	800003500	m35_00_00_00	literal
11009305	on	800006000	m60_00_00_00	literal
11009306	on	800001100	m11_00_00_00	literal
11009306	on	800003500	m35_00_00_00	literal
11009306	on	800006000	m60_00_00_00	literal
11009307	on	800001100	m11_00_00_00	literal
11009307	on	800003500	m35_00_00_00	literal
11009307	on	800006000	m60_00_00_00	literal
11009309	off	800001100	m11_00_00_00	literal
11009309	off	800003500	m35_00_00_00	literal
11009309	off	800006000	m60_00_00_00	literal
11009309	on	800001100	m11_00_00_00	literal
11009309	on	800003500	m35_00_00_00	literal
11009309	on	800006000	m60_00_00_00	literal
11009310	on	800001100	m11_00_00_00	literal
11009310	on	800003500	m35_00_00_00	literal
11009310	on	800006000	m60_00_00_00	literal
11009311	off	800001100	m11_00_00_00	literal
11009311	off	800003500	m35_00_00_00	literal
11009311	off	800006000	m60_00_00_00	literal
11009311	on	800001100	m11_00_00_00	literal
11009311	on	800003500	m35_00_00_00	literal
11009311	on	800006000	m60_00_00_00	literal
11009312	off	800001100	m11_00_00_00	literal
11009312	off	800003500	m35_00_00_00	literal
11009312	off	800006000	m60_00_00_00	literal
11009312	on	800001100	m11_00_00_00	literal
11009312	on	800003500	m35_00_00_00	literal
11009312	on	800006000	m60_00_00_00	literal
11009405	on	204201100	m11_00_00_00	literal
11009406	on	204201100	m11_00_00_00	literal
11009455	on	351001100	m11_00_00_00	literal
11009455	on	351001105	m11_05_00_00	literal
11009455	on	351001110	m11_10_00_00	literal
11009455	on	351006000	m60_00_00_00	literal
11009456	off	351001100	m11_00_00_00	literal
11009456	off	351001105	m11_05_00_00	literal
11009456	off	351001110	m11_10_00_00	literal
11009456	off	351006000	m60_00_00_00	literal
11009456	on	351001100	m11_00_00_00	literal
11009456	on	351001105	m11_05_00_00	literal
11009456	on	351001110	m11_10_00_00	literal
11009456	on	351006000	m60_00_00_00	literal
11009457	on	351001100	m11_00_00_00	literal
11009457	on	351001105	m11_05_00_00	literal
11009457	on	351001110	m11_10_00_00	literal
11009457	on	351006000	m60_00_00_00	literal
11009458	off	351001100	m11_00_00_00	literal
11009458	off	351001105	m11_05_00_00	literal
11009458	off	351001110	m11_10_00_00	literal
11009458	off	351006000	m60_00_00_00	literal
11009458	on	351001100	m11_00_00_00	literal
11009458	on	351001105	m11_05_00_00	literal
11009458	on	351001110	m11_10_00_00	literal
11009458	on	351006000	m60_00_00_00	literal
11009459	on	351001100	m11_00_00_00	literal
11009459	on	351001105	m11_05_00_00	literal
11009459	on	351001110	m11_10_00_00	literal
11009459	on	351006000	m60_00_00_00	literal
11009460	on	351001100	m11_00_00_00	literal
11009460	on	351001105	m11_05_00_00	literal
11009460	on	351001110	m11_10_00_00	literal
11009460	on	351006000	m60_00_00_00	literal
11009555	other	112001100	m11_00_00_00	rawsense-1
11009555	other	112006000	m60_00_00_00	rawsense-1
11009557	on	112001100	m11_00_00_00	literal
11009557	on	112006000	m60_00_00_00	literal
11053710	on	324001105	m11_05_00_00	literal
11059207	on	351001100	m11_00_00_00	arg
11059207	on	351001105	m11_05_00_00	arg
11059207	on	351001110	m11_10_00_00	arg
11059207	on	351006000	m60_00_00_00	arg
11059250	on	324001105	m11_05_00_00	arg
11102702	on	213001110	m11_10_00_00	literal
11102702	on	213006000	m60_00_00_00	literal
11102703	on	213001110	m11_10_00_00	arg
11102707	on	213001110	m11_10_00_00	arg
11102730	on	314006000	m60_00_00_00	literal
11102731	on	314006000	m60_00_00_00	arg
11102732	on	314006000	m60_00_00_00	arg
11102750	on	325001000	m10_00_00_00	literal
11102750	on	325001110	m11_10_00_00	literal
11102770	on	319001110	m11_10_00_00	literal
11102770	on	319006000	m60_00_00_00	literal
11102782	on	324001105	m11_05_00_00	literal
11102782	on	324001110	m11_10_00_00	literal
11102812	on	351001100	m11_00_00_00	literal
11102812	on	351001105	m11_05_00_00	literal
11102812	on	351001110	m11_10_00_00	literal
11102812	on	351006000	m60_00_00_00	literal
11102813	on	351001100	m11_00_00_00	literal
11102813	on	351001105	m11_05_00_00	literal
11102813	on	351001110	m11_10_00_00	literal
11102813	on	351006000	m60_00_00_00	literal
11102814	on	351001100	m11_00_00_00	literal
11102814	on	351001105	m11_05_00_00	literal
11102814	on	351001110	m11_10_00_00	literal
11102814	on	351006000	m60_00_00_00	literal
11102815	off	351001100	m11_00_00_00	literal
11102815	off	351001105	m11_05_00_00	literal
11102815	off	351001110	m11_10_00_00	literal
11102815	off	351006000	m60_00_00_00	literal
11102816	off	351001100	m11_00_00_00	literal
11102816	off	351001105	m11_05_00_00	literal
11102816	off	351001110	m11_10_00_00	literal
11102816	off	351006000	m60_00_00_00	literal
11102843	on	322001110	m11_10_00_00	literal
11102843	on	322001203	m12_03_00_00	literal
11102843	on	322011203	m12_03_00_00	literal
11102844	on	322001110	m11_10_00_00	literal
11102844	on	322001203	m12_03_00_00	literal
11102844	on	322011203	m12_03_00_00	literal
11102845	off	322001110	m11_10_00_00	conditional
11102845	off	322001203	m12_03_00_00	conditional
11102845	off	322011203	m12_03_00_00	conditional
11102845	on	322001110	m11_10_00_00	conditional
11102845	on	322001203	m12_03_00_00	conditional
11102845	on	322011203	m12_03_00_00	conditional
11102848	off	322001110	m11_10_00_00	conditional
11102848	off	322001203	m12_03_00_00	conditional
11102848	off	322011203	m12_03_00_00	conditional
11102848	on	322001110	m11_10_00_00	conditional
11102848	on	322001203	m12_03_00_00	conditional
11102848	on	322011203	m12_03_00_00	conditional
11109005	on	322001110	m11_10_00_00	arg
11109005	on	322001203	m12_03_00_00	arg
11109005	on	322011203	m12_03_00_00	arg
11109006	on	322001110	m11_10_00_00	arg
11109006	on	322001203	m12_03_00_00	arg
11109006	on	322011203	m12_03_00_00	arg
11109007	on	322001110	m11_10_00_00	arg
11109007	on	322001203	m12_03_00_00	arg
11109007	on	322011203	m12_03_00_00	arg
11109008	on	322001110	m11_10_00_00	arg
11109008	on	322001203	m12_03_00_00	arg
11109008	on	322011203	m12_03_00_00	arg
11109009	on	322001110	m11_10_00_00	arg
11109009	on	322001203	m12_03_00_00	arg
11109009	on	322011203	m12_03_00_00	arg
11109015	on	322001110	m11_10_00_00	arg
11109015	on	322001203	m12_03_00_00	arg
11109015	on	322011203	m12_03_00_00	arg
11109016	on	322001110	m11_10_00_00	arg
11109016	on	322001203	m12_03_00_00	arg
11109016	on	322011203	m12_03_00_00	arg
11109017	on	322001110	m11_10_00_00	arg
11109017	on	322001203	m12_03_00_00	arg
11109017	on	322011203	m12_03_00_00	arg
11109020	off	322001110	m11_10_00_00	literal
11109020	off	322001203	m12_03_00_00	literal
11109020	off	322011203	m12_03_00_00	literal
11109020	on	322001110	m11_10_00_00	conditional
11109020	on	322001203	m12_03_00_00	conditional
11109020	on	322011203	m12_03_00_00	conditional
11109021	off	322001110	m11_10_00_00	literal
11109021	off	322001203	m12_03_00_00	literal
11109021	off	322011203	m12_03_00_00	literal
11109021	on	322001110	m11_10_00_00	literal
11109021	on	322001203	m12_03_00_00	literal
