# WORKSHEET (er-archipelago#598) -- hand-fill `verdict` and `reason`, then move the
#   answer into region_overrides.tsv, which region_of honours FIRST. Nothing in gen
#   reads THIS file. Regenerate: tools/build_region_dispute_worksheet.py --emit
# Every row's TILE holds checks in more than one AP region.
# tile_kind=interior -- a legacy dungeon is one map id over a huge space and MAY own
#   two regions legitimately (m21_00's Hippopotamus arena is Scadu Altus by design,
#   see region_overrides.tsv). Dismiss those unless something else looks wrong.
# tile_kind=overworld -- a tile is the smallest loadable unit, so a split here is a
#   derivation artifact. These are the real subject.
# how=GUESSED -- check_region_triage says this region was a nearest-neighbour hop,
#   not first-hand evidence. surface_default=yes -- a default seed can hang
#   progression on it, so a wrong region here is the expensive kind.
# ORDER IS THE PRIORITY: surface_default, then GUESSED, then overworld, then tile.
tile	tile_kind	flag	ap_id	derived_region	regions_on_tile	surface_default	how	tags	label	verdict	reason
m61_44_46	overworld	2044467000	7773350	Ancient Ruins	Ancient Ruins|Enir Ilim	yes	-	Revered	statue by the temple at the top of the stairs		
m61_44_46	overworld	2044467950	7773360	Ancient Ruins	Ancient Ruins|Enir Ilim	yes	-	Revered	-		
m61_46_42	overworld	2046427700	7774816	Gravesite	Enir Ilim|Gravesite	yes	-	Fragment	On the cross at Three-Path Cross		
m61_47_40	overworld	2047407100	7774821	Cerulean	Cerulean|Gravesite	yes	-	Fragment	From the Cerulean Coast grace, head southwest hugging the north cliff wall to a valley; small cave with a corpse on the valley's north side		
m61_47_44	overworld	2047447720	7774823	Ensis	Ensis|Gravesite	yes	-	Fragment	Castle Ensis Checkpoint cross		
m61_47_44	overworld	2047447750	7774824	Gravesite	Ensis|Gravesite	yes	-	Fragment	Encampment in front of Castle Ensis		
m61_47_46	overworld	400696	7900000	Scadu Altus	Belurat|Enir Ilim|Gravesite|Scadu Altus	yes	-	KeyItem	Kill Queelign in church of the crusade		
m61_50_43	overworld	2050437010	7773735	Scadu Altus	Belurat|Scadu Altus	yes	-	Fragment	-		
m61_50_43	overworld	2050437500	7773738	Scadu Altus	Belurat|Scadu Altus	yes	-	Fragment	Scaduview Cross		
m61_50_43	overworld	2050437720	7773739	Scadu Altus	Belurat|Scadu Altus	yes	-	Revered	-		
m11_00	interior	510040	7770754	Leyndell	Leyndell|Stormveil	yes	-	Boss,Remembrance,MajorBoss,LegacyBoss	Morgott		
m11_00	interior	11007990	7774057	Leyndell	Leyndell|Stormveil	yes	-	Seedtree	Ulcerated Tree Spirit drop		
m11_00	interior	11007993	7771127	Leyndell	Leyndell|Stormveil	yes	-	Seedtree	near East Capital Rampart		
m21_00	interior	510440	7900001	Scadu Altus	Scadu Altus|Shadow Keep	yes	-	Boss,Fragment,LegacyBoss	Hippo		
m21_00	interior	21007400	7774125	Shadow Keep	Scadu Altus|Shadow Keep	yes	-	Fragment	-		
m60_44_52	overworld	1044527000	7773078	Altus	Altus|Liurnia	no	GUESSED	-	-		
m60_44_52	overworld	1044527010	7773079	Altus	Altus|Liurnia	no	GUESSED	-	-		
m60_45_34	overworld	1045347000	7774649	Weeping	Liurnia|Weeping	no	GUESSED	-	-		
m61_44_41	overworld	2044417000	7773344	Gravesite	Cerulean|Gravesite	no	GUESSED	-	-		
m61_47_40	overworld	2047407000	7773516	Gravesite	Cerulean|Gravesite	no	GUESSED	-	-		
m61_47_40	overworld	2047407010	7773517	Cerulean	Cerulean|Gravesite	no	GUESSED	-	-		
m61_47_40	overworld	2047407020	7773518	Cerulean	Cerulean|Gravesite	no	GUESSED	-	-		
m61_47_40	overworld	2047407030	7773519	Gravesite	Cerulean|Gravesite	no	GUESSED	-	-		
m61_47_40	overworld	2047407900	7773521	Gravesite	Cerulean|Gravesite	no	GUESSED	-	-		
m61_47_40	overworld	2047407980	7773522	Cerulean	Cerulean|Gravesite	no	GUESSED	-	-		
m61_47_46	overworld	2047467000	7774826	Scadu Altus	Belurat|Enir Ilim|Gravesite|Scadu Altus	no	GUESSED	-	-		
m61_47_46	overworld	2047467010	7773588	Scadu Altus	Belurat|Enir Ilim|Gravesite|Scadu Altus	no	GUESSED	-	-		
m61_47_46	overworld	2047467030	7773589	Scadu Altus	Belurat|Enir Ilim|Gravesite|Scadu Altus	no	GUESSED	-	-		
m61_48_41	overworld	2048417000	7773615	Jagged Peak	Gravesite|Jagged Peak	no	GUESSED	-	-		
m61_48_41	overworld	2048417010	7773616	Jagged Peak	Gravesite|Jagged Peak	no	GUESSED	-	-		
m61_48_41	overworld	2048417030	7773617	Gravesite	Gravesite|Jagged Peak	no	GUESSED	-	-		
m61_48_41	overworld	2048417800	7773619	Jagged Peak	Gravesite|Jagged Peak	no	GUESSED	-	-		
m61_48_41	overworld	2048417980	7773620	Jagged Peak	Gravesite|Jagged Peak	no	GUESSED	-	-		
m61_48_46	overworld	2048467010	7773644	Scadu Altus	Scadu Altus|Shadow Keep	no	GUESSED	-	-		
m61_48_46	overworld	2048467030	7773645	Shadow Keep	Scadu Altus|Shadow Keep	no	GUESSED	-	-		
m61_48_46	overworld	2048467040	7773646	Scadu Altus	Scadu Altus|Shadow Keep	no	GUESSED	-	-		
m61_48_46	overworld	2048467050	7773647	Scadu Altus	Scadu Altus|Shadow Keep	no	GUESSED	-	-		
m61_48_46	overworld	2048467060	7773648	Scadu Altus	Scadu Altus|Shadow Keep	no	GUESSED	-	-		
m61_48_46	overworld	2048467090	7773649	Scadu Altus	Scadu Altus|Shadow Keep	no	GUESSED	-	-		
m61_48_46	overworld	2048467500	7773650	Scadu Altus	Scadu Altus|Shadow Keep	no	GUESSED	-	-		
m61_48_46	overworld	2048467701	7773652	Scadu Altus	Scadu Altus|Shadow Keep	no	GUESSED	-	-		
m61_48_46	overworld	2048467710	7773653	Scadu Altus	Scadu Altus|Shadow Keep	no	GUESSED	-	-		
m61_49_38	overworld	2049387000	7773655	Jagged Peak	Cerulean|Jagged Peak	no	GUESSED	-	-		
m61_49_38	overworld	2049387010	7773656	Jagged Peak	Cerulean|Jagged Peak	no	GUESSED	-	-		
m61_49_38	overworld	2049387020	7773657	Jagged Peak	Cerulean|Jagged Peak	no	GUESSED	-	-		
m61_49_38	overworld	2049387030	7773658	Jagged Peak	Cerulean|Jagged Peak	no	GUESSED	-	-		
m61_49_38	overworld	2049387060	7773659	Cerulean	Cerulean|Jagged Peak	no	GUESSED	-	-		
m61_50_46	overworld	2050467000	7773761	Shadow Keep	Gravesite|Rauh Base|Scadu Altus|Shadow Keep	no	GUESSED	-	-		
m61_50_46	overworld	2050467020	7773762	Shadow Keep	Gravesite|Rauh Base|Scadu Altus|Shadow Keep	no	GUESSED	-	-		
m61_50_46	overworld	2050467030	7773763	Shadow Keep	Gravesite|Rauh Base|Scadu Altus|Shadow Keep	no	GUESSED	-	-		
m61_50_46	overworld	2050467500	7773765	Shadow Keep	Gravesite|Rauh Base|Scadu Altus|Shadow Keep	no	GUESSED	-	-		
m61_50_46	overworld	2050467510	7773766	Shadow Keep	Gravesite|Rauh Base|Scadu Altus|Shadow Keep	no	GUESSED	-	-		
m61_50_46	overworld	2050467710	7773768	Shadow Keep	Gravesite|Rauh Base|Scadu Altus|Shadow Keep	no	GUESSED	-	-		
m61_50_46	overworld	2050467720	7773769	Shadow Keep	Gravesite|Rauh Base|Scadu Altus|Shadow Keep	no	GUESSED	-	-		
m61_50_46	overworld	2050467730	7773770	Shadow Keep	Gravesite|Rauh Base|Scadu Altus|Shadow Keep	no	GUESSED	-	-		
m61_50_46	overworld	2050467800	7773771	Scadu Altus	Gravesite|Rauh Base|Scadu Altus|Shadow Keep	no	GUESSED	-	-		
m61_50_46	overworld	2050467900	7773772	Shadow Keep	Gravesite|Rauh Base|Scadu Altus|Shadow Keep	no	GUESSED	-	-		
m61_50_46	overworld	2050467910	7773773	Shadow Keep	Gravesite|Rauh Base|Scadu Altus|Shadow Keep	no	GUESSED	-	-		
m61_50_47	overworld	2050477010	7773774	Scadu Altus	Enir Ilim|Scadu Altus	no	GUESSED	-	-		
m61_50_47	overworld	2050477020	7773775	Scadu Altus	Enir Ilim|Scadu Altus	no	GUESSED	-	-		
m60_34_50	overworld	60430	7770021	Liurnia	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_34_50	overworld	120750	7770262	Liurnia	Liurnia|Raya Lucaria Academy	no	-	Shop	-		
m60_34_50	overworld	120760	7770263	Liurnia	Liurnia|Raya Lucaria Academy	no	-	Shop	-		
m60_34_50	overworld	120770	7770264	Liurnia	Liurnia|Raya Lucaria Academy	no	-	Shop	-		
m60_34_50	overworld	120780	7770265	Liurnia	Liurnia|Raya Lucaria Academy	no	-	Shop	-		
m60_34_50	overworld	120790	7770266	Liurnia	Liurnia|Raya Lucaria Academy	no	-	Shop	-		
m60_34_50	overworld	120800	7770267	Liurnia	Liurnia|Raya Lucaria Academy	no	-	Shop	-		
m60_34_50	overworld	120810	7770268	Liurnia	Liurnia|Raya Lucaria Academy	no	-	Shop	-		
m60_34_50	overworld	120820	7770269	Liurnia	Liurnia|Raya Lucaria Academy	no	-	Shop	-		
m60_34_50	overworld	120830	7770270	Liurnia	Liurnia|Raya Lucaria Academy	no	-	Shop	-		
m60_34_50	overworld	120840	7770271	Liurnia	Liurnia|Raya Lucaria Academy	no	-	Shop	-		
m60_34_50	overworld	130000	7770272	Liurnia	Liurnia|Raya Lucaria Academy	no	-	Shop,ShopNonSpell	-		
m60_34_50	overworld	130010	7770273	Liurnia	Liurnia|Raya Lucaria Academy	no	-	Shop,ShopNonSpell	-		
m60_34_50	overworld	130020	7770274	Liurnia	Liurnia|Raya Lucaria Academy	no	-	Shop,ShopNonSpell	-		
m60_34_50	overworld	130100	7770275	Liurnia	Liurnia|Raya Lucaria Academy	no	-	Shop,ShopNonSpell	-		
m60_34_50	overworld	400106	7770674	Raya Lucaria Academy	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_34_50	overworld	400148	7770676	Liurnia	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_34_50	overworld	400158	7773849	Liurnia	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_34_50	overworld	540200	7770834	Liurnia	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_34_50	overworld	1034507010	7772655	Liurnia	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_34_50	overworld	1034507020	7772656	Liurnia	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_34_50	overworld	1034507030	7772657	Liurnia	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_34_50	overworld	1034507040	7772658	Liurnia	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_34_50	overworld	1034507050	7772659	Liurnia	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_34_50	overworld	1034507060	7772660	Liurnia	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_34_50	overworld	1034507070	7772661	Liurnia	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_34_50	overworld	1034507080	7772662	Liurnia	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_34_50	overworld	1034507090	7772663	Liurnia	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_35_45	overworld	68220	7770136	Raya Lucaria Academy	Liurnia|Raya Lucaria Academy	no	-	Shop,ShopNonSpell	-		
m60_35_45	overworld	69710	7770187	Raya Lucaria Academy	Liurnia|Raya Lucaria Academy	no	-	Shop,ShopNonSpell	-		
m60_35_45	overworld	69750	7770191	Raya Lucaria Academy	Liurnia|Raya Lucaria Academy	no	-	Shop,ShopNonSpell	-		
m60_35_45	overworld	69910	7770195	Raya Lucaria Academy	Liurnia|Raya Lucaria Academy	no	-	Shop,ShopNonSpell	-		
m60_35_45	overworld	160760	7770390	Raya Lucaria Academy	Liurnia|Raya Lucaria Academy	no	-	Shop,ShopNonSpell	-		
m60_35_45	overworld	160780	7770391	Raya Lucaria Academy	Liurnia|Raya Lucaria Academy	no	-	Shop,ShopNonSpell	-		
m60_35_45	overworld	160800	7770392	Raya Lucaria Academy	Liurnia|Raya Lucaria Academy	no	-	Shop,ShopNonSpell	-		
m60_35_45	overworld	160810	7770393	Raya Lucaria Academy	Liurnia|Raya Lucaria Academy	no	-	Shop,ShopNonSpell	-		
m60_35_45	overworld	160820	7774856	Raya Lucaria Academy	Liurnia|Raya Lucaria Academy	no	-	Shop,ShopNonSpell	-		
m60_35_45	overworld	160880	7770394	Raya Lucaria Academy	Liurnia|Raya Lucaria Academy	no	-	Shop,ShopNonSpell	-		
m60_35_45	overworld	160890	7770395	Raya Lucaria Academy	Liurnia|Raya Lucaria Academy	no	-	Shop,ShopNonSpell	-		
m60_35_45	overworld	160910	7770396	Raya Lucaria Academy	Liurnia|Raya Lucaria Academy	no	-	Shop,ShopNonSpell	-		
m60_35_45	overworld	160920	7770397	Raya Lucaria Academy	Liurnia|Raya Lucaria Academy	no	-	Shop,ShopNonSpell	-		
m60_35_45	overworld	160930	7770398	Raya Lucaria Academy	Liurnia|Raya Lucaria Academy	no	-	Shop,ShopNonSpell	-		
m60_35_45	overworld	160940	7770399	Raya Lucaria Academy	Liurnia|Raya Lucaria Academy	no	-	Shop,ShopNonSpell	-		
m60_35_45	overworld	160950	7770400	Raya Lucaria Academy	Liurnia|Raya Lucaria Academy	no	-	Shop,ShopNonSpell	-		
m60_35_45	overworld	1035457000	7772686	Liurnia	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_35_45	overworld	1035457030	7774399	Liurnia	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_35_45	overworld	1035457100	7772687	Liurnia	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_35_46	overworld	1035467020	7774400	Liurnia	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_35_46	overworld	1035467700	7772688	Raya Lucaria Academy	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_39_39	overworld	120500	7770259	Liurnia	Liurnia|Raya Lucaria Academy	no	-	Shop	-		
m60_39_39	overworld	120510	7770260	Liurnia	Liurnia|Raya Lucaria Academy	no	-	Shop	-		
m60_39_39	overworld	120520	7770261	Liurnia	Liurnia|Raya Lucaria Academy	no	-	Shop	-		
m60_39_39	overworld	400360	7770710	Raya Lucaria Academy	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_39_39	overworld	540206	7770837	Liurnia	Liurnia|Raya Lucaria Academy	no	-	-	-		
m60_39_40	overworld	400089	7770672	Sewer	Liurnia|Sewer	no	-	-	-		
m60_39_40	overworld	1039407000	7772849	Liurnia	Liurnia|Sewer	no	-	-	-		
m60_39_54	overworld	67600	7770114	Limgrave	Altus|Limgrave|Roundtable Hold	no	-	Shop,ShopNonSpell	-		
m60_39_54	overworld	110000	7770235	Roundtable Hold	Altus|Limgrave|Roundtable Hold	no	-	Shop,ShopNonSpell	-		
m60_39_54	overworld	110020	7770236	Roundtable Hold	Altus|Limgrave|Roundtable Hold	no	-	Shop,ShopNonSpell	-		
m60_39_54	overworld	110030	7770237	Roundtable Hold	Altus|Limgrave|Roundtable Hold	no	-	Shop,ShopNonSpell	-		
m60_39_54	overworld	110050	7770238	Roundtable Hold	Altus|Limgrave|Roundtable Hold	no	-	Shop,ShopNonSpell	-		
m60_39_54	overworld	110080	7770239	Roundtable Hold	Altus|Limgrave|Roundtable Hold	no	-	Shop,ShopNonSpell	-		
m60_39_54	overworld	110110	7770240	Roundtable Hold	Altus|Limgrave|Roundtable Hold	no	-	Shop,ShopNonSpell	-		
m60_39_54	overworld	110120	7770241	Roundtable Hold	Altus|Limgrave|Roundtable Hold	no	-	Shop,ShopNonSpell	-		
m60_39_54	overworld	110130	7770242	Roundtable Hold	Altus|Limgrave|Roundtable Hold	no	-	Shop,ShopNonSpell	-		
m60_39_54	overworld	110140	7770243	Roundtable Hold	Altus|Limgrave|Roundtable Hold	no	-	Shop,ShopNonSpell	-		
m60_39_54	overworld	110150	7774845	Roundtable Hold	Altus|Limgrave|Roundtable Hold	no	-	Shop,ShopNonSpell	-		
m60_39_54	overworld	110160	7774846	Roundtable Hold	Altus|Limgrave|Roundtable Hold	no	-	Shop,ShopNonSpell	-		
m60_39_54	overworld	110170	7770244	Roundtable Hold	Altus|Limgrave|Roundtable Hold	no	-	Shop,ShopNonSpell	-		
m60_39_54	overworld	110190	7770245	Roundtable Hold	Altus|Limgrave|Roundtable Hold	no	-	Shop,ShopNonSpell	-		
m60_39_54	overworld	110200	7774847	Roundtable Hold	Altus|Limgrave|Roundtable Hold	no	-	Shop,ShopNonSpell	-		
m60_39_54	overworld	110210	7774848	Roundtable Hold	Altus|Limgrave|Roundtable Hold	no	-	Shop,ShopNonSpell	-		
m60_39_54	overworld	110220	7770246	Roundtable Hold	Altus|Limgrave|Roundtable Hold	no	-	Shop,ShopNonSpell	-		
m60_39_54	overworld	510820	7773931	Altus	Altus|Limgrave|Roundtable Hold	no	-	Boss,Legendary,FieldBoss	-		
m60_39_54	overworld	580020	7770897	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547010	7774522	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547020	7774523	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547030	7774524	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547050	7774525	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547060	7774526	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547070	7774527	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547080	7774528	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547090	7774529	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547100	7774530	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547110	7774531	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547120	7774532	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547130	7774533	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547140	7774534	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547150	7774535	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547160	7774536	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547170	7774537	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547180	7774538	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547200	7774539	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547210	7774540	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547220	7772893	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547230	7772894	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547240	7774541	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547250	7772895	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547260	7774542	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547300	7774543	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547350	7772896	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547980	7774544	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_39_54	overworld	1039547990	7774545	Altus	Altus|Limgrave|Roundtable Hold	no	-	-	-		
m60_41_52	overworld	530300	7770805	Mt. Gelmir	Altus|Mt. Gelmir	no	-	Boss,Legendary,FieldBoss	-		
m60_41_52	overworld	580320	7770903	Altus	Altus|Mt. Gelmir	no	-	-	-		
m60_41_52	overworld	1041527000	7772930	Altus	Altus|Mt. Gelmir	no	-	-	-		
m60_41_52	overworld	1041527010	7772931	Altus	Altus|Mt. Gelmir	no	-	-	-		
m60_41_52	overworld	1041527020	7772932	Altus	Altus|Mt. Gelmir	no	-	-	-		
m60_41_52	overworld	1041527030	7772933	Altus	Altus|Mt. Gelmir	no	-	-	-		
m60_41_52	overworld	1041527040	7772934	Altus	Altus|Mt. Gelmir	no	-	-	-		
m60_41_52	overworld	1041527070	7772935	Altus	Altus|Mt. Gelmir	no	-	-	-		
m60_41_52	overworld	1041527080	7772936	Altus	Altus|Mt. Gelmir	no	-	-	-		
m60_41_52	overworld	1041527090	7772937	Altus	Altus|Mt. Gelmir	no	-	-	-		
m60_42_36	overworld	60110	7770012	Limgrave	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	60120	7770013	Limgrave	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	66030	7770048	Limgrave	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	67000	7770081	Limgrave	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	67110	7770091	Limgrave	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	67220	7770096	Liurnia	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	67610	7770115	Limgrave	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	69620	7770179	Limgrave	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	69640	7770181	Weeping	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	69720	7770188	Limgrave	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	150050	7770339	Limgrave	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	150100	7770340	Limgrave	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	150110	7770341	Limgrave	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	150130	7770342	Limgrave	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	150150	7770343	Limgrave	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	150160	7770344	Limgrave	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	150170	7770345	Limgrave	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	150180	7770346	Limgrave	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	160330	7774852	Liurnia	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	160340	7770375	Liurnia	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	160410	7770376	Liurnia	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	160420	7770377	Liurnia	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	160430	7770378	Liurnia	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	160440	7770379	Liurnia	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	160450	7770380	Liurnia	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	160460	7770381	Liurnia	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	160490	7770382	Liurnia	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	160520	7770383	Weeping	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	160540	7770384	Weeping	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	160560	7774853	Weeping	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	160570	7774854	Weeping	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	160580	7770385	Weeping	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	160590	7770386	Weeping	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
m60_42_36	overworld	160600	7770387	Weeping	Limgrave|Liurnia|Mohgwyn|Weeping	no	-	Shop,ShopNonSpell	-		
