# AUTO-GENERATED by tools/datamine_esd_gates.py -- the EventFlag gating each merchant
# shop range, from ESDLang-decompiled ESD (thefifthmatt). gate_flag = the bell-bearing/
# release flag (-1 = ungated on that path); gate_sense = 1 set / 0 clear. Join
# shop_begin..end to ShopLineupParam rows for bell -> rows (MerchantBellLogic,
# multi-region resolution). A talk emits one row PER GATE PATH; rows are paths,
# not merchants. Args resolve through the ESD call chain (call-site kwargs),
# not just literals -- nomadic merchants forward shop1/shop2 ~5 hops.
# MEASURED THIS RUN: 137 sites (105 literal, 32 param) | 137 resolved | 183 rows,
#   118 distinct (talk,range) | 116 gated rows over 47 distinct gate flags
talk_id	gate_flag	gate_sense	shop_begin	shop_end
325001110	11109530	1	100200	100224
326001600	3885	1	100075	100099
326001600	16009457	0	100075	100099
326006000	3885	1	100075	100099
326006000	16009457	0	100075	100099
326101600	-1	1	100075	100099
330006000	1037462715	0	100400	100424
330006000	1037462715	0	100425	100474
331006000	4146	1	100150	100174
331006000	1036439205	0	100150	100174
331006000	1036439210	1	100150	100174
333006000	1039399206	0	100250	100274
333006000	1039399206	1	100250	100274
349006000	4167	1	100175	100184
349006000	4167	1	100185	100199
349006000	1050389230	0	100175	100184
349006000	1050389230	0	100185	100199
351001100	4205	1	100350	100399
351001100	4206	0	100350	100399
351001100	4206	1	100350	100399
351001100	4209	1	100350	100399
351001105	4205	1	100350	100399
351001105	4206	0	100350	100399
351001105	4206	1	100350	100399
351001105	4209	1	100350	100399
351001110	4205	1	100350	100399
351001110	4206	0	100350	100399
351001110	4206	1	100350	100399
351001110	4209	1	100350	100399
351006000	4205	1	100350	100399
351006000	4206	0	100350	100399
351006000	4206	1	100350	100399
351006000	4209	1	100350	100399
415006100	4385	1	102250	102289
419002200	2048439206	1	100100	100124
419002200	2048439225	1	100100	100124
419002200	2048439228	1	100100	100124
419002200	2048439235	1	100100	100124
419006100	2048439206	1	102270	102289
419006100	2048439207	1	102270	102289
419006100	2048439225	1	102270	102289
419006100	2048439228	1	102270	102289
420006100	2050400600	1	102300	102310
420006100	2051459217	0	102300	102310
420006100	2051459221	1	102300	102310
600001110	-1	1	100000	100024
600001110	-1	1	100050	100074
600001110	-1	1	100075	100099
600001110	-1	1	100100	100124
600001110	-1	1	100125	100149
600001110	-1	1	100150	100174
600001110	-1	1	100175	100184
600001110	-1	1	100185	100199
600001110	-1	1	100200	100224
600001110	-1	1	100225	100249
600001110	-1	1	100250	100274
600001110	-1	1	100275	100299
600001110	-1	1	100300	100324
600001110	-1	1	100325	100349
600001110	-1	1	100350	100399
600001110	-1	1	100400	100424
600001110	-1	1	100425	100474
600001110	-1	1	100500	100524
600001110	-1	1	100525	100549
600001110	-1	1	100550	100574
600001110	-1	1	100575	100599
600001110	-1	1	100600	100624
600001110	-1	1	100625	100649
600001110	-1	1	100650	100674
600001110	-1	1	100675	100699
600001110	-1	1	100700	100724
600001110	-1	1	100725	100749
600001110	-1	1	100750	100774
600001110	-1	1	100775	100799
600001110	-1	1	100800	100824
600001110	-1	1	100825	100849
600001110	-1	1	100850	100874
600001110	-1	1	100875	100899
600001110	-1	1	100900	100924
600001110	-1	1	100925	100949
600001110	-1	1	100950	100974
600001110	-1	1	100975	100999
600001110	-1	1	101800	101897
600001110	-1	1	102250	102289
600001110	-1	1	102300	102310
800001100	-1	1	100625	100649
800001100	-1	1	100650	100674
800001100	4705	1	100500	100524
800003500	-1	1	100625	100649
800003500	-1	1	100650	100674
800003500	4705	1	100500	100524
800006000	-1	1	100625	100649
800006000	-1	1	100650	100674
800006000	4705	1	100500	100524
800016000	4980	1	123000	123049
800016000	4982	1	123000	123049
800026000	4980	1	100525	100549
800026000	4982	1	100525	100549
800036000	4980	1	123050	123099
800036000	4982	1	123050	123099
800046000	4980	1	100550	100579
800046000	4982	1	100550	100579
800056000	4980	1	123050	123099
800056000	4982	1	123050	123099
800076000	4980	0	600401	600450
800086000	4980	0	600401	600450
800106000	4980	0	600501	600550
800116000	4980	0	600501	600550
800126000	4980	0	600501	600550
800906000	4980	1	129050	129099
800906000	4982	1	129050	129099
801106000	-1	1	122050	122099
801116000	-1	1	100525	100549
801126000	-1	1	100550	100574
801136000	-1	1	100575	100599
801146000	-1	1	100600	100624
801156000	-1	1	100625	100649
801166000	-1	1	100650	100674
801176000	-1	1	100675	100699
801186000	-1	1	100700	100724
801196000	-1	1	100725	100749
801206000	-1	1	100750	100774
801216000	-1	1	100775	100799
801226000	-1	1	100800	100824
801236000	-1	1	100825	100849
801256000	-1	1	100875	100899
801266000	-1	1	100900	100924
801271202	-1	1	100925	100949
801281201	-1	1	100950	100974
801291205	-1	1	100975	100999
801516000	-1	1	100525	100549
