chr_id	npc_param_id	think_param_id	count	label	yaml_key	hp	get_soul	row_pays
4070	40700010	40700000	1	c4070		78	55	1
4080	40800010	40800000	1	c4080		162	13	1
4090	40900010	40900000	1	c4090		556	94	1
4100	41000010	41000000	1	c4100		119	42	1
4101	41010010	41010000	1	c4101		233	46	1
4110	41100020	41100000	1	c4110		85	73	1
4120	41200012	41200000	1	c4120		534	105	1
4130	41300012	41300000	1	c4130		911	1013	1
4140	41404020	41400000	1	c4140		126	42	1
4150	41500060	41500000	3	Basilisk	basilisk	338	130	1
4160	41601010	41600000	1	c4160		338	61	1
4161	41610010	41610000	1	c4161		162	52	1
4162	41620072	41620000	1	c4162		338	1138	1
4163	41630072	41630000	1	c4163		162	972	1
4164	41640830	41640000	1	c4164		338	331	1
4165	41650030	41650000	1	c4165		162	282	1
4166	41660040	41660000	1	c4166		338	186	1
4167	41670040	41670000	1	c4167		162	159	1
4170	41700110	41700000	1	c4170		275	16	1
4171	41710430	41710000	1	c4171		1893	370	1
4180	41800010	41800000	1	c4180		223	14	1
4190	41900000	41900000	1	c4190		213	0	0
4191	41910000	41910000	1	c4191		154	0	0
4192	41920000	41920000	1	c4192		271	0	0
4200	42000010	42000000	1	c4200		126	47	1
4201	42017412	42010000	1	c4201		492	110	1
4210	42102010	42100000	1	c4210		155	56	1
4220	42200010	42200000	1	c4220		2327	320	1
4230	42300010	42300000	1	c4230		115	11	1
4240	42407020	42400000	1	c4240		747	418	1
4241	42410150	42410000	1	c4241		1493	4627	1
4250	42500020	42500000	1	c4250		105	26	1
4260	42604150	42600000	1	c4260		1052	3712	1
4270	42700014	42700000	1	c4270		1280	1428	1
4280	42800060	42800000	1	c4280		196	122	1
4290	42900020	42900000	1	c4290		438	491	1
4300	43000006	43000000	1	c4300		85	11	1
4311	43111306	43110000	1	c4311		192	38	1
4312	43120020	43120000	1	c4312		192	122	1
4313	43130030	43130000	1	c4313		192	345	1
4314	43140040	43140000	1	c4314		192	194	1
4315	43150012	43150000	1	c4315		192	67	1
4316	43160056	43160000	1	c4316		192	2534	1
4321	43210020	43210000	1	c4321		153	112	1
4340	43400010	43400000	1	c4340		582	276	1
4341	43410000	43410000	1	c4341		582	0	0
4351	43510010	43510000	1	c4351		576	260	1
4352	43520020	43520000	1	c4352		576	406	1
4353	43530020	43530000	1	c4353		576	620	1
4354	43540040	43540000	1	c4354		576	578	1
4355	43550020	43550000	1	c4355		576	406	1
4356	43560556	43560000	1	c4356		576	5928	1
4358	43580000	43580000	1	c4358		576	0	0
4361	43610010	43610000	1	c4361		448	20	1
4362	43620020	43620000	1	c4362		448	31	1
4363	43630030	43630000	1	c4363		448	70	1
4364	43640040	43640000	1	c4364		448	44	1
4365	43650066	43650000	1	c4365		448	106	1
4368	43680000	43680000	1	c4368		448	0	0
4371	43710010	43710000	1	c4371		147	56	1
4372	43720020	43720000	1	c4372		147	108	1
4373	43730030	43730000	1	c4373		147	305	1
4374	43740040	43740000	1	c4374		147	172	1
4375	43751052	43750000	1	c4375		147	1502	1
4376	43760056	43760000	1	c4376		147	2238	1
4377	43770012	43770000	1	c4377		147	59	1
4380	43800012	43800000	1	c4380		162	57	1
4381	43810020	43810000	1	c4381		162	104	1
4382	43820010	43820000	1	c4382		93	92	1
4383	43830020	43830000	1	c4383		70	155	1
4384	43840020	43840000	1	c4384		180	399	1
4385	43850012	43850000	1	c4385		162	56	1
4420	44200020	44200000	1	c4420		876	500	1
4430	44301010	44300000	1	c4430		174	9	1
4440	44400010	44400000	1	c4440		366	13	1
4441	44410020	44410000	1	c4441		1429	367	1
4460	44607020	44600000	1	c4460		438	1270	1
4470	44700020	44700000	1	c4470		1418	1312	1
4480	44800010	44800000	1	c4480		1939	256	1
4481	44810010	44810000	1	c4481		119	14	1
4482	44820040	44820000	1	c4482		1939	568	1
4483	44830040	44830000	1	c4483		120	54	1
4490	44907014	44900000	1	c4490		449	353	1
4491	44919020	44910000	1	c4491		691	50	1
4500	45000000	45000000	1	c4500		1639	0	0
4501	45010000	45010000	1	c4501		5753	0	0
4502	45020022	45020000	1	c4502		1639	6776	1
4503	45030000	45030000	1	c4503		1639	0	0
4504	45040042	45040000	1	c4504		12440	50000	1
4505	45050042	45050000	1	c4505		1019	3470	1
4510	45100172	45100000	1	c4510		1876	14400	1
4511	45110000	45110000	1	c4511		3128	0	0
4520	45200000	45200000	1	c4520		3782	0	0
4550	45500040	45500000	1	c4550		668	313	1
4560	45601850	45600000	1	c4560		1204	1009	1
4561	45610068	45610000	1	c4561		1577	11038	1
4570	45700030	45700000	1	c4570		621	541	1
4580	45802132	45800000	1	c4580		1587	2937	1
4600	46000010	46000000	1	c4600		1901	1000	1
4601	46010020	46010000	1	c4601		1901	1320	1
4602	46020050	46020000	1	c4602		1901	3780	1
4603	46030000	46030000	1	c4603		1135	0	0
4604	46040020	46040000	1	c4604		1914	1000	1
4620	46202060	46200000	1	c4620		611	3844	1
4630	46300010	46300000	1	c4630		2585	1196	1
4640	46400014	46400000	1	c4640		2713	4736	1
4650	46500060	46500000	1	c4650		2239	4356	1
4660	46600010	46600000	1	c4660		5236	1039	1
4670	46700000	46700000	1	c4670		1939	0	0
4680	46800000	46800000	1	c4680		3154	0	0
4690	46900007	46900000	1	c4690		1146	583	1
4710	47100000	47100000	1	c4710		6284	0	0
4711	47110000	47110000	1	c4711		12691	0	0
4720	47200000	47200000	1	c4720		1721	0	0
4721	47210000	47210000	1	c4721		1656	0	0
4730	47300000	47300000	1	c4730		2585	0	0
4750	47500000	47500000	1	c4750		3354	0	0
4760	47600000	47600000	1	c4760		3489	0	0
4770	47700033	47700000	1	c4770		1745	2835	1
4800	48000000	48000000	1	c4800		2553	0	0
4810	48100034	48100000	1	c4810		1745	10062	1
4811	48110056	48110000	1	c4811		1745	27090	1
4820	48200820	48200000	1	c4820		429	466	1
4910	49100038	49100000	1	c4910		2968	5044	1
4950	49500050	49500000	1	c4950		1918	4234	1
4960	49600000	49600000	1	c4960		1918	0	0
4980	49800000	49800000	1	c4980		2079	0	0
5000	50000000	50000000	1	c5000		2765	0	0
5010	50100000	50100000	1	c5010		2957	0	0
5011	50110084	50110000	1	c5011		1408	9576	1
5020	50200000	50200000	1	c5020		1745	0	0
5030	50300000	50300000	1	c5030		2540	0	0
5040	50400080	50400000	1	c5040		840	1520	1
5050	50500000	50500000	1	c5050		416	0	0
5051	50510000	50510000	1	c5051		3347	0	0
5060	50600083	50600000	1	c5060		159	1634	1
5070	50700000	50700000	1	c5070		1120	0	0
5080	50800080	50800000	1	c5080		346	1740	1
5081	50810195	50810000	1	c5081		1094	1718	1
5090	50900080	50900000	1	c5090		161	1575	1
5110	51100080	51100000	1	c5110		223	1186	1
5120	51200000	51200000	1	c5120		2712	0	0
5130	51300000	51300000	1	c5130		2963	0	0
5140	51400000	51400000	1	c5140		2963	0	0
5141	51410000	51410000	1	c5141		2963	0	0
5160	51602398	51600000	1	c5160		403	6348	1
5170	51700080	51700000	1	c5170		12800	9524	1
5190	51900088	51900000	1	c5190		168	1499	1
5192	51920088	51920000	1	c5192		422	1629	1
5193	51930088	51930000	1	c5193		58	477	1
5200	52000000	52000000	1	c5200		3072	0	0
5210	52100000	52100000	1	c5210		2330	0	0
5220	52200000	52200000	1	c5220		3168	0	0
5230	52300000	52300000	1	c5230		640	0	0
5240	52400180	52400000	1	c5240		85	707	1
5241	52410088	52410000	1	c5241		408	2246	1
5250	52500088	52500000	1	c5250		453	5628	1
5260	52600081	52600000	1	c5260		778	4628	1
5270	52700080	52700000	1	c5270		397	1652	1
5271	52710280	52710000	1	c5271		666	1652	1
5280	52800086	52800000	1	Aging Untouchable	aging_untouchable	323	4449	1
5300	53000000	53000000	1	c5300		2765	0	0
5311	53110080	53110000	1	c5311		173	1474	1
5320	53207086	53200000	1	c5320		576	8383	1
5330	53300087	53300000	1	c5330		173	100	1
5360	53600181	53600000	1	c5360		148	1564	1
5370	53700000	53700000	1	c5370		1876	0	0
5380	53800081	53800000	1	c5380		1939	4078	1
5381	53810081	53810000	1	c5381		119	545	1
5390	53900083	53900000	1	c5390		1901	8385	1
5391	53910082	53910000	1	c5391		1901	8580	1
5392	53920000	53920000	1	c5392		1135	0	0
5401	54010080	54010000	1	c5401		27	24	1
5410	54100080	54100000	1	c5410		55	24	1
5421	54210090	54210000	1	c5421		681	101	1
5430	54300080	54300000	1	c5430		27	24	1
5440	54400080	54400000	1	c5440		82	24	1
5450	54500080	54500000	1	c5450		55	24	1
5460	54600083	54600000	1	c5460		27	26	1
5470	54700090	54700000	1	c5470		17	27	1
5471	54710095	54710000	1	c5471		17	41	1
5472	54720091	54720000	1	c5472		17	74	1
5480	54800080	54800000	1	c5480		378	24	1
5490	54900080	54900000	1	c5490		27	24	1
5500	55000281	55000000	1	c5500		111	1318	1
5501	55010285	55010000	1	c5501		111	1431	1
5511	55110098	55110000	1	c5511		376	1556	1
5512	55120000	55120000	1	c5512		626	0	0
5513	55130083	55130000	1	c5513		305	4085	1
5520	55200095	55200000	1	c5520		338	1828	1
5521	55210080	55210000	1	c5521		162	1381	1
5522	55220080	55220000	1	c5522		338	1617	1
5523	55230080	55230000	1	c5523		162	1381	1
5524	55240082	55240000	1	c5524		338	1779	1
5525	55250082	55250000	1	c5525		162	1519	1
5526	55260094	55260000	1	c5526		338	3146	1
5527	55270080	55270000	1	c5527		162	1381	1
5530	55300080	55300000	1	c5530		126	1256	1
5540	55400090	55400000	1	c5540		78	1643	1
5550	55500083	55500000	1	c5550		747	4374	1
5551	55510093	55510000	1	c5551		1493	14785	1
5560	55600083	55600000	1	c5560		105	465	1
5570	55700090	55700000	1	c5570		179	1709	1
5580	55800000	55800000	1	c5580		2704	0	0
5581	55810000	55810000	1	c5581		1019	0	0
5590	55900081	55900000	1	c5590		275	612	1
5591	55917587	55910000	1	c5591		1893	3252	1
5600	56000087	56000000	1	c5600		281	2947	1
5620	56200084	56200000	1	c5620		1918	9959	1
5630	56307081	56300000	1	c5630		876	5112	1
5640	56400198	56400000	1	c5640		357	4577	1
5641	56410081	56410000	1	c5641		28	395	1
5651	56510081	56510000	1	c5651		147	1567	1
5661	56610081	56610000	1	c5661		153	1626	1
5670	56700000	56700000	1	c5670		679	0	0
5690	56900000	56900000	1	c5690		441	0	0
5700	57000083	57000000	1	c5700		119	1204	1
5701	57010083	57010000	1	c5701		233	1318	1
5710	57100083	57100000	1	c5710		85	1089	1
5720	57200083	57200000	1	c5720		534	2322	1
5730	57300000	57300000	1	c5730		911	0	0
5740	57409080	57400000	1	c5740		640	4180	1
5750	57508280	57500000	1	c5750		449	3754	1
5751	57510480	57510000	1	c5751		150	1091	1
5760	57600080	57600000	1	c5760		162	489	1
5761	57610080	57610000	1	c5761		556	2035	1
5770	57700000	57700000	1	c5770		1918	0	0
5780	57800095	57800000	1	c5780		2585	10542	1
5790	57900095	57900000	1	c5790		5236	9158	1
5800	58000094	58000000	1	c5800		840	16289	1
5810	58108083	58100000	1	c5810		1056	3990	1
5820	58200000	58200000	1	c5820		2585	0	0
5830	58300080	58300000	1	c5830		192	1689	1
5840	58400080	58400000	1	c5840		512	3952	1
5850	58500180	58500000	1	c5850		448	1596	1
5860	58600000	58600000	1	c5860		3661	0	0
5870	58700081	58700000	1	c5870		172	1860	1
5871	58710095	58710000	1	c5871		172	2002	1
5872	58727091	58720000	1	c5872		172	4329	1
5880	58800281	58800000	1	c5880		210	1519	1
5890	58900090	58900000	1	c5890		448	599	1
5900	59000080	59000000	1	c5900		192	1258	1
5910	59100088	59100000	1	c5910		173	100	1
5920	59200181	59200000	1	c5920		2968	7718	1
5930	59300084	59300000	1	c5930		671	2489	1
5931	59310081	59310000	1	c5931		671	2293	1
5940	59401087	59400000	1	c5940		174	363	1
5950	59500087	59500000	1	c5950		564	7066	1
5960	59600088	59600000	1	c5960		2713	18346	1
5970	59700190	59700000	1	c5970		1418	8722	1
5980	59809090	59800000	1	c5980		429	5113	1
5990	59900095	59900000	1	c5990		338	1948	1
6001	60010010	60010000	1	c6001		27	4	1
6010	60100010	60100000	1	c6010		55	4	1
6031	60310010	60310000	1	c6031		681	15	1
6040	60400010	60400000	1	c6040		27	4	1
6050	60500010	60500000	1	c6050		82	4	1
6060	60600010	60600000	1	c6060		55	4	1
6070	60700010	60700000	1	c6070		27	4	1
6072	60720000	60720000	1	c6072		27	0	0
6080	60800010	60800000	1	c6080		17	4	1
6081	60810010	60810000	1	c6081		17	6	1
6082	60820040	60820000	1	c6082		17	13	1
6090	60900010	60900000	1	c6090		378	4	1
6091	60910020	60910000	1	c6091		37818	100	1
6100	61000010	61000000	1	c6100		27	4	1
6200	62000000	62000000	1	c6200		213	0	0
6201	62010000	62010000	1	c6201		154	0	0
6202	62020000	62020000	1	c6202		271	0	0
6210	62100092	62100000	1	c6210		487	6381	1
6220	62200092	62200000	1	c6220		774	5490	1
6221	62210000	62210000	1	c6221		973	0	0
6231	62311081	62310000	1	c6231		184	1899	1
6233	62330082	62330000	1	c6233		353	4086	1
6240	62400000	62400000	1	c6240		187	0	0
6251	62510000	62510000	1	c6251		1745	0	0
6260	62600000	62600000	1	c6260		2079	0	0
6270	62700084	62700000	1	c6270		679	9212	1
6290	62900090	62900000	1	c6290		192	1661	1
6291	62910090	62910000	1	c6291		531	2430	1
6300	63000094	63000000	1	c6300		126	1454	1
6310	63100000	63100000	1	c6310		3154	0	0
7000	70000065	70000000	1	c7000		115	246	1
7100	71000150	71000000	1	c7100		851	5039	1
8000	80000000	80000000	1	c8000		1939	0	0
8100	81000000	81000000	1	c8100		679	0	0
8110	81100000	81100000	1	c8110		441	0	0
