# AUTO-GENERATED by tools/derive_sweep_anchor_coords.py -- DO NOT EDIT, re-emit.
# WEAK ANCHOR, NOT A MEASUREMENT. Each row says: this check is a MEMBER of the
# sweep triggered by <trigger_defeat_flag>, and that boss is fought at <x,y,z>.
# A member sits BEHIND its trigger, not AT it (boss_sweeps scopes members by
# class, and #445 records triggers outside their members' region). Present it as
# an AREA, never with the wording used for an item_grace_coords position.
# Positions are MAP-LOCAL, the same space as item_grace_coords.
#
# EMITTED 644.
# REFUSED 0 AMBIGUOUS SWEEP
# REFUSED 35 NO ARENA:
#    7770786 (trigger 12030390)
#    7771302 (trigger 12030390)
#    7771305 (trigger 12030390)
#    7771306 (trigger 12030390)
#    7900026 (trigger 12030390)
#    7773960 (trigger 30130810)
#    7773962 (trigger 30130810)
#    7772320 (trigger 34110800)
#    7770735 (trigger 1036450800)
#    7770751 (trigger 1036450800)
#    7774129 (trigger 1036450800)
#    7770736 (trigger 1036480800)
#    7770739 (trigger 1036480800)
#    7770619 (trigger 1037420800)
#    7774204 (trigger 1037420800)
#    7770746 (trigger 1039430800)
#    7770757 (trigger 1039510800)
#    7772740 (trigger 1039510800)
#    7770036 (trigger 1044530800)
#    7770763 (trigger 1044530800)
#    7772897 (trigger 1044530800)
#    7772942 (trigger 1044530800)
#    7774343 (trigger 1044530800)
#    7774345 (trigger 1044530800)
#    7774503 (trigger 1252520800)
#    7774504 (trigger 1252520800)
#    7900275 (trigger 1252520800)
#    7773739 (trigger 2049440800)
#    7773765 (trigger 2049440800)
#    7773625 (trigger 2050430800)
#    7773942 (trigger 2050480810)
#    7900199 (trigger 2050480810)
#    7773939 (trigger 2050480811)
#    7773947 (trigger 2050480811)
#    7773940 (trigger 2050480812)
# REFUSED 0 ARENA AT ORIGIN
# REFUSED 3435 ALREADY POSITIONED:
#    7770041
#    7770047
#    7770810
#    7770812
#    7770814
#    7770816
#    7770818
#    7770820
#    7770822
#    7770824
#    7770826
#    7770828
#    7770830
#    7770832
#    7770834
#    7770836
#    7770838
#    7770840
#    7770844
#    7770846
#    7770848
#    7770850
#    7770852
#    7770854
#    7770856
#    7770859
#    7770862
#    7770864
#    7770866
#    7770868
#    7770870
#    7770872
#    7770874
#    7770876
#    7770878
#    7770880
#    7770882
#    7770884
#    7770886
#    7770888
#    ... 3395 more
ap_location_id	check_flag	trigger_defeat_flag	boss_map	local_x	local_y	local_z	anchor
7770742	540224	1038510800	m60_38_51_00	-32.46	770.8	0.54	sweep_arena
7770743	540236	1038480800	m60_38_48_00	-30.17	404.2	-102.92	sweep_arena
7770744	540238	1033430800	m60_33_43_00	43.42	291.36	28.77	sweep_arena
7770745	540250	1035500800	m60_35_50_00	-31.85	430.95	100.61	sweep_arena
7770747	540254	1038480800	m60_38_48_00	-30.17	404.2	-102.92	sweep_arena
7770748	540256	1036500800	m60_36_50_00	121.09	379.63	10.94	sweep_arena
7770749	540258	1039440800	m60_39_44_00	-81.59	294.79	-41.36	sweep_arena
7770750	540260	1034420800	m60_34_42_00	101.58	397.27	-42.53	sweep_arena
7770752	540264	1033450800	m60_33_45_00	-52.3	245.05	-29.6	sweep_arena
7770753	540272	14000850	m14_00_00_00	151.24	110.57	-222.99	sweep_arena
7770754	540290	39200800	m39_20_00_00	-106.67	353.66	-1310.49	sweep_arena
7770755	540300	1038510800	m60_38_51_00	-32.46	770.8	0.54	sweep_arena
7770756	540302	1038510800	m60_38_51_00	-32.46	770.8	0.54	sweep_arena
7770758	540306	1040520800	m60_40_52_00	51.64	884.14	7.32	sweep_arena
7770759	540308	1041530800	m60_41_53_00	-77.48	785.14	29.23	sweep_arena
7770760	540310	1041510800	m60_41_51_00	91.09	851.27	-31.35	sweep_arena
7770761	540312	1041530800	m60_41_53_00	-77.48	785.14	29.23	sweep_arena
7770762	540314	1045520800	m60_45_52_00	27.69	1023.82	43.92	sweep_arena
7770764	540318	1043530800	m60_44_53_00	-23.58	1025.94	75.99	sweep_arena
7770765	540320	1040530800	m60_40_53_00	-92.85	802.27	71.05	sweep_arena
7770766	540332	1037530800	m60_37_53_00	52.79	903.67	-88.34	sweep_arena
7770767	540334	1036540800	m60_36_54_00	100.63	1052.16	-41.76	sweep_arena
7770768	540370	11000850	m11_00_00_00	-131.56	31.01	-386.36	sweep_arena
7770769	540372	11000800	m11_00_00_00	67.41	79.0	-455.18	sweep_arena
7770770	540400	1047400800	m60_47_40_00	-102.34	126.24	102.54	sweep_arena
7770771	540402	1049380800	m60_49_38_00	-25.22	65.88	50.57	sweep_arena
7770772	540406	1048370800	m60_48_37_00	-48.09	114.95	-42.67	sweep_arena
7770773	540410	1048400800	m60_48_40_00	-118.79	138.42	-91.28	sweep_arena
7770774	540412	1048410800	m60_48_41_00	-86.98	225.66	-70.16	sweep_arena
7770775	540422	1048400800	m60_48_40_00	-118.79	138.42	-91.28	sweep_arena
7770776	540590	16000800	m16_00_00_00	93.69	-438.87	-118.41	sweep_arena
7770777	540592	16000850	m16_00_00_00	62.32	7.82	-211.48	sweep_arena
7770778	540600	12040800	m12_04_00_00	-100.0	-106.23	-125.0	sweep_arena
7770779	540602	12010850	m12_01_00_00	-224.54	-317.06	-306.44	sweep_arena
7770780	540610	12020800	m12_02_00_00	1213.21	-619.69	1934.45	sweep_arena
7770781	540630	12020830	m12_02_00_00	1240.1	-748.45	1738.16	sweep_arena
7770782	540642	12020850	m12_02_00_00	995.94	-617.5	1146.54	sweep_arena
7770783	540646	12020800	m12_02_00_00	1213.21	-619.69	1934.45	sweep_arena
7770784	540648	12020830	m12_02_00_00	1240.1	-748.45	1738.16	sweep_arena
7770785	540652	12080800	m12_08_00_00	1530.68	-1735.68	-1052.55	sweep_arena
7770787	540668	12030800	m12_03_00_00	-370.11	149.47	-203.44	sweep_arena
7770788	540670	12030850	m12_03_00_00	-448.77	149.34	-273.11	sweep_arena
7770789	540680	12050800	m12_05_00_00	1552.51	-505.78	1234.42	sweep_arena
7770790	540682	12050800	m12_05_00_00	1552.51	-505.78	1234.42	sweep_arena
7770791	540684	12050800	m12_05_00_00	1552.51	-505.78	1234.42	sweep_arena
7770792	540686	12050800	m12_05_00_00	1552.51	-505.78	1234.42	sweep_arena
7770793	540772	13000830	m13_00_00_00	14.45	1009.59	329.5	sweep_arena
7770794	580000	1042380850	m60_42_38_00	12.3	188.02	89.59	sweep_arena
7770795	580010	1039440800	m60_39_44_00	-81.59	294.79	-41.36	sweep_arena
7770797	580040	10000850	m10_00_00_00	-16.94	-2.75	-17.6	sweep_arena
7770798	580050	11000850	m11_00_00_00	-131.56	31.01	-386.36	sweep_arena
7770799	580120	21000850	m15_00_00_00	-25.87	51.95	477.41	sweep_arena
7770819	10007085	10000850	m10_00_00_00	-16.94	-2.75	-17.6	sweep_arena
7770831	10007195	10000850	m10_00_00_00	-16.94	-2.75	-17.6	sweep_arena
7770842	10007295	10000800	m10_00_00_00	-233.64	73.69	349.6	sweep_arena
7770947	11007185	11000850	m11_00_00_00	-131.56	31.01	-386.36	sweep_arena
7770949	11007195	11000850	m11_00_00_00	-131.56	31.01	-386.36	sweep_arena
7771021	11007985	11000850	m11_00_00_00	-131.56	31.01	-386.36	sweep_arena
7771022	11007987	11000800	m11_00_00_00	67.41	79.0	-455.18	sweep_arena
7771023	11007989	11000850	m11_00_00_00	-131.56	31.01	-386.36	sweep_arena
7771026	11007993	11000800	m11_00_00_00	67.41	79.0	-455.18	sweep_arena
7771030	11007998	11000800	m11_00_00_00	67.41	79.0	-455.18	sweep_arena
7771049	12017105	12010800	m12_01_00_00	-193.0	-224.5	59.76	sweep_arena
7771132	12017930	12010850	m12_01_00_00	-224.54	-317.06	-306.44	sweep_arena
7771136	12017965	12010850	m12_01_00_00	-224.54	-317.06	-306.44	sweep_arena
7771138	12017975	12010850	m12_01_00_00	-224.54	-317.06	-306.44	sweep_arena
7771140	12017985	12010850	m12_01_00_00	-224.54	-317.06	-306.44	sweep_arena
7771142	12017992	12010850	m12_01_00_00	-224.54	-317.06	-306.44	sweep_arena
7771143	12017995	12040800	m12_04_00_00	-100.0	-106.23	-125.0	sweep_arena
7771144	12017997	12010850	m12_01_00_00	-224.54	-317.06	-306.44	sweep_arena
7771186	12027435	12020850	m12_02_00_00	995.94	-617.5	1146.54	sweep_arena
7771188	12027445	12020830	m12_02_00_00	1240.1	-748.45	1738.16	sweep_arena
7771214	12027700	12020800	m12_02_00_00	1213.21	-619.69	1934.45	sweep_arena
7771242	12027985	12020830	m12_02_00_00	1240.1	-748.45	1738.16	sweep_arena
7771244	12027995	12020800	m12_02_00_00	1213.21	-619.69	1934.45	sweep_arena
7771300	12037800	12030800	m12_03_00_00	-370.11	149.47	-203.44	sweep_arena
7771301	12037810	12030850	m12_03_00_00	-448.77	149.34	-273.11	sweep_arena
7771303	12037830	12030800	m12_03_00_00	-370.11	149.47	-203.44	sweep_arena
7771304	12037840	12030850	m12_03_00_00	-448.77	149.34	-273.11	sweep_arena
7771307	12037960	12030800	m12_03_00_00	-370.11	149.47	-203.44	sweep_arena
7771308	12037990	12030850	m12_03_00_00	-448.77	149.34	-273.11	sweep_arena
7771327	12057200	12050800	m12_05_00_00	1552.51	-505.78	1234.42	sweep_arena
7771329	12057240	12050800	m12_05_00_00	1552.51	-505.78	1234.42	sweep_arena
7771330	12057250	12050800	m12_05_00_00	1552.51	-505.78	1234.42	sweep_arena
7771331	12057280	12050800	m12_05_00_00	1552.51	-505.78	1234.42	sweep_arena
7771341	12057400	12050800	m12_05_00_00	1552.51	-505.78	1234.42	sweep_arena
7771342	12057410	12050800	m12_05_00_00	1552.51	-505.78	1234.42	sweep_arena
7771343	12057510	12050800	m12_05_00_00	1552.51	-505.78	1234.42	sweep_arena
7771355	12057710	12050800	m12_05_00_00	1552.51	-505.78	1234.42	sweep_arena
7771357	12057950	12050800	m12_05_00_00	1552.51	-505.78	1234.42	sweep_arena
7771377	12077250	12080800	m12_08_00_00	1530.68	-1735.68	-1052.55	sweep_arena
7771399	12077510	12020850	m12_02_00_00	995.94	-617.5	1146.54	sweep_arena
7771486	13007991	13000830	m13_00_00_00	14.45	1009.59	329.5	sweep_arena
7771487	13007993	13000850	m13_00_00_00	-3.55	-52.2	406.52	sweep_arena
7771488	13007995	13000800	m13_00_00_00	197.21	-32.52	374.75	sweep_arena
7771490	14007005	14000850	m14_00_00_00	151.24	110.57	-222.99	sweep_arena
7771493	14007025	14000800	m14_00_00_00	70.4	-838.71	-23.42	sweep_arena
7771495	14007035	14000800	m14_00_00_00	70.4	-838.71	-23.42	sweep_arena
7771551	14007980	14000800	m14_00_00_00	70.4	-838.71	-23.42	sweep_arena
7771554	15001200	15000800	m15_00_00_00	-25.87	51.95	477.41	sweep_arena
7771555	15001250	15000850	m15_00_00_00	174.37	431.66	307.9	sweep_arena
7771556	15001260	15000800	m15_00_00_00	-25.87	51.95	477.41	sweep_arena
7771557	15001270	15000850	m15_00_00_00	174.37	431.66	307.9	sweep_arena
7771558	15001280	15000800	m15_00_00_00	-25.87	51.95	477.41	sweep_arena
7771559	15001290	15000850	m15_00_00_00	174.37	431.66	307.9	sweep_arena
7771610	15007450	15000850	m15_00_00_00	174.37	431.66	307.9	sweep_arena
7771714	16007690	16000800	m16_00_00_00	93.69	-438.87	-118.41	sweep_arena
7771718	16007940	16000850	m16_00_00_00	62.32	7.82	-211.48	sweep_arena
7771719	16007950	16000860	m16_00_00_00	229.67	-133.52	-251.97	sweep_arena
7771727	18007900	18000850	m18_00_00_00	-40.94	10.67	41.1	sweep_arena
7771811	20007900	20000800	m20_00_00_00	-43.02	118.48	336.61	sweep_arena
7771812	20007991	20000800	m20_00_00_00	-43.02	118.48	336.61	sweep_arena
7771813	20007993	20000800	m20_00_00_00	-43.02	118.48	336.61	sweep_arena
7771881	20017900	20010800	m20_01_00_00	-287.24	299.7	-141.21	sweep_arena
7771882	20017981	20010850	m20_01_00_00	-221.56	174.59	-328.75	sweep_arena
7771883	20017991	20010800	m20_01_00_00	-287.24	299.7	-141.21	sweep_arena
7771928	21007991	21000850	m15_00_00_00	-25.87	51.95	477.41	sweep_arena
7771929	21007993	21000850	m15_00_00_00	-25.87	51.95	477.41	sweep_arena
7771930	21007995	21000850	m15_00_00_00	-25.87	51.95	477.41	sweep_arena
7771981	21017991	21010800	m15_00_00_00	174.37	431.66	307.9	sweep_arena
7771994	21027991	2049480800	m61_49_48_00	80.91	580.04	6.88	sweep_arena
7772009	22007900	22000800	m22_00_00_00	-70.1	-295.01	104.29	sweep_arena
7772057	30087970	30080800	m30_08_00_00	336.11	742.22	13.74	sweep_arena
7772058	30087980	30080800	m30_08_00_00	336.11	742.22	13.74	sweep_arena
7772059	30087990	30080800	m30_08_00_00	336.11	742.22	13.74	sweep_arena
7772075	30107100	30100800	m30_10_00_00	-101.57	761.46	340.47	sweep_arena
7772095	30177020	30170800	m30_17_00_00	-7.61	1451.72	-35.84	sweep_arena
7772170	31117300	31110800	m31_11_00_00	-145.79	126.94	135.72	sweep_arena
7772171	31117990	31110800	m31_11_00_00	-145.79	126.94	135.72	sweep_arena
7772275	32057900	32050800	m32_05_00_00	53.19	777.2	-37.9	sweep_arena
7772344	34147720	34140850	m34_14_00_00	572.7	-373.48	-321.0	sweep_arena
7772348	35007010	35000800	m35_00_00_00	74.54	-298.53	-80.61	sweep_arena
7772349	35007020	35000850	m35_00_00_00	-203.85	-153.85	-306.87	sweep_arena
7772356	35007100	35000800	m35_00_00_00	74.54	-298.53	-80.61	sweep_arena
7772390	35007500	35000800	m35_00_00_00	74.54	-298.53	-80.61	sweep_arena
7772397	35007580	35000850	m35_00_00_00	-203.85	-153.85	-306.87	sweep_arena
7772410	35007770	35000800	m35_00_00_00	74.54	-298.53	-80.61	sweep_arena
7772417	35007970	35000850	m35_00_00_00	-203.85	-153.85	-306.87	sweep_arena
7772418	35007980	35000800	m35_00_00_00	74.54	-298.53	-80.61	sweep_arena
7772419	35007990	35000850	m35_00_00_00	-203.85	-153.85	-306.87	sweep_arena
7772421	35007995	35000850	m35_00_00_00	-203.85	-153.85	-306.87	sweep_arena
7772423	39207500	39200800	m39_20_00_00	-106.67	353.66	-1310.49	sweep_arena
7772450	42007000	2045440800	m61_45_44_00	59.1	256.42	-73.89	sweep_arena
7772451	42027000	2051440800	m61_51_44_00	5.08	162.59	94.24	sweep_arena
7772452	42037000	2046450800	m61_46_45_00	109.2	395.92	-80.75	sweep_arena
7772464	43017900	43010800	m43_01_00_00	37.56	94.02	4.2	sweep_arena
7772486	1034437200	1034420800	m60_34_42_00	101.58	397.27	-42.53	sweep_arena
7772508	1034477300	1034480800	m60_34_48_00	46.25	252.21	77.03	sweep_arena
7772509	1034477310	1034480800	m60_34_48_00	46.25	252.21	77.03	sweep_arena
7772514	1034487300	1034480800	m60_34_48_00	46.25	252.21	77.03	sweep_arena
7772515	1034487310	1034480800	m60_34_48_00	46.25	252.21	77.03	sweep_arena
7772533	1035437100	1035420800	m60_35_42_00	-38.61	269.17	-17.9	sweep_arena
7772549	1035467700	14000850	m14_00_00_00	151.24	110.57	-222.99	sweep_arena
7772554	1035487100	1034480800	m60_34_48_00	46.25	252.21	77.03	sweep_arena
7772598	1036547100	1036540800	m60_36_54_00	100.63	1052.16	-41.76	sweep_arena
7772607	1037467400	1037460800	m60_37_46_00	-48.34	398.31	9.79	sweep_arena
7772627	1037497300	1038480800	m60_38_48_00	-30.17	404.2	-102.92	sweep_arena
7772672	1038437100	1039440800	m60_39_44_00	-81.59	294.79	-41.36	sweep_arena
7772705	1038547100	1037540810	m60_37_54_00	-33.39	856.8	-72.88	sweep_arena
