# AUTO-GENERATED by tools/datamine_treasure_enablers.py -- DO NOT EDIT, re-emit.
# What enables each StartDisabled=1 live AP check, joined EMEVD -> entity id.
# 🛑 READ THE TOOL'S DOCSTRING BEFORE USING THIS AS A RISK LIST. StartDisabled=1 is
#   a property of the CONTAINER, not an access gate: 162 of 163 such records are
#   InChest>=1, and only 1 of 3113 loose pickups is StartDisabled (0.03%).
# verdict NO_ENTITY_HANDLE = both entity ids are 0, so NO event can ever address
#   this treasure. It is not 'unexplained gating'; it is proof of no gating.
# gate_kind is a HINT from construct vocabulary. POLARITY IS NOT ENCODED:
#   AssetDestroyed(x) = break it where it stands, NOT a cross-region prerequisite;
#   EndIf(EventFlag(p)) is a bail-out with INVERTED sense. Read gate_verbatim.
# self_set_flags: flags the enabling event SETS ITSELF. A gate flag listed here is
#   a MEMO ('already done'), NOT a prerequisite -- do not build an access rule on
#   it. `> ` in gate_verbatim marks a condition BELOW the enable call.
# external_gate_flags: gate flags that are NOT self-set and NOT this check's own
#   acquisition flag. external_flag_set_in names every map whose script SETS them,
#   which is what decides same-region vs cross-region. `-` = nothing sets it.
# MEASURED THIS RUN: 155 live rows / 136 distinct checks; ENABLER_FOUND=21 NO_ENABLER=68 NO_ENTITY_HANDLE=66
flag	map_id	item_lot_id	in_chest	asset_model	verdict	entity_id_used	key_space	verb	via	enabler_event	enabler_file	call_file	gate_kind	self_set_flags	external_gate_flags	external_flag_set_in	gate_verbatim
1042507000	m60_10_12_02	1042500000	1	AEG100_101	NO_ENABLER	1042501501	asset										
1043317900	m60_43_31_00	1043310900	1	AEG099_630	NO_ENABLER	1043311900	asset										
1043317910	m60_43_31_00	1043310910	1	AEG099_630	NO_ENABLER	1043311901	asset										
1044357900	m60_44_35_00	1044350900	1	AEG099_630	NO_ENTITY_HANDLE												
1045527020	m60_45_52_00	1045520020	2	AEG099_635	ENABLER_FOUND	1045521600	asset	EnableAssetTreasure	param	90005560	common_func.emevd.dcx.js	m60_45_52_00.emevd.dcx.js	in_place_destroy+event_flag	1045520600			if (EventFlag(1045520600)) { ;; > WaitFor(AssetDestroyed(1045521600));
1046577800	m60_46_57_00	1046570800	2	AEG099_635	ENABLER_FOUND	1046571500	asset	EnableAssetTreasure	param	90005560	common_func.emevd.dcx.js	m60_46_57_00.emevd.dcx.js	in_place_destroy+event_flag	1046570500			if (EventFlag(1046570500)) { ;; > WaitFor(AssetDestroyed(1046571500));
1047387900	m60_47_38_00	1047380900	1	AEG099_630	NO_ENABLER	1047381601	asset										
1047387900	m60_47_38_10	1047380900	1	AEG099_630	NO_ENABLER	1047381601	asset										
1047387910	m60_47_38_00	1047380910	1	AEG099_630	NO_ENABLER	1047381600	asset										
1047387910	m60_47_38_10	1047380910	1	AEG099_630	NO_ENABLER	1047381600	asset										
1047387920	m60_47_38_00	1047380920	1	AEG099_630	NO_ENABLER	1047381602	asset										
1047387920	m60_47_38_10	1047380920	1	AEG099_630	NO_ENABLER	1047381602	asset										
1047397080	m60_47_39_00	1047390080	1	AEG099_630	NO_ENABLER	1047391500	asset										
1047397080	m60_47_39_10	1047390080	1	AEG099_630	NO_ENABLER	1047391500	asset										
1047407900	m60_47_40_00	1047400900	1	AEG099_630	NO_ENABLER	1047401600	asset										
1047407910	m60_47_40_00	1047400910	1	AEG099_630	NO_ENABLER	1047401610	asset										
1047407920	m60_11_10_02	1047400920	1	AEG100_101	NO_ENABLER	1047401620	asset										
1048397900	m60_48_39_00	1048390900	1	AEG099_630	NO_ENABLER	1048391600	asset										
1048407900	m60_48_40_00	1048400900	1	AEG099_630	NO_ENABLER	1048401600	asset										
1049397900	m60_49_39_00	1049390900	1	AEG099_630	NO_ENABLER	1049391500	asset										
1049397910	m60_49_39_00	1049390910	1	AEG099_630	NO_ENABLER	1049391501	asset										
1049407040	m60_49_40_00	1049400040	2	AEG099_635	ENABLER_FOUND	1049401600	asset	EnableAssetTreasure	param	90005560	common_func.emevd.dcx.js	m60_49_40_00.emevd.dcx.js	in_place_destroy+event_flag	1049400600			if (EventFlag(1049400600)) { ;; > WaitFor(AssetDestroyed(1049401600));
1050367900	m60_50_36_00	1050360900	1	AEG099_630	NO_ENABLER	1050361600	asset										
1050397900	m60_50_39_00	1050390900	1	AEG099_630	NO_ENABLER	1050391500	asset										
1050397910	m60_50_39_00	1050390910	1	AEG099_630	NO_ENABLER	1050391501	asset										
1050557900	m60_50_55_00	1050550900	1	AEG099_633	NO_ENTITY_HANDLE												
1050567800	m60_50_56_00	1050560800	2	AEG099_635	ENABLER_FOUND	1050561500	asset	EnableAssetTreasure	param	90005560	common_func.emevd.dcx.js	m60_50_56_00.emevd.dcx.js	in_place_destroy+event_flag	1050560500			if (EventFlag(1050560500)) { ;; > WaitFor(AssetDestroyed(1050561500));
1052577810	m60_52_57_00	1052570810	2	AEG099_635	ENABLER_FOUND	1052571490	asset	EnableAssetTreasure	param	90005560	common_func.emevd.dcx.js	m60_52_57_00.emevd.dcx.js	in_place_destroy+event_flag	1052570490			if (EventFlag(1052570490)) { ;; > WaitFor(AssetDestroyed(1052571490));
11007015	m11_00_00_00	11000015	1	AEG099_630	NO_ENTITY_HANDLE												
11007980	m11_00_00_00	11000980	1	AEG099_630	NO_ENTITY_HANDLE												
11007994	m11_00_00_00	11001020	1	AEG099_630	NO_ENTITY_HANDLE												
11107700	m11_10_00_00	11100700	1	AEG099_630	NO_ENABLER	11101670	asset										
11107710	m11_10_00_00	11100710	1	AEG099_630	NO_ENABLER	11101671	asset										
114	m14_00_00_00	14000960	1	AEG099_630	ENABLER_FOUND	14001606	asset	EnableObjAct	literal	14002800	m14_00_00_00.emevd.dcx.js		character_death+event_flag	14000800,14000804,61118,9118			if (EventFlag(14000804)) { ;; if (!EventFlag(14000800)) { ;; WaitFor(CharacterHPValue(14000800) <= 0); ;; WaitFor( (PlayerIsInOwnWorld() && CharacterDead(14000800) && !CharacterHasSpEffect(10000, 9646)) || EventFlag(14000800)); ;; if (PlayerIsInOwnWorld()) { ;; EndIf(!PlayerIsInOwnWorld());
13007900	m13_00_00_00	13000900	1	AEG099_632	NO_ENTITY_HANDLE												
13007910	m13_00_00_00	13000910	1	AEG099_632	NO_ENTITY_HANDLE												
13007920	m13_00_00_00	13000920	1	AEG099_632	NO_ENTITY_HANDLE												
13007940	m13_00_00_00	13000940	1	AEG099_632	NO_ENTITY_HANDLE												
13007950	m13_00_00_00	13000950	1	AEG099_632	NO_ENTITY_HANDLE												
14007880	m14_00_00_00	14000880	1	AEG099_630	NO_ENABLER	14001603	asset										
14007910	m14_00_00_00	14000910	1	AEG099_630	NO_ENABLER	14001601	asset										
14007920	m14_00_00_00	14000920	1	AEG099_630	NO_ENABLER	14001602	asset										
14007940	m14_00_00_00	14000940	1	AEG099_630	NO_ENABLER	14001604	asset										
14007970	m14_00_00_00	14000970	1	AEG099_630	NO_ENTITY_HANDLE												
15007990	m15_00_00_00	15000990	2	AEG099_990	ENABLER_FOUND	15001810	asset	EnableAssetTreasure	literal	15002810	m15_00_00_00.emevd.dcx.js		in_place_proximity+event_flag	15000801	15000800,15002805	common_func,m15_00_00_00	if (EventFlag(15000800)) { ;; > if (!EventFlag(15000801)) { ;; > WaitFor(EventFlag(15002805) && InArea(10000, 15002800)); ;; > if (PlayerIsInOwnWorld()) { ;; > if (PlayerIsInOwnWorld()) { ;; > if (PlayerIsInOwnWorld()) { ;; > WaitFor(EventFlag(15002805) && InArea(10000, 15002800));
16007710	m16_00_00_00	16000710	2	AEG099_990	ENABLER_FOUND	16001681	asset	EnableAssetTreasure	literal	16002850	m16_00_00_00.emevd.dcx.js		character_death+event_flag	16000850,61121,9121			EndIf(EventFlag(16000850)); ;; WaitFor(CharacterHPValue(16000850) <= 0); ;; WaitFor(CharacterDead(16000850)); ;; if (PlayerIsInOwnWorld()) {
2044457900	m61_44_45_00	2044450900	1	AEG099_630	NO_ENTITY_HANDLE												
2044457900	m61_44_45_10	2044450900	1	AEG099_630	NO_ENTITY_HANDLE												
2045467900	m61_45_46_00	2045460900	1	AEG099_630	NO_ENTITY_HANDLE												
2045467900	m61_45_46_10	2045460900	1	AEG099_630	NO_ENTITY_HANDLE												
2045467910	m61_45_46_00	2045460910	1	AEG099_630	NO_ENTITY_HANDLE												
2045467910	m61_45_46_10	2045460910	1	AEG099_630	NO_ENTITY_HANDLE												
2046457910	m61_46_45_00	2046450910	1	AEG099_630	NO_ENTITY_HANDLE												
2046457910	m61_46_45_10	2046450910	1	AEG099_630	NO_ENTITY_HANDLE												
2046457920	m61_46_45_00	2046450920	1	AEG099_630	NO_ENTITY_HANDLE												
2046457920	m61_46_45_10	2046450920	1	AEG099_630	NO_ENTITY_HANDLE												
2046477750	m61_46_47_00	2046470750	2	AEG099_090	NO_ENTITY_HANDLE												
2046477750	m61_46_47_10	2046470750	2	AEG099_090	NO_ENTITY_HANDLE												
2047447750	m61_47_44_00	2047440750	2	AEG099_090	NO_ENTITY_HANDLE												
2047447750	m61_47_44_10	2047440750	2	AEG099_090	NO_ENTITY_HANDLE												
2047447800	m61_47_44_00	2047440800	1	AEG099_630	NO_ENTITY_HANDLE												
2047447800	m61_47_44_10	2047440800	1	AEG099_630	NO_ENTITY_HANDLE												
2047447820	m61_47_44_00	2047440820	1	AEG099_630	NO_ENTITY_HANDLE												
2047447820	m61_47_44_10	2047440820	1	AEG099_630	NO_ENTITY_HANDLE												
2047447830	m61_47_44_00	2047440830	1	AEG099_630	NO_ENTITY_HANDLE												
2047447830	m61_47_44_10	2047440830	1	AEG099_630	NO_ENTITY_HANDLE												
2047447840	m61_47_44_00	2047440840	1	AEG099_630	NO_ENTITY_HANDLE												
2047447840	m61_47_44_10	2047440840	1	AEG099_630	NO_ENTITY_HANDLE												
2048447800	m61_48_44_00	2048440800	1	AEG099_630	NO_ENTITY_HANDLE												
2048447810	m61_48_44_00	2048440810	1	AEG099_630	NO_ENTITY_HANDLE												
2049437270	m61_49_43_00	2049430270	1	AEG099_630	NO_ENTITY_HANDLE												
2049437500	m61_49_43_00	2049430500	1	AEG099_630	NO_ENTITY_HANDLE												
2049437520	m61_49_43_00	2049430520	1	AEG099_630	NO_ENTITY_HANDLE												
2050467900	m61_50_46_00	2050460900	1	AEG099_630	NO_ENTITY_HANDLE												
30037010	m30_03_00_00	30030010	1	AEG099_630	NO_ENABLER	30031520	asset										
30097000	m30_09_00_00	30090000	1	AEG099_630	ENABLER_FOUND	30091670	asset	EnableObjAct	param	30090790	m30_09_00_00.emevd.dcx.js	m30_09_00_00.emevd.dcx.js	event_flag		30090800	m30_09_00_00	if (EventFlag(30090800)) { ;; > WaitFor(PlayerIsInOwnWorld() && EventFlag(30090800) && !ThisEventSlot());
30097010	m30_09_00_00	30090010	1	AEG099_630	NO_ENABLER	30091200	asset										
30117000	m30_11_00_00	30110000	1	AEG099_630	ENABLER_FOUND	30111670	asset	EnableObjAct	literal	30112800	m30_11_00_00.emevd.dcx.js		character_death+event_flag	30110800,61203,9203			EndIf(EventFlag(30110800)); ;; WaitFor(CharacterHPValue(30110800) <= 0); ;; WaitFor(CharacterDead(30110800)); ;; > if (PlayerIsInOwnWorld()) {
30167040	m30_16_00_00	30160040	1	AEG099_013	NO_ENTITY_HANDLE												
30187070	m30_18_00_00	30180070	1	AEG099_630	NO_ENTITY_HANDLE												
31017060	m31_01_00_00	31010100	1	AEG099_633	NO_ENABLER	31011520	asset										
31187020	m31_18_00_00	31180020	1	AEG099_630	NO_ENABLER	31181522	asset										
31197000	m31_19_00_00	31190000	1	AEG099_630	NO_ENABLER	31191500	asset										
31197010	m31_19_00_00	31190010	1	AEG099_630	NO_ENABLER	31191501	asset										
31197030	m31_19_00_00	31190030	1	AEG099_630	NO_ENABLER	31191503	asset										
31197040	m31_19_00_00	31190040	1	AEG099_630	NO_ENABLER	31191504	asset										
31197050	m31_19_00_00	31190050	1	AEG099_630	NO_ENABLER	31191505	asset										
31197060	m31_19_00_00	31190060	1	AEG099_630	NO_ENABLER	31191506	asset										
31197080	m31_19_00_00	31190080	1	AEG099_630	NO_ENABLER	31191508	asset										
31197090	m31_19_00_00	31190090	1	AEG099_630	NO_ENABLER	31191509	asset										
31197100	m31_19_00_00	31190100	1	AEG099_630	NO_ENABLER	31191510	asset										
31197110	m31_19_00_00	31190110	1	AEG099_630	NO_ENABLER	31191511	asset										
31197120	m31_19_00_00	31190120	1	AEG099_630	NO_ENABLER	31191512	asset										
31197130	m31_19_00_00	31190130	1	AEG099_630	NO_ENABLER	31191513	asset										
31217200	m31_21_00_00	31210200	1	AEG099_630	NO_ENABLER	31211680	asset										
31217400	m31_21_00_00	31210400	1	AEG099_633	NO_ENABLER	31211690	asset										
32007900	m32_00_00_00	32000900	1	AEG099_630	NO_ENABLER	32001600	asset										
32027000	m32_02_00_00	32020000	1	AEG099_633	NO_ENABLER	32021691	asset										
32027900	m32_02_00_00	32020900	1	AEG099_630	NO_ENABLER	32021690	asset										
32057900	m32_05_00_00	32050900	1		NO_ENTITY_HANDLE												
32057910	m32_05_00_00	32050910	1	AEG099_633	NO_ENABLER	32051691	asset										
32087900	m32_08_00_00	32080900	1	AEG099_630	NO_ENTITY_HANDLE												
32087910	m32_08_00_00	32080910	1	AEG099_630	NO_ENTITY_HANDLE												
34127130	m34_12_00_00	34120130	2	AEG099_635	ENABLER_FOUND	34121650	asset	EnableAssetTreasure	param	90005560	common_func.emevd.dcx.js	m34_12_00_00.emevd.dcx.js	in_place_destroy+event_flag	34120650			if (EventFlag(34120650)) { ;; > WaitFor(AssetDestroyed(34121650));
34127900	m34_12_00_00	34120900	1	AEG099_630	NO_ENTITY_HANDLE												
34137900	m34_13_00_00	34130900	1	AEG099_630	NO_ENABLER	34131600	asset										
40007900	m40_00_00_00	40000900	1	AEG099_630	NO_ENTITY_HANDLE												
40027020	m40_02_00_00	40020020	1	AEG099_630	NO_ENTITY_HANDLE												
40027140	m40_02_00_00	40020140	1	AEG099_013	NO_ENTITY_HANDLE												
40027220	m40_02_00_00	40020220	1	AEG099_630	NO_ENTITY_HANDLE												
41027000	m41_02_00_00	41020000	1	AEG099_630	NO_ENTITY_HANDLE												
41027320	m41_02_00_00	41020320	1	AEG099_630	NO_ENTITY_HANDLE												
580600	m61_46_47_00	80600	2	AEG099_090	ENABLER_FOUND	2046471500	asset	EnableAssetTreasure	param	900005580	common_func.emevd.dcx.js	m61_46_47_00.emevd.dcx.js	event_flag		9146	m21_01_00_00	EndIf(!PlayerIsInOwnWorld()); ;; EndIf(EventFlag(580600)); ;; WaitFor(EventFlag(580600) || EventFlag(9146)); ;; EndIf(EventFlag(580600)); ;; > WaitFor(EventFlag(580600));
580600	m61_46_47_10	80600	2	AEG099_090	ENABLER_FOUND	2046471500	asset	EnableAssetTreasure	param	900005580	common_func.emevd.dcx.js	m61_46_47_00.emevd.dcx.js	event_flag		9146	m21_01_00_00	EndIf(!PlayerIsInOwnWorld()); ;; EndIf(EventFlag(580600)); ;; WaitFor(EventFlag(580600) || EventFlag(9146)); ;; EndIf(EventFlag(580600)); ;; > WaitFor(EventFlag(580600));
580600	m61_47_44_00	80600	2	AEG099_090	ENABLER_FOUND	2047441600	asset	EnableAssetTreasure	param	900005580	common_func.emevd.dcx.js	m61_47_44_00.emevd.dcx.js	event_flag		9146	m21_01_00_00	EndIf(!PlayerIsInOwnWorld()); ;; EndIf(EventFlag(580600)); ;; WaitFor(EventFlag(580600) || EventFlag(9146)); ;; EndIf(EventFlag(580600)); ;; > WaitFor(EventFlag(580600));
580600	m61_47_44_10	80600	2	AEG099_090	ENABLER_FOUND	2047441600	asset	EnableAssetTreasure	param	900005580	common_func.emevd.dcx.js	m61_47_44_00.emevd.dcx.js	event_flag		9146	m21_01_00_00	EndIf(!PlayerIsInOwnWorld()); ;; EndIf(EventFlag(580600)); ;; WaitFor(EventFlag(580600) || EventFlag(9146)); ;; EndIf(EventFlag(580600)); ;; > WaitFor(EventFlag(580600));
60130	m60_42_37_00	1042371010	1	AEG099_630	NO_ENABLER	1042371601	asset										
60410	m60_34_43_00	1034430100	1	AEG099_630	NO_ENABLER	1034431600	asset										
60460	m60_52_41_00	1052410900	1	AEG099_630	NO_ENABLER	1052411600	asset										
66410	m14_00_00_00	14000900	1	AEG099_630	NO_ENABLER	14001600	asset										
66780	m31_18_00_00	31180000	1	AEG099_630	NO_ENABLER	31181520	asset										
67420	m14_00_00_00	14000950	1	AEG099_630	NO_ENABLER	14001605	asset										
68780	m40_01_00_00	40010900	1	AEG099_630	NO_ENABLER	40011650	asset										
68790	m61_47_44_00	2047440810	1	AEG099_630	NO_ENTITY_HANDLE												
68790	m61_47_44_10	2047440810	1	AEG099_630	NO_ENTITY_HANDLE												
68820	m61_49_43_00	2049430510	1	AEG099_630	NO_ENTITY_HANDLE												
