flag,map,region,method
62051,m60_52_54_00,Overworld m60_52_54_00,treasure
62052,m60_48_56_00,Overworld m60_48_56_00,treasure
62060,m12_01_00_00,Eternal Cities & Underground Rivers,treasure
62061,m12_01_00_00,Eternal Cities & Underground Rivers,treasure
62062,m12_05_00_00,Eternal Cities & Underground Rivers,treasure
62063,m12_02_00_00,Eternal Cities & Underground Rivers,treasure
62064,m12_03_00_00,Eternal Cities & Underground Rivers,treasure
62081,m61_48_45_00,Overworld m61_48_45_00,treasure
62082,m61_48_37_00,Overworld m61_48_37_00,treasure
62083,m61_46_45_00,Overworld m61_46_45_00,treasure
62084,m61_52_41_00,Overworld m61_52_41_00,treasure
65030,m60_44_53_00,Overworld m60_44_53_00,treasure
65040,m60_33_43_00,Overworld m60_33_43_00,emevd
65060,m12_03_00_00,Eternal Cities & Underground Rivers,emevd
65090,m60_43_33_00,Overworld m60_43_33_00,emevd
65100,m60_47_40_00,Overworld m60_47_40_00,emevd
65120,m60_44_53_00,Overworld m60_44_53_00,treasure
65150,m60_49_37_00,Overworld m60_49_37_00,treasure
65180,m60_37_54_00,Overworld m60_37_54_00,emevd
65190,m60_44_53_00,Overworld m60_44_53_00,emevd
65200,m60_52_54_00,Overworld m60_52_54_00,treasure
65240,m60_43_34_00,Overworld m60_43_34_00,treasure
65270,m60_39_52_00,Overworld m60_39_52_00,emevd
65290,m60_38_48_00,Overworld m60_38_48_00,emevd
65610,m10_00_00_00,Stormveil Castle,treasure
65640,m60_51_36_00,Overworld m60_51_36_00,treasure
65660,m11_00_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
65680,m14_00_00_00,Raya Lucaria Academy,treasure
65720,m12_02_00_00,Eternal Cities & Underground Rivers,treasure
66010,m10_00_00_00,Stormveil Castle,treasure
66020,m10_00_00_00,Stormveil Castle,treasure
66080,m60_39_44_00,Overworld m60_39_44_00,treasure
66090,m60_39_44_00,Overworld m60_39_44_00,treasure
66100,m60_39_44_00,Overworld m60_39_44_00,treasure
66110,m60_35_50_00,Overworld m60_35_50_00,emevd
66120,m14_00_00_00,Raya Lucaria Academy,treasure
66130,m11_00_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
66140,m30_13_00_00,Hero's Graves (Catacombs),treasure
66150,m30_13_00_00,Hero's Graves (Catacombs),treasure
66160,m30_13_00_00,Hero's Graves (Catacombs),treasure
66170,m30_13_00_00,Hero's Graves (Catacombs),treasure
66180,m10_01_00_00,Stormveil Castle,emevd
66410,m14_00_00_00,Raya Lucaria Academy,treasure
66430,m60_39_44_00,Overworld m60_39_44_00,treasure
66440,m60_39_44_00,Overworld m60_39_44_00,treasure
66450,m60_35_50_00,Overworld m60_35_50_00,emevd
66470,m30_13_00_00,Hero's Graves (Catacombs),treasure
66480,m30_13_00_00,Hero's Graves (Catacombs),treasure
66490,m35_00_00_00,Divine Tower,treasure
66700,m16_00_00_00,Volcano Manor / Mt. Gelmir,treasure
66720,m11_00_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
66740,m60_36_52_00,Overworld m60_36_52_00,treasure
66760,m60_39_51_00,Overworld m60_39_51_00,treasure
66780,m31_18_00_00,Caves,treasure
66790,m60_48_38_00,Overworld m60_48_38_00,treasure
66910,m41_00_00_00,DLC Legacy Dungeon,emevd
66930,m18_00_00_00,Stormveil (assoc.),emevd
66960,m61_50_44_00,Overworld m61_50_44_00,treasure
66970,m61_50_44_00,Overworld m61_50_44_00,treasure
67010,m13_00_00_00,Crumbling Farum Azula,emevd
67020,m60_46_36_00,Overworld m60_46_36_00,treasure
67030,m10_00_00_00,Stormveil Castle,treasure
67050,m60_40_39_00,Overworld m60_40_39_00,treasure
67060,m60_35_44_00,Overworld m60_35_44_00,treasure
67070,m19_00_00_00,Chapel of Anticipation,emevd
67080,m19_00_00_00,Chapel of Anticipation,emevd
67090,m60_49_54_00,Overworld m60_49_54_00,treasure
67100,m60_35_42_00,Overworld m60_35_42_00,emevd
67120,m16_00_00_00,Volcano Manor / Mt. Gelmir,treasure
67130,m16_00_00_00,Volcano Manor / Mt. Gelmir,treasure
67200,m60_43_38_00,Overworld m60_43_38_00,treasure
67250,m60_35_54_00,Overworld m60_35_54_00,treasure
67260,m60_51_36_00,Overworld m60_51_36_00,treasure
67300,m12_02_00_00,Eternal Cities & Underground Rivers,treasure
67310,m60_51_36_00,Overworld m60_51_36_00,treasure
67410,m60_38_40_00,Overworld m60_38_40_00,treasure
67420,m14_00_00_00,Raya Lucaria Academy,treasure
67430,m30_00_00_00,Hero's Graves (Catacombs),treasure
67450,m60_38_41_00,Overworld m60_38_41_00,treasure
67470,m60_35_50_00,Overworld m60_35_50_00,emevd
67480,m60_38_42_00,Overworld m60_38_42_00,treasure
67630,m12_02_00_00,Eternal Cities & Underground Rivers,treasure
67640,m60_43_50_00,Overworld m60_43_50_00,treasure
67650,m60_46_40_00,Overworld m60_46_40_00,treasure
67860,m30_13_00_00,Hero's Graves (Catacombs),treasure
67870,m60_46_40_00,Overworld m60_46_40_00,treasure
67880,m31_02_00_00,Caves,emevd
67890,m12_01_00_00,Eternal Cities & Underground Rivers,treasure
67910,m12_05_00_00,Eternal Cities & Underground Rivers,treasure
68020,m13_00_00_00,Crumbling Farum Azula,treasure
68030,m60_48_36_00,Overworld m60_48_36_00,treasure
68210,m11_10_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
68400,m60_38_48_00,Overworld m60_38_48_00,treasure
68410,m35_00_00_00,Divine Tower,treasure
68630,m61_49_43_00,Overworld m61_49_43_00,treasure
68640,m61_44_46_00,Overworld m61_44_46_00,treasure
68670,m61_50_41_00,Overworld m61_50_41_00,treasure
68680,m61_45_48_00,Overworld m61_45_48_00,treasure
68710,m61_47_39_00,Overworld m61_47_39_00,treasure
68760,m61_48_37_00,Overworld m61_48_37_00,treasure
68820,m61_49_43_00,Overworld m61_49_43_00,treasure
68850,m61_49_38_00,Overworld m61_49_38_00,treasure
68890,m61_48_46_00,Overworld m61_48_46_00,treasure
68920,m61_49_38_00,Overworld m61_49_38_00,treasure
68940,m61_46_38_00,Overworld m61_46_38_00,treasure
68950,m61_47_35_00,Overworld m61_47_35_00,treasure
69740,m35_00_00_00,Divine Tower,treasure
69760,m60_38_48_00,Overworld m60_38_48_00,treasure
69900,m60_35_50_00,Overworld m60_35_50_00,emevd
120500,m12_05_00_00,Eternal Cities & Underground Rivers,emevd
120790,m60_34_50_00,Overworld m60_34_50_00,emevd
120800,m60_34_50_00,Overworld m60_34_50_00,emevd
120810,m60_34_50_00,Overworld m60_34_50_00,emevd
120820,m60_34_50_00,Overworld m60_34_50_00,emevd
120830,m60_34_50_00,Overworld m60_34_50_00,emevd
120840,m60_34_50_00,Overworld m60_34_50_00,emevd
130000,m60_34_50_00,Overworld m60_34_50_00,emevd
130100,m60_34_50_00,Overworld m60_34_50_00,emevd
130290,m60_35_50_00,Overworld m60_35_50_00,emevd
130300,m60_35_50_00,Overworld m60_35_50_00,emevd
130340,m60_35_50_00,Overworld m60_35_50_00,emevd
130350,m60_35_50_00,Overworld m60_35_50_00,emevd
130360,m60_35_50_00,Overworld m60_35_50_00,emevd
130370,m60_35_50_00,Overworld m60_35_50_00,emevd
130380,m60_35_50_00,Overworld m60_35_50_00,emevd
130390,m60_35_50_00,Overworld m60_35_50_00,emevd
290100,m60_35_42_00,Overworld m60_35_42_00,emevd
400001,m34_14_00_00,DLC Dungeon,emevd
400031,m10_01_00_00,Stormveil Castle,emevd
400033,m10_01_00_00,Stormveil Castle,emevd
400036,m12_05_00_00,Eternal Cities & Underground Rivers,emevd
400037,m12_05_00_00,Eternal Cities & Underground Rivers,emevd
400050,m60_44_36_00,Overworld m60_44_36_00,emevd
400061,m60_33_44_00,Overworld m60_33_44_00,emevd
400070,m60_40_54_00,Overworld m60_40_54_00,emevd
400071,m16_00_00_00,Volcano Manor / Mt. Gelmir,emevd
400072,m16_00_00_00,Volcano Manor / Mt. Gelmir,emevd
400073,m16_00_00_00,Volcano Manor / Mt. Gelmir,emevd
400074,m16_00_00_00,Volcano Manor / Mt. Gelmir,emevd
400075,m16_00_00_00,Volcano Manor / Mt. Gelmir,emevd
400076,m16_00_00_00,Volcano Manor / Mt. Gelmir,emevd
400077,m16_00_00_00,Volcano Manor / Mt. Gelmir,emevd
400078,m16_00_00_00,Volcano Manor / Mt. Gelmir,emevd
400089,m35_00_00_00,Divine Tower,emevd
400091,m16_00_00_00,Volcano Manor / Mt. Gelmir,emevd
400106,m11_10_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
400107,m14_00_00_00,Raya Lucaria Academy,emevd
400148,m60_34_50_00,Overworld m60_34_50_00,emevd
400149,m60_35_50_00,Overworld m60_35_50_00,emevd
400163,m60_39_52_00,Overworld m60_39_52_00,emevd
400174,m13_00_00_00,Crumbling Farum Azula,emevd
400175,m13_00_00_00,Crumbling Farum Azula,emevd
400180,m16_00_00_00,Volcano Manor / Mt. Gelmir,emevd
400183,m31_00_00_00,Caves,emevd
400191,m60_41_38_00,Overworld m60_41_38_00,emevd
400210,m30_19_00_00,Hero's Graves (Catacombs),emevd
400240,m60_34_49_00,Overworld m60_34_49_00,emevd
400241,m60_34_49_00,Overworld m60_34_49_00,emevd
400282,m11_10_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
400283,m11_10_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
400285,m11_10_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
400290,m16_00_00_00,Volcano Manor / Mt. Gelmir,emevd
400291,m16_00_00_00,Volcano Manor / Mt. Gelmir,emevd
400292,m13_00_00_00,Crumbling Farum Azula,emevd
400300,m30_09_00_00,Hero's Graves (Catacombs),emevd
400308,m60_44_52_00,Overworld m60_44_52_00,emevd
400309,m60_44_52_00,Overworld m60_44_52_00,emevd
400321,m15_00_00_00,Miquella's Haligtree & Elphael,emevd
400323,m15_00_00_00,Miquella's Haligtree & Elphael,emevd
400324,m15_00_00_00,Miquella's Haligtree & Elphael,emevd
400339,m12_03_00_00,Eternal Cities & Underground Rivers,emevd
400348,m12_03_00_00,Eternal Cities & Underground Rivers,emevd
400349,m11_10_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
400356,m11_10_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
400358,m11_10_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
400359,m11_10_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
400360,m14_00_00_00,Raya Lucaria Academy,emevd
400362,m14_00_00_00,Raya Lucaria Academy,emevd
400370,m11_05_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
400381,m35_00_00_00,Divine Tower,emevd
400382,m35_00_00_00,Divine Tower,emevd
400390,m60_42_36_00,Overworld m60_42_36_00,emevd
400393,m60_35_42_00,Overworld m60_35_42_00,emevd
400394,m12_01_00_00,Eternal Cities & Underground Rivers,emevd
400401,m14_00_00_00,Raya Lucaria Academy,emevd
400410,m60_36_41_00,Overworld m60_36_41_00,emevd
400411,m60_47_58_00,Overworld m60_47_58_00,emevd
400431,m31_11_00_00,Caves,emevd
400441,m60_37_53_00,Overworld m60_37_53_00,emevd
400460,m60_39_44_00,Overworld m60_39_44_00,emevd
400470,m60_47_41_00,Overworld m60_47_41_00,emevd
400480,m15_00_00_00,Miquella's Haligtree & Elphael,emevd
400490,m11_10_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
400500,m11_05_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
400510,m60_40_53_00,Overworld m60_40_53_00,emevd
400594,m21_00_00_00,DLC Interior,emevd
400595,m21_01_00_00,DLC Interior,emevd
400598,m20_01_00_00,Mohgwyn / Consecrated-adjacent,emevd
400602,m20_01_00_00,Mohgwyn / Consecrated-adjacent,emevd
400614,m20_01_00_00,Mohgwyn / Consecrated-adjacent,emevd
400620,m21_01_00_00,DLC Interior,emevd
400622,m21_01_00_00,DLC Interior,emevd
400623,m21_01_00_00,DLC Interior,emevd
400624,m20_01_00_00,Mohgwyn / Consecrated-adjacent,emevd
400625,m21_01_00_00,DLC Interior,emevd
400632,m22_00_00_00,m22,emevd
400634,m20_01_00_00,Mohgwyn / Consecrated-adjacent,emevd
400644,m20_01_00_00,Mohgwyn / Consecrated-adjacent,emevd
400645,m20_01_00_00,Mohgwyn / Consecrated-adjacent,emevd
400690,m21_00_00_00,DLC Interior,emevd
400692,m21_00_00_00,DLC Interior,emevd
400694,m20_00_00_00,Mohgwyn / Consecrated-adjacent,emevd
400696,m20_00_00_00,Mohgwyn / Consecrated-adjacent,emevd
400720,m20_00_00_00,Mohgwyn / Consecrated-adjacent,emevd
400721,m20_00_00_00,Mohgwyn / Consecrated-adjacent,emevd
400723,m20_00_00_00,Mohgwyn / Consecrated-adjacent,emevd
400732,m20_01_00_00,Mohgwyn / Consecrated-adjacent,emevd
400740,m22_00_00_00,m22,emevd
510100,m35_00_00_00,Divine Tower,emevd
510120,m30_17_00_00,Hero's Graves (Catacombs),emevd
510200,m35_00_00_00,Divine Tower,emevd
510300,m35_00_00_00,Divine Tower,emevd
510420,m20_01_00_00,Mohgwyn / Consecrated-adjacent,emevd
510630,m12_05_00_00,Eternal Cities & Underground Rivers,emevd
510740,m34_14_00_00,DLC Dungeon,emevd
520000,m10_00_00_00,Stormveil Castle,emevd
520010,m10_00_00_00,Stormveil Castle,emevd
520020,m11_05_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
520030,m60_35_45_00,Overworld m60_35_45_00,emevd
520040,m34_11_00_00,DLC Dungeon,emevd
520200,m60_33_40_00,Overworld m60_33_40_00,emevd
520210,m60_33_40_00,Overworld m60_33_40_00,emevd
520300,m60_33_42_00,Overworld m60_33_42_00,emevd
520330,m31_03_00_00,Caves,emevd
520340,m31_15_00_00,Caves,emevd
520700,m30_13_00_00,Hero's Graves (Catacombs),emevd
530100,m60_35_45_00,Overworld m60_35_45_00,emevd
530110,m60_43_36_00,Overworld m60_43_36_00,emevd
530120,m11_10_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
530130,m11_10_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
530170,m60_45_39_00,Overworld m60_45_39_00,emevd
530210,m60_34_45_00,Overworld m60_34_45_00,emevd
530225,m60_35_42_00,Overworld m60_35_42_00,emevd
530240,m60_39_44_00,Overworld m60_39_44_00,emevd
530245,m60_38_41_00,Overworld m60_38_41_00,emevd
530250,m60_33_45_00,Overworld m60_33_45_00,emevd
530255,m60_36_50_00,Overworld m60_36_50_00,emevd
530260,m60_34_42_00,Overworld m60_34_42_00,emevd
530265,m60_33_42_00,Overworld m60_33_42_00,emevd
530300,m60_37_51_00,Overworld m60_37_51_00,emevd
530310,m60_41_50_00,Overworld m60_41_50_00,emevd
530315,m60_45_52_00,Overworld m60_45_52_00,emevd
530325,m60_42_55_00,Overworld m60_42_55_00,emevd
530335,m60_41_51_00,Overworld m60_41_51_00,emevd
530350,m60_40_52_00,Overworld m60_40_52_00,emevd
530375,m60_36_54_00,Overworld m60_36_54_00,emevd
530385,m60_38_52_00,Overworld m60_38_52_00,emevd
530390,m60_35_53_00,Overworld m60_35_53_00,emevd
530400,m60_48_37_00,Overworld m60_48_37_00,emevd
530600,m12_01_00_00,Eternal Cities & Underground Rivers,emevd
530620,m12_02_00_00,Eternal Cities & Underground Rivers,emevd
540100,m60_40_39_00,Overworld m60_40_39_00,emevd
540104,m60_41_38_00,Overworld m60_41_38_00,emevd
540108,m60_43_37_00,Overworld m60_43_37_00,emevd
540112,m60_44_36_00,Overworld m60_44_36_00,emevd
540116,m60_45_37_00,Overworld m60_45_37_00,emevd
540118,m60_46_39_00,Overworld m60_46_39_00,emevd
540120,m60_41_37_00,Overworld m60_41_37_00,emevd
540132,m60_42_33_00,Overworld m60_42_33_00,emevd
540136,m60_43_33_00,Overworld m60_43_33_00,emevd
540138,m60_44_32_00,Overworld m60_44_32_00,emevd
540140,m60_44_33_00,Overworld m60_44_33_00,emevd
540142,m60_44_38_00,Overworld m60_44_38_00,emevd
540144,m60_41_35_00,Overworld m60_41_35_00,emevd
540146,m60_42_39_00,Overworld m60_42_39_00,emevd
540170,m10_00_00_00,Stormveil Castle,emevd
540172,m10_00_00_00,Stormveil Castle,emevd
540174,m10_00_00_00,Stormveil Castle,emevd
540200,m60_34_50_00,Overworld m60_34_50_00,emevd
540202,m60_36_44_00,Overworld m60_36_44_00,emevd
540204,m60_36_49_00,Overworld m60_36_49_00,emevd
540206,m60_39_39_00,Overworld m60_39_39_00,emevd
540208,m60_35_42_00,Overworld m60_35_42_00,emevd
540210,m60_35_47_00,Overworld m60_35_47_00,emevd
540218,m60_34_44_00,Overworld m60_34_44_00,emevd
540220,m60_35_50_00,Overworld m60_35_50_00,emevd
540224,m60_37_51_00,Overworld m60_37_51_00,emevd
540236,m60_37_48_00,Overworld m60_37_48_00,emevd
540238,m60_33_43_00,Overworld m60_33_43_00,emevd
540250,m60_35_50_00,Overworld m60_35_50_00,emevd
540252,m60_39_43_00,Overworld m60_39_43_00,emevd
540254,m60_37_48_00,Overworld m60_37_48_00,emevd
540256,m60_38_50_00,Overworld m60_38_50_00,emevd
540258,m60_39_45_00,Overworld m60_39_45_00,emevd
540260,m60_34_43_00,Overworld m60_34_43_00,emevd
540262,m60_37_44_00,Overworld m60_37_44_00,emevd
540264,m60_33_45_00,Overworld m60_33_45_00,emevd
540272,m14_00_00_00,Raya Lucaria Academy,emevd
540290,m39_20_00_00,DLC Dungeon,emevd
540300,m60_37_51_00,Overworld m60_37_51_00,emevd
540302,m60_38_51_00,Overworld m60_38_51_00,emevd
540304,m60_39_51_00,Overworld m60_39_51_00,emevd
540306,m60_39_52_00,Overworld m60_39_52_00,emevd
540308,m60_41_53_00,Overworld m60_41_53_00,emevd
540310,m60_40_51_00,Overworld m60_40_51_00,emevd
540312,m60_40_54_00,Overworld m60_40_54_00,emevd
540314,m60_43_51_00,Overworld m60_43_51_00,emevd
540316,m60_43_52_00,Overworld m60_43_52_00,emevd
540318,m60_43_53_00,Overworld m60_43_53_00,emevd
540320,m60_40_53_00,Overworld m60_40_53_00,emevd
540332,m60_37_53_00,Overworld m60_37_53_00,emevd
540334,m60_36_54_00,Overworld m60_36_54_00,emevd
540370,m11_00_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
540372,m11_00_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
540400,m60_47_40_00,Overworld m60_47_40_00,emevd
540402,m60_48_38_00,Overworld m60_48_38_00,emevd
540406,m60_48_37_00,Overworld m60_48_37_00,emevd
540410,m60_47_39_00,Overworld m60_47_39_00,emevd
540412,m60_48_41_00,Overworld m60_48_41_00,emevd
540422,m60_47_39_00,Overworld m60_47_39_00,emevd
540590,m16_00_00_00,Volcano Manor / Mt. Gelmir,emevd
540592,m16_00_00_00,Volcano Manor / Mt. Gelmir,emevd
540600,m12_01_00_00,Eternal Cities & Underground Rivers,emevd
540602,m12_01_00_00,Eternal Cities & Underground Rivers,emevd
540610,m12_02_00_00,Eternal Cities & Underground Rivers,emevd
540630,m12_02_00_00,Eternal Cities & Underground Rivers,emevd
540642,m12_02_00_00,Eternal Cities & Underground Rivers,emevd
540646,m12_02_00_00,Eternal Cities & Underground Rivers,emevd
540648,m12_02_00_00,Eternal Cities & Underground Rivers,emevd
540652,m12_07_00_00,Eternal Cities & Underground Rivers,emevd
540660,m12_03_00_00,Eternal Cities & Underground Rivers,emevd
540668,m12_03_00_00,Eternal Cities & Underground Rivers,emevd
540670,m12_03_00_00,Eternal Cities & Underground Rivers,emevd
540680,m12_05_00_00,Eternal Cities & Underground Rivers,emevd
540682,m12_05_00_00,Eternal Cities & Underground Rivers,emevd
540684,m12_05_00_00,Eternal Cities & Underground Rivers,emevd
540686,m12_05_00_00,Eternal Cities & Underground Rivers,emevd
540772,m13_00_00_00,Crumbling Farum Azula,emevd
550050,m30_00_00_00,Hero's Graves (Catacombs),emevd
580000,m60_43_38_00,Overworld m60_43_38_00,emevd
580010,m60_38_45_00,Overworld m60_38_45_00,emevd
580020,m16_00_00_00,Volcano Manor / Mt. Gelmir,emevd
580040,m10_00_00_00,Stormveil Castle,emevd
580050,m11_00_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
580120,m21_00_00_00,DLC Interior,emevd
580300,m60_43_36_00,Overworld m60_43_36_00,treasure
580310,m60_36_50_00,Overworld m60_36_50_00,emevd
580320,m60_41_52_00,Overworld m60_41_52_00,treasure
580330,m60_50_56_00,Overworld m60_50_56_00,treasure
580340,m60_42_35_00,Overworld m60_42_35_00,treasure
580350,m60_42_54_00,Overworld m60_42_54_00,emevd
580360,m60_51_40_00,Overworld m60_51_40_00,treasure
580410,m61_46_45_00,Overworld m61_46_45_00,treasure
580420,m61_53_39_00,Overworld m61_53_39_00,treasure
580600,m20_00_00_00,Mohgwyn / Consecrated-adjacent,treasure
590000,m10_00_00_00,Stormveil Castle,emevd
590200,m21_01_00_00,DLC Interior,emevd
590210,m60_46_36_00,Overworld m60_46_36_00,treasure
10007005,m10_00_00_00,Stormveil Castle,treasure
10007015,m10_00_00_00,Stormveil Castle,treasure
10007025,m10_00_00_00,Stormveil Castle,treasure
10007030,m10_00_00_00,Stormveil Castle,treasure
10007035,m10_00_00_00,Stormveil Castle,treasure
10007040,m10_00_00_00,Stormveil Castle,treasure
10007050,m10_00_00_00,Stormveil Castle,treasure
10007060,m10_00_00_00,Stormveil Castle,treasure
10007080,m10_00_00_00,Stormveil Castle,treasure
10007085,m10_00_00_00,Stormveil Castle,emevd
10007090,m10_00_00_00,Stormveil Castle,treasure
10007100,m10_00_00_00,Stormveil Castle,treasure
10007110,m10_00_00_00,Stormveil Castle,treasure
10007120,m10_00_00_00,Stormveil Castle,treasure
10007130,m10_00_00_00,Stormveil Castle,treasure
10007140,m10_00_00_00,Stormveil Castle,treasure
10007150,m10_00_00_00,Stormveil Castle,treasure
10007160,m10_00_00_00,Stormveil Castle,treasure
10007170,m10_00_00_00,Stormveil Castle,treasure
10007180,m10_00_00_00,Stormveil Castle,treasure
10007190,m10_00_00_00,Stormveil Castle,treasure
10007195,m10_00_00_00,Stormveil Castle,emevd
10007200,m10_00_00_00,Stormveil Castle,treasure
10007210,m10_00_00_00,Stormveil Castle,treasure
10007220,m10_00_00_00,Stormveil Castle,treasure
10007230,m10_00_00_00,Stormveil Castle,treasure
10007240,m10_00_00_00,Stormveil Castle,treasure
10007250,m10_00_00_00,Stormveil Castle,treasure
10007260,m10_00_00_00,Stormveil Castle,treasure
10007270,m10_00_00_00,Stormveil Castle,treasure
10007280,m10_00_00_00,Stormveil Castle,treasure
10007290,m10_00_00_00,Stormveil Castle,treasure
10007295,m10_00_00_00,Stormveil Castle,emevd
10007300,m10_00_00_00,Stormveil Castle,treasure
10007310,m10_00_00_00,Stormveil Castle,treasure
10007320,m10_00_00_00,Stormveil Castle,treasure
10007330,m10_00_00_00,Stormveil Castle,treasure
10007340,m10_00_00_00,Stormveil Castle,treasure
10007350,m10_00_00_00,Stormveil Castle,treasure
10007360,m10_00_00_00,Stormveil Castle,treasure
10007370,m10_00_00_00,Stormveil Castle,treasure
10007380,m10_00_00_00,Stormveil Castle,treasure
10007390,m10_00_00_00,Stormveil Castle,treasure
10007400,m10_00_00_00,Stormveil Castle,treasure
10007410,m10_00_00_00,Stormveil Castle,treasure
10007430,m10_00_00_00,Stormveil Castle,treasure
10007440,m10_00_00_00,Stormveil Castle,treasure
10007450,m10_00_00_00,Stormveil Castle,treasure
10007452,m11_10_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
10007460,m10_00_00_00,Stormveil Castle,treasure
10007470,m10_00_00_00,Stormveil Castle,treasure
10007500,m10_00_00_00,Stormveil Castle,treasure
10007510,m10_00_00_00,Stormveil Castle,treasure
10007520,m10_00_00_00,Stormveil Castle,treasure
10007530,m10_00_00_00,Stormveil Castle,treasure
10007540,m10_00_00_00,Stormveil Castle,treasure
10007550,m10_00_00_00,Stormveil Castle,treasure
10007560,m10_00_00_00,Stormveil Castle,treasure
10007570,m10_00_00_00,Stormveil Castle,treasure
10007580,m10_00_00_00,Stormveil Castle,treasure
10007590,m10_00_00_00,Stormveil Castle,treasure
10007600,m10_00_00_00,Stormveil Castle,treasure
10007610,m10_00_00_00,Stormveil Castle,treasure
10007620,m10_00_00_00,Stormveil Castle,treasure
10007630,m10_00_00_00,Stormveil Castle,treasure
10007640,m10_00_00_00,Stormveil Castle,treasure
10007650,m10_00_00_00,Stormveil Castle,treasure
10007660,m10_00_00_00,Stormveil Castle,treasure
10007670,m10_00_00_00,Stormveil Castle,treasure
10007680,m10_00_00_00,Stormveil Castle,treasure
10007690,m10_00_00_00,Stormveil Castle,treasure
10007700,m10_00_00_00,Stormveil Castle,treasure
10007710,m10_00_00_00,Stormveil Castle,treasure
10007720,m10_00_00_00,Stormveil Castle,treasure
10007730,m10_00_00_00,Stormveil Castle,treasure
10007740,m10_00_00_00,Stormveil Castle,treasure
10007750,m10_00_00_00,Stormveil Castle,treasure
10007760,m10_00_00_00,Stormveil Castle,treasure
