flag,flag_source,item_name,region,method,confidence
66030,shop,Cracked Pot,Multiple merchants (various regions),shop_multi,na
66060,shop,Cracked Pot,Multiple merchants (various regions),shop_multi,na
66070,shop,Cracked Pot,Multiple merchants (various regions),shop_multi,na
66190,map_lot,Cracked Pot,Global / Common-event (unplaced),global,low
66400,map_lot,Ritual Pot,Global / Common-event (unplaced),global,low
66420,map_lot,Ritual Pot,Global / Common-event (unplaced),global,low
66460,shop,Ritual Pot,Multiple merchants (various regions),shop_multi,na
66710,map_lot,Perfume Bottle,Global / Common-event (unplaced),global,low
66730,map_lot,Perfume Bottle,Global / Common-event (unplaced),global,low
66750,shop,Perfume Bottle,Liurnia of the Lakes,shop_merchant,med
66770,map_lot,Perfume Bottle,Global / Common-event (unplaced),global,low
66900,map_lot,Hefty Cracked Pot,Global / Common-event (unplaced),global,low
66920,map_lot,Hefty Cracked Pot,Global / Common-event (unplaced),global,low
66940,map_lot,Hefty Cracked Pot,Global / Common-event (unplaced),global,low
66950,map_lot,Hefty Cracked Pot,Global / Common-event (unplaced),global,low
66980,map_lot,Hefty Cracked Pot,Global / Common-event (unplaced),global,low
66990,map_lot,Hefty Cracked Pot,Global / Common-event (unplaced),global,low
67000,shop,Nomadic Warrior's Cookbook [1],Limgrave,shop_merchant,med
67110,shop,Nomadic Warrior's Cookbook [2],Limgrave,shop_merchant,med
67210,shop,Armorer's Cookbook [2],Limgrave,shop_merchant,med
67220,map_lot,Nomadic Warrior's Cookbook [11],Global / Common-event (unplaced),global,low
67230,shop,Nomadic Warrior's Cookbook [20],Liurnia of the Lakes,shop_merchant,med
67270,shop,Nomadic Warrior's Cookbook [18],Siofra River / Nokron,shop_merchant,low
67280,shop,Armorer's Cookbook [3],Limgrave,shop_merchant,med
67290,shop,Nomadic Warrior's Cookbook [16],Siofra River / Nokron,shop_merchant,low
67400,map_lot,Glintstone Craftsman's Cookbook [4],Global / Common-event (unplaced),global,low
67440,map_lot,Glintstone Craftsman's Cookbook [8],Global / Common-event (unplaced),global,low
67460,map_lot,Glintstone Craftsman's Cookbook [6],Global / Common-event (unplaced),global,low
67600,shop,Missionary's Cookbook [2],Roundtable Hold,shop_merchant,high
67610,shop,Missionary's Cookbook [1],Limgrave,shop_merchant,med
67800,map_lot,Nomadic Warrior's Cookbook [4],Global / Common-event (unplaced),global,low
67830,shop,Nomadic Warrior's Cookbook [5],Limgrave,shop_merchant,med
67840,map_lot,Perfumer's Cookbook [1],Global / Common-event (unplaced),global,low
67850,map_lot,Perfumer's Cookbook [2],Global / Common-event (unplaced),global,low
67900,shop,Nomadic Warrior's Cookbook [15],Caelid,shop_merchant,med
67920,shop,Perfumer's Cookbook [4],Siofra River / Nokron,shop_merchant,low
68000,map_lot,Ancient Dragon Apostle's Cookbook [1],Global / Common-event (unplaced),global,low
68010,shop,Ancient Dragon Apostle's Cookbook [2],Liurnia of the Lakes,shop_merchant,med
68200,map_lot,Fevor's Cookbook [1],Global / Common-event (unplaced),global,low
68220,shop,Fevor's Cookbook [2],Weeping Peninsula,shop_merchant,med
68230,shop,Missionary's Cookbook [7],Siofra River / Nokron,shop_merchant,low
68510,map_lot,Forager Brood Cookbook [6],Global / Common-event (unplaced),global,low
68520,map_lot,Forager Brood Cookbook [1],Global / Common-event (unplaced),global,low
68530,map_lot,Forager Brood Cookbook [2],Global / Common-event (unplaced),global,low
68540,map_lot,Forager Brood Cookbook [3],Global / Common-event (unplaced),global,low
68550,map_lot,Forager Brood Cookbook [4],Global / Common-event (unplaced),global,low
68560,map_lot,Forager Brood Cookbook [5],Global / Common-event (unplaced),global,low
68570,map_lot,Igon's Cookbook [2],Global / Common-event (unplaced),global,low
68580,map_lot,Finger-Weaver's Cookbook [2],Global / Common-event (unplaced),global,low
68590,map_lot,Greater Potentate's Cookbook [1],Global / Common-event (unplaced),global,low
68600,map_lot,Greater Potentate's Cookbook [4],Global / Common-event (unplaced),global,low
68610,map_lot,Greater Potentate's Cookbook [5],Global / Common-event (unplaced),global,low
68620,map_lot,Greater Potentate's Cookbook [12],Global / Common-event (unplaced),global,low
68650,map_lot,Greater Potentate's Cookbook [10],Global / Common-event (unplaced),global,low
68660,map_lot,Greater Potentate's Cookbook [11],Global / Common-event (unplaced),global,low
68690,map_lot,Greater Potentate's Cookbook [3],Global / Common-event (unplaced),global,low
68700,map_lot,Greater Potentate's Cookbook [13],Global / Common-event (unplaced),global,low
68720,map_lot,Greater Potentate's Cookbook [6],Global / Common-event (unplaced),global,low
68730,map_lot,Greater Potentate's Cookbook [2],Global / Common-event (unplaced),global,low
68740,map_lot,Ancient Dragon Knight's Cookbook [1],Global / Common-event (unplaced),global,low
68750,map_lot,Mad Craftsman's Cookbook [1],Global / Common-event (unplaced),global,low
68770,map_lot,Fire Knight's Cookbook [1],Global / Common-event (unplaced),global,low
68780,map_lot,Ancient Dragon Knight's Cookbook [2],Global / Common-event (unplaced),global,low
68790,map_lot,Loyal Knight's Cookbook,Global / Common-event (unplaced),global,low
68800,map_lot,Battlefield Priest's Cookbook [1],Global / Common-event (unplaced),global,low
68810,map_lot,Igon's Cookbook [1],Global / Common-event (unplaced),global,low
68830,map_lot,Forager Brood Cookbook [7],Global / Common-event (unplaced),global,low
68840,map_lot,St. Trina Disciple's Cookbook [3],Global / Common-event (unplaced),global,low
68860,map_lot,Antiquity Scholar's Cookbook [2],Global / Common-event (unplaced),global,low
68870,map_lot,Tibia's Cookbook,Global / Common-event (unplaced),global,low
68880,map_lot,Mad Craftsman's Cookbook [3],Global / Common-event (unplaced),global,low
68900,map_lot,Fire Knight's Cookbook [2],Global / Common-event (unplaced),global,low
68910,enemy_lot,Antiquity Scholar's Cookbook [1],Global / Common-event (unplaced),global,low
68930,map_lot,Battlefield Priest's Cookbook [4],Global / Common-event (unplaced),global,low
69600,shop,Note: Hidden Cave,Caelid,shop_merchant,med
69610,shop,Note: Imp Shades,Multiple merchants (various regions),shop_multi,na
69620,shop,Note: Flask of Wondrous Physick,Multiple merchants (various regions),shop_multi,na
69630,shop,Note: Stonedigger Trolls,Multiple merchants (various regions),shop_multi,na
69640,shop,Note: Walking Mausoleum,Weeping Peninsula,shop_merchant,med
69650,shop,Note: Unseen Assassins,Liurnia of the Lakes,shop_merchant,med
69670,shop,Note: Flame Chariots,Limgrave,shop_merchant,med
69680,shop,Note: Demi-human Mobs,Weeping Peninsula,shop_merchant,med
69690,shop,Note: Land Squirts,Limgrave,shop_merchant,med
69700,shop,Note: Gravity's Advantage,Caelid,shop_merchant,med
69710,shop,Note: Revenants,Weeping Peninsula,shop_merchant,med
69720,shop,Note: Waypoint Ruins,Limgrave,shop_merchant,med
69730,shop,Note: Gateway,Caelid,shop_merchant,med
69750,shop,Note: Frenzied Flame Village,Weeping Peninsula,shop_merchant,med
69770,shop,Note: Below the Capital,Liurnia of the Lakes,shop_merchant,med
69910,shop,Note: The Preceptor's Secrets,Weeping Peninsula,shop_merchant,med
100000,shop,Festering Bloody Finger,Multiple merchants (various regions),shop_multi,na
100020,shop,Ruin Fragment,Multiple merchants (various regions),shop_multi,na
100040,shop,Buckler,Multiple merchants (various regions),shop_multi,na
100090,shop,Furlcalling Finger Remedy,Multiple merchants (various regions),shop_multi,na
100100,shop,Silver-Pickled Fowl Foot,Limgrave (Church of Elleh),shop_merchant,high
100110,shop,Stormhawk Feather,Limgrave (Church of Elleh),shop_merchant,high
100120,shop,Caestus,Limgrave (Church of Elleh),shop_merchant,high
100130,shop,Great Arrow,Multiple merchants (various regions),shop_multi,na
100140,shop,Ballista Bolt,Multiple merchants (various regions),shop_multi,na
100150,shop,Bandit Manchettes,Limgrave (Church of Elleh),shop_merchant,high
100160,shop,Bandit Boots,Limgrave (Church of Elleh),shop_merchant,high
100170,shop,Bandit Garb,Limgrave (Church of Elleh),shop_merchant,high
100180,shop,Ancient Dragon Smithing Stone,Limgrave (Church of Elleh),shop_merchant,high
100250,shop,Memory Stone,Multiple merchants (various regions),shop_multi,na
100260,shop,Stonesword Key,Multiple merchants (various regions),shop_multi,na
100500,shop,[Sorcery] Glintstone Pebble,Multiple merchants (various regions),shop_multi,na
100510,shop,[Sorcery] Scholar's Armament,Limgrave (Church of Elleh),shop_merchant,high
100520,shop,[Sorcery] Scholar's Shield,Limgrave (Church of Elleh),shop_merchant,high
100530,shop,[Sorcery] Crystal Barrage,Limgrave (Church of Elleh),shop_merchant,high
100540,shop,[Sorcery] Glintstone Arc,Multiple merchants (various regions),shop_multi,na
100550,shop,[Sorcery] Glintstone Stars,Multiple merchants (various regions),shop_multi,na
100560,shop,[Sorcery] Shard Spiral,Limgrave (Church of Elleh),shop_merchant,high
100570,shop,[Sorcery] Glintstone Cometshard,Multiple merchants (various regions),shop_multi,na
100580,shop,[Sorcery] Star Shower,Multiple merchants (various regions),shop_multi,na
100590,shop,[Sorcery] Great Glintstone Shard,Multiple merchants (various regions),shop_multi,na
100600,shop,[Sorcery] Swift Glintstone Shard,Multiple merchants (various regions),shop_multi,na
100610,shop,[Sorcery] Glintblade Phalanx,Multiple merchants (various regions),shop_multi,na
100620,shop,[Sorcery] Carian Slicer,Multiple merchants (various regions),shop_multi,na
100750,shop,Ash of War: Impaling Thrust,Limgrave (Church of Elleh),shop_merchant,high
100760,shop,Ash of War: Spinning Slash,Limgrave (Church of Elleh),shop_merchant,high
100770,shop,Ash of War: Quickstep,Limgrave (Church of Elleh),shop_merchant,high
100780,shop,Ash of War: Stamp (Upward Cut),Limgrave (Church of Elleh),shop_merchant,high
100790,shop,Ash of War: Kick,Limgrave (Church of Elleh),shop_merchant,high
100800,shop,Ash of War: War Cry,Limgrave (Church of Elleh),shop_merchant,high
100810,shop,Ash of War: Endure,Limgrave (Church of Elleh),shop_merchant,high
100820,shop,Ash of War: Parry,Limgrave (Church of Elleh),shop_merchant,high
100830,shop,Ash of War: Storm Blade,Limgrave (Church of Elleh),shop_merchant,high
100840,shop,Ash of War: Eruption,Limgrave (Church of Elleh),shop_merchant,high
100850,shop,Ash of War: Assassin's Gambit,Limgrave (Church of Elleh),shop_merchant,high
100860,shop,Ash of War: No Skill,Limgrave (Church of Elleh),shop_merchant,high
110000,shop,Margit's Shackle,Roundtable Hold,shop_merchant,high
110020,shop,Stonesword Key,Multiple merchants (various regions),shop_multi,na
110030,shop,Furlcalling Finger Remedy,Multiple merchants (various regions),shop_multi,na
110050,shop,Gold-Pickled Fowl Foot,Roundtable Hold,shop_merchant,high
110060,synthetic,"MH/HC: Smithing Stone [8] - from main branch, go S take right fork then SE",Miquella's Haligtree & Elphael,synthetic_areacode,med
110080,shop,Parrying Dagger,Roundtable Hold,shop_merchant,high
110110,shop,Sacrificial Twig,Multiple merchants (various regions),shop_multi,na
110120,shop,Festering Bloody Finger,Multiple merchants (various regions),shop_multi,na
110130,shop,Grace Mimic,Roundtable Hold,shop_merchant,high
110140,shop,Fan Daggers,Roundtable Hold,shop_merchant,high
110170,shop,Festering Bloody Finger,Multiple merchants (various regions),shop_multi,na
110190,shop,Estoc,Multiple merchants (various regions),shop_multi,na
110220,shop,Horse Crest Wooden Shield,Roundtable Hold,shop_merchant,high
110260,shop,[Incantation] Litany of Proper Death,Roundtable Hold,shop_merchant,high
110270,shop,[Incantation] Order's Blade,Roundtable Hold,shop_merchant,high
110750,shop,[Sorcery] Night Shard,Roundtable Hold,shop_merchant,high
110760,shop,[Incantation] Night Maiden's Mist,Roundtable Hold,shop_merchant,high
110770,shop,[Sorcery] Glintstone Stars,Multiple merchants (various regions),shop_multi,na
110850,shop,[Incantation] Pest Threads,Roundtable Hold,shop_merchant,high
120000,shop,Ash of War: Spinning Weapon,Liurnia of the Lakes (Ranni's Rise),shop_merchant,med
120010,shop,Ash of War: Glintstone Pebble,Liurnia of the Lakes (Ranni's Rise),shop_merchant,med
120020,shop,Ash of War: Carian Greatsword,Liurnia of the Lakes (Ranni's Rise),shop_merchant,med
120270,shop,Somber Smithing Stone [3],Multiple merchants (various regions),shop_multi,na
120280,shop,Somber Smithing Stone [4],Multiple merchants (various regions),shop_multi,na
120290,shop,Carian Filigreed Crest,Liurnia of the Lakes (Ranni's Rise),shop_merchant,med
120510,shop,[Sorcery] Glintstone Arc,Multiple merchants (various regions),shop_multi,na
120520,shop,[Sorcery] Starlight,Liurnia of the Lakes (Ranni's Rise),shop_merchant,med
120750,shop,[Sorcery] Carian Phalanx,Multiple merchants (various regions),shop_multi,na
120760,shop,[Sorcery] Glintstone Icecrag,Liurnia of the Lakes (Ranni's Rise),shop_merchant,med
120770,shop,[Sorcery] Freezing Mist,Liurnia of the Lakes (Ranni's Rise),shop_merchant,med
120780,shop,[Sorcery] Carian Retaliation,Multiple merchants (various regions),shop_multi,na
130010,shop,Dolores the Sleeping Arrow Puppet,Liurnia of the Lakes (Seluvis's Rise),shop_merchant,med
130020,shop,Jarwight Puppet,Liurnia of the Lakes (Seluvis's Rise),shop_merchant,med
130310,synthetic,MA/(LER): Ghost Glovewort [2] - enemy drop middle of ruins,Ainsel River / Lake of Rot,synthetic_areacode,med
130320,synthetic,MA/(LER): Ghost Glovewort [2] - enemy drop E ruins,Ainsel River / Lake of Rot,synthetic_areacode,med
130500,shop,[Incantation] Rejection,Liurnia of the Lakes (Seluvis's Rise),shop_merchant,med
130510,shop,[Incantation] Urgent Heal,Liurnia of the Lakes (Seluvis's Rise),shop_merchant,med
130520,shop,[Incantation] Heal,Liurnia of the Lakes (Seluvis's Rise),shop_merchant,med
130530,shop,[Incantation] Cure Poison,Liurnia of the Lakes (Seluvis's Rise),shop_merchant,med
130540,shop,[Incantation] Flame Fortification,Liurnia of the Lakes (Seluvis's Rise),shop_merchant,med
130550,shop,[Incantation] Magic Fortification,Liurnia of the Lakes (Seluvis's Rise),shop_merchant,med
130560,shop,[Incantation] Catch Flame,Liurnia of the Lakes (Seluvis's Rise),shop_merchant,med
130570,shop,[Incantation] Flame Sling,Liurnia of the Lakes (Seluvis's Rise),shop_merchant,med
130580,shop,[Incantation] Great Heal,Liurnia of the Lakes (Seluvis's Rise),shop_merchant,med
130590,shop,[Incantation] Lightning Fortification,Liurnia of the Lakes (Seluvis's Rise),shop_merchant,med
130600,shop,[Incantation] Discus of Light,Liurnia of the Lakes (Seluvis's Rise),shop_merchant,med
130610,shop,[Incantation] Immutable Shield,Liurnia of the Lakes (Seluvis's Rise),shop_merchant,med
130620,shop,"[Incantation] O, Flame!",Multiple merchants (various regions),shop_multi,na
130630,shop,"[Incantation] Surge, O Flame!",Multiple merchants (various regions),shop_multi,na
130640,shop,[Incantation] Giantsflame Take Thee,Multiple merchants (various regions),shop_multi,na
130650,shop,"[Incantation] Flame, Fall Upon Them",Multiple merchants (various regions),shop_multi,na
130660,shop,[Incantation] Black Flame,Multiple merchants (various regions),shop_multi,na
130670,shop,[Incantation] Black Flame Blade,Multiple merchants (various regions),shop_multi,na
130680,shop,[Incantation] Lord's Heal,Multiple merchants (various regions),shop_multi,na
130690,shop,[Incantation] Lord's Aid,Multiple merchants (various regions),shop_multi,na
130700,shop,[Incantation] Assassin's Approach,Multiple merchants (various regions),shop_multi,na
130710,shop,[Incantation] Darkness,Multiple merchants (various regions),shop_multi,na
130720,shop,[Incantation] Radagon's Rings of Light,Multiple merchants (various regions),shop_multi,na
130730,shop,[Incantation] Law of Regression,Multiple merchants (various regions),shop_multi,na
130740,shop,[Incantation] Lightning Spear,Multiple merchants (various regions),shop_multi,na
130750,shop,[Incantation] Honed Bolt,Multiple merchants (various regions),shop_multi,na
130760,shop,[Incantation] Electrify Armament,Multiple merchants (various regions),shop_multi,na
130770,shop,[Incantation] Ancient Dragons' Lightning Spear,Multiple merchants (various regions),shop_multi,na
130780,shop,[Incantation] Ancient Dragons' Lightning Strike,Multiple merchants (various regions),shop_multi,na
130790,synthetic,MA/(LER): Smithing Stone [8] x3 - in chest under illusory floor E ruins,Ainsel River / Lake of Rot,synthetic_areacode,med
140000,shop,[Sorcery] Magic Glintblade,Limgrave (Waypoint Ruins),shop_merchant,med
140010,shop,[Sorcery] Carian Greatsword,Limgrave (Waypoint Ruins),shop_merchant,med
140020,shop,[Sorcery] Glintstone Cometshard,Multiple merchants (various regions),shop_multi,na
140030,shop,[Sorcery] Star Shower,Multiple merchants (various regions),shop_multi,na
140040,shop,[Sorcery] Great Glintstone Shard,Multiple merchants (various regions),shop_multi,na
140050,shop,[Sorcery] Swift Glintstone Shard,Multiple merchants (various regions),shop_multi,na
140060,shop,[Sorcery] Glintblade Phalanx,Multiple merchants (various regions),shop_multi,na
140070,shop,[Sorcery] Carian Slicer,Multiple merchants (various regions),shop_multi,na
140250,shop,[Incantation] Blessing's Boon,Limgrave (Waypoint Ruins),shop_merchant,med
140260,shop,"[Incantation] O, Flame!",Multiple merchants (various regions),shop_multi,na
140280,shop,"[Incantation] Surge, O Flame!",Multiple merchants (various regions),shop_multi,na
140290,shop,[Incantation] Giantsflame Take Thee,Multiple merchants (various regions),shop_multi,na
140300,shop,"[Incantation] Flame, Fall Upon Them",Multiple merchants (various regions),shop_multi,na
140310,shop,[Incantation] Black Flame,Multiple merchants (various regions),shop_multi,na
140320,shop,[Incantation] Black Flame Blade,Multiple merchants (various regions),shop_multi,na
140330,shop,[Incantation] Lord's Heal,Multiple merchants (various regions),shop_multi,na
140340,shop,[Incantation] Lord's Aid,Multiple merchants (various regions),shop_multi,na
140350,shop,[Incantation] Assassin's Approach,Multiple merchants (various regions),shop_multi,na
140360,shop,[Incantation] Darkness,Multiple merchants (various regions),shop_multi,na
140370,shop,[Incantation] Radagon's Rings of Light,Multiple merchants (various regions),shop_multi,na
140380,shop,[Incantation] Law of Regression,Multiple merchants (various regions),shop_multi,na
140390,shop,[Incantation] Lightning Spear,Multiple merchants (various regions),shop_multi,na
140400,shop,[Incantation] Honed Bolt,Multiple merchants (various regions),shop_multi,na
140410,shop,[Incantation] Electrify Armament,Multiple merchants (various regions),shop_multi,na
140420,shop,[Incantation] Ancient Dragons' Lightning Spear,Multiple merchants (various regions),shop_multi,na
140430,shop,[Incantation] Ancient Dragons' Lightning Strike,Multiple merchants (various regions),shop_multi,na
150050,shop,Furlcalling Finger Remedy,Multiple merchants (various regions),shop_multi,na
150060,synthetic,LG/SR: Lump of Flesh x3 - lower beach to W,Limgrave,synthetic_areacode,med
150080,synthetic,LG/(CE): Furlcalling Finger Remedy x5 - Kalé Shop,Limgrave,synthetic_areacode,med
150090,synthetic,LG/(CE): Note: Flask of Wondrous Physick - Kalé Shop,Limgrave,synthetic_areacode,med
150100,shop,Torch,Limgrave,shop_merchant,med
150110,shop,Large Leather Shield,Limgrave,shop_merchant,med
150120,synthetic,LG/(CE): Note: Waypoint Ruins - Kalé Shop,Limgrave,synthetic_areacode,med
150130,shop,Telescope,Limgrave,shop_merchant,med
150140,synthetic,LG/(CE): Nomadic Warrior's Cookbook [1] - Kalé Shop,Limgrave,synthetic_areacode,med
150150,shop,Chain Coif,Limgrave,shop_merchant,med
150160,shop,Chain Armor,Limgrave,shop_merchant,med
150170,shop,Chain Gauntlets,Limgrave,shop_merchant,med
150180,shop,Chain Leggings,Limgrave,shop_merchant,med
150210,synthetic,LG/(CE): Telescope - Kalé Shop,Limgrave,synthetic_areacode,med
150220,synthetic,LG/(CE): Nomadic Warrior's Cookbook [2] - Kalé Shop,Limgrave,synthetic_areacode,med
150410,shop,Pickled Turtle Neck,Limgrave,shop_merchant,med
150420,shop,Short Sword,Limgrave,shop_merchant,med
150430,shop,Halberd,Limgrave,shop_merchant,med
150460,shop,Bandit Mask,Limgrave,shop_merchant,med
150470,shop,Smithing Stone [1],Multiple merchants (various regions),shop_multi,na
150480,synthetic,LG/SB: Bandit Mask - Nomadic Merchant to E,Limgrave,synthetic_areacode,med
150490,synthetic,LG/SB: Pickled Turtle Neck x3 - Nomadic Merchant to E,Limgrave,synthetic_areacode,med
150500,synthetic,LG/SB: Note: Flame Chariots - Nomadic Merchant to E,Limgrave,synthetic_areacode,med
150520,shop,Sliver of Meat,Multiple merchants (various regions),shop_multi,na
150530,shop,Beast Liver,Limgrave,shop_merchant,med
150540,shop,Lump of Flesh,Multiple merchants (various regions),shop_multi,na
150550,synthetic,LG/ME: St. Trina's Arrow x10 - Nomadic Merchant S of ME,Limgrave,synthetic_areacode,med
150610,shop,Festering Bloody Finger,Multiple merchants (various regions),shop_multi,na
150620,shop,Trina's Lily,Multiple merchants (various regions),shop_multi,na
150630,shop,Hand Axe,Multiple merchants (various regions),shop_multi,na
150640,shop,Riveted Wooden Shield,Limgrave,shop_merchant,med
150650,shop,Blue-Gold Kite Shield,Limgrave,shop_merchant,med
150670,shop,Smithing Stone [1],Multiple merchants (various regions),shop_multi,na
150860,shop,Club,Limgrave,shop_merchant,med
150870,shop,Broadsword,Limgrave,shop_merchant,med
150880,shop,Iron Roundshield,Limgrave,shop_merchant,med
150890,shop,Shortbow,Limgrave,shop_merchant,med
150920,shop,Neutralizing Boluses,Multiple merchants (various regions),shop_multi,na
150930,shop,Stanching Boluses,Multiple merchants (various regions),shop_multi,na
150940,shop,Stimulating Boluses,Multiple merchants (various regions),shop_multi,na
150950,shop,Smithing Stone [1],Multiple merchants (various regions),shop_multi,na
150960,synthetic,LG/CC: Stanching Boluses x3 - Nomadic Merchant SE of CC,Limgrave,synthetic_areacode,med
150970,synthetic,LG/CC: Stimulating Boluses x2 - Nomadic Merchant SE of CC,Limgrave,synthetic_areacode,med
150980,synthetic,LG/CC: Note: Stonedigger Trolls - Nomadic Merchant SE of CC,Limgrave,synthetic_areacode,med
160000,shop,Stonesword Key,Multiple merchants (various regions),shop_multi,na
160130,shop,Red Thorn Roundshield,Weeping Peninsula,shop_merchant,med
160140,shop,Round Shield,Multiple merchants (various regions),shop_multi,na
160160,shop,Crimson Amber Medallion,Multiple merchants (various regions),shop_multi,na
160190,shop,Bastard Sword,Weeping Peninsula,shop_merchant,med
160200,shop,Light Crossbow,Weeping Peninsula,shop_merchant,med
160250,synthetic,WP/WR: Golden Rune [5] - W of WR on beach,Weeping Peninsula,synthetic_areacode,med
160260,synthetic,WP/(WR): Great Dragonfly Head - within ruins,Weeping Peninsula,synthetic_areacode,med
160340,shop,Kite Shield,Weeping Peninsula,shop_merchant,med
160350,synthetic,LL/RVV: Ash of War: Barbaric Roar - scarab to N,Liurnia of the Lakes,synthetic_areacode,med
160410,shop,Astrologer Hood,Weeping Peninsula,shop_merchant,med
160420,shop,Astrologer Robe,Weeping Peninsula,shop_merchant,med
160430,shop,Astrologer Gloves,Weeping Peninsula,shop_merchant,med
160440,shop,Astrologer Trousers,Weeping Peninsula,shop_merchant,med
160450,shop,Lantern,Weeping Peninsula,shop_merchant,med
160460,shop,Astrologer's Staff,Weeping Peninsula,shop_merchant,med
160490,shop,Smithing Stone [1],Multiple merchants (various regions),shop_multi,na
160520,shop,Stonesword Key,Multiple merchants (various regions),shop_multi,na
160530,synthetic,"SSG/UR: Fire Grease x5 - to left down ladder, to right up pipe on big platform",Subterranean Shunning-Grounds,synthetic_areacode,med
160540,shop,Arteria Leaf,Weeping Peninsula,shop_merchant,med
160580,shop,Lantern,Weeping Peninsula,shop_merchant,med
160590,shop,Lost Ashes of War,Multiple merchants (various regions),shop_multi,na
160600,shop,Zweihander,Weeping Peninsula,shop_merchant,med
160640,shop,Festering Bloody Finger,Multiple merchants (various regions),shop_multi,na
160650,shop,Smithing Stone [2],Multiple merchants (various regions),shop_multi,na
160760,shop,Trina's Lily,Multiple merchants (various regions),shop_multi,na
160770,synthetic,RLA/SC: Smithing Stone [5] - below cog elevator item 1,Raya Lucaria Academy,synthetic_areacode,med
160780,shop,Eye of Yelough,Weeping Peninsula,shop_merchant,med
160800,shop,Stonesword Key,Multiple merchants (various regions),shop_multi,na
160810,shop,Lost Ashes of War,Multiple merchants (various regions),shop_multi,na
160880,shop,Fanged Imp Ashes,Weeping Peninsula,shop_merchant,med
160890,shop,St. Trina's Arrow,Multiple merchants (various regions),shop_multi,na
160910,shop,Blue Cloth Cowl,Multiple merchants (various regions),shop_multi,na
160920,shop,Blue Cloth Vest,Multiple merchants (various regions),shop_multi,na
160930,shop,Warrior Gauntlets,Multiple merchants (various regions),shop_multi,na
160940,shop,Warrior Greaves,Multiple merchants (various regions),shop_multi,na
